"pub","va","sema","na","stda","vi","semi","ni","stdi","ka","ki","sequence","sequence_full","cell","cell_full","beta1","tmin","tmax","trtype","trmin","trmax","ljp_corrected","ljp","rpmin","rpmax","rsmin","rsmax","rscmin","rscmax","waitmin","waitmax","imin","imax","vpeak","ipeak","irep","t_cycle","pah","palo","pad","pahi","pih","pilo","pid","pihi","pit","boltz_ag","boltz_ii","na_e","na_e2","ca_e","tea_e","nmdg_e","choline_e","ph_e","mix_e","bath","na_i","ca_i","mg_i","atp_i","egta_i","bapta_i","ca_ib","tea_i","ph_i","mix_i","pipette","equipment","notes"
"Abe 2014",-50.5,1.5,15,5.8094750193,-84.1,1.3,15,5.0348783501,4.9,-7.1,"b","NM_000335","HEK","tsA-201","no",20,22,"transient",24,72,"None","None",0.8,1.5,"None","None","None","None","None","None","None","None",-30,"None",-4000,10,-120,-90,10,70,-120,-140,10,-30,-20,"yes","yes",145,"None",1.8,0,0,0,7.35,"NaOH","145 NaCl, 4 KCl, 1.8 CaCl2, 1 MgCl2, 10 HEPES, 10 glucose",10,0,0,0,10,0,0,0,7.35,"CsOH","10 NaF, 110 CsF, 20 CsCl, 10 EGTA, 10 HEPES","Axopatch 200B, Digidata 1322A, pClamp8","Room temperature"
"Abriel 2000",0,0,0,0,-66.2,0.9,4,1.8,"None","None","astar","hH1","HEK","HEK293","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",30,"None","None","None","None",-100,-130,20,-30,-10,"None","yes",130,"None",2,0,0,0,7.4,"CsOH","NaCl 130, CsCl 5, CaCl2 2, MgCl2 1.2, HEPES 10, glucose 5",10,1,1.2,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, Asp 50, CaCl2 1, MgCl2 1.2, HEPES 10, EGTA 11, Na2ATP 5","Axopatch 200B, pClamp 7","Room temperature"
"Abriel 2001",-21.5,0.3,6,0.7348469228,-65.2,0.2,13,0.7211102551,6.9,-6.1,"astar","hH1","HEK","HEK293","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None",3,8,"None","None","None",-5500,-3000,"None",-80,-60,5,20,-80,-100,10,-20,-10,"yes","yes",130,30,2,0,0,0,7.4,"None","NaCl 130, CsCl 5, CaCl2 2, MgCl2 1.2, HEPES 10, glucose 5",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, CsAsp 80, EGTA 11, MgCl2 1, CaCl2 1, HEPES 10, Na2ATP 5","Axopatch 200B, pClamp 7","Using b1+b2 made no difference, construct in cited paper"
"Abriel 2001",-23.3,1.2,3,2.0784609691,-63.3,0.4,5,0.894427191,6,"None","astar","hH1","HEK","HEK293","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None",3,3,"None","None","None",-5500,-3000,"None",-80,-60,5,20,-80,-100,10,-20,-10,"yes","yes",130,30,2,0,0,0,7.4,"None","NaCl 130, CsCl 5, CaCl2 2, MgCl2 1.2, HEPES 10, glucose 5",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, CsAsp 80, EGTA 11, MgCl2 1, CaCl2 1, HEPES 10, Na2ATP 5","Axopatch 200B, pClamp 7","Using b1+b2 made no difference, construct in cited paper"
"Abriel 2001",-24.6,0.9,3,1.5588457268,-63.7,0.3,5,0.6708203932,5.9,"None","astar","hH1","HEK","HEK293","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None",6,6,"None","None","None",-5500,-3000,"None",-80,-60,5,20,-80,-100,10,-20,-10,"yes","yes",130,30,2,0,0,0,7.4,"None","NaCl 130, CsCl 5, CaCl2 2, MgCl2 1.2, HEPES 10, glucose 5",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, CsAsp 80, EGTA 11, MgCl2 1, CaCl2 1, HEPES 10, Na2ATP 5","Axopatch 200B, pClamp 7","Using b1+b2 made no difference, construct in cited paper"
"Abriel 2001",-25.5,0.9,3,1.5588457268,-64.3,0.3,5,0.6708203932,6,"None","astar","hH1","HEK","HEK293","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None",9,9,"None","None","None",-5500,-3000,"None",-80,-60,5,20,-80,-100,10,-20,-10,"yes","yes",130,30,2,0,0,0,7.4,"None","NaCl 130, CsCl 5, CaCl2 2, MgCl2 1.2, HEPES 10, glucose 5",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, CsAsp 80, EGTA 11, MgCl2 1, CaCl2 1, HEPES 10, Na2ATP 5","Axopatch 200B, pClamp 7","Using b1+b2 made no difference, construct in cited paper"
"Abriel 2001",-26,1.1,3,1.9052558883,-64.5,0.3,5,0.6708203932,6.2,"None","astar","hH1","HEK","HEK293","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None",12,12,"None","None","None",-5500,-3000,"None",-80,-60,5,20,-80,-100,10,-20,-10,"yes","yes",130,30,2,0,0,0,7.4,"None","NaCl 130, CsCl 5, CaCl2 2, MgCl2 1.2, HEPES 10, glucose 5",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, CsAsp 80, EGTA 11, MgCl2 1, CaCl2 1, HEPES 10, Na2ATP 5","Axopatch 200B, pClamp 7","Using b1+b2 made no difference, construct in cited paper"
"Aiba 2014",-43.3,1.8,7,4.7623523599,-80.1,1.6,9,4.8,"None","None","None",,"HEK","HEK293","yes",22,22,"transient",48,72,"None","None",1,2,"None","None",40,80,10,"None","None","None",-25,"None",-5000,"None",-120,-80,5,40,"None","None","None","None","None","yes","yes",50,"None",2,0,0,0,7.4,"NaOH","50 NaCl, 2 KCl, 2 CaCl2, 1 MgCl2, 10 glucose, 10 HEPES",35,0,0,0,0,0,0,0,7.3,"CsOH","35 NaCl, 105 CsCl, 10 Cs-HEPES","Axopatch 200A, Digidata 1200, pClamp 10","Room temperature, LJP given but not for baseline solution"
"Akai 2000",-44.1,0.3,9,0.9,-80.8,2.1,9,6.3,7.6,-7.7,"astar","hH1","HEK","HEK293","yes",20,22,"transient","None","None","None","None",1,2.5,"None","None","None","None","None","None","None","None","None","None",-6000,"None",-150,-90,10,90,-150,-160,10,-20,-20,"None","yes",36,"None",1.8,0,109,0,7.35,"None","36 NaCl, 109 NMDG, 4 KCl, 1.8 CaCl2, 1 MgCl2, 10 HEPES, 10 glucose",10,0,0,0,10,0,0,0,7.35,"None","10 NaF, 110 CsF, 20 CsCl, 10 EGTA, 10 HEPES","Axopatch 200B, pClamp 6","Room temperature"
"Amin 2005",-36.7,2.2,10,6.9570108524,-83.3,1.8,10,5.6920997883,6.5,-5.2,"None",,"HEK","HEK293","yes",20.9,21.1,"transient","None","None","no",7.7,2,3,"None","None","None","None",0,4,"None","None",-25,"None",-4000,5,-120,-100,5,50,-120,-120,5,-20,-20,"yes","yes",140,"None",2,0,0,0,7.4,"NaOH","140 NaCl, 10 CsCl, 2 CaCl2, 1 MgCl2, 5 glucose, 10 mL HEPES",14,1,1,2,11,0,0.000015,0,7.2,"CsOH","10 CsCl, 110 CsF, 10 NaF, 11 EGTA, 1 CaCl2, 1 MgCl2, 2 Na2ATP, 10 HEPES","Axopatch 200B","“Typically” >85% Rs comp"
