"key","tex"
"Abe 2014","Abe2014MutationDB"
"Abriel 2000","Abriel2000MutationDB"
"Abriel 2001","Abriel2001MutationDB"
"Ackerman 2001","Ackerman2001MutationDB"
"Ackerman 2004","Ackerman2004MutationDB"
"Agullo-Pascual 2014","AgulloPascual2014MutationDB"
"Ahern 2005","Ahern2005MutationDB"
"Aiba 2014","Aiba2014MutationDB"
"Akai 2000","Akai2000MutationDB"
"Albert 2008","Albert2008MutationDB"
"Amarouch 2015","Amarouch2015MutationDB"
"Amin 2005","Amin2005MutationDB"
"Amin 2011","Amin2011MutationDB"
"An 1998","An1998MutationDB"
"Andreasen 2013","Andreasen2013MutationDB"
"Arnestad 2007","Arnestad2007MutationDB"
"Asadi 2015","Asadi2015MutationDB"
"Aurlien 2009","Aurlien2009MutationDB"
"Aydin 2005","Aydin2005MutationDB"
"Aziz 2010","Aziz2010MutationDB"
"Banderali 2010","Banderali2010MutationDB"
"Bankston 2007a","Bankston2007aMutationDB"
"Bankston 2007b","Bankston2007bMutationDB"
"Barajas-Martinez 2008","BarajasMartinez2008MutationDB"
"Baroudi 2000a","Baroudi2000aMutationDB"
"Baroudi 2000b","Baroudi2000bMutationDB"
"Baroudi 2001","Baroudi2001MutationDB"
"Baroudi 2002","Baroudi2002MutationDB"
"Baroudi 2004","Baroudi2004MutationDB"
"Baruteau 2012","Baruteau2012MutationDB"
"Bebarova 2008","Bebarova2008MutationDB"
"Beckermann 2014","Beckermann2014MutationDB"
"Benhorin 1997","Benhorin1997MutationDB"
"Benhorin 2000","Benhorin2000MutationDB"
"Benson 2003","Benson2003MutationDB"
"Berge 2008","Berge2008MutationDB"
"Beyder 2010","Beyder2010MutationDB"
"Beyder 2014","Beyder2014MutationDB"
"Bezzina 2003","Bezzina2003MutationDB"
"Blich 2015","Blich2015MutationDB"
"Brugada 1999","Brugada1999MutationDB"
"Bustamante 1983","Bustamante1983MutationDB"
"Calloe 2011","Calloe2011MutationDB"
"Calloe 2013","Calloe2013MutationDB"
"Carrasco 2012","Carrasco2012MutationDB"
"Casado-Arroyo 2012","CasadoArroyo2012MutationDB"
"Casini 2007","Casini2007MutationDB"
"Chang 2004","Chang2004MutationDB"
"Chen 1996","Chen1996MutationDB"
"Chen 1998","Chen1998MutationDB"
"Chen 2002","Chen2002MutationDB"
"Chen 2004","Chen2004MutationDB"
"Chen 2016","Chen2016MutationDB"
