pub,va,+-,vic,+-
Abriel 2001,-21.5,1.4696938456,-2.5728981228554417,1.4422205102
Abriel 2001,-23.3,4.1569219382,1.3667707135921745,1.788854382
Abriel 2001,-24.6,3.1176914536,2.4398648732487658,1.3416407864
Abriel 2001,-25.5,3.1176914536,2.859699291472566,1.3416407864
Abriel 2001,-26.0,3.8105117766,3.2262739682635697,1.3416407864
Akai 2000,-44.1,1.8,7.436277268097797,12.6
Bankston 2007b,-24.8,9.3744333162,-4.83350525603484,5.4
Baroudi 2000b,-47.24,16.3058271792,-1.4256337616547228,10.3566210706
Baroudi 2001,-47.23,8.049844719,-0.6869652551905432,4.52
Casini 2007,-38.6,7.7459666924,-5.99604417660322,15.143315357
Deschenes 2000,-53.6,8.94427191,1.6011961271267978,5.3888774342
Huang 2009,-50.34,12.36,-5.162870765550508,8.04
Lin 2008,-54.64,3.9157119404,1.1396714548520919,4.921463197
Lupoglazoff 2001,-47.23,15.6920361968,-0.6869652551905432,7.2965745388
Makita 2002,-47.2,7.932212806,0.7490402642019944,9.3744333162
Makiyama 2008,-43.61,7.5774138068,9.601034084842624,8.8179816284
Mohler 2004,-41.8,5.2915026222,16.73003375485918,2.3237900078
Moreau 2013,-47.9,8.6533230612,0.542244811709395,9.3744333162
Neu 2010,-50.9,11.7779454914,5.0416928724554,8.4
Nguyen 2008,-47.8,3.1622776602,3.028929876351185,5.0596442562
Smits 2005a,-42.6,8.4,-2.8634467622752027,7.2
Smits 2005b,-43.7,18.0,-11.016982473335005,15.143315357
Viswanathan 2003,-40.7,9.286549413,-0.6164305340810046,7.9598994968
Wang 2002,-47.7,8.0,-8.384385059007002,12.204917042
Wang 2007a,-44.3,4.4899888642,-0.8370928611858091,8.8
Wang 2008,-44.3,4.4899888642,-0.8370928611858091,8.8
Wedekind 2001,-42.8,15.3453576042,-11.336816891558811,10.053854982
Yang 2002,-54.3,18.5202591774,1.494400674634207,1.5874507866
