pub,va,+-,vic,+-
Abe 2014,-50.5,11.6189500386,8.64446718008,10.0697567002
Abriel 2001,-21.5,1.4696938456,-0.772825527993,1.4422205102
Abriel 2001,-23.3,4.1569219382,2.88479953665,1.788854382
Abriel 2001,-24.6,3.1176914536,3.75419541666,1.3416407864
Abriel 2001,-25.5,3.1176914536,4.03300794898,1.3416407864
Abriel 2001,-26.0,3.8105117766,4.3212371336,1.3416407864
Aiba 2014,-43.3,9.5247047198,5.61396692152,9.6
Akai 2000,-44.1,1.8,5.69513361692,12.6
Albert 2008,-28.5,3.0,10.4623830567,1.9183326094
Amin 2005,-36.7,13.9140217048,-4.03065831549,11.3841995766
Bankston 2007a,-24.9,3.809881888,6.44713292744,7.3343029662
Bankston 2007b,-24.8,9.3744333162,-3.55051290949,5.4
Baroudi 2000b,-47.24,16.3058271792,-3.65878710366,10.3566210706
Baroudi 2001,-47.23,8.049844719,-2.91855168735,4.52
Bebarova 2008,-31.8,9.6,7.88469567522,6.196773354
Beckermann 2014,-37.3,4.4899888642,-6.14478329394,2.6532998322
Beyder 2014,-58.2,6.0,4.76319662326,7.8
Bezzina 2003,-35.2,29.4156420974,-0.495345869352,26.0215295476
Bezzina 2003,-39.9,17.2,-2.80599153391,15.2
Calloe 2011,-34.4,1.1313708498,5.82348743525,1.8
Calloe 2011,-31.4,2.5298221282,-3.60588767248,3.6
Calloe 2013,-32.7,1.0583005244,5.86350820754,1.0583005244
Casini 2007,-38.6,7.7459666924,-6.87538741392,15.143315357
Chang 2004,-58.4,9.6,-6.5415117029,5.4
Chen 2016,-45.7,5.2383203414,7.35746700771,9.0066641994
Cheng 2010,-32.2,6.4,-4.82472097708,7.4215901262
Cheng 2010,-31.1,6.8585712798,3.20117481675,6.2225396744
Cheng 2010,-34.9,7.2,5.51171661987,5.3065996646
Cheng 2010,-34.9,4.0249223594,4.61171661987,5.2915026222
Cheng 2011,-37.6,6.7882250994,4.04815421683,8.9955544576
Cheng 2011,-39.6,11.1803398874,7.50107095532,8.4664041954
Clatot 2012,-44.3,13.193938002,4.99042529077,3.7947331922
Cordeiro 2006,-49.3,2.091411007,-1.42728286301,1.0751744044
Crotti 2012a,-50.81,20.6804255276,0.517169274544,8.4111354762
Deschenes 2000,-53.6,8.94427191,-1.62851187527,5.3888774342
Ellinor 2008,-21.2,4.6475800154,2.33423696123,1.6492422502
Ge 2008,-35.5,10.0955435712,-0.602408358579,13.2574507354
Gosselin-Badaroudine 2012,-55.33,4.550692255,-2.67923889647,4.074457019
Groenewegen 2003a,-40.6,12.161167707,0.327529324564,13.245603044
Groenewegen 2003a,-38.63,17.5362481734,6.15390633715,12.7279220614
Groenewegen 2003b,-37.3,12.4450793488,1.85521670606,8.0959990118
Guetter 2013,-35.1,7.5046652158,-6.59299170628,9.8954535014
Guetter 2013,-33.5,7.2443081106,4.94467490293,7.408103671
Gui 2010a,-34.7,6.7141641326,-4.08357505397,6.8585712798
Gui 2010a,-34.2,5.6284989118,9.1281957614,5.5677643628
Gui 2010b,-33.8,4.6432747064,-3.86238758629,6.2353829072
Hayashi 2015,-43.8,13.6,6.20219610614,4.8
Holst 2009,-30.4,4.4899888642,-8.88234604172,9.3744333162
Hsueh 2009,-42.56,5.1228898094,0.691387728282,7.5894663844
Hu 2007,-50.81,2.0680425528,0.517169274544,0.8246211252
Hu 2015,-41.0,7.8,3.46811267226,13.9484766194
Hu 2015,-41.0,17.3066461222,3.46811267226,18.7082869338
Huang 2006,-59.9,5.0911688246,-5.87682414903,10.182337649
Huang 2009,-50.34,12.36,-7.881766159,8.04
Juang 2014a,-36.3,0.8,-7.52124166318,2.8
Kapplinger 2015,-35.7,5.0596442562,-1.10711668473,5.6920997884
Kapplinger 2015,-40.0,4.8,-4.70834569698,4.8
Kapplinger 2015,-40.7,3.3941125496,-5.42482483851,2.645751311
Kapplinger 2015,-37.1,6.9282032302,0.659925032211,1.4696938456
Kapplinger 2015,-37.1,10.0955435712,-0.0400749677891,5.0477717856
Kapplinger 2015,-33.4,9.2951600308,-1.85297093399,3.8729833462
Kapplinger 2015,-37.0,10.0955435712,-1.63772080471,5.0477717856
Kapplinger 2015,-35.2,6.6332495808,-1.79534586935,5.0596442562
Kapplinger 2015,-38.3,1.8,0.931675075304,6.7882250994
Kapplinger 2015,-35.4,11.2249721604,-4.8000541955,5.2383203414
Kapplinger 2015,-36.2,9.286549413,-3.61888750011,6.6332495808
Kapplinger 2015,-30.3,14.7173367156,-5.27999187865,5.7688820408
Kapplinger 2015,-34.9,10.0955435712,-4.28828338013,5.0477717856
Kapplinger 2015,-34.4,11.6189500386,-3.07651256475,2.9933259094
Kapplinger 2015,-37.0,10.0955435712,-1.63772080471,5.0477717856
Kapplinger 2015,-35.1,13.2664991614,-2.79299170628,3.3166247904
Kapplinger 2015,-30.3,14.7173367156,-5.27999187865,5.7688820408
Kapplinger 2015,-37.5,6.3686733312,-4.04949162009,3.1749015732
Kapplinger 2015,-39.4,6.7882250994,-4.69422071853,5.6568542494
Kapplinger 2015,-38.3,10.182337649,-1.0683249247,7.7459666924
Kapplinger 2015,-36.7,8.5205633616,-1.63065831549,4.3266615306
Kapplinger 2015,-37.1,10.0955435712,-0.0400749677891,5.0477717856
Kapplinger 2015,-34.4,11.6189500386,-3.07651256475,2.9933259094
Kapplinger 2015,-37.9,6.2225396744,0.741091727606,7.9195959492
Kapplinger 2015,-37.1,10.0955435712,-0.0400749677891,5.0477717856
Kapplinger 2015,-36.1,8.2219219164,1.18346666297,6.0
Kapplinger 2015,-35.7,10.0697567002,-1.20711668473,5.4221766846
Kato 2014,-54.4,17.819090886,12.7526548201,19.2468179188
Keller 2005,-41.0,13.8,6.36811267226,7.155417528
Keller 2006,-60.13,8.9808685548,-1.6722387241,3.6203867196
Li 2009,-56.59,8.4262447152,-5.63890135123,7.7403875872
Lin 2008,-54.64,3.9157119404,-2.25299517125,4.921463197
Liu 2003a,-50.41,8.7558894466,16.2565859268,9.6
Lupoglazoff 2001,-47.23,15.6920361968,-2.91855168735,7.2965745388
Makita 2002,-47.2,7.932212806,-1.47784543843,9.3744333162
Makita 2005,-48.1,7.8460180984,3.80096709389,7.4215901262
Makita 2008,-49.7,12.4450793488,5.16330048468,11.0
Makiyama 2008,-43.61,7.5774138068,7.93666901599,8.8179816284
Marangoni 2011,-44.0,16.0,-5.60251222001,14.4222051018
Medeiros-Domingo 2007,-43.78,5.7243340224,7.41266693876,7.0202564056
Medeiros-Domingo 2009,-38.6,6.9713700232,5.12461258608,10.4613574644
Mohler 2004,-41.8,5.2915026222,15.3492793677,2.3237900078
Mok 2003,-47.2,11.2,-1.57784543843,1.385640646
Moreau 2013,-47.9,8.6533230612,-1.79432457996,9.3744333162
Murphy 2012,-50.9,20.571825393,-8.86494947222,12.6491106406
Nakajima 2015,-38.7,6.196773354,-4.677741577,4.9477267508
Neu 2010,-50.9,11.7779454914,2.23505052778,8.4
Nguyen 2008,-47.8,3.1622776602,0.70802958312,5.0596442562
Olesen 2012,-27.9,12.1950809756,-14.9234919648,9.0
Otagiri 2008,-44.4,8.5158675424,-1.51192887231,9.7324200484
Pfahnl 2007,-50.0,3.098386677,-5.74376200454,17.0411267234
Rivolta 2001,-23.3,4.472135955,3.38479953665,6.2353829072
Rook 1999,-35.9,1.8973665962,1.08817498912,0.632455532
Rossenbacker 2004,-24.1,1.788854382,-3.93403376796,2.8
Ruan 2007,-23.2,3.8460369212,3.58715369972,4.3006976178
Ruan 2010,-23.08,3.54,-1.72002130459,6.0275368104
Saber 2015,-24.0,9.7979589712,0.868320395116,9.7979589712
Samani 2009,-36.0,10.053854982,-11.314179174,10.8
Shirai 2002,-49.9,4.76235236,-2.74140784147,12.7373466624
Shuraih 2007,-43.4,1.5874507866,-4.88838724155,0.5291502622
Shy 2014,-29.6,7.3539105244,-4.56351273712,13.9140217048
Smits 2005a,-42.6,8.4,-4.36955393695,7.2
Smits 2005b,-43.7,18.0,-12.6954497308,15.143315357
Sottas 2013,-29.8,3.9799497484,0.331778936731,3.3166247904
Surber 2008,-31.5,14.5492267836,6.59175816445,7.408103671
Surber 2008,-42.2,6.7349832962,5.23986271535,6.8585712798
Swan 2014,-28.0,6.7882250994,-5.02584612791,9.7979589712
Tan 2001,-48.6,6.3498031466,-1.11080372148,8.9955544576
Tan 2002,-40.3,5.7688820408,-10.7154081862,8.6533230612
Tan 2005,-39.0,9.7979589712,6.51519593377,11.313708499
Tan 2005,-38.0,9.7979589712,5.53873756453,12.0
Tan 2005,-42.0,5.8137767414,3.44457104151,8.4
Tan 2005,-41.0,6.7882250994,4.46811267226,10.6131993292
Tan 2005,-42.0,5.0911688246,5.44457104151,8.4
Tan 2005,-40.0,19.1060199938,4.49165430302,15.6524758424
Tan 2005,-40.0,2.7712812922,1.49165430302,9.3530743608
Tan 2005,-39.0,8.0,6.51519593377,11.313708499
Tan 2005,-39.0,8.0,3.51519593377,5.6568542494
Tan 2005,-42.0,7.9195959492,2.44457104151,9.6994845224
Tan 2005,-40.0,16.9705627484,3.49165430302,16.9705627484
Tan 2005,-43.0,4.0,3.42102941075,12.4
Tan 2005,-42.0,6.7882250994,2.44457104151,7.2
Tan 2005,-40.0,11.313708499,2.49165430302,9.6
Tan 2005,-41.0,3.6,3.46811267226,2.4
Tan 2006,-46.9,6.7882250994,7.4292170508,7.3539105244
Tan 2006,-44.1,10.1192885126,6.49513361692,9.4868329806
Tarradas 2013,-32.0,2.5455844122,-10.2200126509,5.6920997884
Tester 2010,-42.0,8.0,12.4445710415,4.472135955
Tsurugi 2009,-39.6,6.7882250994,-5.89892904468,5.0911688246
Valdivia 2004,-42.0,15.4919333848,0.144571041506,8.94427191
Vatta 2002b,-24.9,2.2627416998,-0.652867072564,0.663324958
Viswanathan 2003,-40.7,9.286549413,-1.82482483851,7.9598994968
Wang 1996,-43.2,13.7010948468,-13.9836789154,5.837259631
Wang 2002,-47.7,8.0,-10.6896162538,12.204917042
Wang 2007a,-44.3,4.4899888642,-2.60957470923,8.8
Wang 2008,-44.3,4.4899888642,-2.60957470923,8.8
Wang 2015,-40.91,1.26,10.680231419,4.9740124648
Wang 2016,-44.5,9.6,-6.61428303538,8.1633326528
Watanabe 2011b,-35.4,6.0,-6.5000541955,9.7979589712
Watanabe 2011b,-47.7,8.8,0.610383746196,6.102458521
Wedekind 2001,-42.8,15.3453576042,-12.8742622631,10.053854982
Wehrens 2003,-29.8,2.2627416998,8.53177893673,4.5254833996
Winkel 2012,-26.0,20.615528128,-15.7787628664,14.4
Yang 2002,-54.3,18.5202591774,-1.84499101679,1.5874507866
Ye 2003,-44.0,31.6227766016,-8.60251222001,28.8
Ye 2003,-40.0,37.040518355,-3.50834569698,30.6907152084
Yokoi 2005,-49.8,7.3539105244,3.46094632161,6.0
Young 2005,-32.7,11.627553483,9.36350820754,17.88854382
Zeng 2013,-34.5,8.4852813742,-3.97886672782,9.3744333162
Zhang 2008,-33.1,4.472135955,11.2540915552,1.9595917942
