pub,va,+-,vi,+-,dv
Abe 2014,-50.5,11.6189500386,-84.1,10.0697567002,33.599999999999994
Abriel 2001,-21.5,1.4696938456,-65.2,1.4422205102,43.7
Abriel 2001,-23.3,4.1569219382,-63.3,1.788854382,40.0
Abriel 2001,-24.6,3.1176914536,-63.7,1.3416407864,39.1
Abriel 2001,-25.5,3.1176914536,-64.3,1.3416407864,38.8
Abriel 2001,-26.0,3.8105117766,-64.5,1.3416407864,38.5
Aiba 2014,-43.3,9.5247047198,-80.1,9.6,36.8
Akai 2000,-44.1,1.8,-80.8,12.6,36.699999999999996
Albert 2008,-28.5,3.0,-60.8,1.9183326094,32.3
Amin 2005,-36.7,13.9140217048,-83.3,11.3841995766,46.599999999999994
Bankston 2007a,-24.9,3.809881888,-61.3,7.3343029662,36.4
Bankston 2007b,-24.8,9.3744333162,-71.2,5.4,46.400000000000006
Baroudi 2000b,-47.24,16.3058271792,-93.22,10.3566210706,45.98
Baroudi 2001,-47.23,8.049844719,-92.47,4.52,45.24
Bebarova 2008,-31.8,9.6,-66.6,6.196773354,34.8
Beckermann 2014,-37.3,4.4899888642,-86.0,2.6532998322,48.7
Beyder 2014,-58.2,6.0,-95.5,7.8,37.3
Bezzina 2003,-35.2,29.4156420974,-78.3,26.0215295476,43.099999999999994
Bezzina 2003,-39.9,17.2,-85.2,15.2,45.300000000000004
Calloe 2011,-34.4,1.1313708498,-71.2,1.8,36.800000000000004
Calloe 2011,-31.4,2.5298221282,-77.7,3.6,46.300000000000004
Calloe 2013,-32.7,1.0583005244,-69.5,1.0583005244,36.8
Casini 2007,-38.6,7.7459666924,-88.0,15.143315357,49.4
Chang 2004,-58.4,9.6,-107.0,5.4,48.6
Chen 2016,-45.7,5.2383203414,-80.7,9.0066641994,35.0
Cheng 2010,-32.2,6.4,-79.7,7.4215901262,47.5
Cheng 2010,-31.1,6.8585712798,-70.6,6.2225396744,39.49999999999999
Cheng 2010,-34.9,7.2,-72.0,5.3065996646,37.1
Cheng 2010,-34.9,4.0249223594,-72.9,5.2915026222,38.00000000000001
Cheng 2011,-37.6,6.7882250994,-76.1,8.9955544576,38.49999999999999
Cheng 2011,-39.6,11.1803398874,-74.6,8.4664041954,34.99999999999999
Clatot 2012,-44.3,13.193938002,-81.7,3.7947331922,37.400000000000006
Cordeiro 2006,-49.3,2.091411007,-93.0,1.0751744044,43.7
Crotti 2012a,-50.81,20.6804255276,-92.53,8.4111354762,41.72
Deschenes 2000,-53.6,8.94427191,-97.4,5.3888774342,43.800000000000004
Ellinor 2008,-21.2,4.6475800154,-61.8,1.6492422502,40.599999999999994
Ge 2008,-35.5,10.0955435712,-78.7,13.2574507354,43.2
Gosselin-Badaroudine 2012,-55.33,4.550692255,-100.14,4.074457019,44.81
Groenewegen 2003a,-40.6,12.161167707,-82.75,13.245603044,42.15
Groenewegen 2003a,-38.63,17.5362481734,-75.0,12.7279220614,36.37
Groenewegen 2003b,-37.3,12.4450793488,-78.0,8.0959990118,40.7
Guetter 2013,-35.1,7.5046652158,-84.3,9.8954535014,49.199999999999996
Guetter 2013,-33.5,7.2443081106,-71.2,7.408103671,37.7
Gui 2010a,-34.7,6.7141641326,-81.4,6.8585712798,46.7
Gui 2010a,-34.2,5.6284989118,-67.7,5.5677643628,33.5
Gui 2010b,-33.8,4.6432747064,-80.3,6.2353829072,46.5
Hayashi 2015,-43.8,13.6,-80.0,4.8,36.2
Holst 2009,-30.4,4.4899888642,-82.0,9.3744333162,51.6
Hsueh 2009,-42.56,5.1228898094,-84.3,7.5894663844,41.739999999999995
Hu 2007,-50.81,2.0680425528,-92.53,0.8246211252,41.72
Hu 2015,-41.0,7.8,-80.0,13.9484766194,39.0
Hu 2015,-41.0,17.3066461222,-80.0,18.7082869338,39.0
Huang 2006,-59.9,5.0911688246,-107.8,10.182337649,47.9
Huang 2009,-50.34,12.36,-100.47,8.04,50.129999999999995
Juang 2014a,-36.3,0.8,-86.4,2.8,50.10000000000001
Kapplinger 2015,-35.7,5.0596442562,-79.4,5.6920997884,43.7
Kapplinger 2015,-40.0,4.8,-87.2,4.8,47.2
Kapplinger 2015,-40.7,3.3941125496,-88.6,2.645751311,47.89999999999999
Kapplinger 2015,-37.1,6.9282032302,-79.0,1.4696938456,41.9
Kapplinger 2015,-37.1,10.0955435712,-79.7,5.0477717856,42.6
Kapplinger 2015,-33.4,9.2951600308,-77.9,3.8729833462,44.50000000000001
Kapplinger 2015,-37.0,10.0955435712,-81.2,5.0477717856,44.2
Kapplinger 2015,-35.2,6.6332495808,-79.6,5.0596442562,44.39999999999999
Kapplinger 2015,-38.3,1.8,-79.9,6.7882250994,41.60000000000001
Kapplinger 2015,-35.4,11.2249721604,-82.8,5.2383203414,47.4
Kapplinger 2015,-36.2,9.286549413,-82.4,6.6332495808,46.2
Kapplinger 2015,-30.3,14.7173367156,-78.3,5.7688820408,48.0
Kapplinger 2015,-34.9,10.0955435712,-81.8,5.0477717856,46.9
Kapplinger 2015,-34.4,11.6189500386,-80.1,2.9933259094,45.699999999999996
Kapplinger 2015,-37.0,10.0955435712,-81.2,5.0477717856,44.2
Kapplinger 2015,-35.1,13.2664991614,-80.5,3.3166247904,45.4
Kapplinger 2015,-30.3,14.7173367156,-78.3,5.7688820408,48.0
Kapplinger 2015,-37.5,6.3686733312,-84.1,3.1749015732,46.599999999999994
Kapplinger 2015,-39.4,6.7882250994,-86.6,5.6568542494,47.199999999999996
Kapplinger 2015,-38.3,10.182337649,-81.9,7.7459666924,43.60000000000001
Kapplinger 2015,-36.7,8.5205633616,-80.9,4.3266615306,44.2
Kapplinger 2015,-37.1,10.0955435712,-79.7,5.0477717856,42.6
Kapplinger 2015,-34.4,11.6189500386,-80.1,2.9933259094,45.699999999999996
Kapplinger 2015,-37.9,6.2225396744,-79.7,7.9195959492,41.800000000000004
Kapplinger 2015,-37.1,10.0955435712,-79.7,5.0477717856,42.6
Kapplinger 2015,-36.1,8.2219219164,-77.5,6.0,41.4
Kapplinger 2015,-35.7,10.0697567002,-79.5,5.4221766846,43.8
Kato 2014,-54.4,17.819090886,-83.8,19.2468179188,29.4
Keller 2005,-41.0,13.8,-77.1,7.155417528,36.099999999999994
Keller 2006,-60.13,8.9808685548,-103.82,3.6203867196,43.68999999999999
