1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
7.95175778437e-47,4.41697321633e-62,6.45370208744e-31,1.45140600888e-21,1.45140600953e-21,2.05782046394e-31,-140.0
1.09645194018e-46,6.81587164388e-62,7.99402701211e-31,1.67706535902e-21,1.67706535982e-21,2.56048014023e-31,-139.8399984
1.51110875551e-46,1.05104097318e-61,9.89849495992e-31,1.93734185254e-21,1.93734185353e-21,3.18479633225e-31,-139.6799968
2.08152440584e-46,1.61964373725e-61,1.22523551935e-30,2.23747264099e-21,2.23747264221e-21,3.95993666563e-31,-139.5199952
2.86580711542e-46,2.49414071198e-61,1.51606160047e-30,2.58347585643e-21,2.58347585795e-21,4.92199466143e-31,-139.3599936
3.94359284328e-46,3.8381682875e-61,1.87525777421e-30,2.98226534268e-21,2.98226534455e-21,6.11561812987e-31,-139.199992
5.42396460526e-46,5.90240057443e-61,2.31873949064e-30,3.44178198061e-21,3.44178198293e-21,7.59601656953e-31,-139.0399904
7.45626419356e-46,9.07057781628e-61,2.8660898418e-30,3.97114396883e-21,3.97114397169e-21,9.43143487323e-31,-138.8799888
1.02448450093e-45,1.3929734305e-60,3.54139604917e-30,4.58081875143e-21,4.58081875497e-21,1.17062005382e-30,-138.7199872
1.40691921528e-45,2.13772737199e-60,4.37427471506e-30,5.28281966029e-21,5.28281966467e-21,1.45244759591e-30,-138.5599856
1.93113481571e-45,3.278411084e-60,5.40112797273e-30,6.09093076658e-21,6.09093077198e-21,1.80148772481e-30,-138.399984
2.64932775958e-45,5.02430628751e-60,6.66668197016e-30,7.02096392196e-21,7.02096392862e-21,2.23361575957e-30,-138.2399824
3.63277458266e-45,7.69467727874e-60,8.22587045204e-30,8.09105252192e-21,8.09105253015e-21,2.76841979514e-30,-138.0799808
4.97875636243e-45,1.17762310812e-59,1.01461400004e-29,9.32198715103e-21,9.32198716117e-21,3.4300602569e-30,-137.9199792
6.81997782253e-45,1.80104197384e-59,1.25102702886e-29,1.0737598982e-20,1.07375989945e-20,4.24832639549e-30,-137.7599776
9.33737313661e-45,2.752599049e-59,1.54198231366e-29,1.23651976101e-20,1.23651976255e-20,5.25993436593e-30,-137.599976
1.27775070721e-44,4.20400944109e-59,1.89993590138e-29,1.4236070922e-20,1.4236070941e-20,6.51012154473e-30,-137.4399744
1.74762081855e-44,6.41632000759e-59,2.34015898531e-29,1.63860556416e-20,1.6386055665e-20,8.05460396839e-30,-137.2799728
2.38906492954e-44,9.78610688713e-59,2.88136737768e-29,1.88561883772e-20,1.8856188406e-20,9.96197871102e-30,-137.1199712
3.26428718774e-44,1.49154204467e-58,3.54649019565e-29,2.16934483371e-20,2.16934483726e-20,1.23166712512e-29,-136.9599696
4.45788059485e-44,2.27176106053e-58,4.36360820367e-29,2.49516044004e-20,2.4951604444e-20,1.52225501269e-29,-136.799968
6.08482604133e-44,3.45773262962e-58,5.36709883451e-29,2.86921809568e-20,2.86921810105e-20,1.88073583171e-29,-136.6399664
8.30132784232e-44,5.25922524397e-58,6.59903289745e-29,3.29855588837e-20,3.29855589497e-20,2.32281438848e-29,-136.4799648
1.13194839628e-43,7.99380850564e-58,8.11087766873e-29,3.79122302419e-20,3.7912230323e-20,2.8677912752e-29,-136.3199632
1.54271376727e-43,1.21419185551e-57,9.96557280722e-29,4.35642277847e-20,4.35642278843e-20,3.53937756343e-29,-136.1599616
2.10147266745e-43,1.84298795314e-57,1.22400597778e-28,5.00467532128e-20,5.00467533352e-20,4.36669210242e-29,-135.99996
2.86115772968e-43,2.79549862781e-57,1.50283627201e-28,5.7480031329e-20,5.74800314793e-20,5.38548190058e-29,-135.8399584
3.89349407849e-43,4.23738257548e-57,1.84453396005e-28,6.60014208842e-20,6.60014210686e-20,6.6396149393e-29,-135.6799568
5.2956210609e-43,6.41856103544e-57,2.26312477919e-28,7.57678170304e-20,7.57678172567e-20,8.18290556111e-29,-135.5199552
7.19902939302e-43,9.71581597407e-57,2.77572988545e-28,8.69583849568e-20,8.69583852344e-20,1.00813456995e-28,-135.3599536
9.78161706064e-43,1.46967900868e-56,3.403241435e-28,9.97776695563e-20,9.97776698966e-20,1.24158311739e-28,-135.199952
1.32839438273e-42,2.22160737333e-56,4.17114393387e-28,1.14459131931e-19,1.14459132348e-19,1.52854916643e-28,-135.0399504
1.80311351308e-42,3.35593647197e-56,5.11051243951e-28,1.31269170284e-19,1.31269170795e-19,1.88117565323e-28,-134.879948799
2.44623834593e-42,5.06596004133e-56,6.25922524575e-28,1.50511690352e-19,1.50511690978e-19,2.31433172602e-28,-134.719947199
3.31706616996e-42,7.64207674502e-56,7.66343659326e-28,1.72533299145e-19,1.72533299912e-19,2.84621819936e-28,-134.559945599
4.4956155458e-42,1.15202694121e-55,9.37936450006e-28,1.97729205461e-19,1.97729206399e-19,3.49910598008e-28,-134.399943999
6.08981160514e-42,1.73546349326e-55,1.14754603375e-27,2.26549921612e-19,2.26549922759e-19,4.3002363352e-28,-134.239942399
8.24514342216e-42,2.61258202919e-55,1.40350406911e-27,2.59508873183e-19,2.59508874587e-19,5.2829180672e-28,-134.079940799
1.11576371876e-41,3.93030264821e-55,1.71594788287e-27,2.97191037619e-19,2.97191039335e-19,6.48786416926e-28,-133.919939199
1.50912745496e-41,5.90858732846e-55,2.0972073333e-27,3.40262748161e-19,3.40262750258e-19,7.96481962924e-28,-133.759937599
2.04013670146e-41,8.87652395626e-55,2.56227358476e-27,3.89482817479e-19,3.89482820042e-19,9.77454306627e-28,-133.599935999
2.75659066584e-41,1.33261226546e-54,3.12936692664e-27,4.45715155336e-19,4.45715158466e-19,1.19912182186e-27,-133.439934399
3.72275930322e-41,1.99924624476e-54,3.82062430902e-27,5.09943077237e-19,5.09943081057e-19,1.47053874386e-27,-133.279932799
5.025014252e-41,2.99730113148e-54,4.66293152759e-27,5.83285526463e-19,5.83285531126e-19,1.80275188699e-27,-133.119931199
6.77936944983e-41,4.49051418192e-54,5.68893011788e-27,6.67015460565e-19,6.67015466254e-19,2.20923425865e-27,-132.959929599
9.14157380532e-41,6.72300405148e-54,6.93823518645e-27,7.62580685685e-19,7.62580692623e-19,2.70641195021e-27,-132.799927999
1.2320612589e-40,1.00584782143e-53,8.45890782394e-27,8.71627458443e-19,8.71627466902e-19,3.3143041331e-27,-132.639926399
1.65967593746e-40,1.5038440167e-53,1.03092346602e-26,9.96027216065e-19,9.96027226375e-19,4.05730015179e-27,-132.479924799
2.23456996495e-40,2.24685429932e-53,1.25598778343e-26,1.13790684147e-18,1.13790685403e-18,4.96510273192e-27,-132.319923199
3.00707514183e-40,3.35466096647e-53,1.52964715202e-26,1.2996829219e-18,1.29968293719e-18,6.07387238899e-27,-132.159921599
4.04458780313e-40,5.00522915938e-53,1.86227565972e-26,1.48410051786e-18,1.48410053648e-18,7.42761544168e-27,-131.999919999
5.43730780544e-40,7.46278452947e-53,2.2664363598e-26,1.69427702489e-18,1.69427704756e-18,9.07986686044e-27,-131.839918399
