1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
2.3727946366428773e-05,6.723981457312786e-14,4.193392845843852e-08,3.9233023015729156e-46,2.3769880362127025e-05,2.5976444404137466e-05,-140.0
2.4720715800811992e-05,8.126580339936886e-14,4.60606240757119e-08,6.35647276231547e-46,2.476677650615351e-05,2.718421901700645e-05,-139.839998399984
2.5751254127360297e-05,9.815010425083443e-14,5.057558829820016e-08,1.0286728930668395e-45,2.5801829813808602e-05,2.8443973947089673e-05,-139.679996799968
2.6820827982263563e-05,1.1846097512185858e-13,5.551354043158095e-08,1.6627811371092854e-45,2.687634164115612e-05,2.9757739694899255e-05,-139.519995199952
2.7930739217919368e-05,1.4287671198535897e-13,6.09121270942539e-08,2.6846617216572945e-45,2.7991651487890335e-05,3.1127616371643716e-05,-139.359993599936
2.9082325587968486e-05,1.7220636407944928e-13,6.6812152353208e-08,4.329529868617411e-45,2.914913791252806e-05,3.255577565314275e-05,-139.19999199992
3.027696143392883e-05,2.074142322228671e-13,7.325782444919275e-08,6.974106862107953e-45,3.0350219465792255e-05,3.404446277012308e-05,-139.03999039990399
3.151605837287386e-05,2.4964881858738967e-13,8.02970201773633e-08,1.1221040845624564e-44,3.159635564270004e-05,3.559599853477052e-05,-138.879988799888
3.2801065985587714e-05,3.0027701026506133e-13,8.798156804743939e-08,1.803326550482381e-44,3.288904785391216e-05,3.721278140338415e-05,-138.719987199872
3.413347250459571e-05,3.609244115256466e-13,9.636755140745666e-08,2.894758238158264e-44,3.422984041692758e-05,3.889728957491934e-05,-138.559985599856
3.5514805501450804e-05,4.3352289378436506e-13,1.0551563277761652e-07,4.64137766765245e-44,3.562032156775132e-05,4.0652083125167594e-05,-138.39998399984
3.694663257263231e-05,5.203666113432482e-13,1.1549140070545374e-07,7.433240869152346e-44,3.706212449370438e-05,4.2479806176274735e-05,-138.239982399824
3.843056202338073e-05,6.241779387766867e-13,1.2636574052050595e-07,1.1890666317345426e-43,3.8556928388079177e-05,4.438318910123417e-05,-138.079980799808
3.99682435487798e-05,7.481850268135695e-13,1.3821523043610742e-07,1.899900537970147e-43,4.010645952740093e-05,4.636505076296011e-05,-137.919979199792
4.1561368911359086e-05,8.962129527709751e-13,1.5112256451748846e-07,3.0321607914035946e-43,4.171249237208953e-05,4.8428300787469386e-05,-137.759977599776
4.321167261447292e-05,1.0727907647958652e-12,1.651770041093506e-07,4.833595210181973e-43,4.337685069137303e-05,5.057594187065892e-05,-137.59997599976
4.49209325706865e-05,1.2832770929715028e-12,1.804748593923186e-07,7.696353651687515e-43,4.510140871335592e-05,5.28110721181062e-05,-137.439974399744
4.669097076436581e-05,1.53400743227884e-12,1.9712000281598807e-07,1.2240423432271289e-42,4.6888092301189236e-05,5.51368874172464e-05,-137.279972799728
4.852365390765526e-05,1.832466701069127e-12,2.152244162370252e-07,1.9444848136463487e-42,4.873888015635899e-05,5.7556683841239605e-05,-137.11997119971198
5.042089408898698e-05,2.1874912538884205e-12,2.3490877367330085e-07,3.0853849572605923e-42,5.065580505015154e-05,6.007386008375285e-05,-136.959969599696
5.238464941325509e-05,2.6095051903513767e-12,2.5630306166991383e-07,4.890022393690892e-42,5.2640955084430194e-05,6.269191992384005e-05,-136.79996799968
5.441692463274754e-05,3.110796564953123e-12,2.795472393594585e-07,7.741213158897219e-42,5.469647498290357e-05,6.541447472001306e-05,-136.639966399664
5.6519771767912746e-05,3.705839980635076e-12,3.0479194038742706e-07,1.224063343316473e-41,5.682456741414016e-05,6.824524593253994e-05,-136.479964799648
5.869529071701359e-05,4.411673057909435e-12,3.3219921896382295e-07,1.9332830653135933e-41,5.902749434765048e-05,7.118806767293689e-05,-136.31996319963199
6.094562985368222e-05,5.24833542989944e-12,3.61943342393606e-07,3.049886580662743e-41,6.130757844441125e-05,7.424688927952996e-05,-136.159961599616
6.327298661138633e-05,6.239380242735475e-12,3.942116325319019e-07,4.805832382874863e-41,6.366720448329847e-05,7.742577791791202e-05,-135.9999599996
6.5679608053769e-05,7.412469664037755e-12,4.292053587039411e-07,7.563977667117257e-41,6.61088208249426e-05,8.072892120501725e-05,-135.839958399584
6.816779142981501e-05,8.800067646501496e-12,4.671406847251409e-07,1.1891278328866715e-40,6.863494091460779e-05,8.416062985547411e-05,-135.679956799568
7.073988471277274e-05,1.0440245189082443e-11,5.082496727528224e-07,1.8672546039062604e-40,7.124814482577075e-05,8.77253403488144e-05,-135.519955199552
7.339828712171923e-05,1.2377615618996867e-11,5.527813467973604e-07,2.928702254159115e-40,7.395108084613221e-05,9.142761761601816e-05,-135.359953599536
7.614544962465971e-05,1.4664420022078307e-11,6.010028188178066e-07,4.588213221947134e-40,7.674646710789754e-05,9.527215774381744e-05,-135.19995199951998
7.898387542200038e-05,1.736178592003724e-11,6.53200480423293e-07,7.179738897812582e-40,7.963709326420958e-05,9.9263790695061e-05,-135.039950399504
8.191612040923756e-05,2.0541185679362335e-11,7.096812632984437e-07,1.1222003438736954e-39,8.262582221372168e-05,0.00010340748304339098,-134.879948799488
8.494479361766198e-05,2.4286124992268837e-11,7.707739715662208e-07,1.7519787417251404e-39,8.571559187535319e-05,0.00010770834072036054,-134.719947199472
8.807255763186758e-05,2.8694096156231427e-11,8.368306893964153e-07,2.732020507470453e-39,8.890941701536015e-05,0.00011217161177304843,-134.559945599456
9.130212898283681e-05,3.387883586342221e-11,9.082282672611859e-07,4.255354697953806e-39,9.221039112893386e-05,0.00011680268913014161,-134.39994399943998
9.463627851533535e-05,3.9972932871045255e-11,9.853698903296097e-07,6.620400528830439e-39,9.562168837859783e-05,0.00012160711337432751,-134.239942399424
9.807783172835607e-05,4.7130837343417565e-11,1.0686867325826322e-06,1.0287964372746768e-38,9.914656559177605e-05,0.0001265905755187966,-134.079940799408
0.00010162966908730868,5.553233093156587e-11,1.15863970031473e-06,1.5968764883250033e-38,0.00010278836431995434,0.00013175891978550386,-133.919939199392
0.0001052947263066482,6.538652489214031e-11,1.2557212687714193e-06,2.4757676827027615e-38,0.00010655051296194452,0.00013711814638277681,-133.759937599376
0.00010907599460162042,7.693646286232564e-11,1.36045741574996e-06,3.833938487219167e-38,0.00011043652895383323,0.00014267441427975544,-133.59993599935999
0.00011297652090776794,9.046441543207822e-11,1.4734096560637206e-06,5.930305679060228e-38,0.00011445002102824709,0.00014843404397501967,-133.439934399344
0.0001169994080668549,1.0629796553502543e-10,1.5951771808398438e-06,9.162325299135526e-38,0.00011859469154566028,0.00015440352025671125,-133.27993279932798
0.0001211478149778197,1.2481699707553793e-10,1.7263991056812946e-06,1.4139401346540899e-37,0.00012287433890049805,0.00016058949495129294,-133.119931199312
0.00012542495671138984,1.4646171430074167e-10,1.8677568317812906e-06,2.179480688819466e-37,0.00012729286000488543,0.00016699878965805118,-132.959929599296
0.00012983410458694658,1.7174183640935645e-10,2.0199765241254427e-06,3.355611828449527e-37,0.00013185425285290844,0.0001736383984662844,-132.79992799928
0.00013437858621023844,2.0124713098265468e-10,2.1838317109579343e-06,5.160444313491153e-37,0.00013656261916832738,0.00018051549065205578,-132.639926399264
0.00013906178547053486,2.356594712664715e-10,2.3601460087195482e-06,7.92682304495116e-37,0.00014142216713872567,0.0001876374133512846,-132.47992479924798
0.0001438871424957792,2.7576662639171843e-10,2.5497959766858933e-06,1.2162081761716583e-36,0.00014643721423909147,0.00019501169420580632,-132.319923199232
0.00014885815356433473,3.224780205857027e-10,2.753714105546804e-06,1.8638603178192284e-36,0.00015161219014790211,0.00020264604397898843,-132.159921599216
0.00015397837097186603,3.768427276166464e-10,2.972891944165448e-06,2.8530901450637176e-36,0.0001569516397587591,0.00021054835913732726,-131.9999199992
0.0001592514028519322,4.400700004804318e-10,3.2083833687439476e-06,4.362287786293975e-36,0.0001624602262906766,0.00021872672439437842,-131.839918399184
0.00016468091294885595,5.135526740652446e-10,3.461307998595538e-06,6.662079651631104e-36,0.00016814273450012555,0.00022718941521327995,-131.67991679916798
0.00017027062034141128,5.988938206356381e-10,3.7328547626812397e-06,1.0162534113314899e-35,0.00017400407399791314,0.0002359449002639736,-131.519915199152
0.0001760242991159209,6.97937084922448e-10,4.024285621014753e-06,1.548427586801424e-35,0.00018004928267402058,0.0002450018438311976,-131.35991359913598
0.00018194577798729596,8.128011778858141e-10,4.336939444963791e-06,2.3565489853914264e-35,0.00018628353023343765,0.00025436910816914617,-131.19991199912
0.00018803893986662535,9.459190663822677e-10,4.6722360603882535e-06,3.5822734277101913e-35,0.00019271212184607999,0.00026405575579866976,-131.039910399104
0.0001943077213738675,1.1000824606005102e-09,5.03168045744432e-06,5.439233204893598e-35,0.0001993405019137724,0.0002740710517427128,-130.87990879908799
0.0002007561122942383,1.2784922728780988e-09,5.416867170755997e-06,8.24922815300066e-35,0.00020617425795726717,0.0002844244656956322,-130.719907199072
0.0002073881549769162,1.4848158010653474e-09,5.8294848335065725e-06,1.2496420745682714e-34,0.00021321912462622384,0.00029512567412195935,-130.55990559905598
0.0002142079436746378,1.7232514777119245e-09,6.271320908828203e-06,1.8908394342257978e-34,0.00022048098783494373,0.0003061845622799947,-130.39990399904
0.0002212196238228575,1.998602123830626e-09,6.744266601677332e-06,2.8577244536217153e-34,0.00022796588902665866,0.0003176112261656404,-130.239902399024
0.0002284273912570815,2.316357753706233e-09,7.250321954160263e-06,4.314025810600007e-34,0.00023568002956899547,0.00032941597437167406,-130.079900799008
0.00023583549136705395,2.6827890961104794e-09,7.791601127032058e-06,6.504917834223358e-34,0.00024362977528318212,0.00034160932985765247,-129.919899198992
0.00024344821818649988,3.1050531283587064e-09,8.370337869820883e-06,9.797100865741913e-34,0.00025182166110944914,0.0003542020316255412,-129.75989759897598
0.00025126991341710127,3.591312063975621e-09,8.988891181729025e-06,1.4738389561504798e-33,0.0002602623959108943,0.00036720503629601004,-129.59989599896
0.00025930496538548403,4.150867393486883e-09,9.649751165139293e-06,2.2146197656875097e-33,0.00026895886741801683,0.00038062951958037623,-129.43989439894398
0.0002675578079319472,4.7943107522333624e-09,1.0355545073193388e-05,3.32387742568795e-33,0.00027791814731589277,0.0003944868776429471,-129.279892798928
0.00027603291922976533,5.53369358044045e-09,1.1109043552527295e-05,4.982961323181347e-33,0.0002871474964758731,0.0004087887283486032,-129.119891198912
0.00028473482053387243,6.382717750432845e-09,1.1913167081823518e-05,7.461509918335271e-33,0.0002966543703334464,0.00042354691239023716,-128.95988959889598
0.00029366807485780205,7.3569495653511964e-09,1.2770992606391922e-05,1.1159959358019284e-32,0.00030644642441375933,0.00043877349429069675,-128.79988799888
0.00030283728557780855,8.474059784543552e-09,1.3685760368505378e-05,1.6672287603654577e-32,0.0003165315200060985,0.0004544807632738016,-128.63988639886398
0.0003122470949630836,9.75409260459715e-09,1.4660880932691364e-05,2.4878515468956067e-32,0.00032691772998837956,0.00047068123399886757,-128.479884798848
0.0003219021826311016,1.121976682348637e-08,1.5699942404632857e-05,3.7080912975117114e-32,0.00033761334480255793,0.0004873876471532575,-128.31988319883197
0.00033180726392708737,1.2896812740296115e-08,1.680671784173115e-05,5.520431978923339e-32,0.00034862687858155884,0.0005046129698972529,-128.15988159881599
0.00034196708822674594,1.4814348696361166e-08,1.7985172852764726e-05,8.209040449268155e-32,0.000359967075428207,0.0005223703961556746,-127.99987999879998
0.00035238643716133897,1.700530154733816e-08,1.923947338340235e-05,1.2192939426597115e-31,0.00037164291584628866,0.0005406733467504699,-127.83987839878398
0.0003630701227643429,1.950687577177039e-08,2.057399368363489e-05,1.8089273494283606e-31,0.00038366362332374957,0.000559535469368592,-127.67987679876799
0.00037402298553892624,2.236107637216449e-08,2.199332445244231e-05,2.680590793778522e-31,0.00039603867106774074,0.0005789706383593717,-127.51987519875199
0.0003852498924455395,2.5615291211630598e-08,2.3502281154234842e-05,3.967679709325454e-31,0.00040877778889098594,0.0005989929543555835,-127.35987359873599
0.0003967557348090179,2.93229389549571e-08,2.5105912500790357e-05,5.865963810811454e-31,0.0004218909702487632,0.0006196167437124254,-127.19987199871998
0.00040854542614460914,3.354418934978835e-08,2.6809509091551718e-05,8.662412089724302e-31,0.00043538847942551067,0.0006408565577585623,-127.03987039870398
0.0004206238999024441,3.834676319365348e-08,2.861861220425326e-05,1.2777179297648093e-30,0.000449280858869891,0.0006627271718534131,-126.879868798688
0.00043299610713002295,4.3806819988207063e-08,3.053902272691447e-05,1.8824689697382803e-30,0.00046357893667692566,0.0006852435842448778,-126.71986719867199
0.00044566701405234594,5.000994198543967e-08,3.257681022126484e-05,2.7702397147277134e-30,0.0004782938342155962,0.0007084210147216294,-126.55986559865599
0.0004586415995694367,5.7052224084105493e-08,3.473832210666243e-05,4.0719605720901416e-30,0.0004934369739001832,0.0007322749030542437,-126.39986399863999
0.00047192485267103895,6.504147984029987e-08,3.703019295251977e-05,5.9784205939300996e-30,0.000509020087103399,0.0007568209072193272,-126.23986239862398
0.00048552176976836834,7.409857471623753e-08,3.9459353866175216e-05,8.767303772840721e-30,0.0005250552222092597,0.0007820749014009201,-126.07986079860798
0.0004994373519428843,8.435889860778452e-08,4.203304196203667e-05,1.2842285825488148e-29,0.0005415547528035287,0.0008080529737634683,-125.91985919859198
0.0005136766021121254,9.597399066614451e-08,4.4758809896675956e-05,1.8789503176499884e-29,0.0005585313859994674,0.000834771423990684,-125.75985759857599
0.0005282445221127498,1.091133304640401e-07,4.76445354533831e-05,2.7459014733764217e-29,0.000575998170896597,0.0008622467605847115,-125.59985599855999
0.0005431461097009871,1.2396631065325293e-07,5.0698431158474586e-05,4.0082176069419563e-29,0.0005939685071701149,0.0008904956979200166,-125.43985439854399
0.0005583863554708416,1.4074440741996823e-07,5.392905391043184e-05,5.844055353295401e-29,0.0006124561537886934,0.0009195351530465748,-125.27985279852798
0.0005739702396904395,1.596835662678322e-07,5.7345314601676694e-05,8.51087159347987e-29,0.0006314752378583841,0.0009493822422369226,-125.11985119851198
0.0005899027290570351,1.8104682194690518e-07,6.095648771151946e-05,1.2380279332963378e-28,0.0006510402635905015,0.000980054277271811,-124.95984959849598
0.0006061887733712769,2.051271726999826e-07,6.477222084751478e-05,1.7988027264820482e-28,0.0006711661213914916,0.0010115687614592227,-124.79984799847999
0.0006228333021314539,2.3225073041602733e-07,6.880254421114618e-05,2.610557832470917e-28,0.0006918680970730161,0.0010439433853816973,-124.63984639846399
0.0006398412210485047,2.627801697631012e-07,7.305787996242948e-05,3.7842497272510117e-28,0.0007131618811806973,0.0010771960223669582,-124.47984479844798
0.0006572174084827357,2.971185009191544e-07,7.75490514566929e-05,5.479273083426725e-28,0.0007350635784403477,0.0011113447236770191,-124.31984319843198
0.0006749667118032456,3.3571319212647845e-07,8.228729232544372e-05,7.9243343544889125e-28,0.0007575897173208158,0.0011464077134110682,-124.15984159841598
0.000693093943671196,3.7906066996220063e-07,8.7284255371886e-05,1.144720144068281e-27,0.0007807572597130442,0.0011824033831175469,-123.99983999839998
0.0007116038782481595,4.2771122693974156e-07,9.255202125031155e-05,1.651705241965086e-27,0.0008045836107254108,0.001219350286111045,-123.83983839838399
0.0007305012473309099,4.822743678306909e-07,9.810310689725375e-05,2.3804685983358374e-27,0.0008290866285959943,0.00125726713148979,-123.67983679836799
0.0007497907364140902,5.434246279179356e-07,0.00010395047368095577,3.4268023397785125e-27,0.0008542846347229638,0.0012961727778496401,-123.51983519835198
0.0007694769806823644,6.119078982538595e-07,0.0001101075352344174,4.927337842488905e-27,0.0008801964238150356,0.0013360862266907651,-123.35983359833598
0.0007895645609337282,6.885482948941282e-07,0.00011658816493597745,7.076724922745186e-27,0.0009068412741645998,0.0013770266155133403,-123.19983199831998
0.0008100579994357872,7.742556110009441e-07,0.0001234067030001451,1.0151938463370357e-26,0.0009342389580469332,0.0014190132105987797,-123.03983039830399
0.0008309617557169403,8.700333926496065e-07,0.00013057796314016248,1.454662779337875e-26,0.0009624097522497523,0.0014620653994733312,-122.87982879828797
0.0008522802222944744,9.769876811184277e-07,0.00013811723876258513,2.08195992041958e-26,0.0009913744487381779,0.0015062026830509456,-122.71982719827199
0.0008740177203418076,1.0963364663831652e-06,0.00014604030865305738,2.9763163549502293e-26,0.0010211543654612483,0.001551444667452817,-122.55982559825598
0.0008961784952970608,1.2294198984579128e-06,0.00015436344211132086,4.2499371248797846e-26,0.0010517713573068397,0.001597811055500913,-122.39982399823998
0.0009187667124154434,1.3777113051127987e-06,0.00016310340349251674,6.061534860778369e-26,0.0010832478272130729,0.0016453216378834049,-122.23982239822398
0.0009417864522679312,1.5428290663349285e-06,0.00017227745611083528,8.635339119088146e-26,0.0011156067374451014,0.0016939962839899673,-122.07982079820798
0.0009652417061888801,1.7265493976674506e-06,0.0001819033654607002,1.2287764398522248e-25,0.0011488716210472476,0.0017438549324152687,-121.91981919819199
0.0009891363716753557,1.930820096240826e-06,0.00019199940170984536,1.7464776895382432e-25,0.0011830665934814417,0.0017949175811293459,-121.75981759817599
0.001013474247741012,2.157775304878545e-06,0.0002025843414179142,2.4794188376604183e-25,0.0012182163644638047,0.0018472042773136407,-121.59981599815998
0.0010382590302275777,2.409751351095023e-06,0.00021367746843358956,3.5158751029845757e-25,0.0012543462500122621,0.0019007351068621309,-121.43981439814398
0.0010634943070770197,2.6893037190774686e-06,0.00022529857392271425,4.9798202786940325e-25,0.0012914821847188115,0.001955530183546971,-121.27981279812798
0.001089183553567632,2.999225213832814e-06,0.00023746795547944157,7.045155575493472e-25,0.0013296507342609063,0.002011609637848637,-121.11981119811198
0.0011153301275174082,3.3425653775526768e-06,0.00025020641527214224,9.955525623311955e-25,0.001368879108167103,0.0020689936054507823,-120.95980959809597
0.0011419372644581507,3.7226512188752796e-06,0.00026353525717561475,1.4051881835574034e-24,0.0014091951728526409,0.0021277022154004535,-120.79980799807998
0.0011690080727839167,4.143109316069913e-06,0.0002774762828410782,1.98107752835215e-24,0.001450627464941065,0.002187755577934634,-120.63980639806398
0.0011965455288774542,4.607889355199794e-06,0.00029205178665550407,2.78974907618914e-24,0.0014932052048881581,0.0022491737719744207,-120.47980479804798
0.0012245524722184896,5.12128916400309e-06,0.0003072845495420857,3.923968398783183e-24,0.0015369583109245783,0.002311976832288654,-120.31980319803198
0.0012530316004777306,5.687981301522669e-06,0.00032319783155400166,5.512930887008395e-24,0.0015819174133332552,0.002376184736329062,-120.15980159801597
