0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
1.5254922987e-113,4.88227876793e-222,0.0,2.5788091937e-73,2.72042346979e-96,3.60075487348e-317,6.97445133515e-32,0.0,0.0,0.0,1.04357631401e-111,8.08422995805e-194,8.06541925061e-131,1.43209641183e-141,1.43209641183e-141,4.00508688637e-136,1.30306112257e-33,0.0,4.3733208855e-184,3.90734960404e-71,0.0,3.08048387946e-81,5.5376540835e-267,1.01099467931e-98,2.00881779882e-137,7.10475744741e-32,1.62993318378e-68,-140.0
3.23218381654e-113,2.14595782444e-221,0.0,4.31014381757e-73,5.24089714617e-96,3.86845149797e-316,8.61602030352e-32,0.0,0.0,0.0,2.25327108457e-111,3.26563820901e-193,2.00358498443e-130,3.92886066635e-141,3.92886066635e-141,1.0878179826e-135,1.6270407423e-33,0.0,1.70395350897e-183,6.43958621403e-71,0.0,5.60673005765e-81,3.55067514851e-266,2.16645253319e-98,5.12752157967e-137,8.77872437775e-32,2.64746992588e-68,-139.8399984
6.84068392604e-113,9.41183640344e-221,0.0,7.19794513857e-73,1.00864516675e-95,4.13986518583e-315,1.06403251485e-31,0.0,0.0,0.0,4.85944855897e-111,1.3162317445e-192,4.97022464177e-130,1.07613340476e-140,1.07613340476e-140,2.94979244598e-135,2.03084907622e-33,0.0,6.62428516827e-183,1.06044026754e-70,0.0,1.01945028218e-80,2.27018215867e-265,4.63633919061e-98,1.306943371e-136,1.08434100561e-31,4.29693425546e-68,-139.6799968
1.44617362964e-112,4.11890841251e-220,0.0,1.20107332492e-72,1.93925463621e-95,4.41306837253e-314,1.31357418644e-31,0.0,0.0,0.0,1.0467545324e-110,5.29336126002e-192,1.23120876129e-129,2.94286752979e-140,2.94286752979e-140,7.98578508186e-135,2.53397573873e-33,0.0,2.5695388053e-182,1.74488583366e-70,0.0,1.85177471893e-80,1.44735518326e-264,9.90893407081e-98,3.32650643686e-136,1.33891394383e-31,6.96871690219e-68,-139.5199952
3.05392799283e-112,1.79864095796e-219,0.0,2.0025101681e-72,3.72473102535e-95,4.685981077e-313,1.62108516566e-31,0.0,0.0,0.0,2.25209665893e-110,2.12405417932e-191,3.04561361658e-129,8.03489912269e-140,8.03489912269e-140,2.15841380748e-134,3.1606240197e-33,0.0,9.94503288148e-182,2.86880071391e-70,0.0,3.36028371898e-80,9.2014057931e-264,2.11497087642e-97,8.45477959113e-136,1.65269140585e-31,1.12931052297e-67,-139.3599936
6.44190904267e-112,7.83720849477e-219,0.0,3.33598552167e-72,7.14691547659e-95,4.95639398874e-312,1.99990137126e-31,0.0,0.0,0.0,4.83964512993e-110,8.50422080708e-191,7.52324738492e-129,2.19025791758e-139,2.19025791758e-139,5.82428658893e-134,3.94083998662e-33,0.0,3.84053871833e-181,4.71287912643e-70,0.0,6.09157283998e-80,5.83307950729e-263,4.50824551015e-97,2.14584593131e-135,2.03930977112e-31,1.82869116852e-67,-139.199992
1.35733742886e-111,3.40747674387e-218,0.0,5.55287379634e-72,1.3699541328e-94,5.22199593433e-311,2.46639621368e-31,0.0,0.0,0.0,1.03878178297e-109,3.39733479603e-190,1.85576640896e-128,5.96094622808e-139,5.96094622808e-139,1.56906775072e-133,4.91190939466e-33,0.0,1.47983383923e-180,7.73614818192e-70,0.0,1.10318572214e-79,3.68728118131e-262,9.59702091047e-97,5.43847464384e-135,2.51551530763e-31,2.95892392743e-67,-139.0399904
2.85679122048e-111,1.47828775135e-217,0.0,9.23539910173e-72,2.62335496793e-94,5.48040499935e-310,3.04066539897e-31,0.0,0.0,0.0,2.22699605205e-109,1.3541820365e-189,4.57118402148e-128,1.61972119192e-138,1.61972119192e-138,4.22018597348e-133,6.12008528629e-33,0.0,5.68942847708e-180,1.268866162e-69,0.0,1.9958758349e-79,2.32423087736e-261,2.04028594632e-96,1.37637889112e-134,3.10186625183e-31,4.78402754775e-67,-138.8799888
6.00601788218e-111,6.39940556539e-217,0.0,1.53475038717e-71,5.01847474655e-94,5.72920279319e-309,3.74736451088e-31,0.0,0.0,0.0,4.76868773545e-109,5.38580507954e-189,1.1244017937e-127,4.39410509174e-138,4.39410509174e-138,1.13321526648e-132,7.62272377461e-33,0.0,2.182524925e-179,2.07950232013e-69,0.0,3.60731530479e-79,1.46088801046e-260,4.33182945455e-96,3.47841362226e-134,3.82359174862e-31,7.72894084691e-67,-138.7199872
1.26128194885e-110,2.76423441053e-216,0.0,2.54837921434e-71,9.59069496545e-94,5.9659712042e-308,4.61673309063e-31,0.0,0.0,0.0,1.01991185007e-108,2.13726855679e-188,2.7618607851e-127,1.19016104022e-137,1.19016104022e-137,3.03797487056e-132,9.49092347643e-33,0.0,8.35381135763e-179,3.40530142518e-69,0.0,6.51328955506e-79,9.15628352027e-260,9.18496227042e-96,8.77822619355e-134,4.71164232539e-31,1.24770735404e-66,-138.5599856
