0-Abe 2014,1-Beyder 2010,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
4.14614916359e-55,2.88988120711e-09,9.9964792468e-165,0.0,0.0,0.0,9.67122294676e-250,1.92924914548e-188,5.45378962008e-201,7.46383916433e-304,2.53249020262e-143,0.0,0.0,5.975992873e-195,9.53592384327e-94,1.03107227348e-117,6.36633364446e-94,3.85951829829e-220,5.58387334094e-79,6.23580966501e-52,1.20109010604e-97,2.55721528675e-75,6.36633364446e-94,6.18503614843e-58,6.23580966501e-52,2.66806358246e-228,3.66704582733e-90,9.53592384327e-94,2.55721528675e-75,3.80595439182e-237,9.53592384327e-94,3.96845005672e-142,1.07870614478e-96,4.13167270455e-187,2.06154342698e-235,1.88610611125e-96,0.0,8.70411588349e-240,8.56915508345e-96,1.24805652839e-97,4.50427432363e-250,4.40698425126e-188,0.0,1.39694170754e-27,0.0,1.01876679552e-166,9.44011871641e-134,1.87308794213e-38,2.88988120711e-09,1.227813398e-38,-140.0
6.33507253467e-55,2.99341761052e-09,4.27362484352e-164,0.0,0.0,0.0,5.20547780684e-249,7.05465052996e-188,2.25883891858e-200,1.01934215997e-302,7.16918552042e-143,0.0,0.0,2.35399102083e-194,1.81873094335e-93,2.26969219306e-117,1.21497626008e-93,1.77034157817e-219,9.4951697861e-79,8.6210935833e-52,2.32263520172e-97,4.21718080651e-75,1.21497626008e-93,9.05484791489e-58,8.6210935833e-52,1.34296343302e-227,6.86665168156e-90,1.81873094335e-93,4.21718080651e-75,2.05500757503e-236,1.81873094335e-93,1.06046933161e-141,2.08249709148e-96,1.56888585566e-186,1.11392153367e-234,3.64189014195e-96,0.0,4.11924909716e-239,1.6793230528e-95,2.46221418461e-97,2.87647831235e-249,1.74108439754e-187,4.94065645841e-324,1.66440898525e-27,0.0,3.70821350178e-166,2.51329149604e-133,2.43199275241e-38,2.99341761052e-09,1.5994663736e-38,-139.8399984
9.67227941838e-55,3.10050010912e-09,1.82184057718e-163,0.0,0.0,0.0,2.79482130692e-248,2.57457062698e-187,9.3348431361e-200,1.38525643931e-301,2.02610004875e-142,0.0,0.0,9.25279668883e-194,3.46527566772e-93,4.99033946853e-117,2.31638018149e-93,8.10159058714e-219,1.61330676041e-78,1.19131482582e-51,4.48693801241e-97,6.94940661943e-75,2.31638018149e-93,1.3248520831e-57,1.19131482582e-51,6.7427294582e-227,1.28453149476e-89,3.46527566772e-93,6.94940661943e-75,1.10666125215e-235,3.46527566772e-93,2.82955036343e-141,4.01630853485e-96,5.94486106322e-186,6.00286490395e-234,7.0250203277e-96,0.0,1.94511967949e-238,3.28751119288e-95,4.85237263404e-97,1.83139328182e-248,6.86330075897e-187,5.92878775009e-323,1.98253101319e-27,0.0,1.34675799352e-165,6.68056790177e-133,3.15632039734e-38,3.10050010912e-09,2.08275163668e-38,-139.6799968
1.47562719209e-54,3.21124407332e-09,7.74442173024e-163,0.0,0.0,0.0,1.49679296713e-247,9.37726593771e-187,3.84913965821e-199,1.87323750453e-300,5.71637851107e-142,0.0,0.0,3.62923193501e-193,6.59585004928e-93,1.09591907379e-116,4.41179719633e-93,3.69890156081e-218,2.73891285879e-78,1.64545273614e-51,8.65930002151e-97,1.14431027857e-74,4.41179719633e-93,1.93731811808e-57,1.64545273614e-51,3.37684258509e-226,2.40057652389e-89,6.59585004928e-93,1.14431027857e-74,5.94384411309e-235,6.59585004928e-93,7.53839454822e-141,7.73804313847e-96,2.24790004402e-185,3.22629739723e-233,1.35371847083e-95,0.0,9.1645149126e-238,6.42890448981e-95,9.55254745638e-97,1.16248235819e-247,2.69948624882e-186,6.66988621886e-322,2.36079403118e-27,0.0,4.88033096151e-165,1.77291950618e-132,4.09462925257e-38,3.21124407332e-09,2.71093733702e-38,-139.5199952
2.24954682717e-54,3.32576840857e-09,3.28270810787e-162,0.0,0.0,0.0,7.99620029944e-247,3.408707785e-186,1.58363537791e-198,2.52062353544e-299,1.61008977451e-141,0.0,0.0,1.42046296321e-192,1.25420177175e-92,2.40387650069e-116,8.39430783654e-93,1.68486268816e-217,4.64607823689e-78,2.27163711742e-51,1.66947206237e-96,1.88282712899e-74,8.39430783654e-93,2.8312733543e-57,2.27163711742e-51,1.68690036368e-225,4.48185096605e-89,1.25420177175e-92,1.88282712899e-74,3.18398891557e-234,1.25420177175e-92,2.00531415923e-140,1.48934955046e-95,8.48197928429e-185,1.72938657873e-232,2.60596842553e-95,0.0,4.30831569009e-237,1.25586642721e-94,1.87854241947e-96,7.35656990421e-247,1.05941005414e-185,7.41592534408e-321,2.81044038578e-27,0.0,1.76459022705e-164,4.69753223466e-132,5.30961198504e-38,3.32576840857e-09,3.52712700421e-38,-139.3599936
3.42676245063e-54,3.4441956561e-09,1.3875229957e-161,0.0,0.0,0.0,4.26108146122e-246,1.23664609219e-185,6.50102151534e-198,3.37501421034e-298,4.52739335102e-141,0.0,0.0,5.54777184108e-192,2.38247140895e-92,5.26660914225e-116,1.59557746648e-92,7.65676838712e-217,7.87484229274e-78,3.13463644582e-51,3.21543086303e-96,3.0956201765e-74,1.59557746648e-92,4.13532815156e-57,3.13463644582e-51,8.40565540935e-225,8.35930797414e-89,2.38247140895e-92,3.0956201765e-74,1.70108930114e-233,2.38247140895e-92,5.32633033117e-140,2.86367378971e-95,3.19376049098e-184,9.24531321501e-232,5.01152578725e-95,0.0,2.02087958517e-236,2.4506803634e-94,3.69028197603e-96,4.64139577679e-246,4.14841258166e-185,8.18963214546e-320,3.34478977749e-27,0.0,6.36609838619e-164,1.24266948667e-131,6.88217453664e-38,3.4441956561e-09,4.58714365599e-38,-139.199992
5.21607147469e-54,3.56665209634e-09,5.84807266057e-161,0.0,0.0,0.0,2.26501066633e-245,4.47757844932e-185,2.66282664127e-197,4.4967184943e-297,1.27091173118e-140,0.0,0.0,2.16212478781e-191,4.52117832217e-92,1.15248503742e-115,3.0298040971e-92,3.47148877687e-216,1.33365732261e-77,4.32344640559e-51,6.18675399776e-96,5.08575533062e-74,3.0298040971e-92,6.03650366464e-57,4.32344640559e-51,4.1778925542e-224,1.55759412102e-88,4.52117832217e-92,5.08575533062e-74,9.06429661573e-233,4.52117832217e-92,1.41258924327e-139,5.50062279501e-95,1.20003083568e-183,4.92938832062e-231,9.62788323677e-95,0.0,9.45819441318e-236,4.77712531987e-94,7.24160514879e-96,2.91948387364e-245,1.62081959005e-184,9.00978111756e-319,3.97961855732e-27,0.0,2.29159414888e-163,3.28206074677e-131,8.9166819748e-38,3.56665209634e-09,5.96325263461e-38,-139.0399904
7.93366103289e-54,3.69326785495e-09,2.45781946409e-160,0.0,0.0,0.0,1.20097760269e-244,1.61801705482e-184,1.08827603395e-196,5.96167464958e-296,3.56165272016e-140,0.0,0.0,8.40845891131e-191,8.57115259609e-92,2.51898031146e-115,5.74744539918e-92,1.57027341851e-215,2.25680318032e-77,5.96029368053e-51,1.18918704873e-95,8.34898787478e-74,5.74744539918e-92,8.80660005915e-57,5.96029368053e-51,2.07131660027e-223,2.89940799016e-88,8.57115259609e-92,8.34898787478e-74,4.81717622209e-232,8.57115259609e-92,3.74063913372e-139,1.05550816619e-94,4.49953249278e-183,2.62123701967e-230,1.84778605509e-94,0.0,4.41683238575e-235,9.30215006104e-94,1.41953751162e-95,1.83082907142e-244,6.31862080881e-184,9.87322012155e-318,4.73360743013e-27,0.0,8.23070327096e-163,8.65451451168e-131,1.15477020373e-37,3.69326785495e-09,7.74896502263e-38,-138.8799888
1.20579734048e-53,3.82417701165e-09,1.03003468017e-159,0.0,0.0,0.0,6.35204852316e-244,5.83532573071e-184,4.43782445393e-196,7.86490204752e-295,9.96452903258e-140,0.0,0.0,3.26306363552e-190,1.62326890345e-91,5.49920007459e-115,1.08917787626e-91,7.0863736917e-215,3.81584002403e-77,8.21296396067e-51,2.28350067994e-95,1.36956538427e-73,1.08917787626e-91,1.28403952885e-56,8.21296396067e-51,1.02432845974e-222,5.39182045634e-88,1.62326890345e-91,1.36956538427e-73,2.5533031961e-231,1.62326890345e-91,9.89049099569e-139,2.02335806533e-94,1.68355498109e-182,1.39014919381e-229,3.54268534748e-94,0.0,2.05801474606e-234,1.80940918801e-93,2.77968541875e-95,1.14465276163e-243,2.4577901053e-183,1.077671698e-316,5.62886974614e-27,0.0,2.94965394413e-162,2.27847318003e-130,1.49486701404e-37,3.82417701165e-09,1.00652326271e-37,-138.7199872
1.83124130273e-53,3.95951771185e-09,4.30445690303e-159,0.0,0.0,0.0,3.35125093266e-243,2.10033819113e-183,1.80566032051e-195,1.03245430856e-293,2.78311406076e-139,0.0,0.0,1.26359578058e-189,3.07118064731e-91,1.19911141878e-114,2.06198935894e-91,3.19052447328e-214,6.44664381083e-77,1.13116733e-50,4.3804201822e-95,2.24492731412e-73,2.06198935894e-91,1.87109495527e-56,1.13116733e-50,5.05283977591e-222,1.00168823136e-87,3.07118064731e-91,2.24492731412e-73,1.34978212765e-230,3.07118064731e-91,2.61115114484e-138,3.87476444373e-94,6.28596763649e-182,7.35289543106e-229,6.78536949841e-94,0.0,9.56799473768e-234,3.5158228523e-93,5.43727336004e-95,7.13483546195e-243,9.53898512225e-183,1.17165133354e-315,6.69157470264e-27,0.0,1.05472701825e-161,5.98894391671e-130,1.93430184268e-37,3.95951771185e-09,1.30684342506e-37,-138.5599856
