1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,10-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,19-Detta 2014,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,30-Itoh 2005a,31-Itoh 2005b,33-Kato 2014,34-Lin 2008,36-Lupoglazoff 2001,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,57-Wang 2007b,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01326124122e-134,6.67447009517e-32,7.59449660498e-119,4.49206507194e-15,3.10238108882e-33,2.57260558649e-152,1.39555456473e-84,0.0,0.0,1.07952939858e-61,7.55017230786e-33,7.95009300266e-63,3.6526504398e-173,3.64848853649e-191,4.75142450602e-217,3.11273421261e-310,0.0,2.22780064136e-49,1.94434571782e-42,8.16806816265e-56,7.09392015907e-24,0.0,3.91335639914e-34,2.30770869821e-122,5.18554161772e-144,1.90198120848e-302,6.53254952363e-102,3.45883258189e-20,2.32540348907e-53,0.0,0.0,3.69964606947e-314,2.75672632728e-120,1.07054538632e-28,4.7644995888e-52,1.45427954135e-186,9.00140482017e-263,0.0,7.33970255744e-103,4.49556186544e-47,4.18509500138e-119,0.0,1.18194150602e-43,0.0,0.0,1.29088765613e-38,1.90436691319e-22,4.37672556044e-12,1.29938507053e-77,0.0,4.3812176603e-12,2.64252032439e-22,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34330439369e-134,8.34266040981e-32,1.89705882118e-118,4.85383404906e-15,3.85183050661e-33,7.58123941806e-152,2.7839165662e-84,0.0,0.0,1.65918948341e-61,9.32196776786e-33,1.21488856686e-62,1.20203532593e-172,1.33582053458e-190,2.11632452423e-216,2.63450506274e-309,0.0,3.24234696693e-49,2.58423546169e-42,1.20169705108e-55,8.42847401352e-24,0.0,4.97939057238e-34,5.92617877499e-122,1.51712632238e-143,1.79154120478e-301,1.43435574639e-101,3.95727751107e-20,3.50643989073e-53,0.0,0.0,4.69230699822e-313,6.66435897302e-120,1.29464214631e-28,6.61272777446e-52,5.77356549264e-186,6.11401658763e-262,0.0,1.53272487177e-102,6.25164510128e-47,1.0524844638e-118,0.0,1.61591676206e-43,0.0,0.0,1.68083483902e-38,2.23425682236e-22,4.65382875627e-12,2.15857114857e-77,0.0,4.65868263012e-12,3.06530512938e-22,-139.8399984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41289898075e-134,1.04237761016e-31,4.73125434379e-118,5.24411747761e-15,4.78067109619e-33,2.2303139712e-151,5.54638102031e-84,0.0,0.0,2.54833660483e-61,1.15057176899e-32,1.8552974096e-62,3.94854151016e-172,4.88130364026e-190,9.40489971095e-216,2.22255351949e-308,0.0,4.71575833166e-49,3.4331519003e-42,1.76685340195e-55,1.00108636341e-23,0.0,6.33318794642e-34,1.51936353087e-121,4.43072514804e-143,1.68135365351e-300,3.1451193141e-101,4.52645686469e-20,5.28340477241e-53,0.0,0.0,5.92450108228e-312,1.60876581454e-119,1.56515422111e-28,9.17347541689e-52,2.28696680634e-185,4.14005979985e-261,0.0,3.19693837349e-102,8.68895890629e-47,2.642598484e-118,0.0,2.20805862848e-43,0.0,0.0,2.18762448165e-38,2.62051047627e-22,4.94796945139e-12,3.58315770999e-77,0.0,4.9532136144e-12,3.55488780228e-22,-139.6799968
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24889255384e-133,1.30190206832e-31,1.17810903829e-117,5.66511204127e-15,5.93144129641e-33,6.55014006858e-151,1.10358878568e-83,0.0,0.0,3.91126185588e-61,1.41963014731e-32,2.83141474136e-62,1.29469223358e-171,1.78022998312e-189,4.17003351871e-215,1.86896689848e-307,0.0,6.85413232917e-49,4.55886047412e-42,2.59618668433e-55,1.18865022374e-23,0.0,8.05170682996e-34,3.88903484627e-121,1.29167520892e-142,1.57218277537e-299,6.88689489018e-101,5.17624922586e-20,7.9550108628e-53,0.0,0.0,7.44656994001e-311,3.87790347577e-119,1.89159114051e-28,1.2719705749e-51,9.03847556498e-185,2.79479719248e-260,0.0,6.66022099187e-102,1.20699163827e-46,6.62447986213e-118,0.0,3.01557981702e-43,0.0,0.0,2.84597872409e-38,3.07262139263e-22,5.2601623425e-12,5.94342162078e-77,0.0,5.26582750662e-12,4.12168592595e-22,-139.5199952
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87815493843e-133,1.62541511393e-31,2.92892582881e-117,6.11917957201e-15,7.35667009036e-33,1.92040999873e-150,2.19305209481e-83,0.0,0.0,5.99896442387e-61,1.75102398959e-32,4.31823523606e-62,4.23747096553e-171,6.47991006095e-189,1.84475372394e-214,1.56656054143e-306,0.0,9.95548264878e-49,6.05092717115e-42,3.81242403345e-55,1.41090101159e-23,0.0,1.02322919599e-33,9.93836993943e-121,3.75886982435e-142,1.46473374514e-298,1.50596842032e-100,5.91788994677e-20,1.19687026363e-52,0.0,0.0,9.31751043056e-310,9.33406625932e-119,2.28538906199e-28,1.76282878794e-51,3.56410161738e-184,1.88086517327e-259,0.0,1.38588543359e-101,1.67572932619e-46,1.65797318339e-117,0.0,4.11623032607e-43,0.0,0.0,3.7008515401e-38,3.60165858292e-22,5.59148048357e-12,9.85095230083e-77,0.0,5.59759972269e-12,4.777720097e-22,-139.3599936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62517266803e-133,2.02853733214e-31,7.27017648679e-117,6.6088591453e-15,9.12120040571e-33,5.62077394333e-150,4.35245921032e-83,0.0,0.0,9.19464516907e-61,2.15905826081e-32,6.5814556985e-62,1.38438627844e-170,2.35404317568e-188,8.14236784421e-214,1.30884720173e-305,0.0,1.44504391462e-48,8.02767708856e-42,5.59495191865e-55,1.67416766914e-23,0.0,1.29980225642e-33,2.53560541271e-120,1.09190962545e-141,1.35964657067e-297,3.28862501786e-100,6.76415426648e-20,1.7994209982e-52,0.0,0.0,1.16060016338e-308,2.24344012289e-118,2.76029663797e-28,2.44192943498e-51,1.40224703369e-183,1.26191096549e-258,0.0,2.88038364242e-101,2.32523348969e-46,4.14293704968e-117,0.0,5.61561235232e-43,0.0,0.0,4.81041803166e-38,4.22052401438e-22,5.94305851453e-12,1.63151455629e-76,0.0,5.94966744176e-12,5.53685718101e-22,-139.199992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52326047245e-132,2.53066378232e-31,1.80175288957e-116,7.13688003643e-15,1.13050474249e-32,1.64231730519e-149,8.62709465801e-83,0.0,0.0,1.40829278861e-60,2.66128882377e-32,1.00242175916e-61,4.51458874463e-170,8.53517537546e-188,3.58572115918e-213,1.09000102443e-304,0.0,2.09608389826e-48,1.06453564396e-41,8.20580888927e-55,1.98591791753e-23,0.0,1.65044494841e-33,6.45864433171e-120,3.16622337302e-141,1.2574915269e-296,7.17164739773e-100,7.72956469475e-20,2.70332274447e-52,0.0,0.0,1.43914479785e-307,5.38428208651e-118,3.3328372544e-28,3.3810063922e-51,5.50450847352e-183,8.44040810786e-258,0.0,5.97940068775e-101,3.22472258377e-46,1.03358043998e-116,0.0,7.65708002564e-43,0.0,0.0,6.24992944021e-38,4.94425147546e-22,6.31609606105e-12,2.70006829915e-76,0.0,6.3232330189e-12,6.41508995208e-22,-139.0399904
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49820360188e-132,3.15586654066e-31,4.45819637648e-116,7.70617559756e-15,1.40069136897e-32,4.79045547862e-149,1.70780589621e-82,0.0,0.0,2.15551093605e-60,3.27925388338e-32,1.52577981575e-61,1.46956723601e-169,3.0886098596e-187,1.57549047668e-212,9.04817632345e-304,0.0,3.03840155008e-48,1.41101900766e-41,1.20275263524e-54,2.35496021808e-23,0.0,2.09480784689e-33,1.64245793532e-119,9.16477598577e-141,1.15876613509e-295,1.5618149745e-99,8.83062581613e-20,4.05828384956e-52,0.0,0.0,1.77650110507e-306,1.29035986268e-117,4.02286257261e-28,4.67895404877e-51,2.15591742035e-182,5.62810071248e-257,0.0,1.23979332429e-100,4.46972948169e-46,2.57445523313e-116,0.0,1.04351300049e-42,0.0,0.0,8.11668235622e-38,5.79035339235e-22,6.71186131384e-12,4.46508373017e-76,0.0,6.71956757835e-12,7.43085847738e-22,-138.8799888
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02435126468e-132,3.93401074962e-31,1.10137916254e-115,8.31989811866e-15,1.7348510363e-32,1.39493938609e-148,3.37642063643e-82,0.0,0.0,3.29690778153e-60,4.03936832716e-32,2.32084482066e-61,4.77497481178e-169,1.11549142725e-186,6.90666709962e-212,7.48671663858e-303,0.0,4.40139724057e-48,1.86942421762e-41,1.76181829532e-54,2.79168101725e-23,0.0,2.65770476121e-33,4.17004104543e-119,2.6480586807e-140,1.06389364032e-294,3.3966149537e-99,1.00860900702e-19,6.08788371279e-52,0.0,0.0,2.18305962122e-305,3.08790268559e-117,4.85421518909e-28,6.47204419978e-51,8.42490982971e-182,3.74131226138e-256,0.0,2.56758745672e-100,6.19203225926e-46,6.40223367935e-116,0.0,1.4213503957e-42,0.0,0.0,1.05364212799e-37,6.77922316162e-22,7.13169479671e-12,7.3782866702e-76,0.0,7.14001479639e-12,8.60541938537e-22,-138.7199872
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83852152789e-131,4.90213412719e-31,2.71661572624e-115,8.98143474025e-15,2.14798676197e-32,4.05501676843e-148,6.66681916608e-82,0.0,0.0,5.03921238056e-60,4.97401686047e-32,3.52787507614e-61,1.54868491126e-168,4.02088821762e-186,3.02088879034e-211,6.17472938185e-302,0.0,6.37154647798e-48,2.47562698901e-41,2.57914520478e-54,3.30832334404e-23,0.0,3.37045606169e-33,1.05701120512e-118,7.63763329776e-140,9.73222906807e-294,7.376819095e-99,1.15172585159e-19,9.12577346496e-52,0.0,0.0,2.67057535398e-304,7.37880585227e-117,5.85552166027e-28,8.94796085062e-51,3.28486831098e-181,2.47941792562e-255,0.0,5.31111264465e-100,8.57330494835e-46,1.58958155234e-115,0.0,1.93496475179e-42,0.0,0.0,1.3671584269e-37,7.93460173662e-22,7.5770133327e-12,1.21829511538e-75,0.0,7.58599488344e-12,9.96327004482e-22,-138.5599856
