0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
2.02415821479e-48,0.0,0.0,1.91405350256e-47,0.0,1.67605553304e-09,1.67605553304e-09,4.28758797115e-23,-140.0
2.87686611716e-48,0.0,0.0,2.66888539481e-47,0.0,1.75602637328e-09,1.75602637328e-09,5.05279215731e-23,-139.8399984
4.08638587816e-48,0.0,0.0,3.71939455656e-47,0.0,1.83967560649e-09,1.83967560649e-09,5.95289805185e-23,-139.6799968
5.80101015533e-48,0.0,0.0,5.18061181245e-47,0.0,1.92716567125e-09,1.92716567125e-09,7.01138921148e-23,-139.5199952
8.23023819128e-48,0.0,0.0,7.21201009631e-47,0.0,2.01866585722e-09,2.01866585722e-09,8.25578410764e-23,-139.3599936
1.16698617317e-47,0.0,0.0,1.00345540101e-46,0.0,2.11435257919e-09,2.11435257919e-09,9.71832008903e-23,-139.199992
1.65372596043e-47,0.0,0.0,1.39542435264e-46,0.0,2.21440966151e-09,2.21440966151e-09,1.14367516702e-22,-139.0399904
2.34210254107e-47,0.0,0.0,1.93946075125e-46,0.0,2.31902863309e-09,2.31902863309e-09,1.34552819802e-22,-138.8799888
3.31507069279e-47,0.0,0.0,2.69415244961e-46,0.0,2.4284090335e-09,2.4284090335e-09,1.5825649261e-22,-138.7199872
4.6894748422e-47,0.0,0.0,3.74050132229e-46,0.0,2.54275873044e-09,2.54275873044e-09,1.86083938509e-22,-138.5599856
6.62979583028e-47,0.0,0.0,5.19043710264e-46,0.0,2.66229424905e-09,2.66229424905e-09,2.18743351952e-22,-138.399984
9.36743364835e-47,0.0,0.0,7.19854173595e-46,0.0,2.78724111338e-09,2.78724111338e-09,2.5706293191e-22,-138.2399824
1.32277392244e-46,0.0,0.0,9.97818600682e-46,0.0,2.91783420058e-09,2.91783420058e-09,3.02010936898e-22,-138.0799808
1.86678864691e-46,0.0,0.0,1.3823726676e-45,0.0,3.05431810801e-09,3.05431810801e-09,3.54719043741e-22,-137.9199792
2.63298997196e-46,0.0,0.0,1.91410234514e-45,0.0,3.19694753404e-09,3.19694753404e-09,4.16509546234e-22,-137.7599776
3.71148565764e-46,0.0,0.0,2.64893710432e-45,0.0,3.34598767266e-09,3.34598767266e-09,4.8892701555e-22,-137.599976
5.22866594217e-46,0.0,0.0,3.66390843951e-45,0.0,3.50171462258e-09,3.50171462258e-09,5.73775143368e-22,-137.4399744
7.36170707067e-46,0.0,0.0,5.06505367468e-45,0.0,3.6644158113e-09,3.6644158113e-09,6.73159603385e-22,-137.2799728
1.03588297813e-45,0.0,0.0,6.99825826938e-45,0.0,3.83439043454e-09,3.83439043454e-09,7.89537899541e-22,-137.1199712
1.45675792191e-45,0.0,0.0,9.66412089684e-45,0.0,4.01194991162e-09,4.01194991162e-09,9.25777322609e-22,-136.9599696
2.04742785641e-45,0.0,0.0,1.33383225929e-44,0.0,4.19741835738e-09,4.19741835738e-09,1.08522231405e-21,-136.799968
2.87590380028e-45,0.0,0.0,1.83995225477e-44,0.0,4.39113307104e-09,4.39113307104e-09,1.27177274081e-21,-136.6399664
4.03724057293e-45,0.0,0.0,2.53675406276e-44,0.0,4.59344504267e-09,4.59344504267e-09,1.48997482134e-21,-136.4799648
5.66421110458e-45,0.0,0.0,3.49555910519e-44,0.0,4.80471947789e-09,4.80471947789e-09,1.74512671609e-21,-136.3199632
7.94216235282e-45,0.0,0.0,4.81416985785e-44,0.0,5.02533634123e-09,5.02533634123e-09,2.0434011112e-21,-136.1599616
1.11296784621e-44,0.0,0.0,6.62662879214e-44,0.0,5.25569091896e-09,5.25569091896e-09,2.39198748787e-21,-135.99996
1.55873038836e-44,0.0,0.0,9.11654649292e-44,0.0,5.49619440189e-09,5.49619440189e-09,2.79925718947e-21,-135.8399584
2.1817446239e-44,0.0,0.0,1.25352942638e-43,0.0,5.74727448882e-09,5.74727448882e-09,3.27495488283e-21,-135.6799568
3.05197768721e-44,0.0,0.0,1.72268229364e-43,0.0,6.00937601143e-09,6.00937601143e-09,3.83042056781e-21,-135.5199552
4.266810169e-44,0.0,0.0,2.36615026026e-43,0.0,6.28296158105e-09,6.28296158105e-09,4.47884693273e-21,-135.3599536
5.9616958579e-44,0.0,0.0,3.24822366169e-43,0.0,6.56851225827e-09,6.56851225827e-09,5.2355775942e-21,-135.199952
8.32493475777e-44,0.0,0.0,4.45672672301e-43,0.0,6.86652824601e-09,6.86652824601e-09,6.11845261342e-21,-135.0399504
1.1618134197e-43,0.0,0.0,6.11156673495e-43,0.0,7.17752960675e-09,7.17752960675e-09,7.14820866384e-21,-134.879948799
1.62045310014e-43,0.0,0.0,8.37636485839e-43,0.0,7.50205700485e-09,7.50205700485e-09,8.34894235657e-21,-134.719947199
2.25881712177e-43,0.0,0.0,1.14742706101e-42,0.0,7.84067247453e-09,7.84067247453e-09,9.74864653167e-21,-134.559945599
3.14680769557e-43,0.0,0.0,1.57094530389e-42,0.0,8.19396021459e-09,8.19396021459e-09,1.13798308211e-20,-134.399943999
4.38130879811e-43,0.0,0.0,2.14962901193e-42,0.0,8.56252741046e-09,8.56252741046e-09,1.32802395113e-20,-134.239942399
6.09652068025e-43,0.0,0.0,2.93989919646e-42,0.0,8.94700508459e-09,8.94700508459e-09,1.54936817143e-20,-134.079940799
8.47822165369e-43,0.0,0.0,4.01853577059e-42,0.0,9.34804897608e-09,9.34804897608e-09,1.80709911302e-20,-133.919939199
1.17834376802e-42,0.0,0.0,5.48996671936e-42,0.0,9.76634045033e-09,9.76634045033e-09,2.10711353002e-20,-133.759937599
1.63675538925e-42,0.0,0.0,7.49614639044e-42,0.0,1.02025874397e-08,1.02025874397e-08,2.45624972518e-20,-133.599935999
2.27216610733e-42,0.0,0.0,1.02299351567e-41,0.0,1.06575254165e-08,1.06575254165e-08,2.86243558854e-20,-133.439934399
3.15239698023e-42,0.0,0.0,1.39532114884e-41,0.0,1.11319183982e-08,1.11319183982e-08,3.33485954104e-20,-133.279932799
4.37105484499e-42,0.0,0.0,1.9021376728e-41,0.0,1.16265599876e-08,1.16265599876e-08,3.88416786798e-20,-133.119931199
6.05725889333e-42,0.0,0.0,2.59164905386e-41,0.0,1.21422744472e-08,1.21422744472e-08,4.52269244828e-20,-132.959929599
8.3890067585e-42,0.0,0.0,3.52920519821e-41,0.0,1.26799178104e-08,1.26799178104e-08,5.2647134829e-20,-132.799927999
1.16115308367e-41,0.0,0.0,4.80334856405e-41,0.0,1.3240379029e-08,1.3240379029e-08,6.12676251075e-20,-132.639926399
1.6062492689e-41,0.0,0.0,6.53397954228e-41,0.0,1.38245811601e-08,1.38245811601e-08,7.12797178531e-20,-132.479924799
2.22065419056e-41,0.0,0.0,8.88337328493e-41,0.0,1.44334825916e-08,1.44334825916e-08,8.29047698457e-20,-132.319923199
3.06826913907e-41,0.0,0.0,1.20710355099e-40,0.0,1.50680783086e-08,1.50680783086e-08,9.63988125678e-20,-132.159921599
4.23692228101e-41,0.0,0.0,1.63937239355e-40,0.0,1.57294012022e-08,1.57294012022e-08,1.12057897839e-19,-131.999919999
5.84725549952e-41,0.0,0.0,2.22524165802e-40,0.0,1.64185234204e-08,1.64185234204e-08,1.30224253944e-19,-131.839918399
8.0648848679e-41,0.0,0.0,3.01886171715e-40,0.0,1.71365577643e-08,1.71365577643e-08,1.51293373017e-19,-131.679916799
1.11170305808e-40,0.0,0.0,4.09332033267e-40,0.0,1.78846591298e-08,1.78846591298e-08,1.75722168106e-19,-131.519915199
1.53152452691e-40,0.0,0.0,5.54721143624e-40,0.0,1.86640259958e-08,1.86640259958e-08,2.0403835856e-19,-131.359913599
2.1086458224e-40,0.0,0.0,7.51346349765e-40,0.0,1.94759019617e-08,1.94759019617e-08,2.36851265452e-19,-131.199911999
2.90153524881e-40,0.0,0.0,1.01711981772e-39,0.0,2.03215773341e-08,2.03215773341e-08,2.7486422516e-19,-131.039910399
