0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,8-Hayashi 2015,9-Holst 2009,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,30-Splawski 2002,31-Tan 2001,32-Tsurugi 2009,34-Vatta 2002b,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,40-Zhang 2015,sum,gauss,x
6.881563157401574e-93,2.1237118343344172e-51,0.0,0.0,4.0533461425454754e-66,1.388445315597419e-284,7.486984133359039e-20,5.654674841807161e-47,0.0,4.3242233711940745e-218,4.945116486242952e-72,2.040075182687735e-88,2.9374241124168064e-94,1.934357254311294e-122,3.32161222419522e-49,7.452721304385626e-35,1.5007837253947737e-248,4.625175611249251e-63,7.348468162411393e-77,8.936369415697443e-113,0.0,0.0,0.0,0.0,4.0483885292736577e-125,5.2821270976992255e-199,0.0,8.69617472805022e-210,3.790134144728334e-183,3.213879277914721e-193,0.0,2.552077856388722e-89,0.0,2.958110899352195e-30,6.377694731365183e-134,1.2104076244886646e-110,7.486984133654857e-20,5.313414991490682e-16,-140.0
1.3605514858649176e-92,2.9873657322627047e-51,0.0,0.0,7.139619722331696e-66,1.2500362210652688e-283,8.554998175798214e-20,7.8859373234808e-47,0.0,3.1188666152189284e-217,9.314154140202589e-72,4.3237405719229274e-88,6.201336416689874e-94,5.024764226954763e-122,4.8223623251298845e-49,9.472393658184563e-35,9.813319466818211e-248,7.422977754605699e-63,1.1900284675763005e-76,2.0761832239764075e-112,0.0,0.0,0.0,0.0,8.768156952625829e-125,1.949004948372628e-198,0.0,3.324690674643707e-209,1.6150317437414754e-182,1.2946506209584622e-192,0.0,4.95082080880637e-89,0.0,3.511708555092203e-30,1.8528799217874422e-133,2.4515770066947993e-110,8.554998176149395e-20,5.873616842510314e-16,-139.839998399984
2.6869070514860442e-92,4.200021259185491e-51,0.0,0.0,1.256185885557883e-65,1.12123253649733e-282,9.773023520776154e-20,1.0991540398449124e-46,0.0,2.240627789435179e-216,1.7521001577262456e-71,9.150539965489467e-88,1.307446246271858e-93,1.3030835516568292e-121,6.996544531994506e-49,1.2034578231954397e-34,6.396708579191052e-247,1.190346934853719e-62,1.9258339931471127e-76,4.8167820401788235e-112,0.0,0.0,0.0,0.0,1.897016848186116e-124,7.177855107587172e-198,0.0,1.2686793882301137e-208,6.864431132572907e-182,5.203678904159743e-192,0.0,9.593518932154138e-89,0.0,4.167905255738863e-30,5.3728964839989476e-133,4.9604473223373776e-110,9.773023521192957e-20,6.491851512594444e-16,-139.679996799968
5.300295543749084e-92,5.901805167474163e-51,0.0,0.0,2.2077514523468787e-65,1.0019546455029198e-281,1.116179343247072e-19,1.531169801774353e-46,0.0,1.6033445827813381e-215,3.29172124115539e-71,1.9337817405180775e-87,2.75284847356629e-93,3.373699599824521e-121,1.0144256574311776e-48,1.5283692426927707e-34,4.15661687616848e-246,1.9072798637480104e-62,3.1144496182004857e-76,1.1159251502848802e-111,0.0,0.0,0.0,0.0,4.099876778096561e-124,2.63848168489094e-197,0.0,4.8320361391139576e-208,2.9102148306616016e-181,2.0869078782563533e-191,0.0,1.8569324565785512e-88,0.0,4.945526906647929e-30,1.5550606157608272e-132,1.0026689317120809e-109,1.1161793432965286e-19,7.174020814130701e-16,-139.519995199952
1.0443770293393788e-91,8.288740323068503e-51,0.0,0.0,3.87582259140268e-65,8.920305153413745e-281,1.274485891008251e-19,2.1318061233239477e-46,0.0,1.1427947957150475e-214,6.17640526470576e-71,4.080767267295481e-87,5.788428662552412e-93,8.72003300552367e-121,1.469838791361595e-48,1.9402244932528647e-34,2.692565210029756e-245,3.053519911005563e-62,5.0332063431473056e-76,2.5816650165870192e-111,0.0,0.0,0.0,0.0,8.85130209758764e-124,9.680351589041454e-197,0.0,1.8369025379198534e-207,1.2306726657470163e-180,8.350855110484473e-191,0.0,3.590308095042804e-88,0.0,5.866818576670914e-30,4.492249014894584e-132,2.0246767154348588e-109,1.274485891066921e-19,7.92661521394317e-16,-139.359993599936
2.055532354341093e-91,1.1634895457527823e-50,0.0,0.0,6.796652117732369e-65,7.912079389528253e-280,1.4548964942051552e-19,2.9664129662060324e-46,0.0,8.113231599802286e-214,1.1574363894890949e-70,8.59903739588174e-87,1.2155112358627408e-92,2.250129017120034e-120,2.128296065305277e-48,2.462078836504233e-34,1.7387424860879817e-244,4.884639932685433e-62,8.128475941706531e-76,5.964189960062802e-111,0.0,0.0,0.0,0.0,1.9088872021690247e-123,3.5449150248678855e-196,0.0,6.969790199904363e-207,5.191072179414404e-180,3.334214228916651e-190,0.0,6.934014896708281e-88,0.0,6.958058990468918e-30,1.2952630384395512e-131,4.0842774084167885e-109,1.454896494274738e-19,8.756771354428224e-16,-139.19999199992
4.0411140195058443e-91,1.6323253408244928e-50,0.0,0.0,1.190539019793112e-64,6.9916686515539556e-279,1.6604476081492294e-19,4.12548556206903e-46,0.0,5.737249376848262e-213,2.1662426068146295e-70,1.8093870893485144e-86,2.5490431310731967e-92,5.79661270170125e-120,3.079691658770222e-48,3.123044741348706e-34,1.1193015494432071e-243,7.807460967432629e-62,1.3118206951440647e-75,1.3759092750028802e-110,0.0,0.0,0.0,0.0,4.1123503992094136e-123,1.295681261851062e-195,0.0,2.639556408511573e-206,2.1840802331415615e-179,1.3282839785300438e-189,0.0,1.3376893311149703e-87,0.0,8.250284270286903e-30,3.7276040428063764e-131,8.230688957093904e-109,1.6604476082317353e-19,9.672335074565118e-16,-139.03999039990399
7.935744423393401e-91,2.2888706285106464e-50,0.0,0.0,2.0830978341848218e-64,6.15531547720541e-278,1.8945857683504198e-19,5.734269335720842e-46,0.0,4.0410834213380075e-212,4.0491668064433734e-70,3.801778195141276e-86,5.3384515341532235e-92,1.4907977217547238e-119,4.453436751830813e-48,3.9598682425201805e-34,7.18293185531859e-243,1.2469026692457087e-61,2.1156352538816327e-75,3.1696760806814775e-110,0.0,0.0,0.0,0.0,8.84986613634999e-123,4.7268103490661616e-195,0.0,9.97745643938287e-206,9.165942255212812e-179,5.279870247796783e-189,0.0,2.5777642552912187e-87,0.0,9.78014013569612e-30,1.070728163843738e-130,1.656984939467715e-108,1.894585768448225e-19,1.0681930444633592e-15,-138.879988799888
1.5566250758275347e-90,3.2077909328308034e-50,0.0,0.0,3.640769143501209e-64,5.398822784187278e-277,2.161221994360716e-19,7.966006549548507e-46,0.0,2.835150635842165e-211,7.559148128248162e-70,7.976561218698366e-86,1.1165375633665435e-91,3.8277250031728537e-119,6.435706030900217e-48,5.018911575897818e-34,4.595144683693159e-242,1.9897602673068902e-61,3.409636460530828e-75,7.29166521035192e-110,0.0,0.0,0.0,0.0,1.9024797119480342e-122,1.7211385348534998e-194,0.0,3.7643186903657723e-205,3.836919196577195e-178,2.0940663949084456e-188,0.0,4.961906450872438e-87,0.0,1.1590885108668134e-29,3.0697734757148916e-130,3.332440057032556e-108,2.1612219944766301e-19,1.1795035375312445e-15,-138.719987199872
3.0499319759912976e-90,4.493255873546336e-50,0.0,0.0,6.356148820276871e-64,4.717665061942214e-276,2.4647932773494714e-19,1.1060195049820936e-45,0.0,1.98124733650441e-210,1.409381793451434e-69,1.6711609106455972e-85,2.332122111777584e-91,9.811610742426148e-119,9.294156158024377e-48,6.358645765129234e-34,2.9304845547935575e-241,3.172593432743326e-61,5.491314552455772e-75,1.6750404969744576e-109,0.0,0.0,0.0,0.0,4.0854519780668194e-122,6.255198982681107e-194,0.0,1.4175245153428391e-204,1.602083684109949e-177,8.286908177617295e-188,0.0,9.54050553457534e-87,0.0,1.3733571183730753e-29,8.78437936447543e-130,6.695261514505317e-108,2.4647932774868133e-19,1.3022064412811022e-15,-138.559985599856
