0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,1.82891220786e-14,1.26311230045e-32,0.0,2.55903057063e-303,4.39522683708e-61,3.07399872534e-32,3.23682357965e-62,1.485456047e-190,1.26732750085e-309,0.0,1.93983197544e-51,0.0,0.0,1.82891220786e-14,1.87662906164e-26,-140.0
0.0,1.97620386283e-14,1.56824527769e-32,0.0,3.4948874056e-302,6.75527146818e-61,3.7953725912e-32,4.94633202221e-62,5.43869789078e-190,1.0726199184e-308,0.0,2.6923248796e-51,0.0,0.0,1.97620386283e-14,2.22567832837e-26,-139.8399984
0.0,2.13510497303e-14,1.94641608916e-32,0.0,4.74945064906e-301,1.03753704625e-60,4.68447077375e-32,7.55371088194e-62,1.98738791068e-189,9.04896790078e-308,0.0,3.73491499116e-51,0.0,0.0,2.13510497303e-14,2.63896358574e-26,-139.6799968
0.0,2.30650990252e-14,2.41494395639e-32,0.0,6.42252858698e-300,1.59244232704e-60,5.77992274263e-32,1.15279028756e-61,7.24807921698e-189,7.60936522953e-307,0.0,5.17873734068e-51,0.0,0.0,2.30650990252e-14,3.12817786826e-26,-139.5199952
0.0,2.49138025432e-14,2.99521567965e-32,0.0,8.64213783581e-299,2.44243551543e-60,7.12916910049e-32,1.75813863183e-61,2.63824909624e-188,6.37813934726e-306,0.0,7.17723149375e-51,0.0,0.0,2.49138025432e-14,3.70711895165e-26,-139.3599936
0.0,2.69074979487e-14,3.71363159375e-32,0.0,1.15714772926e-297,3.74353410455e-60,8.79045149045e-32,2.67959267725e-61,9.58431864384e-188,5.32887789274e-305,0.0,9.94214127099e-51,0.0,0.0,2.69074979487e-14,4.39206385081e-26,-139.199992
0.0,2.90572972912e-14,4.60276930872e-32,0.0,1.54173205519e-296,5.7337634965e-60,1.08352473539e-31,4.08128859086e-61,3.47503568858e-187,4.43786131376e-304,0.0,1.37655260254e-50,0.0,0.0,2.90572972912e-14,5.2022091632e-26,-139.0399904
0.0,3.13751435044e-14,5.70281485937e-32,0.0,2.044002737e-295,8.77600881106e-60,1.33512479538e-31,6.21210353555e-61,1.25750544284e-186,3.68390036026e-303,0.0,1.90500271985e-50,0.0,0.0,3.13751435044e-14,6.16018869344e-26,-138.8799888
0.0,3.38738709117e-14,7.06332207635e-32,0.0,2.69653784486e-294,1.34231245391e-59,1.64459996177e-31,9.44915391269e-61,4.54164366808e-186,3.04816320285e-302,0.0,2.63504656705e-50,0.0,0.0,3.38738709117e-14,7.29268175596e-26,-138.7199872
0.0,3.65672700139e-14,8.74537467372e-32,0.0,3.53984334362e-293,2.05167932637e-59,2.02513543605e-31,1.43634913814e-60,1.63707591718e-185,2.51399696261e-301,0.0,3.64309834632e-50,0.0,0.0,3.65672700139e-14,8.63112784521e-26,-138.5599856
0.0,3.94701568517e-14,1.08242422769e-31,0.0,4.62395971287e-292,3.13375210639e-59,2.49289079069e-31,2.18192576494e-60,5.88948285154e-185,2.06674774785e-300,0.0,5.03434996316e-50,0.0,0.0,3.94701568517e-14,1.02125660436e-25,-138.399984
0.0,4.25984472579e-14,1.33926420579e-31,0.0,6.01030507087e-291,4.78320604445e-59,3.06766418724e-31,3.31232376474e-60,2.11464798393e-184,1.69358262407e-299,0.0,6.95353773039e-50,0.0,0.0,4.25984472579e-14,1.2080620669e-25,-138.2399824
0.0,4.59692363315e-14,1.65647426205e-31,0.0,7.77376606656e-290,7.29579854176e-59,3.77370339266e-31,5.02502755788e-60,7.57794733854e-184,1.38331630897e-298,0.0,9.59971047458e-50,0.0,0.0,4.59692363315e-14,1.42866583229e-25,-138.0799808
