0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
4.767163433440404e-113,0.0,0.0,0.0,2.5446036788132223e-46,5.054418113337368e-23,1.7305169010938152e-266,9.25811862752282e-77,5.054418113337368e-23,1.649381791115195e-30,-140.0
1.0100574426685775e-112,0.0,0.0,0.0,3.54867179556636e-46,6.005287734634399e-23,1.1095859839083828e-265,1.5379819433540046e-76,6.005287734634399e-23,2.021355189884679e-30,-139.839998399984
2.1377137268882305e-112,0.0,0.0,0.0,4.946193179302106e-46,7.132740339279029e-23,7.094319245849998e-265,2.552999868367259e-76,7.132740339279029e-23,2.4764334727988716e-30,-139.679996799968
4.51929259261167e-112,0.0,0.0,0.0,6.890264107984589e-46,8.469132844140769e-23,4.5229849476844135e-264,4.234687904807334e-76,8.469132844140769e-23,3.0330061483849433e-30,-139.519995199952
9.543524977603335e-112,0.0,0.0,0.0,9.593127554957765e-46,1.0052669707604208e-22,2.875439310344607e-263,7.018803514343938e-76,1.0052669707604208e-22,3.7134921428324415e-30,-139.359993599936
2.0130965758330362e-111,0.0,0.0,0.0,1.3348858347927147e-45,1.1928444642653918e-22,1.822837346028271e-262,1.1624541213533642e-75,1.1928444642653918e-22,4.545213851444526e-30,-139.19999199992
4.2416794651865364e-111,0.0,0.0,0.0,1.8564685029310637e-45,1.4149665162400916e-22,1.1522753691599505e-261,1.9237986631462233e-75,1.4149665162400916e-22,5.561458837241667e-30,-139.03999039990399
8.92747256399776e-111,0.0,0.0,0.0,2.5804212010743788e-45,1.6779091553791925e-22,7.26322149175097e-261,3.1813721577455293e-75,1.6779091553791925e-22,6.802769036785536e-30,-138.879988799888
1.876880588181469e-110,0.0,0.0,0.0,3.5847029472968286e-45,1.9890727247916755e-22,4.5652750327021366e-260,5.257029252515749e-75,1.9890727247916755e-22,8.318505708567969e-30,-138.719987199872
3.941506090158565e-110,0.0,0.0,0.0,4.977087772419421e-45,2.3571803826276346e-22,2.8613386000855226e-259,8.680352697089323e-75,2.3571803826276346e-22,1.0168748474723752e-29,-138.559985599856
8.268090130103059e-110,0.0,0.0,0.0,6.906483552046258e-45,2.7925111219194496e-22,1.7882828414124377e-258,1.4322057399984804e-74,2.7925111219194496e-22,1.2426599019826085e-29,-138.39998399984
1.7324696825728446e-109,0.0,0.0,0.0,9.57851578664365e-45,3.3071732186621903e-22,1.1144685418991105e-257,2.3612637973297024e-74,3.3071732186621903e-22,1.5180974751029366e-29,-138.239982399824
3.626131299385254e-109,0.0,0.0,0.0,1.327697116859989e-44,3.9154250121699566e-22,6.925706255302293e-257,3.8900453789251465e-74,3.9154250121699566e-22,1.8539995508857782e-29,-138.079980799808
7.581215616682288e-109,0.0,0.0,0.0,1.8393287546804672e-44,4.634051081463398e-22,4.291656653972164e-256,6.4037723829042635e-74,4.634051081463398e-22,2.263508786908072e-29,-137.919979199792
1.5832577133438582e-108,0.0,0.0,0.0,2.546708652527413e-44,5.482803232617027e-22,2.651859561203196e-255,1.0533875144790129e-73,5.482803232617027e-22,2.762595744017727e-29,-137.759977599776
3.3027965128992806e-108,0.0,0.0,0.0,3.52418519723105e-44,6.484917285690328e-22,1.63395736563161e-254,1.7314561863294e-73,6.484917285690328e-22,3.3706610735212274e-29,-137.59997599976
6.882234450094386e-108,0.0,0.0,0.0,4.874137054829414e-44,7.667718482051406e-22,1.0039118229805075e-253,2.843844899222488e-73,7.667718482051406e-22,4.1112645758896264e-29,-137.439974399744
1.4324997338227944e-107,0.0,0.0,0.0,6.737461653119694e-44,9.063330465266565e-22,6.150565759358934e-253,4.6673607236002997e-73,9.063330465266565e-22,5.013007569367251e-29,-137.279972799728
2.9783592251823286e-107,0.0,0.0,0.0,9.307958348669655e-44,1.0709505269576285e-21,3.7575019286835246e-252,7.654342446332497e-73,1.0709505269576285e-21,6.1106004545037e-29,-137.11997119971198
6.185531831696846e-107,0.0,0.0,0.0,1.2852041268855323e-43,1.2650594635181444e-21,2.2890116706884784e-251,1.2543405705577803e-72,1.2650594635181444e-21,7.446153917790653e-29,-136.959969599696
1.2832003095204194e-106,0.0,0.0,0.0,1.773574136522914e-43,1.4938686323862174e-21,1.3904694470857286e-250,2.0539700702810782e-72,1.4938686323862174e-21,9.070740107568234e-29,-136.79996799968
2.6590671581257707e-106,0.0,0.0,0.0,2.4461671961332385e-43,1.763493300665171e-21,8.42247135923932e-250,3.360808854925563e-72,1.763493300665171e-21,1.1046279605841183e-28,-136.639966399664
5.504040203568085e-106,0.0,0.0,0.0,3.3719605428655045e-43,2.0811105823994034e-21,5.087240669446228e-249,5.494960501261083e-72,2.0811105823994034e-21,1.3447821431382466e-28,-136.479964799648
1.1380237607537738e-105,0.0,0.0,0.0,4.645563337623366e-43,2.455140997808088e-21,3.0640064399542802e-248,8.977520334597494e-72,2.455140997808088e-21,1.6366297026787025e-28,-136.31996319963199
2.350382273249983e-105,0.0,0.0,0.0,6.396668471041176e-43,2.8954605822485025e-21,1.8401859579884546e-247,1.4656129048404477e-71,2.8954605822485025e-21,1.991184566508776e-28,-136.159961599616
4.848898765815268e-105,0.0,0.0,0.0,8.8029625600341e-43,3.413648599948062e-21,1.1020426432912235e-246,2.3908549205714003e-71,3.413648599948062e-21,2.421782851111425e-28,-135.9999599996
9.992293275440317e-105,0.0,0.0,0.0,1.2107749365467954e-42,4.023276739464744e-21,6.581118880620238e-246,3.897249652368881e-71,4.023276739464744e-21,2.9445672348062184e-28,-135.839958399584
2.0568596952995845e-104,0.0,0.0,0.0,1.664399379640399e-42,4.740246620971723e-21,3.918913889772666e-245,6.3479615974301754e-71,4.740246620971723e-21,3.5790712519465334e-28,-135.679956799568
4.229232929673031e-104,0.0,0.0,0.0,2.2867106977900907e-42,5.583183550344879e-21,2.3269998458805054e-244,1.0331929043585198e-70,5.583183550344879e-21,4.3489238883898305e-28,-135.519955199552
8.686323167268977e-104,0.0,0.0,0.0,3.1399624688729173e-42,6.5738957353582076e-21,1.3778173110509234e-243,1.6803494159344972e-70,6.5738957353582076e-21,5.282698966161395e-28,-135.359953599536
1.7820824843125299e-103,0.0,0.0,0.0,4.30920590237854e-42,7.737909662395212e-21,8.134887816159104e-243,2.7307933974500706e-70,7.737909662395212e-21,6.41493873162647e-28,-135.19995199951998
