1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Aiba 2014,7-Akai 2000,8-Albert 2008,9-Amin 2005,11-Bankston 2007a,12-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Beckermann 2014,16-Bezzina 2003,17-Calloe 2011,18-Casini 2007,19-Chang 2004,20-Chen 2016,21-Cordeiro 2006,22-Crotti 2012a,23-Deschenes 2000,24-Detta 2014,25-Ellinor 2008,26-Ge 2008,27-Gosselin-Badaroudine 2012,28-Groenewegen 2003a,29-Hayashi 2015,30-Hsueh 2009,31-Hu 2007,34-Huang 2009,35-Itoh 2005a,36-Itoh 2005b,38-Juang 2014a,39-Kato 2014,40-Keller 2005,41-Keller 2006,42-Lin 2008,44-Lupoglazoff 2001,45-Makita 2002,46-Makita 2005,47-Makita 2008,48-Makiyama 2008,49-Marangoni 2011,50-Mohler 2004,51-Mok 2003,52-Moreau 2013,53-Nakajima 2015,54-Neu 2010,55-Nguyen 2008,56-Otagiri 2008,57-Rivolta 2001,58-Rossenbacker 2004,59-Ruan 2007,60-Ruan 2010,61-Saber 2015,62-Samani 2009,63-Shuraih 2007,64-Smits 2005a,65-Smits 2005b,66-Sottas 2013,67-Swan 2014,68-Tan 2001,69-Viswanathan 2003,70-Wang 2002,71-Wang 2007a,72-Wang 2007b,73-Wang 2008,74-Wang 2016,75-Wedekind 2001,76-Wehrens 2003,78-Yang 2002,79-Zeng 2013,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,3.3936475844720093e-93,0.0,0.0,1.0473099456991647e-51,0.0,7.911765856111415e-135,5.211572540063517e-32,5.929949403889968e-119,0.0,2.4224071515452893e-33,0.0,2.008746827805265e-152,1.9989104264607823e-66,6.847127583768093e-285,0.0,3.692211353437334e-20,1.0896795916400816e-84,0.0,0.0,9.316518732149485e-97,4.907729861474039e-304,5.895340021206313e-33,2.7886067713021614e-47,1.233135e-317,0.0,1.7395155692791642e-49,1.5181877522722872e-42,6.377806647551209e-56,0.0,5.539088343383417e-24,1.5731946596359067e-48,2.4386875822567984e-72,0.0,3.0556344486416797e-34,1.8019095314817443e-122,9.539296048658436e-123,1.6380553434387387e-49,4.048984550821428e-144,3.6753146158614047e-35,1.4851086148419277e-302,2.280908520616069e-63,5.100757847217237e-102,1.3555354040385741e-235,1.815726012011311e-53,0.0,4.406976698152164e-113,0.0,0.0,0.0,0.0,1.99646557608016e-125,1.2401793608210516e-96,0.0,2.152512337738817e-120,8.359053016465534e-29,0.0,5.72325427955776e-240,1.8691072494550688e-183,5.731000627043609e-103,3.267813905184972e-119,0.0,9.228858334648138e-44,0.0,1.25855894287663e-89,1.0079533753369239e-38,0.0,1.4869714253645276e-22,6.879513009656897e-138,3.707634984890449e-20,1.600767354079227e-19,-140.0
0.0,0.0,0.0,0.0,0.0,6.709568971388635e-93,0.0,0.0,1.4732214570062653e-51,0.0,1.829703430685696e-134,6.514132100809231e-32,1.4812651069479e-118,0.0,3.0075936832420534e-33,0.0,5.919597901776615e-152,3.52090835621837e-66,6.164562186075298e-284,0.0,4.218903209982681e-20,2.1737430722418896e-84,0.0,0.0,1.7948277897850582e-96,6.70252379156417e-303,7.278796750245213e-33,3.8889553924014906e-47,1.3248122e-316,0.0,2.531695576915714e-49,2.0178276892615988e-42,9.383113960486476e-56,0.0,6.5811372434349576e-24,2.1936044340907577e-48,4.593281493798536e-72,0.0,3.88801729624041e-34,4.6272902763598147e-122,2.4779659201420755e-122,2.3781512836256967e-49,1.1846054845973402e-143,4.6713174204745785e-35,1.3988746393519888e-301,3.6606465639151396e-63,1.119976404717293e-101,7.324415563866693e-235,2.737905120157044e-53,0.0,1.0238711789472694e-112,0.0,0.0,0.0,0.0,4.324022606774381e-125,2.394667490598365e-96,0.0,5.203677554274482e-120,1.0108849635583021e-28,0.0,2.7085473515588304e-239,7.964540106122345e-183,1.1967851738502635e-102,8.218029374876732e-119,0.0,1.2617432251693252e-43,0.0,2.441500672836018e-89,1.3124326825247687e-38,0.0,1.7445566969118246e-22,1.7560005409834763e-137,4.237006900792579e-20,1.8196814948497645e-19,-139.839998399984
0.0,0.0,0.0,0.0,0.0,1.3250500527876383e-92,0.0,0.0,2.0712433606942148e-51,0.0,4.226510163048697e-134,8.139112846492913e-32,3.694267090355029e-118,0.0,3.732852773740158e-33,0.0,1.7414780323099193e-151,6.194889298641616e-66,5.529365933411491e-283,0.0,4.819573243122487e-20,4.330735865169954e-84,0.0,0.0,3.4542642696813725e-96,9.108535491341909e-302,8.983916552400113e-33,5.420485675947514e-47,1.417762047e-315,0.0,3.682167464448101e-49,2.6806802509194996e-42,1.3795978617969855e-55,0.0,7.816701741675648e-24,3.0570366218288743e-48,8.640493928512991e-72,0.0,4.945091958165961e-34,1.1863523460184371e-121,6.426165460225459e-122,3.450350728106879e-49,3.459607307376948e-143,5.934860497950114e-35,1.3128377842458969e-300,5.870204062292314e-63,2.4557780945682347e-101,3.947089251914507e-234,4.125398246953597e-53,0.0,2.375399362279968e-112,0.0,0.0,0.0,0.0,9.355151580095915e-125,4.619191448349414e-96,0.0,1.256159608612198e-119,1.2221067205926594e-28,0.0,1.2789828029509325e-238,3.385198914693489e-182,2.4962395519036936e-102,2.0633988162772245e-118,0.0,1.7241005729222915e-43,0.0,4.731050432295191e-89,1.7081451432042924e-38,0.0,2.046152015717949e-22,4.475833462317917e-137,4.8408164456843676e-20,2.0681073970980694e-19,-139.679996799968
0.0,0.0,0.0,0.0,0.0,2.6138443777392744e-92,0.0,0.0,2.9104792606721896e-51,0.0,9.751626790244425e-134,1.01655366978027e-31,9.19893358661898e-118,0.0,4.631399368427272e-33,0.0,5.114492930259845e-151,1.0887541408833923e-65,4.9411461970006996e-282,0.0,5.50444607628693e-20,8.61706312106903e-84,0.0,0.0,6.641283000719564e-96,1.2317178112010259e-300,1.1084783342027336e-32,7.550974364914618e-47,1.511324785e-314,0.0,5.351856750175316e-49,3.559658178423316e-42,2.0271594658496373e-55,0.0,9.281241473030979e-24,4.2580371061206674e-48,1.6233145846793705e-71,0.0,6.286949168598332e-34,3.036643647084342e-121,1.6637422684066131e-121,5.002647077742793e-49,1.0085683138129129e-142,7.537163388621883e-35,1.2275947698064564e-299,9.405763711634024e-63,5.377438475890726e-101,2.1214010283141213e-233,6.211446838072819e-53,0.0,5.503192521952833e-112,0.0,0.0,0.0,0.0,2.0218570412530985e-124,8.901162547918795e-96,0.0,3.027952029029454e-119,1.4769958220426725e-28,0.0,6.025982408282752e-238,1.435174437038598e-181,5.200446527899004e-102,5.172539070427573e-118,0.0,2.3546308160256717e-43,0.0,9.157475128332582e-89,2.2222025653840407e-38,0.0,2.3991701284903635e-22,1.1392145331721048e-136,5.529365916500903e-20,2.3499647455140476e-19,-139.519995199952
0.0,0.0,0.0,0.0,0.0,5.150352473454471e-92,0.0,0.0,4.087597967540632e-51,0.0,2.2473264587762245e-133,1.269159746496517e-31,2.2869694827689195e-117,0.0,5.744249248634945e-33,0.0,1.499498218190226e-150,1.9113645656232397e-65,4.399054596204039e-281,0.0,6.285135900862609e-20,1.712383142523837e-83,0.0,0.0,1.2755928169014025e-95,1.6573962972783002e-299,1.3672379096826373e-32,1.051301649858385e-46,1.60478804007e-313,0.0,7.773459054527658e-49,4.724696558292565e-42,2.9768242452978463e-55,0.0,1.1016624337100502e-23,5.927679531214174e-48,3.0458984867042104e-71,0.0,7.989597831689116e-34,7.76009707599235e-121,4.300290249299344e-121,7.248520066988688e-49,2.9350079450370504e-142,9.56823037768536e-35,1.1436962119563727e-298,1.5058454355643872e-62,1.1758931501106395e-100,1.1371309010852317e-232,9.345425346169371e-53,0.0,1.2731498711935985e-111,0.0,0.0,0.0,0.0,4.365025691961028e-124,1.7135134852805717e-95,0.0,7.288243517553426e-119,1.7844818703205302e-28,0.0,2.8328651112928507e-237,6.069070680396244e-181,1.0821297221207309e-101,1.2945818007272993e-117,0.0,3.214042857343724e-43,0.0,1.7705628961854923e-88,2.8897059970638107e-38,0.0,2.8122539620065107e-22,2.895472462717427e-136,6.314360120775925e-20,2.669685825019738e-19,-139.359993599936
0.0,0.0,0.0,0.0,0.0,1.0136871884421828e-91,0.0,0.0,5.737756663986324e-51,0.0,5.1730800284656415e-133,1.5839264100271047e-31,5.676713147220165e-117,0.0,7.122033193496596e-33,0.0,4.388823489998783e-150,3.351773647100894e-65,3.9018473701783166e-280,0.0,7.174832026217203e-20,3.398495547785511e-83,0.0,0.0,2.4475737933541514e-95,2.2191874259742978e-298,1.6858400118666085e-32,1.4628885860742077e-46,1.69739520162e-312,0.0,1.1283219607292816e-48,6.26818621983226e-42,4.368661087162429e-55,0.0,1.307226810153854e-23,8.247578638407328e-48,5.707905482411974e-71,0.0,1.0149140906315953e-33,1.9798562811571513e-120,1.1096526659770031e-120,1.0495706623423285e-48,8.525869678202332e-142,1.21417586457743e-34,1.0616418428539431e-297,2.4088635284476107e-62,2.5678304933940167e-100,6.0791100591824034e-232,1.4050273547568612e-52,0.0,2.9412443638665873e-111,0.0,0.0,0.0,0.0,9.413690312066422e-124,3.2952498327139036e-95,0.0,1.7517272192464637e-118,2.1553001145761967e-28,0.0,1.3287975354538197e-236,2.559980800807103e-180,2.249066679696148e-101,3.234896052492447e-117,0.0,4.38479320660466e-43,0.0,3.41951419563696e-88,3.7560798329419005e-38,0.0,3.295477655065431e-22,7.348787436008601e-136,7.209094051149364e-20,3.0322814821650336e-19,-139.19999199992
0.0,0.0,0.0,0.0,0.0,1.9928781466056218e-91,0.0,0.0,8.04982359858654e-51,0.0,1.1893951634165635e-132,1.9759977478353394e-31,1.406848146653213e-116,0.0,8.827228811239227e-33,0.0,1.2823573478918374e-149,5.87115133048658e-65,3.447946184327978e-279,0.0,8.188508752516748e-20,6.736224595980115e-83,0.0,0.0,4.691623742463307e-95,2.9567464072098807e-297,2.077992643219786e-32,2.0344860306093845e-46,1.788354772029e-311,0.0,1.6366682493284008e-48,8.312127630885328e-42,6.407275434086769e-55,0.0,1.5506482369754426e-23,1.1469241254551172e-47,1.0682840252784475e-70,0.0,1.2887035898569657e-33,5.043051053523392e-120,2.858603524126644e-120,1.5187520509003833e-48,2.472256606328979e-141,1.5401316532678548e-34,9.818769456642636e-297,3.850254723665406e-62,5.59977947493867e-100,3.241241635476832e-231,2.1108136497947156e-52,0.0,6.785306013712834e-111,0.0,0.0,0.0,0.0,2.028008416048478e-123,6.330662950205788e-95,0.0,4.204165464809704e-118,2.6023523767224544e-28,0.0,6.219086737434213e-236,1.0770806629191262e-179,4.668847112349802e-101,8.07042261351215e-117,0.0,5.978815910428585e-43,0.0,6.596824098649168e-88,4.880081891668234e-38,0.0,3.8605799191936187e-22,1.862491316384809e-135,8.228665225992048e-20,3.4434154323008565e-19,-139.03999039990399
0.0,0.0,0.0,0.0,0.0,3.913517797837841e-91,0.0,0.0,1.128758118169634e-50,0.0,2.7314740453054357e-132,2.4641697646275244e-31,3.4810574446483265e-116,0.0,1.0936905209750397e-32,0.0,3.740492633993645e-149,1.0272811237075833e-64,3.035498043553353e-278,0.0,9.343162693234947e-20,1.3334922751239524e-82,0.0,0.0,8.984092355928262e-95,3.92000524903564e-296,2.560513306204264e-32,2.8278588504924697e-46,1.87685102717376e-310,0.0,2.3724505254010354e-48,1.101754567621264e-41,9.391356192931461e-55,0.0,1.838804553840211e-23,1.594077329798354e-47,1.9968493839994717e-70,0.0,1.635671880449547e-33,1.282467154978972e-119,7.351879175776721e-120,2.1962153844645107e-48,7.156057961489483e-141,1.952811736037349e-34,9.047899958950957e-296,6.149109053814454e-62,1.2194993636537208e-99,1.7235531088242688e-230,3.168796978423716e-52,0.0,1.5631279301990846e-110,0.0,0.0,0.0,0.0,4.364317546693146e-123,1.214982611565161e-94,0.0,1.0075412626433798e-117,3.1411392690240588e-28,0.0,2.9042185550164643e-235,4.520190701200839e-179,9.680578011560713e-101,2.010191072444692e-116,0.0,8.14797822298672e-43,0.0,1.27122620808882e-87,6.337683483627711e-38,0.0,4.521234840599146e-22,4.713626339446429e-135,9.390213877634649e-20,3.909487949953934e-19,-138.879988799888
0.0,0.0,0.0,0.0,0.0,7.676507223259075e-91,0.0,0.0,1.5819242956425878e-50,0.0,6.26558934365497e-132,3.071761818194118e-31,8.59980989929712e-116,0.0,1.3546097132718294e-32,0.0,1.0891992466747325e-148,1.7954477967951166e-64,2.6624331538457806e-277,0.0,1.0658081068080245e-19,2.6363832366616053e-82,0.0,0.0,1.7186557351206152e-94,5.171442442206551e-295,3.154027323945448e-32,3.928441586078716e-46,1.96205575109311e-309,0.0,3.436707434418563e-48,1.4596874027989172e-41,1.3756663401810287e-54,0.0,2.1798057257990964e-23,2.2143718763947853e-47,3.727799076944299e-70,0.0,2.075194128618249e-33,3.2560594464341105e-119,1.887645207044147e-119,3.1737728371562717e-48,2.0676622575344643e-140,2.4750796812646776e-34,8.307114725788323e-295,9.81251638671891e-62,2.6521514022034954e-99,9.140707027789033e-230,4.7535530360109694e-52,0.0,3.59588969277629e-110,0.0,0.0,0.0,0.0,9.38209173015469e-123,2.3294369408099734e-94,0.0,2.411102096969271e-117,3.79027761340078e-28,0.0,1.3532151754944725e-234,1.8921793298188907e-178,2.004828562098939e-100,4.999004379765267e-116,0.0,1.1098215418441188e-42,0.0,2.446967564813805e-87,8.227068670632489e-38,0.0,5.293366030306873e-22,1.1912375418687322e-134,1.0713194572047347e-19,4.437730106415366e-19,-138.719987199872
0.0,0.0,0.0,0.0,0.0,1.5040760429546124e-90,0.0,0.0,2.2158522116118913e-50,0.0,1.4355579053402008e-131,3.8276937705431033e-31,2.121193101310791e-115,0.0,1.6771951429059305e-32,0.0,3.166245969872224e-148,3.1345391442461284e-64,2.3265197565742427e-276,0.0,1.2155144929394654e-19,5.2055985269374496e-82,0.0,0.0,3.2844845772076304e-94,6.788740659004008e-294,3.8838213841988865e-32,5.4543427642952554e-46,2.04314082335784e-308,0.0,4.975043140339178e-48,1.9330238133333956e-41,2.01385310510464e-54,0.0,2.583211378222065e-23,3.074384648454957e-47,6.950375967705702e-70,0.0,2.631725965979329e-33,8.253375163233703e-119,4.8386025579087855e-119,4.583419475190104e-48,5.963631479072036e-140,3.135770514310307e-34,7.599137765481225e-294,1.5645666243665717e-61,5.759982033079797e-99,4.834780557409584e-229,7.125603938394352e-52,0.0,8.260473683709654e-110,0.0,0.0,0.0,0.0,2.0147434412384316e-122,4.461612820871057e-94,0.0,5.761533336700439e-117,4.572119652537588e-28,0.0,6.291284211079464e-234,7.900686661364132e-178,4.1470331608877955e-100,1.241180116211675e-115,0.0,1.510862888386524e-42,0.0,4.70490683896866e-87,1.0675072648378255e-37,0.0,6.195510945032166e-22,3.0062418471053988e-134,1.2219683295988525e-19,5.0363098602768375e-19,-138.559985599856
