0-Abe 2014,4-Bebarova 2008,5-Beyder 2010,6-Beyder 2014,7-Bezzina 2003,8-Calloe 2011,9-Calloe 2013,10-Cheng 2010,11-Cheng 2010,12-Cheng 2010,13-Cheng 2010,14-Cheng 2011,15-Cheng 2011,16-Clatot 2012,18-Groenewegen 2003a,19-Groenewegen 2003b,20-Guetter 2013,21-Guetter 2013,22-Gui 2010a,23-Gui 2010a,24-Gui 2010b,25-Holst 2009,27-Hu 2015,28-Hu 2015,29-Huang 2006,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Kapplinger 2015,35-Kapplinger 2015,36-Kapplinger 2015,37-Kapplinger 2015,38-Kapplinger 2015,39-Kapplinger 2015,40-Kapplinger 2015,41-Kapplinger 2015,42-Kapplinger 2015,43-Kapplinger 2015,44-Kapplinger 2015,45-Kapplinger 2015,46-Kapplinger 2015,47-Kapplinger 2015,48-Kapplinger 2015,49-Kapplinger 2015,50-Kapplinger 2015,51-Kapplinger 2015,52-Kapplinger 2015,53-Kapplinger 2015,54-Kapplinger 2015,55-Kapplinger 2015,56-Kapplinger 2015,57-Li 2009,58-Liu 2003a,61-Medeiros-Domingo 2007,62-Medeiros-Domingo 2009,63-Murphy 2012,65-Olesen 2012,66-Pfahnl 2007,68-Rook 1999,72-Shirai 2002,73-Shy 2014,74-Splawski 2002,75-Surber 2008,76-Surber 2008,77-Tan 2002,78-Tan 2005,79-Tan 2005,80-Tan 2005,81-Tan 2005,82-Tan 2005,83-Tan 2005,84-Tan 2005,85-Tan 2005,86-Tan 2005,87-Tan 2005,88-Tan 2005,89-Tan 2005,90-Tan 2005,91-Tan 2005,92-Tan 2005,93-Tan 2006,94-Tan 2006,95-Tarradas 2013,96-Tester 2010,97-Tsurugi 2009,98-Valdivia 2004,100-Vatta 2002b,101-Wang 1996,103-Wang 2015,104-Watanabe 2011b,105-Watanabe 2011b,107-Winkel 2012,108-Ye 2003,109-Ye 2003,110-Yokoi 2005,111-Young 2005,112-Zhang 2008,113-Zhang 2015,sum,gauss,x
2.01025413992e-55,3.85225327955e-114,1.40115452466e-09,4.84677781663e-165,2.58634049596e-15,0.0,0.0,4.68907779237e-250,1.23289867877e-222,9.35393525084e-189,0.0,2.64426163398e-201,6.51214442853e-74,1.22676255442e-49,6.21547229486e-62,4.57732627426e-63,2.10304116231e-173,2.10064491495e-191,2.73566865498e-217,1.79218030423e-310,0.0,0.0,1.22787403763e-143,1.76122508463e-32,1.57244486225e-218,0.0,0.0,0.0,2.89745108994e-195,4.62347822704e-94,4.99913829568e-118,3.08670722156e-94,1.87128159917e-220,0.0,2.70733252894e-79,2.63529372224e-112,3.02342286788e-52,5.8234671808e-98,1.23986195721e-75,3.08670722156e-94,2.9988054053e-58,3.02342286788e-52,1.29360658543e-228,2.04147221163e-194,1.77796161325e-90,2.03672203298e-131,4.62347822704e-94,1.23986195721e-75,1.84531122028e-237,4.62347822704e-94,1.9240969972e-142,5.23009039891e-97,7.41845520977e-89,1.0681542227e-94,5.45739536507e-249,2.00323525069e-187,1.9914490623e-20,2.67217024088e-77,0.0,0.0,2.13009925213e-314,1.92077349007e-199,3.16224535565e-210,2.74319673295e-52,8.37312463203e-187,5.18262701767e-263,4.15474185864e-96,6.05118316795e-98,2.18389058115e-250,2.13671963697e-188,0.0,6.77305070322e-28,0.0,3.61640508037e-142,3.61640508037e-142,1.01138557737e-136,3.29055839033e-34,0.0,1.10437396099e-184,9.86704445465e-72,0.0,4.9394753722e-167,7.77899969562e-82,0.0,4.57702725644e-134,1.16868337379e-193,9.0816385073e-39,0.0,2.58835380132e-47,0.0,1.39839749583e-267,2.55301686695e-99,1.07567669067e-30,2.51993289843e-12,1.01579123215e-10,2.3191617205e-134,7.48130798184e-78,0.0,4.40148227087e-111,1.50525616713e-09,7.2069027961e-32,-140.0
3.07155031984e-55,8.1620803448e-114,1.45135399298e-09,2.07206053019e-164,2.79463172522e-15,0.0,0.0,2.52386802756e-249,5.41908541525e-222,3.42043662059e-188,0.0,1.09519462719e-200,1.08842015595e-73,1.74355522252e-49,9.55290914693e-62,6.9948129607e-63,6.92080945232e-173,7.69108792635e-191,1.21848987759e-216,1.51683624824e-309,0.0,0.0,3.47596873717e-143,2.17576270291e-32,1.13413331463e-217,0.0,0.0,0.0,1.1413289798e-194,8.81808942228e-94,1.10045682088e-117,5.89079398824e-94,8.58347431838e-220,0.0,4.60371868417e-79,5.69007849639e-112,4.1799241616e-52,1.12612615841e-97,2.04469372437e-75,5.89079398824e-94,4.39022929207e-58,4.1799241616e-52,6.51133785708e-228,8.24656113387e-194,3.32928566379e-90,5.05955804149e-131,8.81808942228e-94,2.04469372437e-75,9.96367309107e-237,8.81808942228e-94,5.14166948657e-142,1.00969555951e-96,1.57226929888e-88,2.25503142425e-94,3.56847980612e-248,7.60671930016e-187,2.27843250637e-20,4.32737624573e-77,0.0,0.0,2.701631302e-313,7.08729072136e-199,1.20897842714e-209,3.80732811257e-52,3.32417407152e-186,3.52019136863e-262,8.14217237723e-96,1.19380081678e-97,1.39465615144e-249,8.44162132141e-188,4.94065645841e-324,8.06986174668e-28,0.0,9.92136531906e-142,9.92136531906e-142,2.74701510756e-136,4.10868874318e-34,0.0,4.30291290145e-184,1.62615813486e-71,0.0,1.79792169783e-166,1.41584092365e-81,0.0,1.21856557384e-133,4.70782043985e-193,1.17914800117e-38,0.0,3.59943202801e-47,0.0,8.96635138512e-267,5.47083973027e-99,1.27698492912e-30,2.6794771627e-12,1.06425840805e-10,6.73774517014e-134,1.2428136916e-77,0.0,8.91482547889e-111,1.5604621056e-09,8.94510519873e-32,-139.8399984
4.68959002103e-55,1.72744543587e-113,1.50327278018e-09,8.8331664348e-164,3.0193403659e-15,0.0,0.0,1.35506487608e-248,2.3767263645e-221,1.24827666763e-187,0.0,4.52598455084e-200,1.81766291378e-73,2.47659750192e-49,1.46722410581e-61,1.06820153886e-62,2.27340268767e-172,2.81044755045e-190,5.41494225782e-216,1.27965202637e-308,0.0,0.0,9.82351538786e-143,2.68695079508e-32,8.14773741613e-217,0.0,0.0,0.0,4.48620445519e-194,1.68013365708e-93,2.4195585302e-117,1.12309342133e-93,3.92804392104e-219,0.0,7.82209338381e-79,1.22713347449e-111,5.77607188276e-52,2.17548509693e-97,3.36940927003e-75,1.12309342133e-93,6.42352525137e-58,5.77607188276e-52,3.26920216155e-227,3.32381753663e-193,6.22803148977e-90,1.25510723277e-130,1.68013365708e-93,3.36940927003e-75,5.36563031347e-236,1.68013365708e-93,1.37190320651e-141,1.94730110781e-96,3.32746907836e-88,4.75434998644e-94,2.32607584698e-247,2.88235687914e-186,2.60614183118e-20,7.00303270235e-77,0.0,0.0,3.41107638071e-312,2.61012913003e-198,4.61337959356e-209,5.2816979673e-52,1.31673846426e-185,2.38367079385e-261,1.59394482079e-95,2.35266551953e-97,8.87948257851e-249,3.32766097405e-187,2.96439387505e-323,9.61227157909e-28,0.0,2.71750859788e-141,2.71750859788e-141,7.44897082317e-136,5.12840675814e-34,0.0,1.67279928492e-183,2.67787946348e-71,0.0,6.52973572617e-166,2.57436939945e-81,0.0,3.2390632251e-133,1.89224687424e-192,1.53033716235e-38,0.0,5.00273391574e-47,0.0,5.73278322897e-266,1.1707927249e-98,1.51560191118e-30,2.84883089625e-12,1.11495491302e-10,1.95378053964e-133,2.06303019666e-77,0.0,1.8037990263e-110,1.61762012174e-09,1.10987557123e-31,-139.6799968
7.15455608288e-55,3.65195361019e-113,1.55696682343e-09,3.75487114194e-163,3.26173117528e-15,0.0,0.0,7.25717802245e-248,1.040128387e-220,4.54655318192e-187,0.0,1.86624953125e-199,3.03301344676e-73,3.5157637305e-49,2.25193864429e-61,1.63020848745e-62,7.45428861756e-172,1.02498089937e-189,2.40092838956e-215,1.07607185064e-307,0.0,0.0,2.77157745991e-142,3.31710653142e-32,5.83034393739e-216,0.0,0.0,0.0,1.75962760485e-193,3.19798790268e-93,5.31354702445e-117,2.1390531861e-93,1.79340681736e-218,0.0,1.32795774972e-78,2.64331952627e-111,7.97795266009e-52,4.19844849528e-97,5.54817104762e-75,2.1390531861e-93,9.39305754222e-58,7.97795266009e-52,1.63725701095e-226,1.33670738889e-192,1.16391589037e-89,3.10911303356e-130,3.19798790268e-93,5.54817104762e-75,2.88186381241e-235,3.19798790268e-93,3.65497917489e-141,3.75177849138e-96,7.03193360188e-88,1.00103580857e-93,1.51149704588e-246,1.08989093043e-185,2.9802647058e-20,1.13252713389e-76,0.0,0.0,4.28741905637e-311,9.59447885415e-198,1.75710405059e-208,7.32346694642e-52,5.20397077984e-185,1.60912565628e-260,3.11704460112e-95,4.63153816067e-97,5.63627810033e-248,1.30884181761e-186,3.26083326255e-322,1.14462740906e-27,0.0,7.43148366109e-141,7.43148366109e-141,2.01661239441e-135,6.39892863317e-34,0.0,6.48873435683e-183,4.40627735772e-71,0.0,2.36622107225e-165,4.67619878519e-81,0.0,8.59597336328e-133,7.58875592093e-192,1.98527478912e-38,0.0,6.94934579609e-47,0.0,3.65493733146e-265,2.50225607849e-98,1.7983734206e-30,3.02857831841e-12,1.1679791947e-10,5.65476587549e-133,3.42197002409e-77,0.0,3.64606884259e-110,1.67679658298e-09,1.37662351812e-31,-139.5199952
1.09068937075e-54,7.71193937584e-113,1.61249377385e-09,1.5916160523e-162,3.52316399601e-15,0.0,0.0,3.87694559973e-247,4.54202262111e-220,1.65270680485e-186,0.0,7.67823213532e-199,5.05684385883e-73,4.98802314623e-49,3.45394921374e-61,2.48625665107e-62,2.43975601046e-171,3.73085730782e-189,1.06213093196e-214,9.01959099612e-307,0.0,0.0,7.80649587641e-142,4.09364940823e-32,4.15561743896e-215,0.0,0.0,0.0,6.88709315496e-193,6.08097828729e-93,1.16551587912e-116,4.0699674359e-93,8.16903121532e-218,0.0,2.25264399365e-78,5.68711277507e-111,1.10139981451e-51,8.09440999937e-97,9.12885880724e-75,4.0699674359e-93,1.37273859603e-57,1.10139981451e-51,8.17891085419e-226,5.36377318011e-192,2.17301865021e-89,7.69094347621e-130,6.08097828729e-93,9.12885880724e-75,1.54375220149e-234,6.08097828729e-93,9.72273531745e-141,7.2210887295e-96,1.48391536993e-87,2.10488315002e-93,9.79114621829e-246,4.11247480451e-185,3.40726996935e-20,1.83025685205e-76,0.0,0.0,5.3646272176e-310,3.52012785056e-197,6.67964559244e-208,1.01496202942e-51,2.05205850698e-184,1.08292237249e-259,6.08904934406e-95,9.10808445806e-97,3.56682177174e-247,5.13653359583e-186,3.59679790172e-321,1.3626377628e-27,0.0,2.02901492997e-140,2.02901492997e-140,5.45053991788e-135,7.98137378712e-34,0.0,2.51137193977e-182,7.24444624725e-71,0.0,8.55558897964e-165,8.48556494692e-81,0.0,2.2775913865e-132,3.03667458563e-191,2.57435732608e-38,0.0,9.64813854473e-47,0.0,2.32358732149e-264,5.34083554651e-98,2.13338857333e-30,3.21933724811e-12,1.22343385286e-10,1.63354509633e-132,5.67176041563e-77,0.0,7.3624607834e-110,1.73806001958e-09,1.70690019919e-31,-139.3599936
1.66146058212e-54,1.62674470774e-112,1.66991304538e-09,6.72738422157e-162,3.80510072002e-15,0.0,0.0,2.06597889029e-246,1.97909305423e-219,5.99585984091e-186,0.0,3.15201043168e-198,8.42420586281e-73,7.07264347378e-49,5.2938866125e-61,3.78932297793e-62,7.97070887584e-171,1.35535819206e-188,4.68802997091e-214,7.53578691903e-306,0.0,0.0,2.19509980656e-141,5.05025598802e-32,2.95026603629e-214,0.0,0.0,0.0,2.68982877143e-192,1.15513765283e-92,2.55350746291e-116,7.73613317082e-93,3.71237255133e-217,0.0,3.81810535406e-78,1.22213260857e-110,1.51982373131e-51,1.55899678208e-96,1.50090675224e-74,7.73613317082e-93,2.00500758863e-57,1.51982373131e-51,4.07546928938e-225,2.14753050684e-191,4.05299780564e-89,1.89980994569e-129,1.15513765283e-92,1.50090675224e-74,8.24770570248e-234,1.15513765283e-92,2.58246319087e-140,1.38844789804e-95,3.12692268941e-87,4.42004085768e-93,6.32269994941e-245,1.54848993502e-184,3.89451306252e-20,2.95580943335e-76,0.0,0.0,6.68224336494e-309,1.28906000904e-196,2.5344691636e-207,1.40595937166e-51,8.07354352733e-184,7.2655479831e-259,1.18820866104e-94,1.78922762474e-96,2.25037370996e-246,2.01135155475e-185,3.97080559563e-320,1.62171625575e-27,0.0,5.53095433732e-140,5.53095433732e-140,1.47077944165e-134,9.95161612782e-34,0.0,9.69833009679e-182,1.19012099152e-70,0.0,3.08659315694e-164,1.53827596969e-80,0.0,6.02506417781e-132,1.21244153779e-190,3.33681189655e-38,0.0,1.33877079709e-46,0.0,1.47299987558e-263,1.1384458359e-97,2.53020326926e-30,3.42176096291e-12,1.28142580557e-10,4.71004741251e-132,9.3935686574e-77,0.0,1.48519178488e-109,1.80148119204e-09,2.11569532086e-31,-139.199992
2.52900435136e-54,3.42761976985e-112,1.72928586489e-09,2.83542916876e-161,4.10911274825e-15,0.0,0.0,1.09818698974e-245,8.60473925219e-219,2.17094712694e-185,0.0,1.29106746244e-197,1.40224085766e-72,1.00225815783e-48,8.10835241929e-61,5.77151921939e-62,2.59930867115e-170,4.91419188284e-188,2.06450612195e-213,6.27576347401e-305,0.0,0.0,6.16199627237e-141,6.22827326688e-32,2.08627250067e-213,0.0,0.0,0.0,1.04830292742e-191,2.19208645923e-92,5.58780624202e-116,1.46899592587e-92,1.68314607364e-216,0.0,6.46621732176e-78,2.62318632063e-110,2.09621643907e-51,2.99963830194e-96,2.46582076636e-74,1.46899592587e-92,2.92678965559e-57,2.09621643907e-51,2.02564487476e-224,8.5791282728e-191,7.55197149584e-89,4.68627881049e-129,2.19208645923e-92,2.46582076636e-74,4.39481048035e-233,2.19208645923e-92,6.84891754313e-140,2.66696862788e-95,6.57958941581e-87,9.26924774936e-93,4.07018745252e-244,5.81833132451e-184,4.45035543031e-20,4.77025707325e-76,0.0,0.0,8.28598519973e-308,4.71156822491e-196,9.59838694004e-207,1.94664004399e-51,3.16926245445e-183,4.85962891059e-258,2.31618197327e-94,3.51108128426e-96,1.41550733267e-245,7.85851922448e-185,4.36838022083e-319,1.92951202779e-27,0.0,1.50528945154e-139,1.50528945154e-139,3.96229229979e-134,1.24038116027e-33,0.0,3.73695413947e-181,1.95357277321e-70,0.0,1.11107595097e-163,2.78582253066e-80,0.0,1.59130218025e-131,4.83012355829e-190,4.32323974536e-38,0.0,1.85665845732e-46,0.0,9.31131611442e-263,2.42349012891e-97,3.00010337101e-30,3.63654015636e-12,1.34206646152e-10,1.3554923792e-131,1.5545847783e-76,0.0,2.99297780258e-109,1.86713316036e-09,2.62150188404e-31,-139.0399904
3.8466235311e-54,7.21411924363e-112,1.79067532361e-09,1.1916700432e-160,4.43688898041e-15,0.0,0.0,5.82292171001e-245,3.73304987715e-218,7.84493117489e-185,0.0,5.27648986158e-197,2.33217149034e-72,1.4194560855e-48,1.24105175106e-60,8.78479287855e-62,8.46114469217e-170,1.77829052522e-187,9.07100577484e-213,5.20955606502e-304,0.0,0.0,1.72686192493e-140,7.67844797719e-32,1.46948488049e-212,0.0,0.0,0.0,4.07682856306e-191,4.15571034962e-92,1.22132378737e-115,2.78664019354e-92,7.61344687761e-216,0.0,1.09420760258e-77,5.62372740416e-110,2.88983936026e-51,5.7657553878e-96,4.04799412111e-74,2.78664019354e-92,4.26986669534e-57,2.88983936026e-51,1.00427471528e-223,3.41965160732e-190,1.40577357099e-88,1.15433939936e-128,4.15571034962e-92,4.04799412111e-74,2.33560059253e-232,4.15571034962e-92,1.81364321635e-139,5.11761535121e-95,1.38246479823e-86,1.94125510333e-92,2.61197522012e-243,2.18159151165e-183,5.08429971232e-20,7.69321910502e-76,0.0,0.0,1.02283396959e-306,1.71884012693e-195,3.62816597796e-206,2.6939432402e-51,1.24128578748e-182,3.24042162234e-257,4.51013336293e-94,6.88260611695e-96,8.87674701296e-245,3.06357372548e-184,4.78701686453e-318,2.29508239037e-27,0.0,4.09020503011e-139,4.09020503011e-139,1.06570352866e-133,1.5454760824e-33,0.0,1.4367243629e-180,3.20420747979e-70,0.0,3.99064401016e-163,5.04009049218e-80,0.0,4.19612824809e-131,1.91995281738e-189,5.59888583628e-38,0.0,2.57348061067e-46,0.0,5.86926989232e-262,5.15223723819e-97,3.5564145948e-30,3.86440499888e-12,1.40547189884e-10,3.89355695943e-131,2.57080578404e-76,0.0,6.02539977988e-109,1.93509135544e-09,3.24712700043e-31,-138.8799888
5.84629013566e-54,1.51667118237e-111,1.85414642989e-09,4.99410754021e-160,4.79024437135e-15,0.0,0.0,3.07978110214e-244,1.61601150641e-217,2.82924883913e-184,0.0,2.15167246251e-196,3.87563229083e-72,2.0091337532e-48,1.89821963179e-60,1.33624398765e-61,2.74922792193e-169,6.42252639931e-187,3.97656590584e-212,4.31053382221e-303,0.0,0.0,4.83128680367e-140,9.46304169413e-32,1.03096386758e-211,0.0,0.0,0.0,1.58209145964e-190,7.87039468339e-92,2.66627882405e-115,5.28086243036e-92,3.43581754749e-215,0.0,1.85010425408e-77,1.20421407461e-109,3.98204313245e-51,1.10715184482e-95,6.64031701463e-74,5.28086243036e-92,6.22564620046e-57,3.98204313245e-51,4.96644101693e-223,1.36005178776e-189,2.61421597883e-88,2.83939846895e-128,7.87039468339e-92,6.64031701463e-74,1.23796518599e-231,7.87039468339e-92,4.79538957367e-139,9.81022092284e-95,2.90056771589e-86,4.06013659406e-92,1.67096170316e-242,8.16269081741e-183,5.80714276769e-20,1.23986780383e-75,0.0,0.0,1.25691311525e-305,6.25868558129e-195,1.36884316013e-205,3.72632847866e-51,4.85070565953e-182,2.15408887776e-256,8.77289303276e-94,1.34772626364e-95,5.54983157154e-244,1.19165580863e-183,5.22507473469e-317,2.72914896782e-27,0.0,1.10962249792e-138,1.10962249792e-138,2.86165471332e-133,1.92493024611e-33,0.0,5.51142657827e-180,5.25126848519e-70,0.0,1.43013524564e-162,9.10938208281e-80,0.0,1.1047142691e-130,7.61478689058e-189,7.24784006806e-38,0.0,3.5651094826e-46,0.0,3.68911113754e-261,1.09389632691e-96,4.21486731224e-30,4.10612730719e-12,1.4717630506e-10,1.1162812639e-130,4.24810444648e-76,0.0,1.21179638438e-108,2.00543365256e-09,4.02068850056e-31,-138.7199872
8.87874571021e-54,3.18505542639e-111,1.91976616332e-09,2.08700940753e-159,5.17112909287e-15,0.0,0.0,1.62484893705e-243,6.98038992557e-217,1.01834578964e-183,0.0,8.75471670552e-196,6.43530104631e-72,2.84210596497e-48,2.90136470396e-60,2.03120080141e-61,8.91667070118e-169,2.31505685257e-186,1.73929960656e-211,3.55514721985e-302,0.0,0.0,1.34938863552e-139,1.16584168955e-31,7.20453576911e-211,0.0,0.0,0.0,6.12652499677e-190,1.48905728355e-91,5.81387354558e-115,9.99752416456e-92,1.54692095674e-214,0.0,3.12564548404e-77,2.57553497493e-109,5.48444766062e-51,2.12384008834e-95,1.08844960685e-73,9.99752416456e-92,9.07197554069e-57,5.48444766062e-51,2.44986170953e-222,5.39714282018e-189,4.85667021267e-88,6.97439592196e-128,1.48905728355e-91,1.08844960685e-73,6.54439819466e-231,1.48905728355e-91,1.26601267629e-138,1.87867366969e-94,6.07694876598e-86,8.48044404283e-92,1.0656307472e-241,3.04774188436e-182,6.63114884251e-20,1.99684165544e-75,0.0,0.0,1.53760399168e-304,2.27461781188e-194,5.15463460125e-205,5.15185624732e-51,1.89128781541e-181,1.42754365414e-255,1.70464138293e-93,2.63625375032e-95,3.45931416337e-243,4.62496248352e-183,5.68073374289e-316,3.24439985582e-27,0.0,3.00545717227e-138,3.00545717227e-138,7.67165371354e-133,2.39669784758e-33,0.0,2.10954832263e-179,8.59924602317e-70,0.0,5.11382796725e-162,1.64477008966e-79,0.0,2.90373038386e-130,3.0134211555e-188,9.37843317661e-38,0.0,4.93614527329e-46,0.0,2.31219280815e-260,2.31943491677e-96,4.99402588499e-30,4.36252282792e-12,1.54106589724e-10,3.1943197689e-130,7.01442642189e-76,0.0,2.43464055073e-108,2.07824044707e-09,4.97683947236e-31,-138.5599856
