1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,13-Detta 2014,14-Huang 2009,15-Itoh 2005a,16-Itoh 2005b,18-Lin 2008,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,32-Wang 2007b,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.80487158593e-134,1.1888899857e-31,1.35276970776e-118,4.58245370093e-152,2.48583156843e-84,0.0,3.96826989242e-49,3.46336580987e-42,1.45493714147e-55,0.0,6.97066608596e-34,4.11060611869e-122,9.23674600656e-144,3.38790402761e-302,1.1636103839e-101,4.1421249649e-53,0.0,4.91041877047e-120,1.90690896938e-28,1.30738451804e-102,7.4547004712e-119,0.0,2.10533330759e-43,0.0,2.29939363749e-38,3.39215356411e-22,3.39215547222e-22,4.5889675104e-21,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,4.17401095125e-134,1.4860363855e-31,3.37913602522e-118,1.35040827134e-151,4.95885138355e-84,0.0,5.77543053484e-49,4.60316941613e-42,2.14052287224e-55,0.0,8.86953945705e-34,1.05560059429e-121,2.70238126174e-143,3.19118277102e-301,2.55494617326e-101,6.24584605536e-53,0.0,1.18708894207e-119,2.30608132312e-28,2.73016617785e-102,1.87473795114e-118,0.0,2.87835173242e-43,0.0,2.99398705701e-38,3.97976996483e-22,3.97977227241e-22,5.28761160148e-21,-139.8399984
0.0,0.0,0.0,0.0,0.0,0.0,9.64172630945e-134,1.85673511811e-31,8.42754679987e-118,3.97274676121e-151,9.87949119242e-84,0.0,8.39994452827e-49,6.11530182241e-42,3.14720762222e-55,0.0,1.12809910296e-33,2.70636628935e-121,7.89222916995e-143,2.99491119531e-300,5.60224377823e-101,9.41106475086e-53,0.0,2.86561410715e-119,2.78793095635e-28,5.69454647778e-102,4.70712854963e-118,0.0,3.93310443198e-43,0.0,3.89670610793e-38,4.66778428586e-22,4.66778707566e-22,6.09121363722e-21,-139.6799968
0.0,0.0,0.0,0.0,0.0,0.0,2.22458986152e-133,2.31901305919e-31,2.09850672445e-117,1.16674369972e-150,1.96576752449e-83,0.0,1.22089232113e-48,8.12047021953e-42,4.62445753147e-55,0.0,1.43421027909e-33,6.92734331991e-121,2.30079646589e-142,2.80045056862e-299,1.22672815231e-100,1.41698630994e-52,0.0,6.90751556622e-119,3.36939671903e-28,1.18635186418e-101,1.17998547544e-117,0.0,5.37150154906e-43,0.0,5.06939960228e-38,5.47310685562e-22,5.47311022735e-22,7.01532568565e-21,-139.5199952
0.0,0.0,0.0,0.0,0.0,0.0,5.12671348408e-133,2.8952706717e-31,5.21714913257e-117,3.42073031025e-150,3.90637404388e-83,0.0,1.77332034681e-48,1.07782140236e-41,6.79088030959e-55,0.0,1.82262700535e-33,1.77027214546e-120,6.69548687462e-142,2.60905698353e-298,2.68250624869e-100,2.13192515709e-52,0.0,1.66263055244e-118,4.07084926667e-28,2.46860842859e-101,2.95326473291e-117,0.0,7.33203526832e-43,0.0,6.5921418058e-38,6.41545435083e-22,6.41545842459e-22,8.07777152313e-21,-139.3599936
0.0,0.0,0.0,0.0,0.0,0.0,1.18010888149e-132,3.61333212287e-31,1.29500018671e-116,1.00120035866e-149,7.75281796839e-83,0.0,2.57398447291e-48,1.4299299814e-41,9.96600810509e-55,0.0,2.31527276925e-33,4.51654714139e-120,1.94496402034e-141,2.42187045401e-297,5.85786331306e-100,3.20521865304e-52,0.0,3.99612771891e-118,4.91677838638e-28,5.13068336306e-101,7.37960661975e-117,0.0,1.00028095026e-42,0.0,8.5685571189e-38,7.51780840062e-22,7.51781332103e-22,9.29897357367e-21,-139.199992
0.0,0.0,0.0,0.0,0.0,0.0,2.71330771654e-132,4.50774486225e-31,3.20937233455e-116,2.92537769988e-149,1.53670123596e-82,0.0,3.73364944378e-48,1.8962041158e-41,1.4616597084e-54,0.0,2.93985506436e-33,1.15044602159e-119,5.63983538319e-141,2.2399067823e-296,1.27744969272e-99,4.81529363859e-52,0.0,9.5907524666e-118,5.9366163594e-28,1.0650807475e-100,1.84106515871e-116,0.0,1.36391737957e-42,0.0,1.11326868154e-37,8.80694794066e-22,8.80695388181e-22,1.07023261791e-20,-139.0399904
0.0,0.0,0.0,0.0,0.0,0.0,6.23117516585e-132,5.62138727556e-31,7.9411622956e-116,8.5329988213e-149,3.04202925263e-82,0.0,5.41215276107e-48,2.51337760739e-41,2.14240313151e-54,0.0,3.73137647728e-33,2.9256281973e-119,1.63247572246e-140,2.06405217814e-295,2.78198292334e-99,7.22881810703e-52,0.0,2.29845350541e-117,7.16572395746e-28,2.20838185889e-100,4.58574838401e-116,0.0,1.85875753212e-42,0.0,1.4457840447e-37,1.03140669801e-21,1.03140741515e-21,1.231462166e-20,-138.8799888
0.0,0.0,0.0,0.0,0.0,0.0,1.42933756902e-131,7.00745664776e-31,1.96183163328e-115,2.48473578148e-148,6.01424925863e-82,0.0,7.83998883477e-48,3.32991188764e-41,3.13823883854e-54,0.0,4.73403660591e-33,7.42788561218e-119,4.716854525e-140,1.89506054682e-294,6.05022038628e-99,1.08440428634e-51,0.0,5.50032665871e-117,8.64657080557e-28,4.57351515729e-100,1.14039787413e-115,0.0,2.53178039233e-42,0.0,1.87680004049e-37,1.20754912566e-21,1.20754999103e-21,1.41665365149e-20,-138.7199872
0.0,0.0,0.0,0.0,0.0,0.0,3.27486647156e-131,8.73192641405e-31,4.83897176237e-115,7.22299861877e-148,1.18752716396e-81,0.0,1.13493171639e-47,4.40971057417e-41,4.59410239602e-54,0.0,6.00362485989e-33,1.88280120911e-118,1.36045343116e-139,1.73355330275e-293,1.3139959013e-98,1.62552839845e-51,0.0,1.31434979243e-116,1.04301479574e-27,9.46041939828e-100,2.83144214011e-115,0.0,3.44665596413e-42,0.0,2.43525094791e-37,1.41335093434e-21,1.41335197823e-21,1.62931861079e-20,-138.5599856
