0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,5-Hoshi 2014,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,15-Sarhan 2009,16-Shinlapawittayatorn 2011a,17-Shinlapawittayatorn 2011b,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
6.073514208942615e-125,4.001840520221148e-111,1.113134033329371e-142,4.819090714421429e-55,5.583937896959909e-22,9.891445721219334e-126,5.953974387662983e-50,1.7117885926235255e-12,5e-321,0.0,3.333415823474779e-71,1.3275453038884846e-68,1.931607001426521e-80,5.502460714632676e-165,3.904518386071009e-62,4.481309865593553e-28,2.301924943841129e-70,5.196553728702908e-32,2.2269875738781643e-107,2.482156639845232e-34,9.717527310674884e-15,2.202481652720765e-22,1.6510338388688971e-59,3.3729851709591567e-37,0.0,5.234343955547216e-38,3.7924096374986074e-31,8.629394371466638e-63,1.508671803147418e-37,1.7215061207128426e-12,1.8565385481075037e-11,-140.0
2.06135698892695e-124,1.2585570434157712e-110,5.150431539718748e-142,8.634841644019338e-55,6.9783928302308655e-22,4.3993016168879766e-125,1.1045964217381884e-49,1.9100088560178613e-12,3.9472e-319,0.0,7.67230419832176e-71,3.064837350316287e-68,5.611190727080253e-80,4.138809682598892e-164,1.6213141418525832e-61,6.551614865322849e-28,6.351911799945925e-70,7.189336621481132e-32,7.68340014705021e-107,3.6808560054124064e-34,1.1126284966574796e-14,2.80294138976008e-22,3.375253828424677e-59,5.113649956194156e-37,0.0,8.015230551635969e-38,5.4874955164688915e-31,2.0561300783270024e-62,2.3154403713118446e-37,1.9211351419625704e-12,2.0912443742389756e-11,-139.839998399984
6.977634658356029e-124,3.9476392768213836e-110,2.374386791886948e-141,1.544981274726578e-54,8.715999897539486e-22,1.9489106947861048e-124,2.0456352908030363e-49,2.1305590192836302e-12,3.0765033e-317,0.0,1.761963943278114e-70,7.059188364424638e-68,1.6248060242676894e-79,3.096123579267487e-163,6.682291595687126e-61,9.566259479746108e-28,1.7469081936220601e-69,9.93836111648755e-32,2.642404737139649e-106,5.452501086329448e-34,1.2734742535162174e-14,3.5647288405834487e-22,6.886507420908881e-59,7.743993880562688e-37,0.0,1.2259581361579076e-37,7.93176536484083e-31,4.885698224055116e-62,3.5494933588093667e-37,2.143293763046866e-12,2.354847693038621e-11,-139.679996799968
2.355619285046803e-123,1.2349615828054598e-109,1.0906138482238415e-140,2.7603975276940034e-54,1.087992719353252e-21,8.599721239037295e-124,3.781644399683718e-49,2.375881045742368e-12,2.366764194e-315,0.0,4.037412298754313e-70,1.622151332426507e-67,4.68984230916714e-79,2.303485282861756e-162,2.733645716885668e-60,1.3950390545222275e-27,4.788373596553702e-69,1.372755792080805e-31,9.058482649021634e-106,8.0680760341953e-34,1.4570543112313363e-14,4.530537701929568e-22,1.4022767011783193e-58,1.171430283577206e-36,0.0,1.8730144199308355e-37,1.1452552253758772e-30,1.1577331617685587e-61,5.4349189708764776e-37,2.390451590395729e-12,2.6508068445191604e-11,-139.519995199952
7.931290078512765e-123,3.8531938980841925e-109,4.991168587401937e-140,4.924924831671656e-54,1.357318383830351e-21,3.779732309813663e-123,6.978483800209791e-49,2.6486754840613987e-12,1.79713238734e-313,2.03e-322,9.230900470271609e-70,3.718923310904034e-67,1.3493517909106757e-78,1.7044211763620406e-161,1.10998622283197e-59,2.0318001472336463e-27,1.3081522597294772e-68,1.8946297569467745e-31,3.095435822238427e-105,1.192535985645743e-33,1.666506042095096e-14,5.754184246474902e-22,2.8497747488148877e-58,1.77004918354165e-36,0.0,2.8583306161744405e-37,1.6518531988291286e-30,2.7358739934809356e-61,8.312156628782875e-37,2.665340546415089e-12,2.982981544163267e-11,-139.359993599936
2.6633265907478607e-122,1.1990566708968389e-108,2.2758580045732946e-139,8.774192327577518e-54,1.6923276217862658e-21,1.654710210765526e-122,1.2854919652621232e-48,2.9519279014768412e-12,1.346891526232e-311,2.075e-320,2.1058135549103018e-69,8.506136270089114e-67,3.869923403215088e-78,1.2542748827967147e-160,4.473541817999574e-59,2.9554663647631706e-27,3.5618931464171542e-68,2.6128109093040775e-31,1.0543829668983791e-104,1.7607605239025533e-33,1.905388878619571e-14,7.303458139317633e-22,5.780021672620859e-58,2.671601397288495e-36,0.0,4.357021077494268e-37,2.3800022010325552e-30,6.447472403369615e-61,1.2697794720283903e-36,2.9709817926857134e-12,3.355677935328949e-11,-139.19999199992
8.919630716424273e-122,3.721431119422127e-108,1.0339505677643519e-138,1.5609689347207535e-53,2.108793838940887e-21,7.215510864478798e-122,2.3637718906378782e-48,3.288937915588477e-12,9.9635163797889e-310,2.103993e-318,4.793256250401363e-69,1.9410499310168428e-66,1.1063429645236914e-77,9.179792280414719e-160,1.789550539902001e-58,4.293598860631395e-27,9.666200535169592e-68,3.600345383014606e-31,3.580017821550961e-104,2.596906907908925e-33,2.1777395604269894e-14,9.263691653806446e-22,1.1700125412099437e-57,4.027869865753601e-36,0.0,6.633958037744113e-37,3.425468766625253e-30,1.515265292162181e-60,1.937478198335053e-36,3.3107153142279144e-12,3.7736985159928956e-11,-139.03999039990399
2.9792790448656654e-121,1.1519448566083677e-107,4.680217986243488e-138,2.7730706696652876e-53,2.626218006254374e-21,3.133981709170727e-121,4.338800351062516e-48,3.6633510692228114e-12,7.274784393114362e-308,2.10234754e-316,1.0886198762672016e-68,4.4190644598455153e-66,3.1527346329590296e-77,6.681859005727426e-159,7.105505638300569e-58,6.229702754525563e-27,2.6144662351315163e-67,4.957159655535282e-31,1.2116640583548673e-103,3.82595413542633e-33,2.488134402597705e-14,1.174222514622473e-21,2.363707233197955e-57,6.065919470529131e-36,0.0,1.0089314011338977e-36,4.9249225890776044e-30,3.551351360235292e-60,2.9528357195093524e-36,3.688232417049235e-12,4.242397446037869e-11,-138.879988799888
9.924699080321394e-121,3.5563526934816443e-107,2.110785381748381e-137,4.919343870678272e-53,3.2686949702614915e-21,1.3558450640168038e-120,7.949900166644003e-48,4.079193814743254e-12,5.242700911576344e-306,2.0701964447e-314,2.4669295863702463e-68,1.0037214931579777e-65,8.955612348544392e-77,4.837111351537881e-158,2.800300012346479e-57,9.027418897878701e-27,7.04794646992863e-67,6.8198403101435626e-31,4.087798617430389e-103,5.6305449054376114e-33,2.8417594496726923e-14,1.4873989875463003e-21,4.7658346300040104e-57,9.125050803895834e-36,0.0,1.5326973873914193e-36,7.073193650940496e-30,8.300502634806625e-60,4.495061998742087e-36,4.1076114139960835e-12,4.7677417914833807e-11,-138.719987199872
3.297352456343908e-120,1.0950385007662216e-106,9.48492203972798e-137,8.714309745223469e-53,4.065977624265622e-21,5.842623561050314e-120,1.4540575262193498e-47,4.54091189790938e-12,3.729215730797121e-304,2.00893260746e-312,5.577918051855449e-68,2.2744970061790254e-65,2.5357905867021376e-76,3.4825646499906004e-157,1.0953998820932236e-56,1.3065025987904753e-26,1.8936271823586434e-66,9.374930614188991e-31,1.3746970134307177e-102,8.277294026108793e-33,3.244489482187959e-14,1.88284827841757e-21,9.590171426018512e-57,1.371170252394741e-35,0.0,2.3257180039633006e-36,1.014771897399451e-29,1.9347324871510238e-59,6.834803380582653e-36,4.5733567986800984e-12,5.356379316964424e-11,-138.559985599856
