0-Abe 2014,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,10-Hu 2014,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Liu 2005,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
2.76508468196e-30,1.11787194014e-31,0.0,3.37645988183e-263,0.0,1.00369564249e-60,7.25557221846e-146,2.68447039185e-47,2.9735530236e-86,1.60555862861e-36,9.89610220289e-20,1.01563562605e-101,2.6992190075e-108,0.0,3.6123910817e-127,2.06389353288e-226,4.44429964439e-121,5.34894302485e-127,8.42066819847e-107,1.23879906684e-102,1.09863785519e-118,0.0,4.44429964439e-121,1.39182908784e-282,1.23879906684e-102,2.79623216348e-272,2.85567307978e-52,3.6123910817e-127,0.0,9.07837971602e-54,3.6123910817e-127,1.53340999689e-97,2.18635918257e-111,3.36044030682e-26,4.82573135329e-36,4.67206437427e-107,3.06833176251e-22,0.0,8.48842157656e-41,3.07551139046e-32,4.44550663335e-29,2.73264626518e-46,3.10843950745e-32,3.03528297729e-49,2.45006361064e-17,4.76363909235e-38,8.75250591606e-58,5.53937225706e-204,3.76133321384e-37,2.45999039953e-17,1.04299357788e-16,-140.0
3.9329522829e-30,1.78372347742e-31,0.0,7.29264258393e-262,0.0,2.0206512413e-60,3.39680894212e-145,4.44706272611e-47,1.37817979615e-85,2.68149651094e-36,1.20522117924e-19,3.35678401766e-101,1.16746700452e-107,0.0,1.63949813943e-126,2.91020133205e-225,1.94248016129e-120,2.41652109815e-126,3.19108917447e-106,4.0517717336e-102,4.73001650361e-118,0.0,1.94248016129e-120,4.41598910302e-281,4.0517717336e-102,9.67795034072e-271,5.30258135654e-52,1.63949813943e-126,0.0,1.67834228483e-53,1.63949813943e-126,4.6515196991e-97,8.1459113637e-111,4.9598373457e-26,7.01301144893e-36,1.91806643776e-106,4.03737575837e-22,0.0,1.30159301506e-40,4.25491351067e-32,5.93240713658e-29,4.66317978778e-46,4.3940908719e-32,5.27444011743e-49,2.88021748597e-17,7.33071047004e-38,1.741196423e-57,4.86836328434e-203,5.86931490595e-37,2.89231007649e-17,1.2532941833e-16,-139.8399984
5.58843664857e-30,2.84139770299e-31,0.0,1.56270403334e-260,0.0,4.06044157779e-60,1.58449650923e-144,7.35763610081e-47,6.3482963099e-85,4.47071217447e-36,1.46703595288e-19,1.10595194961e-100,5.02713873341e-107,0.0,7.41108340144e-126,4.07562236867e-224,8.4559899371e-120,1.08736662234e-125,1.20478791631e-105,1.32115190009e-101,2.02826809268e-117,0.0,8.4559899371e-120,1.38812031414e-279,1.32115190009e-101,3.31574850997e-269,9.82935414857e-52,7.41108340144e-126,0.0,3.09773072137e-53,7.41108340144e-126,1.40700644748e-96,3.02444140186e-110,7.30984894003e-26,1.0182152307e-35,7.84154756607e-106,5.30780238291e-22,0.0,1.99370189332e-40,5.88188719139e-32,7.91100751257e-29,7.94603770758e-46,6.20584361091e-32,9.1521528463e-49,3.38447791371e-17,1.12679499367e-37,3.45732948859e-57,4.25678556387e-202,9.14696685971e-37,3.39920135858e-17,1.50524705334e-16,-139.6799968
7.9327432935e-30,4.51861713077e-31,0.0,3.3222859215e-259,0.0,8.14418726738e-60,7.36431181989e-144,1.21577655925e-46,2.90622757182e-84,7.44088500193e-36,1.78478611689e-19,3.63225646862e-100,2.15509733402e-106,0.0,3.33662253784e-125,5.66891566559e-223,3.66629096638e-119,4.87331171951e-125,4.53170407471e-105,4.29461483174e-101,8.6624884213e-117,0.0,3.66629096638e-119,4.32298032531e-278,4.29461483174e-101,1.12452161654e-267,1.81895273594e-51,3.33662253784e-125,0.0,5.70818083087e-53,3.33662253784e-125,4.24386889977e-96,1.11902037425e-109,1.07576915767e-25,1.476958405e-35,3.19244352507e-105,6.97186610497e-22,0.0,3.05057689475e-40,8.12447305517e-32,1.054201931e-28,1.35203770184e-45,8.75664611761e-32,1.58576884699e-48,3.97536092869e-17,1.72995726669e-37,6.85190645773e-57,3.70302748477e-201,1.42367510825e-36,3.99327851929e-17,1.8069491008e-16,-139.5199952
1.12491027293e-29,7.17378054341e-31,0.0,7.00754261313e-258,0.0,1.63047752696e-59,3.41030928352e-143,2.00640979479e-46,1.32227920065e-83,1.23629149544e-35,2.17021629615e-19,1.18917053742e-99,9.19777269102e-106,0.0,1.49619108644e-124,7.83143255817e-222,1.58322998262e-118,2.17538020839e-124,1.69821142443e-104,1.39174403345e-100,3.68480560599e-116,0.0,1.58322998262e-118,1.33381758991e-276,1.39174403345e-100,3.77521825757e-266,3.36028903833e-51,1.49619108644e-124,0.0,1.05012915562e-52,1.49619108644e-124,1.27641670665e-95,4.1258946853e-109,1.58088214456e-25,2.14037847447e-35,1.29427920155e-104,9.14959876354e-22,0.0,4.66273222449e-40,1.12131148881e-31,1.40380563062e-28,2.29718885941e-45,1.23446832161e-31,2.74363426275e-48,4.66745269095e-17,2.65287915293e-37,1.35537581234e-56,3.20485559444e-200,2.21303748414e-36,4.68924636572e-17,2.16804066964e-16,-139.3599936
1.59357966372e-29,1.13699787271e-30,0.0,1.46643547341e-256,0.0,3.25817542855e-59,1.57353381824e-142,3.30701317421e-46,5.97912775696e-83,2.05052740552e-35,2.63749278846e-19,3.88095996824e-99,3.90812295637e-105,0.0,6.6822335879e-124,1.07452762539e-220,6.80950728172e-118,9.67183639555e-124,6.34017508253e-104,4.49633021924e-100,1.56113730355e-115,0.0,6.80950728172e-118,4.0772435487e-275,4.49633021924e-100,1.25459731104e-264,6.19713055194e-51,6.6822335879e-124,0.0,1.92876201061e-52,6.6822335879e-124,3.82813856447e-95,1.51595254928e-108,2.31979505571e-25,3.09889255914e-35,5.2253577377e-104,1.19970309626e-21,0.0,7.11927414732e-40,1.54635747694e-31,1.86801911028e-28,3.89739406491e-45,1.73871051071e-31,4.74004290212e-48,5.47774439721e-17,4.06341503825e-37,2.67599740293e-56,2.75953790348e-199,3.43566444221e-36,5.50423931862e-17,2.59999373885e-16,-139.199992
2.25523129128e-29,1.79903760065e-30,0.0,3.04458874039e-255,0.0,6.49870303535e-59,7.23401010057e-142,5.44380578757e-46,2.68703682556e-82,3.39514777355e-35,3.2036935052e-19,1.26258775456e-98,1.65319289111e-104,0.0,2.97242461236e-123,1.46429680762e-219,2.91703726512e-117,4.28297458673e-123,2.35825096377e-103,1.44817388904e-99,6.5875242535e-115,0.0,2.91703726512e-117,1.2347922651e-273,1.44817388904e-99,4.12719198458e-263,1.14094167719e-50,2.97242461236e-123,0.0,3.53675930032e-52,2.97242461236e-123,1.14484704457e-94,5.55060601688e-108,3.39914320274e-25,4.48245664999e-35,2.10081297726e-103,1.57168036932e-21,0.0,1.08584466549e-39,2.13081665525e-31,2.48397266249e-28,6.60270138522e-45,2.44669473929e-31,8.17726450824e-48,6.42602011972e-17,6.21665154675e-37,5.27338275894e-56,2.36396275289e-198,5.32692769836e-36,6.45821425683e-17,3.11645278365e-16,-139.0399904
3.18837806237e-29,2.84177606168e-30,0.0,6.27137520896e-254,0.0,1.2938129703e-58,3.31362117034e-141,8.94993194861e-46,1.20013616333e-81,5.61177425757e-35,3.88939507677e-19,4.09459894611e-98,6.96223379473e-104,0.0,1.31690561739e-122,1.98187291624e-218,1.24458015464e-116,1.88905603568e-122,8.73892610448e-103,4.64993528772e-99,2.76858561961e-114,0.0,1.24458015464e-116,3.70491440415e-272,4.64993528772e-99,1.34398066787e-261,2.09698359661e-50,1.31690561739e-122,0.0,6.47475438739e-52,1.31690561739e-122,3.41406617025e-94,2.02526809709e-107,4.97346450835e-25,6.47767734115e-35,8.4108920997e-103,2.05718522531e-21,0.0,1.65438441624e-39,2.93382918389e-31,3.30068037581e-28,1.11696280628e-44,3.43983392862e-31,1.4086514229e-47,7.53530573017e-17,9.49977877375e-37,1.03721921359e-55,2.01475045703e-197,8.24872748997e-36,7.57440544923e-17,3.73363769564e-16,-138.8799888
4.5030829769e-29,4.48134609344e-30,0.0,1.2816380769e-252,0.0,2.57104033578e-58,1.51233261189e-140,1.46955977371e-45,5.32731706105e-81,9.25955489338e-35,4.7193759915e-19,1.32369691052e-97,2.91906281457e-103,0.0,5.81102919648e-122,2.66414370401e-217,5.28881495161e-116,8.29864088391e-122,3.22630477e-102,1.4884586959e-98,1.1589062264e-113,0.0,5.28881495161e-116,1.10133512274e-270,1.4884586959e-98,4.3323087856e-260,3.84756008909e-50,5.81102919648e-122,0.0,1.18340125782e-51,5.81102919648e-122,1.01522206879e-93,7.36396924488e-107,7.26638330764e-25,9.35225111675e-35,3.35335891203e-102,2.69030354017e-21,0.0,2.51791985362e-39,4.03623202029e-31,4.38279636212e-28,1.88679834268e-44,4.8317042417e-31,2.42308555904e-47,8.83238829068e-17,1.4499802386e-36,2.03624233288e-55,1.70835555534e-196,1.27567840041e-35,8.87985115367e-17,4.47081980123e-16,-138.7199872
6.35347756558e-29,7.05498578022e-30,0.0,2.59858236709e-251,0.0,5.09963226937e-58,6.87721329807e-140,2.40993422867e-45,2.35021550128e-80,1.52520575757e-34,5.72345822066e-19,4.26572768592e-97,1.21845092457e-102,0.0,2.55391283405e-121,3.55692451154e-216,2.238455566e-115,3.63104715691e-121,1.18667553882e-101,4.74996433722e-98,4.83162521837e-113,0.0,2.238455566e-115,3.24352935396e-269,4.74996433722e-98,1.38240029048e-258,7.04749178421e-50,2.55391283405e-121,0.0,2.15939299454e-51,2.55391283405e-121,3.01033490454e-93,2.66826362361e-106,1.06010114289e-24,1.34898351315e-34,1.33137783614e-101,3.5151825886e-21,0.0,3.82810743119e-39,5.54842832268e-31,5.81554306503e-28,3.18259941902e-44,6.78060409987e-31,4.16201536452e-47,1.03484166963e-16,2.21055996338e-36,3.98993684814e-55,1.44115812106e-195,1.97033258682e-35,1.04060029029e-16,5.35088393379e-16,-138.5599856
