0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,8-An 1998,9-An 1998,10-Bankston 2007b,11-Baroudi 2000a,12-Baroudi 2000a,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,32-Itoh 2007,33-Kato 2014,34-Lin 2008,35-Liu 2002,36-Lupoglazoff 2001,37-Makita 1998,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,61-Wei 1999,62-Wei 1999,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,6.730641621682346e-23,0.0,1.7722406696793778e-40,6.689063204396686e-66,2.3725827103324702e-144,4.546693470250777e-14,0.0,2.3225195112588063e-21,2.5283425723302345e-99,6.366545683449232e-09,4.274683278210895e-15,4.791960314229514e-14,1.2344383086639341e-57,0.0,5.67729185127187e-20,2.2122151511626643e-26,1.797136104559001e-54,3.862385841393407e-31,2.0723411483511801e-78,7.221591224295443e-67,7.825034420201254e-150,4.842512433613629e-83,1.5863961120307118e-24,1.6269053364232543e-51,2.5851771751234567e-11,1.758960715204153e-63,7.943965016041386e-29,2.4163919536307725e-40,6.095986614288909e-63,2.509769018602884e-27,2.129321813163345e-46,0.0,2.282249066207778e-26,1.4505213391848182e-11,3.172543093204869e-33,3.367973099322023e-90,0.0,1.2822791637086225e-14,2.2179562971479084e-46,3.111948721703496e-10,1.8674583975074794e-86,2.861543801774226e-71,1.2130153248236992e-28,9.058494434744129e-85,5.4025746099519514e-45,5.3715317474145154e-45,1.0235528495813192e-12,2.1221363095005095e-32,2.1221363095005095e-32,2.475146370872428e-162,1.0331470009947849e-18,2.5202302402672094e-79,1.2755380808756021e-169,0.0,3.3314131781291405e-06,9.689377573707315e-19,0.0,3.338132409708827e-06,3.1007361982449226e-06,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,8.542040308300787e-23,0.0,2.6130695464016993e-40,1.1757687096424216e-65,1.0721510662056991e-143,5.532638595676466e-14,0.0,3.0688608155804373e-21,1.117848806133578e-98,6.748360532083098e-09,4.974328932799493e-15,5.5391578338939355e-14,3.1509541094547325e-57,0.0,6.993798124764668e-20,2.85899733173189e-26,3.289721821470334e-54,5.555665000751417e-31,4.618575754789845e-78,1.6010964152491501e-66,3.4755456356409893e-149,1.2920854859848973e-82,2.344455401699039e-24,3.343129083758038e-51,2.848384938964096e-11,5.180644385481154e-63,1.0481218133909685e-28,4.274552380714256e-40,1.1252737845260617e-62,3.5839370078450814e-27,3.542386860921161e-46,0.0,3.235391215809371e-26,1.6881015421964862e-11,4.9488923964959925e-33,1.1909348969605105e-89,0.0,1.5314799452444354e-14,4.138345688957791e-46,3.490379377400507e-10,4.3404095474848646e-86,6.519325070469242e-71,1.8037455448578594e-28,2.6857056445027842e-84,9.408642048433465e-45,1.145522533539465e-44,1.2114141840515406e-12,3.2244892280388636e-32,3.2244892280388636e-32,1.4085943818149214e-161,1.346354291038159e-18,5.210629708092602e-79,8.172224612863109e-169,0.0,3.448907215041805e-06,1.1233177394232365e-18,0.0,3.456051320800259e-06,3.258816373115376e-06,-139.839998399984
0.0,0.0,0.0,0.0,0.0,0.0,1.083394536378948e-22,0.0,3.849392986070248e-40,2.064409922746978e-65,4.827980167095921e-143,6.726946538505275e-14,0.0,4.051169241055379e-21,4.917602597466142e-98,7.15199191296164e-09,5.785921923520014e-15,6.400005320507859e-14,8.014627427557708e-57,0.0,8.610561653444067e-20,3.6925434569181654e-26,6.01255245773967e-54,7.982929084871328e-31,1.0274117560467117e-77,3.5420659800521953e-66,1.5385978908950181e-148,3.438491126535633e-82,3.459268931931767e-24,6.853667897730994e-51,3.1375235558407706e-11,1.5194110822900537e-62,1.3819647388085999e-28,7.547073540165675e-40,2.074313174351625e-62,5.111883181444809e-27,5.885437176116237e-46,0.0,4.581255411360704e-26,1.9633379305141102e-11,7.70864793013174e-33,4.194403583112177e-89,0.0,1.8279567941948427e-14,7.706242376881523e-46,3.9130815890064366e-10,1.0069319542200603e-85,1.4820383893075442e-70,2.6784918937461504e-28,7.937581354063627e-84,1.635879141465637e-44,2.435588600519397e-44,1.4327700108233113e-12,4.892989677433823e-32,4.892989677433823e-32,7.983135017267822e-161,1.752736471135284e-18,1.0756780949871063e-78,5.21226257127203e-168,0.0,3.5701043039710423e-06,1.3018782692234835e-18,0.0,3.5777002007659325e-06,3.424491452053554e-06,-139.679996799968
0.0,0.0,0.0,0.0,0.0,0.0,1.3731928729748088e-22,0.0,5.665608290254034e-40,3.6206572849024324e-65,2.1664558747943027e-142,8.172458018153843e-14,0.0,5.34280046315551e-21,2.1525190512456345e-97,7.578618986187803e-09,6.726949211482286e-15,7.391336885061002e-14,2.0313893503360202e-56,0.0,1.0594888383028692e-19,4.7660978875421694e-26,1.0971855465506345e-53,1.145867281224042e-30,2.2812381643270097e-77,7.818985117870777e-66,6.78879459617252e-148,9.126425733046137e-82,5.0961087741974004e-24,1.4017546826555956e-50,3.455057312656592e-11,4.437421292881591e-62,1.8209286555527746e-28,1.3299373915453788e-39,3.818496333253641e-62,7.282750176250342e-27,9.765388432103069e-46,0.0,6.479420220406315e-26,2.2819892451588794e-11,1.1989970917338644e-32,1.4713473030242117e-88,0.0,2.1804514569229888e-14,1.432190141859972e-45,4.385016578645309e-10,2.3316275298276474e-85,3.361792068241072e-70,3.972020510534407e-28,2.3385429714438438e-83,2.8397073110316596e-44,5.162963267883466e-44,1.693408583872148e-12,7.415038042025231e-32,7.415038042025231e-32,4.505712266752791e-160,2.2794701721533847e-18,2.2172596767425003e-78,3.3094162975807196e-167,0.0,3.695104123104319e-06,1.5083396981003225e-18,0.0,3.7031804917958455e-06,3.598101495714804e-06,-139.519995199952
0.0,0.0,0.0,0.0,0.0,0.0,1.7393873824286027e-22,0.0,8.331320682171272e-40,6.3430237842292314e-65,9.687441515056879e-142,9.920566401532396e-14,0.0,7.039517567485418e-21,9.37483840806669e-97,8.029480601626965e-09,7.817560298088075e-15,8.532410207874376e-14,5.130640406965875e-56,0.0,1.3028901700750114e-19,6.147885605014828e-26,1.9990459361441175e-53,1.6430553475313095e-30,5.0557590130561815e-77,1.7222599576580045e-65,2.985558623347835e-147,2.4159597599468155e-81,7.495576899436777e-24,2.8602238475536264e-50,3.803675533778838e-11,1.2904759102532326e-61,2.397726617778531e-28,2.3390983749978175e-39,7.0195998823809825e-62,1.0363437751376602e-26,1.6181857473622705e-45,0.0,9.153384960752858e-26,2.6506609228304972e-11,1.8622061951916958e-32,5.140708363372734e-88,0.0,2.5992784255157576e-14,2.6564449045586758e-45,4.911675239259169e-10,5.388996036991956e-85,7.609161838578778e-70,5.882185410211169e-28,6.867994002467922e-83,4.921460911946447e-44,1.0911612739652297e-43,2.000085110223771e-12,1.1222204595905739e-31,1.1222204595905739e-31,2.5325375395238716e-159,2.96149653584799e-18,4.5634459785451665e-78,2.0917782461486515e-166,0.0,3.8240084140109745e-06,1.746984162944512e-18,0.0,3.8325958239311596e-06,3.78000052029355e-06,-139.359993599936
0.0,0.0,0.0,0.0,0.0,0.0,2.201815704480043e-22,0.0,1.2240359403410673e-39,1.1099992931848852e-64,4.316613993094557e-141,1.2032871706364903e-13,0.0,9.266211591109383e-21,4.06259743116525e-96,8.505878087844688e-09,9.080961652334455e-15,9.845244893311234e-14,1.2912744440588094e-55,0.0,1.6012743456307945e-19,7.925270159344104e-26,3.6365282561657133e-53,2.3535091673145813e-30,1.1183860448995567e-76,3.7853112930960386e-65,1.308651286178962e-146,6.378738892377005e-81,1.1007367108025637e-23,5.822467588380875e-50,4.186312232727908e-11,3.737085260491524e-61,3.155129320329589e-28,4.106108812588349e-39,1.2886478870735627e-61,1.4730117556514245e-26,2.67790567317311e-45,0.0,1.291579810091344e-25,3.0769242446379626e-11,2.888066063387384e-32,1.7889307249854049e-87,0.0,3.096599685070572e-14,4.91748521744117e-45,5.499131620801786e-10,1.2432148595368566e-84,1.7185310065517962e-69,8.699053823758432e-28,2.0106748577897088e-82,8.515547907472658e-44,2.2991836346103983e-43,2.3606773998514356e-12,1.696167337026278e-31,1.696167337026278e-31,1.4175904737585103e-158,3.8436919094068476e-18,9.37802506680348e-78,1.3161912764908754e-165,0.0,3.956921002770492e-06,2.0227387643282586e-18,0.0,3.966052045896751e-06,3.970557008219247e-06,-139.19999199992
0.0,0.0,0.0,0.0,0.0,0.0,2.7853866494448556e-22,0.0,1.7967493668879465e-39,1.9402893752307167e-64,1.9166914692092274e-140,1.4583143597598212e-13,0.0,1.2185599567342798e-20,1.7517293265422306e-95,9.009178158544954e-09,1.0543867866008275e-14,1.1355006507196018e-13,3.238426968103258e-55,0.0,1.9668452927037768e-19,1.0210049571234032e-25,6.604997468640038e-53,3.36763816077953e-30,2.46937332451492e-76,8.301547832396699e-65,5.717256382637637e-146,1.6797169705048878e-80,1.6138896995787116e-23,1.1824783134084304e-49,4.606167394566209e-11,1.077655565809652e-60,4.149019064156107e-28,7.194110380682579e-39,2.362425391683119e-61,2.091233471657316e-26,4.425784195003265e-45,0.0,1.8203491959511117e-25,3.5694514401925576e-11,4.472560235742913e-32,6.200502214893384e-87,0.0,3.686745952156929e-14,9.085052270684527e-45,6.154101474135139e-10,2.8626889325042685e-84,3.8728662743366297e-69,1.2847286448677072e-27,5.867879341227038e-82,1.4710561463266776e-43,4.830067291349971e-43,2.784365561856138e-12,2.56026502893323e-31,2.56026502893323e-31,7.902202195634971e-158,4.983631652163735e-18,1.924296479664263e-77,8.244446401782726e-165,0.0,4.093947820530589e-06,2.341270806960954e-18,0.0,4.10365725619082e-06,4.1701544346554764e-06,-139.03999039990399
0.0,0.0,0.0,0.0,0.0,0.0,3.5213556430052155e-22,0.0,2.6350802339627405e-39,3.387877899378535e-64,8.480785531533947e-140,1.7659648948688717e-13,0.0,1.600947041887268e-20,7.515422907542976e-95,9.540815940781913e-09,1.2237017437666971e-14,1.3090442241817072e-13,8.093161965420205e-55,0.0,2.4144664343527263e-19,1.3145197128899823e-25,1.1977876782225294e-52,4.813719464506794e-30,5.442161225880727e-76,1.816649429881702e-64,2.4895267562473316e-145,4.411573824006225e-80,2.3625241719177732e-23,2.395842904829335e-49,5.066730016460662e-11,3.0945023146650956e-60,5.452359234174989e-28,1.2580225214640833e-38,4.3249776302452556e-61,2.9654647710227015e-26,7.304882697152677e-45,0.0,2.5626075658378685e-25,4.138168764603771e-11,6.916318618851904e-32,2.1405382761817275e-86,0.0,4.386592002507323e-14,1.675150822298198e-44,6.884006293918016e-10,6.579482921591443e-84,8.708878045175425e-69,1.894771649889024e-27,1.7070564789144635e-81,2.537137457504045e-43,1.0116435325889809e-42,3.2818392942694826e-12,3.859462871841847e-31,3.859462871841847e-31,4.3868011333237024e-157,6.4551052328021264e-18,3.9425272349061825e-77,5.1409468615156765e-164,0.0,4.235196923458966e-06,2.7090968137075117e-18,0.0,4.245521834469516e-06,4.379191810160867e-06,-138.879988799888
0.0,0.0,0.0,0.0,0.0,0.0,4.448915570356101e-22,0.0,3.861119101916975e-39,5.908897207061474e-64,3.7393388897242466e-139,2.1367909120337394e-13,0.0,2.1013210118342867e-20,3.2082120072845076e-94,1.010229812934403e-08,1.4195762148649617e-14,1.5084374895970306e-13,2.0154448980899143e-54,0.0,2.962229212188611e-19,1.6913435572786712e-25,2.1687451619576125e-52,6.873563640893492e-30,1.1971420713863316e-75,3.9667767339045026e-64,1.0804665521164263e-144,1.1555989767747104e-79,3.4529531315336336e-23,4.842866976432396e-49,5.571803043166663e-11,8.848415606300688e-60,7.160350136608984e-28,2.1956565676737347e-38,7.906996691819702e-61,4.200267555317936e-26,1.2041048724468577e-44,0.0,3.603325048575517e-25,4.7944298042157484e-11,1.0679809460831958e-31,7.360069520987458e-86,0.0,5.2159948810077154e-14,3.0826379209640246e-44,7.69704333647082e-10,1.5093814467075455e-83,1.954098694025182e-68,2.7906696538515232e-27,4.950419388213599e-81,4.368746460856214e-43,2.1124996419096395e-42,3.865536811208961e-12,5.810246066978774e-31,5.810246066978774e-31,2.4252148197146644e-156,8.35258190686817e-18,8.065281675984938e-77,3.191272250437434e-163,0.0,4.380778512053343e-06,3.133707261553182e-18,0.0,4.391758473271975e-06,4.598084239875288e-06,-138.719987199872
0.0,0.0,0.0,0.0,0.0,0.0,5.617179647669341e-22,0.0,5.652565003998757e-39,1.029443607206268e-63,1.6429655115729453e-138,2.5833963264687367e-13,0.0,2.755454310247369e-20,1.3626863570208965e-93,1.0695206271827799e-08,1.646074019405021e-14,1.7374262688597735e-13,5.001407018661915e-54,0.0,3.6321407133441677e-19,2.17481360455009e-25,3.920655668179184e-52,9.804579360728593e-30,2.628509928394526e-75,8.642889606560533e-64,4.673812162414179e-144,3.0190958580106983e-79,5.038683952204075e-23,9.76620397506727e-49,6.125530344065034e-11,2.5194403461530174e-59,9.397121084877386e-28,3.8247678700451193e-38,1.4435810636368844e-60,5.942306945172033e-26,1.9821815790295665e-44,0.0,5.0607946603431945e-25,5.5512115310687245e-11,1.6467274906516705e-31,2.5205982033608666e-85,0.0,6.198305162123053e-14,5.661522471875289e-44,8.602262125628579e-10,3.456176310737359e-83,4.3750735474811045e-68,4.104554841615225e-27,1.4310785858717674e-80,7.51048151010456e-43,4.3980542793357573e-42,4.54992001278142e-12,8.735502618236806e-31,8.735502618236806e-31,1.3352264815397084e-155,1.0796877770662488e-17,1.6474282067152477e-76,1.9720763361868032e-162,0.0,4.530804949772324e-06,3.623709257108179e-18,0.0,4.5424822101363416e-06,4.8272634995951255e-06,-138.559985599856
