0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
3.37330767365e-207,0.0,0.0,1.41295775196e-69,4.13191074517e-08,8.86748250109e-06,8.90880160854e-06,1.06915665705e-07,-140.0
4.48567986921e-206,0.0,0.0,3.09857722451e-69,4.53183324365e-08,9.19838529424e-06,9.24370362667e-06,1.15675722099e-07,-139.8399984
5.92259750763e-205,0.0,0.0,6.78151717388e-69,4.96871134655e-08,9.54059892351e-06,9.59028603698e-06,1.25123127077e-07,-139.6799968
7.76439792833e-204,0.0,0.0,1.4812310291e-68,5.4457847489e-08,9.89446840506e-06,9.94892625255e-06,1.3530924037e-07,-139.5199952
1.01068302718e-202,0.0,0.0,3.22886680411e-68,5.9665602778e-08,1.02603476996e-05,1.03200133024e-05,1.46289049373e-07,-139.3599936
1.30627249326e-201,0.0,0.0,7.02439382762e-68,6.53483235921e-08,1.06385998874e-05,1.0703948211e-05,1.58121408868e-07,-139.199992
1.67634812524e-200,0.0,0.0,1.52510227471e-67,7.15470491492e-08,1.10295973448e-05,1.11011443939e-05,1.70869295356e-07,-139.0399904
2.13602467982e-199,0.0,0.0,3.30461202392e-67,7.83061477775e-08,1.14337219219e-05,1.15120280697e-05,1.84600076778e-07,-138.8799888
2.70246414941e-198,0.0,0.0,7.14617063953e-67,8.56735671779e-08,1.18513651219e-05,1.1937038689e-05,1.99385798472e-07,-138.7199872
3.39488633682e-197,0.0,0.0,1.54226030044e-66,9.37011017712e-08,1.22829282809e-05,1.23766293827e-05,2.15303486236e-07,-138.5599856
4.23450019602e-196,0.0,0.0,3.32179915564e-66,1.02444678151e-07,1.27288227501e-05,1.28312674283e-05,2.32435467419e-07,-138.399984
5.24433828686e-195,0.0,0.0,7.14036569672e-66,1.11964659713e-07,1.31894700779e-05,1.33014347376e-05,2.50869710989e-07,-138.2399824
6.44897748814e-194,0.0,0.0,1.53178895293e-65,1.22326171589e-07,1.36653021934e-05,1.3787628365e-05,2.70700187582e-07,-138.0799808
7.87413117835e-193,0.0,0.0,3.27950883323e-65,1.3359944705e-07,1.41567615913e-05,1.42903610384e-05,2.92027250579e-07,-137.9199792
9.54610159809e-192,0.0,0.0,7.00728966414e-65,1.4586019662e-07,1.46643015168e-05,1.48101617134e-05,3.14958039296e-07,-137.7599776
1.14910861527e-190,0.0,0.0,1.49424816004e-64,1.59190001174e-07,1.51883861516e-05,1.53475761528e-05,3.39606905425e-07,-137.599976
1.37343380013e-189,0.0,0.0,3.17999752958e-64,1.73676730369e-07,1.5729490801e-05,1.59031675314e-05,3.66095863924e-07,-137.4399744
1.62991892922e-188,0.0,0.0,6.75401823945e-64,1.89414987806e-07,1.62881020805e-05,1.64775170683e-05,3.94555069567e-07,-137.2799728
1.92059545933e-187,0.0,0.0,1.43162432619e-63,2.06506584375e-07,1.68647181038e-05,1.70712246881e-05,4.25123320474e-07,-137.1199712
2.24707420302e-186,0.0,0.0,3.02849808357e-63,2.25061041314e-07,1.74598486703e-05,1.76849097116e-05,4.57948589928e-07,-136.9599696
2.61042098498e-185,0.0,0.0,6.39376883915e-63,2.45196124545e-07,1.80740154537e-05,1.83192115783e-05,4.93188587908e-07,-136.799968
3.01103159119e-184,0.0,0.0,1.34715619283e-62,2.67038411952e-07,1.870775219e-05,1.89747906019e-05,5.3101135376e-07,-136.6399664
3.44851162235e-183,0.0,0.0,2.83276381838e-62,2.90723895281e-07,1.93616048652e-05,1.96523287605e-05,5.71595881535e-07,-136.4799648
3.92156752849e-182,0.0,0.0,5.94475793504e-62,3.1639861845e-07,2.00361319041e-05,2.03525305225e-05,6.15132779546e-07,-136.3199632
4.42791549176e-181,0.0,0.0,1.24505741022e-61,3.44219354095e-07,2.07319043572e-05,2.10761237113e-05,6.61824965784e-07,-136.1599616
4.964214872e-180,0.0,0.0,2.60241152311e-61,3.74354320244e-07,2.14495060884e-05,2.18238604086e-05,7.11888400874e-07,-135.99996
5.52603257808e-179,0.0,0.0,5.42867650467e-61,4.06983939099e-07,2.21895339615e-05,2.25965179006e-05,7.65552860316e-07,-135.8399584
6.10784394653e-178,0.0,0.0,1.13016888372e-60,4.42301639922e-07,2.29525980263e-05,2.33948996663e-05,8.23062747842e-07,-135.6799568
6.70307449347e-177,0.0,0.0,2.34814073576e-60,4.80514708153e-07,2.37393217036e-05,2.42198364118e-05,8.84677951756e-07,-135.5199552
7.30418528221e-176,0.0,0.0,4.86896097074e-60,5.21845182879e-07,2.45503419691e-05,2.5072187152e-05,9.50674746199e-07,-135.3599536
7.90280268088e-175,0.0,0.0,1.00758074028e-59,5.66530804897e-07,2.53863095365e-05,2.59528403414e-05,1.02134673937e-06,-135.199952
8.48989106316e-174,0.0,0.0,2.0809172736e-59,6.14826017635e-07,2.62478890393e-05,2.68627150569e-05,1.09700587076e-06,-135.0399504
9.05596465458e-173,0.0,0.0,4.28905056955e-59,6.6700302328e-07,2.71357592102e-05,2.78027622335e-05,1.17798345959e-06,-134.879948799
9.59133238964e-172,0.0,0.0,8.82264717798e-59,7.23352896503e-07,2.80506130602e-05,2.87739659567e-05,1.26463130658e-06,-134.719947199
1.00863674765e-170,0.0,0.0,1.81120684469e-58,7.8418675824e-07,2.89931580546e-05,2.97773448129e-05,1.35732285148e-06,-134.559945599
1.05317915221e-169,0.0,0.0,3.71080884608e-58,8.49837012041e-07,2.9964116288e-05,3.08139533e-05,1.45645438863e-06,-134.399943999
1.09189616937e-168,0.0,0.0,7.58753154008e-58,9.20658645538e-07,3.09642246561e-05,3.18848833017e-05,1.56244634295e-06,-134.239942399
1.1240148606e-167,0.0,0.0,1.54833107151e-57,9.97030599662e-07,3.19942350261e-05,3.29912656258e-05,1.67574460897e-06,-134.079940799
1.14887925001e-166,0.0,0.0,3.15325100386e-57,1.07935720823e-06,3.30549144036e-05,3.41342716118e-05,1.79682195545e-06,-133.919939199
1.16597258779e-165,0.0,0.0,6.40891703845e-57,1.16806971063e-06,3.41470450973e-05,3.53151148079e-05,1.92617949809e-06,-133.759937599
1.17493520428e-164,0.0,0.0,1.29999640289e-56,1.26362784034e-06,3.52714248807e-05,3.65350527211e-05,2.06434824337e-06,-133.599935999
1.17557709321e-163,0.0,0.0,2.63166766926e-56,1.36652149195e-06,3.64288671502e-05,3.77953886422e-05,2.21189070594e-06,-133.439934399
1.16788460946e-162,0.0,0.0,5.31681235599e-56,1.47727246968e-06,3.76202010801e-05,3.90974735498e-05,2.36940260272e-06,-133.279932799
1.15202095128e-161,0.0,0.0,1.07202031403e-55,1.59643631993e-06,3.88462717738e-05,4.04427080938e-05,2.53751462654e-06,-133.119931199
1.12832040348e-160,0.0,0.0,2.15717853639e-55,1.72460425095e-06,4.01079404116e-05,4.18325446625e-05,2.71689430223e-06,-132.959929599
1.09727662494e-159,0.0,0.0,4.3321208129e-55,1.86240514224e-06,4.14060843936e-05,4.32684895359e-05,2.90824792846e-06,-132.799927999
1.0595255538e-158,0.0,0.0,8.68253259543e-55,2.01050764666e-06,4.27415974793e-05,4.4752105126e-05,3.11232260826e-06,-132.639926399
1.01582375697e-157,0.0,0.0,1.73669549946e-54,2.16962238799e-06,4.41153899218e-05,4.62850123098e-05,3.32990837156e-06,-132.479924799
9.67023252899e-157,0.0,0.0,3.46682826705e-54,2.3405042567e-06,4.55283885978e-05,4.78688928545e-05,3.56184039296e-06,-132.319923199
