0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,7-Glaaser 2012,8-Hayashi 2015,9-Holst 2009,10-Hu 2010,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,20-O'Leary 2002,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,31-Tan 2001,32-Tsurugi 2009,33-Vatta 2002a,34-Vatta 2002b,35-Wang 2011,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,sum,gauss,x
3.253502135456188e-37,5.106672071668399e-25,2.722110503044008e-103,0.0,1.3817741338899854e-35,5.054099238793344e-41,5.250527251942773e-31,7.533565496652092e-15,8.177275359422429e-139,1.229712264336473e-36,5.250527251942773e-31,4.138121312462393e-12,1.0179087326253774e-89,9.471397486460848e-22,1.605801028899437e-41,2.9678995201296764e-48,8.970734116294677e-24,3.3927405488431703e-13,2.4522646788918256e-69,0.0,0.0,4.192442060113837e-35,6.487361308227226e-28,2.3533691132891423e-136,0.0,4.153170899201197e-285,3.3466644301052755e-128,5.942616368069619e-53,2.0131530131867865e-21,0.0,4.225628913887106e-28,9.817465594247745e-94,0.0,0.0,1.0824985416425913e-68,1.6448924504595e-31,4.852653482733755e-248,1.9789029553996937e-16,6.150498940369383e-67,4.485126826108678e-12,2.011659701624595e-06,-140.0
4.929082235654778e-37,6.7541400962955555e-25,6.936604863504218e-103,0.0,2.845957285641608e-35,8.064109138660973e-41,8.06099237606908e-31,8.456896672072291e-15,4.3199117911080195e-138,1.874976233989194e-36,8.06099237606908e-31,5.045594459708405e-12,5.932603533771704e-89,1.3852342844664872e-21,2.4961217621209287e-41,5.514662214918196e-48,1.1880942059271152e-23,3.931754021225554e-13,5.425506589478723e-69,0.0,0.0,6.439705067729664e-35,9.19484624392765e-28,8.375624724275085e-136,0.0,6.05089694668023e-284,1.1945562048956545e-127,9.727475673842132e-53,2.4794451752073365e-21,0.0,6.172928568621083e-28,3.5380156483976367e-93,0.0,0.0,3.0808063528398488e-68,2.568930789207296e-31,5.2041910515438195e-247,2.347345403020642e-16,1.5315997525053912e-66,5.447461496920572e-12,2.1232474466550985e-06,-139.839998399984
7.459306844516517e-37,8.926043642846717e-25,1.7642552110635554e-102,0.0,5.841099059156565e-35,1.2850522775933889e-40,1.2357923156303359e-30,9.490914067881286e-15,2.2720134570227303e-137,2.8554987148923065e-36,1.2357923156303359e-30,6.1459995284729166e-12,3.430747997690923e-88,2.0225074073743537e-21,3.8757632672229013e-41,1.0227776273609987e-47,1.572194340287629e-23,4.554159314581714e-13,1.1978732669632902e-68,0.0,0.0,9.879064951225313e-35,1.3018211994848535e-27,2.9730384605662626e-135,0.0,8.767085946025838e-283,4.251840060747356e-127,1.5905940563934691e-52,3.052126431857061e-21,0.0,9.006199430093336e-28,1.270001825826099e-92,0.0,0.0,8.736192562205561e-68,4.005898525230245e-31,5.553357943440598e-246,2.7830116887318274e-16,3.803162443778398e-66,6.611184680259094e-12,2.2406850824232893e-06,-139.679996799968
1.1275824873962007e-36,1.1787040998053237e-24,4.478670474295594e-102,0.0,1.1946361169364447e-34,2.0452055460847173e-40,1.89179405711768e-30,1.0648578066261772e-14,1.1896430819443294e-136,4.343722873682951e-36,1.89179405711768e-30,7.479003951666366e-12,1.9685176698659192e-87,2.9479134619694253e-21,6.011268947664051e-41,1.8933726694318473e-47,2.0787106285330534e-23,5.272496350812882e-13,2.6392411594474368e-68,0.0,0.0,1.513619307873724e-34,1.841147958593199e-27,1.052543372442634e-134,0.0,1.2632413265970939e-281,1.5091178671618413e-126,2.5980966351520176e-52,3.75509402655363e-21,0.0,1.3123276520273305e-27,4.540808383643565e-92,0.0,0.0,2.468315729913037e-67,6.237062947349992e-31,5.896395233911689e-245,3.29790841603114e-16,9.416925026457343e-66,8.017231962380496e-12,2.364259555664779e-06,-139.519995199952
1.7026116971103614e-36,1.5552758526607935e-24,1.134775781468146e-101,0.0,2.4347343582709125e-34,3.2509096153190125e-40,2.8918356666553885e-30,1.1944329017915447e-14,6.201435501954118e-136,6.599882284025879e-36,2.8918356666553885e-30,9.092138891392693e-12,1.1207192274351145e-86,4.289405064487245e-21,9.313062479346906e-41,3.4985136204938485e-47,2.746087063257102e-23,6.101133749601141e-13,5.802897551016496e-68,0.0,0.0,2.3161593340931667e-34,2.601096861230093e-27,3.716512781520968e-134,0.0,1.8101432261510741e-280,5.341279602344359e-126,4.239239848866092e-52,4.6175265173115844e-21,0.0,1.90982428949748e-27,1.617134864287533e-91,0.0,0.0,6.948642037093644e-67,9.69600774896182e-31,6.229396724224762e-244,3.9061388855096156e-16,2.3250805252815244e-65,9.714587218195225e-12,2.4942707916274604e-06,-139.359993599936
2.5680314857910445e-36,2.050533699461663e-24,2.869751259861841e-101,0.0,4.944727960622351e-34,5.160889916171418e-40,4.414126238778423e-30,1.3394251759358121e-14,3.2183816444587786e-135,1.0016228145699102e-35,4.414126238778423e-30,1.1042296864554061e-11,6.330839958300033e-86,6.230703865101936e-21,1.4412400267707089e-40,6.452434656520506e-47,3.6246579142167076e-23,7.056526760664698e-13,1.2732343774901675e-67,0.0,0.0,3.5397383450578545e-34,3.670750294954748e-27,1.3088425844932595e-133,0.0,2.579497475703991e-279,1.885138985760345e-125,6.909671818528802e-52,5.675031365194425e-21,0.0,2.775843371863448e-27,5.736454317125678e-91,0.0,0.0,1.94903610179995e-66,1.5050066677687966e-30,6.548380068992396e-243,4.624260592703999e-16,5.7244205629843934e-65,1.1761806230383199e-11,2.6310322228573156e-06,-139.19999199992
3.869033735920267e-36,2.701364821044412e-24,7.243553964567502e-101,0.0,1.0007096722765734e-33,8.182689338041139e-40,6.728020023460711e-30,1.5016257895483055e-14,1.6628482503234455e-134,1.518329974293175e-35,6.728020023460711e-30,1.3397502123712838e-11,3.5484023096714814e-85,9.035139889855107e-21,2.227909546612873e-40,1.187835340186743e-46,4.7802675630935625e-23,8.157510269408284e-13,2.7878502002674662e-67,0.0,0.0,5.4028740524128195e-34,5.174681720396297e-27,4.5972207583436216e-133,0.0,3.655550840790255e-278,6.634639768507465e-125,1.1250286845000197e-51,6.971037517705919e-21,0.0,4.02946060530383e-27,2.0268661645903076e-90,0.0,0.0,5.4470397375444e-66,2.3324725292882845e-30,6.84936405019841e-242,5.471702148134818e-16,1.405366886567875e-64,1.4228816594820651e-11,2.7748713365797937e-06,-139.03999039990399
5.822669365982686e-36,3.555956303284285e-24,1.8248719373220025e-100,0.0,2.0181278072849197e-33,1.2957442731659574e-39,1.0240029029269465e-29,1.6830287706183273e-14,8.553373891584105e-134,2.2989104920604685e-35,1.0240029029269465e-29,1.6239001018385325e-11,1.9733829800060899e-84,1.3079476806099443e-20,3.440140933137255e-40,2.1826366832260695e-46,6.298974407464533e-23,9.425631455364365e-13,6.09155454256917e-67,0.0,0.0,8.236249268432435e-34,7.286901956297432e-27,1.6104952847279433e-132,0.0,5.151884321114253e-277,2.328451683641708e-124,1.829812179387967e-51,8.558484332026016e-21,0.0,5.841834959299399e-27,7.1333057740230295e-90,0.0,0.0,1.5167776454031922e-65,3.6093358437643525e-30,7.128449973735599e-241,6.4712492304701415e-16,3.440428593994403e-64,1.7199041598255514e-11,2.926130241186746e-06,-138.879988799888
8.753045461238584e-36,4.677205354035605e-24,4.588664795704692e-100,0.0,4.055684010249445e-33,2.0492469630352095e-39,1.5562755225687063e-29,1.8858533723700023e-14,4.380181022229149e-133,3.476737468045246e-35,1.5562755225687063e-29,1.966372727381304e-11,1.0889223446802036e-83,1.8901818273163185e-20,5.306062436816266e-40,4.00312580565759e-46,8.293157995534354e-23,1.0885527253995004e-12,1.3282641933590342e-66,0.0,0.0,1.2539640193846494e-33,1.0250208340992832e-26,5.627036243535857e-132,0.0,7.220627331218992e-276,8.148788087508192e-124,2.9729402137578463e-51,1.0501868736823222e-20,0.0,8.458669661737515e-27,2.5005805166110854e-89,0.0,0.0,4.208274018449954e-65,5.576615413063536e-30,7.381904908806854e-240,7.649610693114121e-16,8.398467179292472e-64,2.0771903523496867e-11,3.0851662523475902e-06,-138.719987199872
1.3143580193142968e-35,6.1471428787829816e-24,1.151631464776575e-99,0.0,8.121839999391809e-33,3.2368387856954816e-39,2.361800294135653e-29,2.1125688233497367e-14,2.233142441168087e-132,5.251890618166203e-35,2.361800294135653e-29,2.378720601056925e-11,5.9619653485804136e-83,2.726933298909395e-20,8.174965306308695e-40,7.328407466238046e-46,1.0909440860263797e-22,1.256535241117079e-12,2.890270023384573e-66,0.0,0.0,1.9067406415804254e-33,1.440299939138171e-26,1.9609030567877642e-131,0.0,1.0064201241811057e-274,2.843771698247923e-123,4.8250584696776886e-51,1.2879725210600905e-20,0.0,1.2232219292317502e-26,8.731222984696728e-89,0.0,0.0,1.163340420638279e-64,8.602936918639123e-30,7.606244314340119e-239,9.038077683426054e-16,2.0443354469277576e-63,2.5065770787952494e-11,3.2523524992690945e-06,-138.559985599856
