0-Albert 2008,1-Baroudi 2000a,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,11-Makita 1998,12-O'Leary 2002,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,16-Wei 1999,17-Wei 1999,18-Zhang 2008,sum,gauss,x
0.0,0.0,2.111012516091061e-08,1.4173949817225598e-14,0.0,7.66863674507012e-86,1.882470455948041e-19,7.335239711749887e-26,5.958924978274583e-54,6.871446965585492e-78,2.5946166761719946e-149,2.0213008247379014e-62,0.0,0.0,6.192098896998484e-86,0.0,8.356552901938642e-79,4.2294157418506805e-169,0.0,2.1110139335048673e-08,5.015851645159239e-11,-140.0
0.0,0.0,2.2376142816907112e-08,1.649382751401937e-14,0.0,3.554253158492389e-85,2.3189962203167057e-19,9.479833257847845e-26,1.090802498698058e-53,1.5314224871145273e-77,1.152417763396749e-148,3.7311709697443096e-62,0.0,0.0,1.4391884289028764e-85,0.0,1.727735113735968e-78,2.7097376347914516e-168,0.0,2.2376159310966523e-08,5.5316951073000466e-11,-139.839998399984
0.0,0.0,2.3714499500872806e-08,1.918489900956636e-14,0.0,1.6371922062375925e-84,2.8550809692998747e-19,1.2243696725570759e-25,1.9936358149347328e-53,3.406681085839097e-77,5.101666690862428e-148,6.877985788639599e-62,0.0,0.0,3.3387743745191474e-85,0.0,3.5667221044309313e-78,1.7282765367901993e-167,0.0,2.3714518686057326e-08,6.099156758875864e-11,-139.679996799968
0.0,0.0,2.5129105059464823e-08,2.2305147385441264e-14,0.0,7.495007948380844e-84,3.5130419375305666e-19,1.5803377206060878e-25,3.6380362859310513e-53,7.56410549224219e-77,2.251021366099309e-147,1.2661329947104179e-61,0.0,0.0,7.731186019954832e-85,0.0,7.351966296567237e-78,1.0973327723557123e-166,0.0,2.512912736496351e-08,6.723251616115482e-11,-139.519995199952
0.0,0.0,2.6624067258026252e-08,2.5921384146292035e-14,0.0,3.410088464829225e-83,4.320109511301353e-19,2.038509437452285e-25,6.628415472477863e-53,1.676383251697576e-76,9.899483856363874e-147,2.3275515399473783e-61,0.0,0.0,1.7868776333183856e-84,0.0,1.5131426139386606e-77,6.935896289861318e-166,0.0,2.662409317984241e-08,7.409466568421122e-11,-139.359993599936
0.0,0.0,2.8203701028116597e-08,3.0110557057740565e-14,0.0,1.5419855794258528e-82,5.309488619723162e-19,2.6278527370456767e-25,1.2057962112549471e-52,3.708332675193267e-76,4.339212159435506e-146,4.2728850992439185e-61,0.0,0.0,4.122238744780104e-84,0.0,3.1095556800453647e-77,4.364213179943429e-165,0.0,2.8203731139204603e-08,8.163803246020768e-11,-139.19999199992
0.0,0.0,2.987253810464906e-08,3.4961246082027435e-14,0.0,6.929726550131976e-82,6.521644917912524e-19,3.385437489409179e-25,2.1900781080227493e-52,8.187922076023155e-76,1.895721853190374e-145,7.833305246107184e-61,0.0,0.0,9.492073828829943e-84,0.0,6.380562011518345e-77,2.7336848595384826e-164,0.0,2.98725730665473e-08,8.992824633384714e-11,-139.03999039990399
0.0,0.0,3.163533706680318e-08,4.057537360910627e-14,0.0,3.095088000154731e-81,8.005862387590619e-19,4.358670626950994e-25,3.971611775158913e-52,1.8045060906867672e-75,8.2547466128201e-145,1.4340715300286902e-60,0.0,0.0,2.1816180213697944e-83,0.0,1.3072590305215236e-76,1.704629748818356e-163,0.0,3.163537764297738e-08,9.903705741709082e-11,-138.879988799888
0.0,0.0,3.349709379729862e-08,4.707015870341715e-14,0.0,1.3738870315340555e-80,9.822128440414867e-19,5.608139163608225e-25,7.19110237912261e-52,3.96947107880731e-75,3.5825996201755186e-144,2.621793639919164e-60,0.0,0.0,5.004791112767125e-83,0.0,2.6742776083529005e-76,1.0581586935660966e-162,0.0,3.349714086843954e-08,1.090428867870455e-10,-138.719987199872
0.0,0.0,3.5463052375007963e-08,5.458034906448227e-14,0.0,6.061082082240621e-80,1.2043413944246452e-18,7.211224057192404e-25,1.3000068794488874e-51,8.715585552045006e-75,1.5497377170110173e-143,4.786610895217038e-60,0.0,0.0,1.1459953030339665e-82,0.0,5.462525106476874e-76,6.538989956829927e-162,0.0,3.546310695656137e-08,1.200314248071973e-10,-138.559985599856
