0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,6-Liu 2005,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
1.9570212451e-124,0.0,1.83829482455e-262,0.0,3.54348598908e-138,1.80962402259e-10,1.82957305594e-25,1.22199866097e-30,6.7825643016e-18,1.80962409041e-10,2.27744806291e-09,-140.0
6.64215029765e-124,0.0,3.97043874014e-261,0.0,1.87196177615e-137,1.99386945727e-10,2.70035588821e-25,1.76819299975e-30,7.86322417596e-18,1.99386953591e-10,2.47869977615e-09,-139.8399984
2.24834894547e-123,0.0,8.5080552926e-260,0.0,9.8453916471e-137,2.19626648909e-10,3.97980664513e-25,2.555791062e-30,9.11314788456e-18,2.19626658022e-10,2.69715128869e-09,-139.6799968
7.59032880737e-123,0.0,1.80880011282e-258,0.0,5.15512002176e-136,2.41854011886e-10,5.85696541398e-25,3.69026683732e-30,1.05583778867e-17,2.41854022444e-10,2.93421965443e-09,-139.5199952
2.55563791419e-122,0.0,3.81521764492e-257,0.0,2.68728871751e-135,2.66257287365e-10,8.60702500925e-25,5.32263808512e-30,1.22288891406e-17,2.66257299593e-10,3.19143402017e-09,-139.3599936
8.58183012574e-122,0.0,7.98392646633e-256,0.0,1.39463204593e-134,2.93041856291e-10,1.26299953033e-24,7.6688959811e-30,1.41591713503e-17,2.9304187045e-10,3.47044409535e-09,-139.199992
2.87410323085e-121,0.0,1.65760942532e-254,0.0,7.2056757514e-134,3.2243171762e-10,1.85064463261e-24,1.10376215813e-29,1.63888956487e-17,3.22431734009e-10,3.77302922904e-09,-139.0399904
9.59989914457e-121,0.0,3.41441539155e-253,0.0,3.70646201969e-133,3.54671101152e-10,2.70777512121e-24,1.58691950093e-29,1.8963677696e-17,3.54671120116e-10,4.10110813498e-09,-138.8799888
3.19795859255e-120,0.0,6.97780730759e-252,0.0,1.89807844297e-132,3.90026213022e-10,3.95614202305e-24,2.27914017641e-29,2.19359508309e-17,3.90026234958e-10,4.45674930827e-09,-138.7199872
1.06248023593e-119,0.0,1.41478373319e-250,0.0,9.6769505784e-132,4.28787124085e-10,5.77166177795e-24,3.26982055829e-29,2.53659647998e-17,4.28787149451e-10,4.84218217983e-09,-138.5599856
3.52055182899e-119,0.0,2.84596537572e-249,0.0,4.91170927591e-131,4.71269812225e-10,8.40813335849e-24,4.68612151989e-29,2.93229277231e-17,4.71269841548e-10,5.25980905764e-09,-138.399984
1.16343595914e-118,0.0,5.67986005386e-248,0.0,2.48197010772e-130,5.17818370354e-10,1.22311707196e-23,6.70872386149e-29,3.38863113881e-17,5.17818404241e-10,5.7122179068e-09,-138.2399824
3.83456480059e-118,0.0,1.12464155691e-246,0.0,1.24861976124e-129,5.68807392741e-10,1.77666760414e-23,9.59407323385e-29,3.91473427039e-17,5.68807431888e-10,6.20219602373e-09,-138.0799808
