0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Aiba 2014,7-Akai 2000,8-Albert 2008,9-Amin 2005,10-An 1998,11-Bankston 2007a,12-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Beckermann 2014,16-Bezzina 2003,17-Calloe 2011,18-Casini 2007,19-Chang 2004,20-Chen 2016,21-Cordeiro 2006,22-Crotti 2012a,23-Deschenes 2000,25-Ellinor 2008,26-Ge 2008,27-Gosselin-Badaroudine 2012,28-Groenewegen 2003a,29-Hayashi 2015,30-Hsueh 2009,31-Hu 2007,32-Hu 2010,33-Hu 2014,34-Huang 2009,37-Itoh 2007,38-Juang 2014a,39-Kato 2014,40-Keller 2005,41-Keller 2006,42-Lin 2008,43-Liu 2002,44-Lupoglazoff 2001,45-Makita 2002,46-Makita 2005,47-Makita 2008,48-Makiyama 2008,49-Marangoni 2011,50-Mohler 2004,51-Mok 2003,52-Moreau 2013,53-Nakajima 2015,54-Neu 2010,55-Nguyen 2008,56-Otagiri 2008,57-Rivolta 2001,58-Rossenbacker 2004,59-Ruan 2007,60-Ruan 2010,61-Saber 2015,62-Samani 2009,63-Shuraih 2007,64-Smits 2005a,65-Smits 2005b,66-Sottas 2013,67-Swan 2014,68-Tan 2001,69-Viswanathan 2003,70-Wang 2002,71-Wang 2007a,73-Wang 2008,74-Wang 2016,75-Wedekind 2001,76-Wehrens 2003,77-Wei 1999,78-Yang 2002,79-Zeng 2013,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.66956030635e-37,5.57934766008e-23,0.0,2.62052908941e-25,5.54488134049e-66,1.39687249498e-103,1.96674619409e-144,1.92524643696e-21,2.0958629218e-99,0.0,3.54348745431e-15,2.17692808171e-263,3.97228289206e-14,7.09068305549e-36,2.59355092517e-41,0.0,2.69434951087e-31,1.02328438745e-57,0.0,2.13071314489e-22,1.91715918627e-86,1.83380992794e-26,4.19623340812e-139,2.2719112795e-50,0.0,2.69434951087e-31,1.03516280003e-36,1.31503888234e-24,1.3486188973e-51,1.90709339295e-321,2.14297581622e-11,1.11549296207e-70,5.22347902268e-90,1.45808585602e-63,6.58512889488e-29,2.00306175104e-40,2.08046642332e-27,1.52300106954e-48,4.60340303336e-24,1.76509571354e-46,1.74101159743e-13,0.0,0.0,1.89186435751e-26,3.01225203078e-107,2.62987124831e-33,2.7918724376e-90,3.32904067133e-28,1.20764993971e-136,0.0,2.13123243512e-285,1.71736727334e-128,3.04950050467e-53,1.97826653109e-22,0.0,1.83856903579e-46,2.57964170352e-10,0.0,5.47279812173e-41,2.16841483739e-28,4.47845000562e-45,8.484714411e-13,1.75913930919e-32,1.75913930919e-32,8.44089546946e-32,8.56424487667e-19,2.49017744509e-248,2.08913822548e-79,0.0,5.75677398569e-38,2.8045976829e-10,2.3903318012e-06,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,2.52939746303e-37,7.08090183451e-23,0.0,3.46594031257e-25,9.7465037773e-66,3.55957354838e-103,8.88756804881e-144,2.54392409713e-21,9.26637826137e-99,0.0,4.1234568785e-15,4.70183535017e-262,4.59167030968e-14,1.46042544921e-35,4.13816126852e-41,0.0,4.13656187719e-31,2.61197511705e-57,0.0,2.66280779048e-22,8.88563289623e-86,2.36995831446e-26,2.21679684017e-138,4.21490739874e-50,0.0,4.13656187719e-31,1.72885959258e-36,1.94343013562e-24,2.77127805627e-51,1.50615912135e-319,2.3611611994e-11,2.44624517724e-70,3.0443623397e-89,4.29448153007e-63,8.68837818995e-29,3.54337894717e-40,2.97089515124e-27,2.82989245239e-48,6.09679921463e-24,2.93645226629e-46,2.01761061616e-13,0.0,0.0,2.68196903416e-26,1.23664809803e-106,4.10237132867e-33,9.87222348796e-90,4.71840794096e-28,4.29801795061e-136,0.0,3.10506553843e-284,6.12995947249e-128,4.99173093789e-53,2.60304489684e-22,0.0,3.43047076848e-46,2.89334079969e-10,0.0,8.39184970236e-41,3.16768702863e-28,7.79926906646e-45,1.00419859994e-12,2.67293186008e-32,2.67293186008e-32,1.31826711551e-31,1.11605684652e-18,2.67057172382e-247,4.31933778434e-79,0.0,8.8352329958e-38,3.14201692904e-10,2.51957844395e-06,-139.8399984
0.0,0.0,0.0,0.0,0.0,0.0,3.82780219653e-37,8.98077049893e-23,0.0,4.58046976409e-25,1.7112871728e-65,9.05341489888e-103,4.0021414543e-143,3.3582060814e-21,4.07643373211e-98,0.0,4.79622475239e-15,1.0075328636e-260,5.30526756832e-14,2.99740609615e-35,6.59434721397e-41,0.0,6.34156583021e-31,6.64370431495e-57,0.0,3.32584206617e-22,4.09298051559e-85,3.06092418139e-26,1.16590164242e-137,7.80571360964e-50,0.0,6.34156583021e-31,2.88243284933e-36,2.86755187779e-24,5.68132996786e-51,1.17392863033e-317,2.60084189497e-11,5.3538293478e-70,1.76051541987e-88,1.25951181821e-62,1.14557603349e-28,6.2561267504e-40,4.23748211093e-27,5.24846414041e-48,8.06783937779e-24,4.87871765915e-46,2.33700280617e-13,0.0,0.0,3.79761961731e-26,5.05573461496e-106,6.39006341577e-33,3.47693981232e-89,6.68039826051e-28,1.5256381574e-135,0.0,4.49889936704e-283,2.18186529433e-127,8.1622589736e-53,3.42213574687e-22,0.0,6.38806933873e-46,3.24373868562e-10,0.0,1.2854130628e-40,4.62160233913e-28,1.35605770937e-44,1.18769093002e-12,4.05603091682e-32,4.05603091682e-32,2.05565845374e-31,1.45292628528e-18,2.84974947098e-246,8.91680526108e-79,0.0,1.35441193955e-37,3.5186152908e-10,2.65542263324e-06,-139.6799968
0.0,0.0,0.0,0.0,0.0,0.0,5.78627855374e-37,1.13830461839e-22,0.0,6.04861314374e-25,3.00133432827e-65,2.29826511181e-102,1.79587789621e-142,4.42890038393e-21,1.78432500301e-97,0.0,5.57628684636e-15,2.1420001336e-259,6.12702925998e-14,6.13036954744e-35,1.04951337233e-40,0.0,9.70789055626e-31,1.6839148562e-56,0.0,4.15155116595e-22,1.8737519871e-84,3.95084430152e-26,6.10474739419e-137,1.44299588935e-49,0.0,9.70789055626e-31,4.79741269861e-36,4.22440595756e-24,1.16198085536e-50,9.03107391411e-316,2.86406066707e-11,1.16939291771e-69,1.01016038322e-87,3.67838870331e-62,1.5094540171e-28,1.10244810089e-39,6.03701659347e-27,9.71599132998e-48,1.06670676991e-23,8.0949930424e-46,2.70562312739e-13,0.0,0.0,5.3710983406e-26,2.05828595695e-105,9.93905483937e-33,1.21966947488e-88,9.44799610331e-28,5.40120941122e-135,0.0,6.48242259701e-282,7.74415747623e-127,1.33323379962e-52,4.4950189361e-22,0.0,1.18721024917e-45,3.63494795335e-10,0.0,1.96681931372e-40,6.73431295119e-28,2.35396790257e-44,1.40374658926e-12,6.14667627168e-32,6.14667627168e-32,3.2005980914e-31,1.8895608006e-18,3.02578176477e-245,1.83799157414e-78,0.0,2.07385065994e-37,3.93876559382e-10,2.79817901235e-06,-139.5199952
0.0,0.0,0.0,0.0,0.0,0.0,8.73708634043e-37,1.44186059333e-22,0.0,7.98102082286e-25,5.25803287377e-65,5.82319151017e-102,8.03037915064e-142,5.83538956252e-21,7.77124762774e-97,0.0,6.48034603657e-15,4.51802089531e-258,7.07291898811e-14,1.24940315753e-34,1.66822993418e-40,0.0,1.48396830263e-30,4.25303086367e-56,0.0,5.17924120146e-22,8.52522116207e-84,5.09627359363e-26,3.18231558653e-136,2.66284250271e-49,0.0,1.48396830263e-30,7.97082674694e-36,6.21343874559e-24,2.37097503152e-50,6.85747884631e-314,3.15304682405e-11,2.54910537167e-69,5.75105919342e-87,1.06973660982e-61,1.98758917e-28,1.93898944243e-39,8.5907444518e-27,1.7952898842e-47,1.40917625615e-23,1.34139081689e-45,3.13084495045e-13,0.0,0.0,7.58767437536e-26,8.34469485212e-105,1.54367092496e-32,4.26137666964e-88,1.33477338932e-27,1.90715787473e-134,0.0,9.28889287104e-281,2.74091979594e-126,2.17539939613e-52,5.89908341333e-22,0.0,2.20205301299e-45,4.07152026412e-10,0.0,3.00623525e-40,9.80041411716e-28,4.07963207175e-44,1.65796528874e-12,9.30261696766e-32,9.30261696766e-32,4.97558292381e-31,2.45492475998e-18,3.19666410848e-244,3.78285653485e-78,0.0,3.17174397677e-37,4.40730756435e-10,2.94817603013e-06,-139.3599936
0.0,0.0,0.0,0.0,0.0,0.0,1.31780563087e-36,1.82518933398e-22,0.0,1.0522475563e-24,9.20130993035e-65,1.47263551493e-101,3.57824581007e-141,7.68120171368e-21,3.36767944952e-96,0.0,7.52763926444e-15,9.45464976276e-257,8.16118984577e-14,2.53742619032e-34,2.64835140435e-40,0.0,2.26514372779e-30,1.07039855231e-55,0.0,6.45756592524e-22,3.85496394856e-83,6.56963184261e-26,1.65153794913e-135,4.90516670955e-49,0.0,2.26514372779e-30,1.32205056408e-35,9.12452799744e-24,4.82651918511e-50,5.13945450799e-312,3.47023250871e-11,5.54557407444e-69,3.24872050492e-86,3.09784699225e-61,2.61543614712e-28,3.40374809465e-39,1.2210492185e-26,3.31111778427e-47,1.8600218244e-23,2.21984286066e-45,3.62111241666e-13,0.0,0.0,1.07065168468e-25,3.36898064668e-104,2.39405476307e-32,1.48292941676e-87,1.88367449346e-27,6.716429052e-134,0.0,1.32368949411e-279,9.67373953219e-126,3.54575264372e-52,7.73492785745e-22,0.0,4.07633643025e-45,4.55849068566e-10,0.0,4.59005833182e-40,1.42444594082e-27,7.05894102856e-44,1.9568773183e-12,1.40603345043e-31,1.40603345043e-31,7.72306053197e-31,3.18621829332e-18,3.36035293014e-243,7.77388920011e-78,0.0,4.84521114327e-37,4.92959524947e-10,3.10575648463e-06,-139.199992
0.0,0.0,0.0,0.0,0.0,0.0,1.98542520659e-36,2.30893893309e-22,0.0,1.38622668448e-24,1.60839777157e-64,3.71708690287e-101,1.58883634948e-140,1.0101220694e-20,1.45209141542e-95,0.0,8.74031152051e-15,1.96295852999e-255,9.41270276254e-14,5.13522068668e-34,4.19901163399e-40,0.0,3.45253659099e-30,2.68448551303e-55,0.0,8.0467133328e-22,1.73243163753e-82,8.46359372352e-26,8.53303707403e-135,9.01965589849e-49,0.0,3.45253659099e-30,2.188976854e-35,1.33782961939e-23,9.80212286115e-50,3.80186809229e-310,3.81827034023e-11,1.20402811161e-68,1.82089065891e-85,8.93319745342e-61,3.43931843476e-28,5.9635388682e-39,1.73352248308e-26,6.09547082464e-47,2.45303203896e-23,3.66874216165e-45,4.18609079614e-13,0.0,0.0,1.50897367559e-25,1.35447152481e-103,3.70751703752e-32,5.13988999392e-87,2.65542877757e-27,2.35910012599e-133,0.0,1.87587477356e-278,3.40461777594e-125,5.77317351257e-52,1.01332023811e-21,0.0,7.53103017175e-45,5.10142622198e-10,0.0,7.00084060648e-40,2.06774952114e-27,1.2194281213e-43,2.30809250522e-12,2.12232495819e-31,2.12232495819e-31,1.19692669266e-30,4.13116834324e-18,3.51480523629e-242,1.59514050288e-77,0.0,7.3930089147e-37,5.51154898668e-10,3.27127808512e-06,-139.0399904
0.0,0.0,0.0,0.0,0.0,0.0,2.9879487536e-36,2.91901849354e-22,0.0,1.82476705037e-24,2.80837246922e-64,9.36447441521e-101,7.03012484851e-140,1.32710083735e-20,6.22989004178e-95,0.0,1.01438434023e-14,4.04338664788e-254,1.08512876478e-13,1.0356182169e-33,6.64921403335e-40,0.0,5.2547517387e-30,6.70880531344e-55,0.0,1.00210950239e-21,7.73772000039e-82,1.08966765674e-25,4.3892313391e-134,1.6555948708e-48,0.0,5.2547517387e-30,3.61811761343e-35,1.95840819514e-23,1.98602767111e-49,2.77590457106e-308,4.20005251365e-11,2.60890422941e-68,1.01265705553e-84,2.56517955031e-60,4.51971883886e-28,1.04283445858e-38,2.45821421808e-26,1.12003724534e-46,3.23236844594e-23,6.05536328843e-45,4.8368371942e-13,0.0,0.0,2.124266798e-25,5.42281201165e-103,5.73326411826e-32,1.77439357105e-86,3.73933126705e-27,8.26438369795e-133,0.0,2.64373011215e-277,1.19486336397e-124,9.38982565739e-52,1.32634310579e-21,0.0,1.38861186585e-44,5.70647890154e-10,0.0,1.06664258415e-39,2.99778372911e-27,2.10315341872e-43,2.72047204657e-12,3.19929159113e-31,3.19929159113e-31,1.85215918298e-30,5.35094249561e-18,3.65802038126e-241,3.2681475763e-77,0.0,1.1267399456e-36,6.15971233143e-10,3.44511403288e-06,-138.8799888
0.0,0.0,0.0,0.0,0.0,0.0,4.49169438143e-36,3.68791685437e-22,0.0,2.40014485273e-24,4.89816479006e-64,2.35470956622e-100,3.09971513227e-139,1.74188452297e-20,2.65943890078e-94,0.0,1.17675396759e-14,8.26319286425e-253,1.25041528743e-13,2.08120626842e-33,1.05158725735e-39,0.0,7.98615070792e-30,1.67069774447e-54,0.0,1.24726518602e-21,3.43471757884e-81,1.4020347909e-25,2.24772447193e-133,3.03351453727e-48,0.0,7.98615070792e-30,5.96997618126e-35,2.86231641167e-23,4.01448183573e-49,2.00050429521e-306,4.61873146999e-11,5.64171366278e-68,5.58789097928e-84,7.33487083154e-60,5.93555340272e-28,1.82008373373e-38,3.48180073665e-26,2.0542356108e-46,4.25569949771e-23,9.98139565318e-45,5.58599424876e-13,0.0,0.0,2.98696681658e-25,2.16203403539e-102,8.85299994779e-32,6.10111026082e-86,5.25997533288e-27,2.88755807234e-132,0.0,3.70532191997e-276,4.18161493964e-124,1.52558774127e-51,1.73453780879e-21,0.0,2.55534459238e-44,6.38044381839e-10,0.0,1.6233956951e-39,4.34063311589e-27,3.62146088203e-43,3.20432656719e-12,4.8163881871e-31,4.8163881871e-31,2.86168422512e-30,6.92385079122e-18,3.78808278215e-240,6.68569402088e-77,0.0,1.71522102584e-36,6.88131438544e-10,3.62765362126e-06,-138.7199872
0.0,0.0,0.0,0.0,0.0,0.0,6.74473194122e-36,4.65634628688e-22,0.0,3.15445489832e-24,8.53354569132e-64,5.90968777977e-100,1.36193193722e-138,2.28412659928e-20,1.12959526964e-93,0.0,1.36450872661e-14,1.67540178931e-251,1.4402349334e-13,4.16778631548e-33,1.66100937687e-39,0.0,1.21197646673e-29,4.14590318652e-54,0.0,1.55149146189e-21,1.51527052056e-80,1.8028060143e-25,1.14595467376e-132,5.54837740268e-48,0.0,1.21197646673e-29,9.83356343694e-35,4.17680380248e-23,8.0956690846e-49,1.42299021307e-304,5.0777422589e-11,1.2175739214e-67,3.05942958677e-83,2.08848344484e-59,7.78971879404e-28,3.1705312607e-38,4.92585970455e-26,3.76063014715e-46,5.59826570461e-23,1.64312420367e-44,6.44800978994e-13,0.0,0.0,4.19513241581e-25,8.58388341721e-102,1.36505041988e-31,2.08944324752e-85,7.39101284558e-27,1.0062528844e-131,0.0,5.16452432146e-275,1.45930389779e-123,2.47601684628e-51,2.2663677216e-21,0.0,4.69310415432e-44,7.13082255151e-10,0.0,2.46812189642e-39,6.27705990001e-27,6.22579388338e-43,3.77164422112e-12,7.24127190722e-31,7.24127190722e-31,4.41466499772e-30,8.95004341515e-18,3.9032043192e-239,1.36563127662e-76,0.0,2.60801707943e-36,7.68433800498e-10,3.81930285558e-06,-138.5599856
