0-Abe 2014,1-An 1998,2-Baroudi 2000a,3-Baroudi 2000a,4-Bebarova 2008,6-Beyder 2014,7-Bezzina 2003,8-Calloe 2011,9-Calloe 2013,10-Cheng 2010,11-Cheng 2010,12-Cheng 2010,13-Cheng 2010,14-Cheng 2011,15-Cheng 2011,16-Clatot 2012,17-Glaaser 2012,18-Groenewegen 2003a,19-Groenewegen 2003b,20-Guetter 2013,21-Guetter 2013,22-Gui 2010a,23-Gui 2010a,24-Gui 2010b,25-Holst 2009,26-Hoshi 2014,27-Hu 2015,28-Hu 2015,29-Huang 2006,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Kapplinger 2015,35-Kapplinger 2015,36-Kapplinger 2015,37-Kapplinger 2015,38-Kapplinger 2015,39-Kapplinger 2015,40-Kapplinger 2015,41-Kapplinger 2015,42-Kapplinger 2015,43-Kapplinger 2015,44-Kapplinger 2015,45-Kapplinger 2015,46-Kapplinger 2015,47-Kapplinger 2015,48-Kapplinger 2015,49-Kapplinger 2015,50-Kapplinger 2015,51-Kapplinger 2015,52-Kapplinger 2015,53-Kapplinger 2015,54-Kapplinger 2015,55-Kapplinger 2015,56-Kapplinger 2015,57-Li 2009,58-Liu 2003a,59-Liu 2005,60-Makita 1998,61-Medeiros-Domingo 2007,62-Medeiros-Domingo 2009,63-Murphy 2012,64-O'Leary 2002,65-Olesen 2012,66-Pfahnl 2007,68-Rook 1999,69-Sarhan 2009,70-Shinlapawittayatorn 2011a,71-Shinlapawittayatorn 2011b,72-Shirai 2002,73-Shy 2014,75-Surber 2008,76-Surber 2008,77-Tan 2002,78-Tan 2005,79-Tan 2005,80-Tan 2005,81-Tan 2005,82-Tan 2005,83-Tan 2005,84-Tan 2005,85-Tan 2005,86-Tan 2005,87-Tan 2005,88-Tan 2005,89-Tan 2005,90-Tan 2005,91-Tan 2005,92-Tan 2005,93-Tan 2006,94-Tan 2006,95-Tarradas 2013,96-Tester 2010,97-Tsurugi 2009,98-Valdivia 2004,99-Vatta 2002a,100-Vatta 2002b,101-Wang 1996,102-Wang 2011,103-Wang 2015,104-Watanabe 2011b,105-Watanabe 2011b,106-Wei 1999,107-Winkel 2012,108-Ye 2003,109-Ye 2003,110-Yokoi 2005,111-Young 2005,112-Zhang 2008,sum,gauss,x
1.23171954014e-30,1.01501056536e-40,2.60401535114e-14,0.0,1.60119920054e-125,4.9796113697e-32,3.64629434598e-09,0.0,0.0,4.47100786198e-61,1.0550306826e-111,3.23202762459e-146,2.93462608787e-143,1.19580953819e-47,1.27048755198e-55,1.83998600381e-208,2.67099140336e-15,3.25153987846e-20,1.02926885988e-54,2.21209370916e-31,1.18688629406e-78,4.13600224664e-67,4.48161062248e-150,2.77343893925e-83,4.35988893719e-37,2.60774478105e-126,4.40826370856e-20,4.51289719873e-13,1.46715210169e-12,4.52419506151e-102,1.20237937607e-108,0.0,0.0,1.6091560273e-127,9.19370755554e-227,1.97973347796e-121,2.38271098379e-127,8.78809626189e-72,3.75102492477e-107,3.4998921648e-69,5.51828675227e-103,4.89393226401e-119,0.0,1.97973347796e-121,6.19996593672e-283,5.51828675227e-103,1.24559432737e-272,5.09241845831e-81,1.27207255372e-52,1.45064873386e-165,1.6091560273e-127,0.0,4.04400550986e-54,1.6091560273e-127,6.83064453161e-98,9.7392363587e-112,3.35804092702e-22,5.69329455701e-42,1.4969234094e-26,3.49133778818e-63,8.69439295243e-70,2.14964396646e-36,8.30753130624e-12,0.0,1.48641127586e-35,2.25376949736e-09,0.0,1.02937302906e-62,1.18143623729e-28,6.06871121558e-71,7.34396248306e-15,7.1375425013e-22,1.06954435494e-86,1.63888417738e-71,6.94726958763e-29,1.37000052848e-32,1.98027113668e-29,1.21726969994e-46,1.38466850786e-32,1.35208059898e-49,1.09139197201e-17,2.12198468659e-38,1.37000052848e-32,5.87114905841e-108,6.54386750505e-35,2.56189356372e-15,5.80654253899e-23,4.3527255752e-60,8.89241545071e-38,0.0,3.89884354443e-58,1.37996340646e-38,5.18804681263e-85,2.46753855087e-204,3.4807378016e-94,1.67550297707e-37,0.0,0.0,3.07642272806e-45,3.83794937491e-69,1.41758383059e-162,9.9981708625e-32,2.27502215248e-63,7.3053544632e-170,7.01611047824e-17,1.90799118384e-06,4.83680863696e-07,2.18063144249e-67,5.54937079221e-19,0.0,2.39758237605e-06,1.18086799766e-09,-140.0
1.75195147148e-30,1.49657619476e-40,3.16869301389e-14,0.0,5.43448660717e-125,7.94567730852e-32,3.86497012292e-09,0.0,0.0,9.00108280217e-61,3.31801402355e-111,1.51312398331e-145,1.35784104229e-142,1.98096430527e-47,2.27645825161e-55,2.44673447411e-207,2.99835427464e-15,4.005538926e-20,1.88411340684e-54,3.18188086407e-31,2.64518429593e-78,9.16991583279e-67,1.99053977314e-149,7.40012596519e-83,6.64764301142e-37,1.15981588082e-125,5.36871252571e-20,5.03547789314e-13,1.78889258117e-12,1.49529469878e-101,5.20053483831e-108,0.0,0.0,7.30321898472e-127,1.29636241155e-225,8.65286617303e-121,1.07645030736e-126,2.02269837956e-71,1.42148517772e-106,8.08002574174e-69,1.80488013588e-102,2.10700735161e-118,0.0,8.65286617303e-121,1.96712241862e-281,1.80488013588e-102,4.31108696996e-271,1.47931391896e-80,2.36205896791e-52,1.0911407345e-164,7.30321898472e-127,0.0,7.47625199607e-54,7.30321898472e-127,2.07204059323e-97,3.62863324383e-111,4.91128519038e-22,8.84988624752e-42,2.20938209036e-26,6.44474985683e-63,1.92358869991e-69,3.12397782725e-36,9.66821792349e-12,0.0,2.28316816038e-35,2.47190904199e-09,0.0,4.2743736467e-62,1.72724391904e-28,1.67459492908e-70,8.77120332276e-15,8.79076016664e-22,2.48587092265e-86,3.73379526763e-71,1.0330542666e-28,1.89537056385e-32,2.64261772448e-29,2.07723463274e-46,1.95736775203e-32,2.34952332504e-49,1.28300597102e-17,3.26549830029e-38,1.89537056385e-32,2.02562367513e-107,9.70407492336e-35,2.93329330937e-15,7.38957275482e-23,8.89839645676e-60,1.34814407936e-37,0.0,7.75623861155e-58,2.11310623634e-38,1.53817686912e-84,2.16863455393e-203,1.25438736625e-93,2.61451300356e-37,0.0,0.0,6.56071996482e-45,1.09228588873e-68,8.06740418676e-162,1.44670336343e-31,5.42070657013e-63,4.68045591464e-169,8.32240642889e-17,1.97528322316e-06,5.01730106958e-07,5.43021730434e-67,6.43354705306e-19,0.0,2.48336221643e-06,1.29780259129e-09,-139.8399984
2.48939450709e-30,2.20465234657e-40,3.85270574478e-14,0.0,1.83955822811e-124,1.26571352224e-31,4.09614082288e-09,0.0,0.0,1.80874215738e-60,1.04074126389e-110,7.05821172292e-145,6.25974699679e-142,3.27749244491e-47,4.07313245155e-55,3.23050773144e-206,3.36496044225e-15,4.93150349243e-20,3.44355277125e-54,4.57204120315e-31,5.88426733009e-78,2.02863778858e-66,8.81196973876e-149,1.9693176452e-82,1.01240408983e-36,5.13803728625e-125,6.53497833555e-20,5.61692832357e-13,2.17903619646e-12,4.9265132301e-101,2.23936179943e-107,0.0,0.0,3.30130078792e-126,1.81550450968e-224,3.7667591538e-120,4.84372404497e-126,4.64517766864e-71,5.3667825363e-106,1.86105875062e-68,5.88513119133e-102,9.03501241286e-118,0.0,3.7667591538e-120,6.18344503571e-280,5.88513119133e-102,1.47701524535e-269,4.28357951852e-80,4.37853048436e-52,8.16250761807e-164,3.30130078792e-126,0.0,1.37989823043e-53,3.30130078792e-126,6.26757417515e-97,1.34725116992e-110,7.17070808069e-22,1.37413424929e-41,3.25620543692e-26,1.18801572713e-62,4.24700521923e-69,4.53568602766e-36,1.12445717839e-11,0.0,3.50257757362e-35,2.71020618903e-09,0.0,1.76169505704e-61,2.52201386284e-28,4.60548523773e-70,1.0469207094e-14,1.08211755311e-21,5.76697391962e-86,8.48803804785e-71,1.53404535733e-28,2.62011338526e-32,3.5239942556e-29,3.53959861519e-46,2.76442124486e-32,4.07686808608e-49,1.50763107065e-17,5.01935951726e-38,2.62011338526e-32,6.96633976155e-107,1.43747755912e-34,3.35734121382e-15,9.39792148881e-23,1.8155337746e-59,2.04159838669e-37,0.0,1.54008313583e-57,3.23207144987e-38,4.54606932096e-84,1.89620447845e-202,4.50273374611e-93,4.07455796478e-37,0.0,0.0,1.39492801666e-44,3.09737736296e-68,4.57215914625e-161,2.091101778e-31,1.28804771361e-62,2.98520492718e-168,9.86704144187e-17,2.04469610137e-06,5.20396304919e-07,1.34839395734e-66,7.45621190555e-19,0.0,2.57191279443e-06,1.42594888947e-09,-139.6799968
3.53367655801e-30,3.24484838442e-40,4.68058959222e-14,0.0,6.21026902421e-124,2.01283854007e-31,4.340481783e-09,0.0,0.0,3.62786523729e-60,3.25580780921e-110,3.28046617432e-144,2.87525469077e-141,5.41573194574e-47,7.27741166392e-55,4.23512614272e-205,3.77540495077e-15,6.06798152846e-20,6.28388085752e-54,6.56269442883e-31,1.3065273123e-77,4.47814602205e-66,3.88812781417e-148,5.22695291984e-82,1.54004720067e-36,2.26719923575e-124,7.95041088433e-20,6.26368639332e-13,2.65164685559e-12,1.6180051542e-100,9.59997903335e-107,0.0,0.0,1.48631367595e-125,2.52524425104e-223,1.63316597593e-119,2.17083885687e-125,1.06440869694e-70,2.01866817873e-105,4.27658078549e-68,1.91305569777e-101,3.85874484222e-117,0.0,1.63316597593e-119,1.92569123582e-278,1.91305569777e-101,5.0092326555e-268,1.23641297242e-79,8.10260764192e-52,6.07282483664e-163,1.48631367595e-125,0.0,2.54273509739e-53,1.48631367595e-125,1.89045069172e-96,4.98472712166e-110,1.04516931833e-21,2.13126808144e-41,4.79206261144e-26,2.18695699086e-62,9.35730956531e-69,6.57917834956e-36,1.30695747677e-11,0.0,5.36646845519e-35,2.97042804486e-09,0.0,7.2068841627e-61,3.67783023465e-28,1.26238940273e-69,1.24880401624e-14,1.33135151851e-21,1.33538667617e-85,1.92539000272e-70,2.27488447422e-28,3.61908345185e-32,4.69599041989e-29,6.0227133991e-46,3.90068781603e-32,7.06387940933e-49,1.77084259551e-17,7.70617327891e-38,3.61908345185e-32,2.38814542565e-106,2.1270382272e-34,3.84132500234e-15,1.19441448505e-22,3.69691130311e-59,3.08831620216e-37,0.0,3.05221287663e-57,4.93794710709e-38,1.33934733819e-83,1.64953042503e-201,1.60992297238e-92,6.3418254822e-37,0.0,0.0,2.95696987161e-44,8.75130122424e-68,2.58054429823e-160,3.01930923054e-31,3.0522056083e-62,1.89539297043e-167,1.16925843841e-16,2.11628690687e-06,5.39698276639e-07,3.33872796393e-66,8.63867281639e-19,0.0,2.66331250797e-06,1.56634462131e-09,-139.5199952
5.01096394305e-30,4.77157457252e-40,5.68177893906e-14,0.0,2.09097647524e-123,3.19559315115e-31,4.59870252639e-09,0.0,0.0,7.26303625644e-60,1.01584202768e-109,1.51913777175e-143,1.31585353668e-140,8.93764363132e-47,1.2983892738e-54,5.51281651187e-204,4.2348075609e-15,7.4620073377e-20,1.14490812706e-53,9.41022608132e-31,2.89557107111e-77,9.86385248477e-66,1.70991084792e-147,1.38368604433e-81,2.33995826434e-36,9.96474881678e-124,9.6673271374e-20,6.98287173071e-13,3.22357651604e-12,5.29721421216e-100,4.09718965327e-106,5.43472210425e-323,0.0,6.66485120323e-125,3.48854723046e-222,7.05256992259e-119,9.69033001918e-125,2.43360103307e-70,7.56475998154e-105,9.80443418329e-68,6.19958705811e-101,1.64141340631e-116,0.0,7.05256992259e-119,5.94155108233e-277,6.19958705811e-101,1.68168813292e-266,3.55738199422e-79,1.49685602616e-51,4.49347401041e-162,6.66485120323e-125,0.0,4.67784805684e-53,6.66485120323e-125,5.68585623873e-96,1.83789854164e-109,1.52078906832e-21,3.30190396995e-41,7.0421113712e-26,4.02031629627e-62,2.05739094991e-68,9.53441320444e-36,1.51810580126e-11,0.0,8.21183763906e-35,3.25448742425e-09,0.0,2.92632731474e-60,5.35656402453e-28,3.44876504838e-69,1.4886776437e-14,1.63712303796e-21,3.086425003e-85,4.35797450755e-70,3.36888800767e-28,4.99493299559e-32,6.25331599096e-29,1.02329321919e-45,5.49899525082e-32,1.22216435341e-48,2.07913801688e-17,1.18173707721e-37,4.99493299559e-32,8.16069444045e-106,3.14395850761e-34,4.39351592916e-15,1.51701221043e-22,7.5130425196e-59,4.66649330206e-37,0.0,6.03758316405e-57,7.53559889719e-38,3.93348747414e-83,1.42761749207e-200,5.7334781552e-92,9.85807606572e-37,0.0,0.0,6.24937820544e-44,2.46360944952e-67,1.45045331809e-159,4.354885706e-31,7.21275871009e-62,1.19801845007e-166,1.38490378668e-16,2.19011390984e-06,5.59655329068e-07,8.24346731691e-66,1.00054547514e-18,0.0,2.75764161228e-06,1.72011989646e-09,-139.3599936
7.0986730475e-30,7.01038765832e-40,6.89155379546e-14,0.0,7.02149737561e-123,5.0648087057e-31,4.8715483594e-09,0.0,0.0,1.45136905453e-59,3.16114940509e-109,7.00937791764e-143,5.99998928478e-140,1.47312405033e-46,2.31319615909e-54,7.12512269049e-203,4.74887107832e-15,9.17093488861e-20,2.08273891035e-53,1.34791888673e-30,6.40530189352e-77,2.16795101332e-65,7.49500282084e-147,3.65327772927e-81,3.55120816075e-36,4.36241782838e-123,1.17488315122e-19,7.78235537662e-13,3.91499616107e-12,1.72879125858e-99,1.74089113511e-105,5.46930669946e-321,0.0,2.97663132552e-124,4.78653214947e-221,3.03332597095e-118,4.30836348529e-124,5.55169028113e-70,2.82425980949e-104,2.24252683484e-67,2.00291073403e-100,6.95415707947e-116,0.0,3.03332597095e-118,1.81622667169e-275,2.00291073403e-100,5.58866074918e-265,1.02025253357e-78,2.76053997314e-51,3.30672469101e-161,2.97663132552e-124,0.0,8.59175804726e-53,2.97663132552e-124,1.70526172417e-95,6.75287953771e-109,2.20906773399e-21,5.10985100401e-41,1.03336325209e-25,7.38043789869e-62,4.5141946111e-68,1.38041577634e-35,1.76223843102e-11,0.0,1.25499814052e-34,3.56445401412e-09,0.0,1.17938829747e-59,7.79168405256e-28,9.39044556783e-69,1.77350709236e-14,2.01205657493e-21,7.12023055917e-85,9.8424957648e-70,4.98218537179e-28,6.88831966998e-32,8.32117603671e-29,1.73611190164e-45,7.74516500226e-32,2.1114736564e-48,2.44008614057e-17,1.81006669886e-37,6.88831966998e-32,2.77973691273e-105,4.64200501756e-34,5.02329795272e-15,1.92545714582e-22,1.52382389551e-58,7.04331277467e-37,0.0,1.19203520676e-56,1.14866919316e-37,1.15156832764e-82,1.22924870246e-199,2.03383380334e-91,1.53043234244e-36,0.0,0.0,1.31680517255e-43,6.91021890638e-67,8.1189272588e-159,6.27455125727e-31,1.69978817907e-61,7.53818640172e-166,1.63951057378e-16,2.26623657431e-06,5.80287266584e-07,2.02956729051e-65,1.15847765593e-18,0.0,2.8549822555e-06,1.8885050783e-09,-139.199992
1.00460302975e-29,1.02904736467e-39,8.35216406044e-14,0.0,2.35153900706e-122,8.01389476651e-31,5.15980203626e-09,0.0,0.0,2.89487680666e-59,9.81104567848e-109,3.22242268116e-142,2.72586967865e-139,2.42496803265e-46,4.11528173699e-54,9.14371704674e-202,5.32394598113e-15,1.12646594037e-19,3.78286218658e-53,1.92873821936e-30,1.41427744949e-76,4.75452284946e-65,3.27442865551e-146,9.62019719471e-81,5.38316990886e-36,1.90227104609e-122,1.42709983413e-19,8.67083632292e-13,4.75002348023e-12,5.62425454303e-99,7.36422287858e-105,5.54687500586e-319,0.0,1.3240800546e-123,6.52277668849e-220,1.29940750901e-117,1.90787049773e-123,1.26367664783e-69,1.05049361113e-103,5.1173134545e-67,6.45095641482e-100,2.93444262201e-115,0.0,1.29940750901e-117,5.50043827182e-274,6.45095641482e-100,1.83847642949e-263,2.91672236102e-78,5.08237656202e-51,2.42012705575e-160,1.3240800546e-123,0.0,1.57546550651e-52,1.3240800546e-123,5.09977319853e-95,2.47254268025e-108,3.20336777913e-21,7.8989520289e-41,1.51416379031e-25,1.3530254516e-61,9.88419616458e-68,1.99673068954e-35,2.04432218847e-11,0.0,1.91556443676e-34,3.90256631723e-09,0.0,4.71790596883e-59,1.13194879053e-27,2.54836195927e-68,2.11149995442e-14,2.47154966537e-21,1.63954002498e-84,2.21809613894e-69,7.3579913297e-28,9.49181964613e-32,1.10649691329e-28,2.94120334432e-45,1.08989129296e-31,3.64259964458e-48,2.86249987151e-17,2.76923568901e-37,9.49181964613e-32,9.43822880227e-105,6.84639093903e-34,5.74131338658e-15,2.44224598146e-22,3.08457851774e-58,1.06189296461e-36,0.0,2.34905231989e-56,1.74895257359e-37,3.36069453179e-82,1.05303795356e-198,7.18616185627e-91,2.37290415654e-36,0.0,0.0,2.76631126686e-43,1.93122317967e-66,4.52580671205e-158,9.03078129383e-31,3.9947903157e-61,4.72181930284e-165,1.93996712525e-16,2.34471556994e-06,6.01614400625e-07,4.98266441601e-65,1.34090964399e-18,0.0,2.95541851517e-06,2.07283929561e-09,-139.0399904
1.42027750051e-29,1.50918231582e-39,1.01141625797e-13,0.0,7.85446293646e-122,1.26588206384e-30,5.46428549336e-09,0.0,0.0,5.76334868589e-59,3.03694553106e-108,1.47606761224e-141,1.23387565092e-138,3.98678786802e-46,7.31082267457e-54,1.16510437081e-200,5.96710200492e-15,1.38283077604e-19,6.86005670255e-53,2.75694842058e-30,3.11687415664e-76,1.04044467348e-64,1.42581986949e-145,2.52662864466e-80,8.15068265367e-36,8.26231541509e-122,1.73254871602e-19,9.65792554613e-13,5.75746399743e-12,1.82395771236e-98,3.10135869038e-104,5.54255242552e-317,0.0,5.866215932e-123,8.82834299054e-219,5.54403887067e-117,8.41488597714e-123,2.86999785561e-69,3.89279435563e-103,1.16502608487e-66,2.07133480998e-99,1.23327904873e-114,0.0,5.54403887067e-117,1.65037096185e-272,2.07133480998e-99,5.98682297504e-262,8.31175494144e-78,9.34110874855e-51,1.7615810106e-159,5.866215932e-123,0.0,2.88420877256e-52,5.866215932e-123,1.52081129402e-94,9.02164879612e-108,4.63726904944e-21,1.21968633084e-40,2.2154523719e-25,2.47703264278e-61,2.15973297418e-67,2.8855108156e-35,2.37004211064e-11,0.0,2.92012474063e-34,4.27124442423e-09,0.0,1.87326966828e-58,1.64237618074e-27,6.8926837108e-68,2.51232087416e-14,3.03437171772e-21,3.76824930964e-84,4.98781197133e-69,1.08518739948e-27,1.30688754555e-31,1.4703030765e-28,4.97556159162e-45,1.53228965911e-31,6.2749017929e-48,3.35663618889e-17,4.23171963558e-37,1.30688754555e-31,3.19438706294e-104,1.0086606357e-33,6.55962706139e-15,3.09567753855e-22,6.23159179661e-58,1.59919695132e-36,0.0,4.62034013328e-56,2.65991005753e-37,9.7767780156e-82,8.9747974904e-198,2.52908113806e-90,3.67443315462e-36,0.0,0.0,5.79395841392e-43,5.37766619734e-66,2.51244064909e-157,1.29838868258e-30,9.36265358607e-61,2.94436047523e-164,2.29435199989e-16,2.42561278344e-06,6.23657559378e-07,1.21978831969e-64,1.55157362967e-18,0.0,3.05903643546e-06,2.27457964166e-09,-138.8799888
2.00591878062e-29,2.21136821292e-39,1.22379843144e-13,0.0,2.61651157572e-121,1.99623598708e-30,5.7858616559e-09,0.0,0.0,1.14528160412e-58,9.37583891918e-108,6.73675436204e-141,5.56479782461e-138,6.54622081016e-46,1.29691792954e-53,1.47407135422e-199,6.68620741113e-15,1.69654945789e-19,1.24209950185e-52,3.93667735797e-30,6.85635913612e-76,2.27188122033e-64,6.18812661667e-145,6.61843050335e-80,1.23266146594e-35,3.57450062332e-121,2.10226748712e-19,1.07542382389e-12,6.97168512435e-12,5.89646805594e-98,1.30030979922e-103,5.45779062708e-315,0.0,2.58854936934e-122,1.18675492269e-217,2.35592666026e-116,3.69666730283e-122,6.50372345498e-69,1.43717212482e-102,2.6461748456e-66,6.63040691812e-99,5.16240046304e-114,0.0,2.35592666026e-116,4.90594736493e-271,6.63040691812e-99,1.92984664086e-260,2.36102507371e-77,1.71391313059e-50,1.27523844722e-158,2.58854936934e-122,0.0,5.27151469393e-52,2.58854936934e-122,4.52235285187e-94,3.28031357272e-107,6.70155375139e-21,1.88124031851e-40,3.2368434734e-25,4.52855265077e-61,4.70930032191e-67,4.16600277019e-35,2.74590070605e-11,0.0,4.44587243236e-34,4.67310366425e-09,0.0,7.38260912346e-58,2.37995589126e-27,1.85809497844e-67,2.98734252276e-14,3.72338982487e-21,8.64463919478e-84,1.11916561567e-68,1.59829261993e-27,1.79795789995e-31,1.95233656131e-28,8.40482898102e-45,2.15230461676e-31,1.0793744763e-47,3.9344275113e-17,6.45900288104e-37,1.79795789995e-31,1.07769236278e-103,1.48441638416e-33,7.49191127641e-15,3.92132460353e-22,1.25644731155e-57,2.40569521194e-36,0.0,9.0705340283e-56,4.04074765767e-37,2.83524019507e-81,7.60994747379e-197,8.86569455889e-90,5.68256741999e-36,0.0,0.0,1.20988615855e-42,1.49202442472e-65,1.38898666947e-156,1.86475105343e-30,2.18831433099e-60,1.82772865252e-163,2.71213470029e-16,2.50899132963e-06,6.46438097556e-07,2.97763836357e-64,1.79475961344e-18,0.0,3.16592406537e-06,2.49531111305e-09,-138.7199872
2.83018546103e-29,3.23737813865e-39,1.47958153243e-13,0.0,8.69302011218e-121,3.14267548392e-30,6.12543631932e-09,0.0,0.0,2.27165437454e-58,2.88691968384e-107,3.06348592369e-140,2.50057035593e-137,1.07351615641e-45,2.29740893283e-53,1.85175618372e-198,7.49001673733e-15,2.08022604492e-19,2.24546642814e-52,5.61534999751e-30,1.50541932263e-75,4.95001859285e-64,2.67681969302e-144,1.72911853686e-79,1.86203394644e-35,1.54032802973e-120,2.54954048011e-19,1.19714950036e-12,8.43364576738e-12,1.90018778736e-97,5.42764502762e-103,5.29627687421e-313,0.0,1.13765208062e-121,1.5844481915e-216,9.97130206671e-116,1.61746646081e-121,1.47054203185e-68,5.28610012747e-102,5.99640119811e-66,2.11589320476e-98,2.15226941545e-113,0.0,9.97130206671e-116,1.44484489404e-269,2.11589320476e-98,6.15796493031e-259,6.68526609221e-77,3.13933724933e-50,9.18130680452e-158,1.13765208062e-121,0.0,9.61911424841e-52,1.13765208062e-121,1.34096736657e-93,1.18859015961e-106,9.66821805977e-21,2.89839679042e-40,4.72226872741e-25,8.26778245537e-61,1.0247320992e-66,6.00910837678e-35,3.17933024052e-11,0.0,6.76026227469e-34,5.11096918752e-09,0.0,2.88787241643e-57,3.44441594227e-27,4.9922898444e-67,3.54993841103e-14,4.56644802921e-21,1.97944643251e-83,2.50572394083e-68,2.3507905002e-27,2.47157261647e-31,2.59056009261e-28,1.41770337756e-44,3.02045091721e-31,1.85398866238e-47,4.60974925563e-17,9.84703983686e-37,2.47157261647e-31,3.62420121723e-103,2.18219569779e-33,8.5536540894e-15,4.96387273401e-22,2.5283179214e-57,3.61490339268e-36,0.0,1.77733550508e-55,6.13143837409e-37,8.19617735545e-81,6.41970435744e-196,3.09561542185e-89,8.77693606857e-36,0.0,0.0,2.51888563271e-42,4.12457058226e-65,7.64720621245e-156,2.67530772951e-30,5.10065837522e-60,1.12946190163e-162,3.20440936049e-16,2.59491556214e-06,6.69977906231e-07,7.24809840274e-64,2.07539711998e-18,0.0,3.27617149785e-06,2.73675734447e-09,-138.5599856
