0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-An 1998,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,14-Huang 2009,17-Itoh 2007,18-Lin 2008,19-Liu 2002,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.325095069268712e-22,1.3169093183655977e-65,4.671022210967051e-144,4.5724602877907754e-21,4.9776744392751495e-99,9.434171868639356e-14,2.4303004201821204e-57,3.123217345560464e-24,3.202969881083282e-51,3.4629539080581766e-63,1.563968112533148e-28,4.7572716587105836e-40,4.941107755374428e-27,4.192102319665335e-46,0.0,4.493177849096563e-26,6.245944214747085e-33,6.630697039290233e-90,4.366601460009945e-46,6.126649045853758e-10,1.0636318763342905e-44,2.0151196726132223e-12,4.1779558593291285e-32,4.1779558593291285e-32,2.034008158208483e-18,0.0,6.147743680153917e-10,7.973500157353591e-06,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,1.6817141856967175e-22,2.3147946471085176e-65,2.1107974115924703e-143,6.041819730673986e-21,2.2007648370754818e-98,1.0905216985478686e-13,6.203440902989005e-57,4.6156465720949834e-24,6.581785383648639e-51,1.0199393633916022e-62,2.0634898201134693e-28,8.415524999531192e-40,7.055875984195005e-27,6.974074132438535e-46,0.0,6.369676456124699e-26,9.743131905601486e-33,2.3446530783910053e-89,8.147368075135651e-46,6.871684399257249e-10,1.8523264032853385e-44,2.3849716748514704e-12,6.348213167701514e-32,6.348213167701514e-32,2.6506350104813755e-18,0.0,6.896624664272808e-10,8.354245216035382e-06,-139.839998399984
0.0,0.0,0.0,0.0,0.0,0.0,2.132932993496054e-22,4.064307035408113e-65,9.505085953970096e-143,7.975739443327777e-21,9.681530113761468e-98,1.260001047474985e-13,1.577879774800424e-56,6.810435709740667e-24,1.3493158673657895e-50,2.9913405682585434e-62,2.720743079529431e-28,1.4858301032201175e-39,1.0064020013469468e-26,1.1586954440478841e-45,0.0,9.019346591116386e-26,1.5176400612446866e-32,8.257732054252099e-89,1.51716646794855e-45,7.703879378356422e-10,3.220637059760473e-44,2.8207659588083943e-12,9.63307342744784e-32,9.63307342744784e-32,3.4506999275475902e-18,0.0,7.733347073580939e-10,8.752005525688907e-06,-139.679996799968
0.0,0.0,0.0,0.0,0.0,0.0,2.703473468669155e-22,7.1281690296516644e-65,4.2652100035012834e-142,1.051863841183741e-20,4.237771882139843e-97,1.4551694492463847e-13,3.99929778347404e-56,1.0032964149201133e-23,2.7597045314782037e-50,8.736173170360633e-62,3.584953290619525e-28,2.6183142396049648e-39,1.433791440949286e-26,1.922560847570292e-45,0.0,1.2756358558924932e-25,2.3605255243510455e-32,2.896715002828917e-88,2.81962434178682e-45,8.633001389207954e-10,5.59067376859358e-44,3.3338981494982914e-12,1.4598356145237175e-31,1.4598356145237175e-31,4.4877069014269766e-18,0.0,8.667795585137243e-10,9.16748273565494e-06,-139.519995199952
0.0,0.0,0.0,0.0,0.0,0.0,3.4244189091563115e-22,1.24878280752013e-64,1.9072150482768232e-141,1.3859050210986918e-20,1.8456713115881299e-96,1.679818259675268e-13,1.0100948301214067e-55,1.4756917020766155e-23,5.631065699871203e-50,2.540624448311052e-61,4.720524278751484e-28,4.6050999257769535e-39,2.0403018073022687e-26,3.1858031901194704e-45,0.0,1.802072664148219e-25,3.6662184467836515e-32,1.012076959039007e-87,5.2298759058498935e-45,9.66986062729149e-10,9.689126170394566e-44,3.937667560753049e-12,2.2093715298189425e-31,2.2093715298189425e-31,5.830446304950731e-18,0.0,9.710917179605322e-10,9.601404605984515e-06,-139.359993599936
0.0,0.0,0.0,0.0,0.0,0.0,4.334824668195084e-22,2.185311108457743e-64,8.49833379890491e-141,1.82428540699966e-20,7.998238692606586e-96,1.9382825883706492e-13,2.542196561740781e-55,2.1670753993925475e-23,1.1462983064624849e-49,7.357386606592688e-61,6.211660849398879e-28,8.083901724783314e-39,2.899991893938742e-26,5.27212679405956e-45,0.0,2.542797751117334e-25,5.685880062293913e-32,3.521957364815016e-87,9.681299021837303e-45,1.0826415378453518e-09,1.6764984942836796e-43,4.647583630957514e-12,3.339329444770485e-31,3.339329444770485e-31,7.567268446644732e-18,0.0,1.0874829573211131e-09,1.0054525850080004e-05,-139.19999199992
0.0,0.0,0.0,0.0,0.0,0.0,5.48372996609456e-22,3.819944707485474e-64,3.7734863300056664e-140,2.3990399148206137e-20,3.4487171116300167e-95,2.2355169061042163e-13,6.37565309345329e-55,3.1773453460455887e-23,2.3280041795228475e-49,2.1216343951877525e-60,8.168381282557336e-28,1.4163404811968827e-38,4.1171158973253414e-26,8.713262633912679e-45,0.0,3.583812479528751e-25,8.805352964118861e-32,1.2207238735571351e-86,1.7886196657910162e-44,1.2115887277203555e-09,2.8961417880806468e-43,5.4817196999042724e-12,5.040521775712297e-31,5.040521775712297e-31,9.811524815197354e-18,0.0,1.2172940089469661e-09,1.0527628998907629e-05,-139.03999039990399
0.0,0.0,0.0,0.0,0.0,0.0,6.932668922166518e-22,6.66988461440149e-64,1.6696546515207459e-139,3.151864488715559e-20,1.4795988849225235e-94,2.577180816357736e-13,1.593341261942103e-54,4.651219463463116e-23,4.716815718882754e-49,6.092301431996907e-60,1.073433224228201e-27,2.476731839132414e-38,5.838258767950944e-26,1.4381487810019333e-44,0.0,5.045133645243304e-25,1.3616502280864688e-31,4.214184731232776e-86,3.2979531813995775e-44,1.3552887391151096e-09,4.994989369461089e-43,6.461121110593044e-12,7.598317528938637e-31,7.598317528938637e-31,1.2708488427079186e-17,0.0,1.3620075910480858e-09,1.1021525287093506e-05,-138.879988799888
0.0,0.0,0.0,0.0,0.0,0.0,8.758802529138575e-22,1.1633141376402277e-63,7.361823439144611e-139,4.136975742048752e-20,6.316167389341375e-94,2.969736307644154e-13,3.9679071431145187e-54,6.798001477706841e-23,9.53439435985128e-49,1.742031822490448e-59,1.4096939331448938e-27,4.3226988676076653e-38,8.269276749532188e-26,2.370581467629751e-44,0.0,7.094046189383049e-25,2.102587487601292e-31,1.4490136869444057e-85,6.068943406897924e-44,1.5153554068676929e-09,8.600969594810671e-43,7.610275597067642e-12,1.1438921944364463e-30,1.1438921944364463e-30,1.644414562914671e-17,0.0,1.523262672581985e-09,1.1537055561213772e-05,-138.719987199872
0.0,0.0,0.0,0.0,0.0,0.0,1.1058822431349016e-21,2.0267171016873402e-63,3.2345883509092364e-138,5.424800673299509e-20,2.68278876538489e-93,3.420557966817679e-13,9.846520067990645e-54,9.919909030901774e-23,1.9227214075913688e-48,4.960148181488753e-59,1.8500582135852354e-27,7.530011744151329e-38,1.169891679830744e-25,3.902419983714459e-44,0.0,9.963439487550665e-25,3.2419947472204766e-31,4.962427712866706e-85,1.1146122366504477e-43,1.6935703559831267e-09,1.4786260473018352e-42,8.957655025163421e-12,1.7198020779653713e-30,1.7198020779653713e-30,2.1256353110991774e-17,0.0,1.7028700881167791e-09,1.2075091210577811e-05,-138.559985599856
0.0,0.0,0.0,0.0,0.0,0.0,1.395381334956869e-21,3.527010066074597e-63,1.4162095344214562e-137,7.106732520025196e-20,1.1338158900702512e-92,3.9380578166203844e-13,2.4348522530055814e-53,1.4452605105544348e-22,3.868286756799531e-48,1.4063618708415315e-58,2.426368299299548e-27,1.3091849401754165e-37,1.6531707660487046e-25,6.415657684201839e-44,0.0,1.3977146013225794e-24,4.9916055262083395e-31,1.692694903579492e-84,2.043038932510486e-43,1.8918994498240135e-09,2.5378584079925263e-42,1.0536338803035093e-11,2.5822456649792257e-30,2.5822456649792257e-30,2.7448980772730136e-17,0.0,1.9028296219303e-09,1.2636535120800157e-05,-138.39998399984
0.0,0.0,0.0,0.0,0.0,0.0,1.7595305394012978e-21,6.131090222581801e-63,6.1788959885198235e-137,9.301254516572676e-20,4.767841523862176e-92,4.531826645325307e-13,5.999720639849913e-53,2.1023092217725295e-22,7.764258902048954e-48,3.970666221042836e-58,3.180085658705069e-27,2.271804860228722e-37,2.3333705930290507e-25,1.0533590108915014e-43,0.0,1.9584913404418193e-24,7.674285036112743e-31,5.7507695839057045e-84,3.737417338311819e-43,2.11251074146914e-09,4.348850919324851e-42,1.2384730689945956e-11,3.8720625065448746e-30,3.8720625065448746e-30,3.5409819690193085e-17,0.0,2.125348690328423e-09,1.3222322650447565e-05,-138.239982399824
0.0,0.0,0.0,0.0,0.0,0.0,2.2172802252260468e-21,1.0645992501061828e-62,2.6863904223709077e-136,1.2161816899249491e-19,1.994914542989051e-91,5.212793924939791e-13,1.4731874749392469e-52,3.0532268033197515e-22,1.5547494253499443e-47,1.1163324388129936e-57,4.165159905661699e-27,3.93464653341162e-37,3.2896043149810417e-25,1.7271883522471987e-43,0.0,2.7410613007136468e-24,1.1781628194428065e-30,1.9459695257245957e-83,6.823523105957268e-43,2.357794054132106e-09,7.44011670288207e-42,1.4547382324325595e-11,5.7984628199569875e-30,5.7984628199569875e-30,4.563323240647934e-17,0.0,2.3728627616063015e-09,1.3833422631037095e-05,-138.079980799808
0.0,0.0,0.0,0.0,0.0,0.0,2.7923138692537115e-21,1.8465116230300261e-62,1.1638640434110086e-135,1.5886958703669176e-19,8.305198050077103e-91,5.993408669694844e-13,3.604570958563649e-52,4.427244929224431e-22,3.1059885459492532e-47,3.1252702219178324e-57,5.45174213722592e-27,6.801506219184115e-37,4.632309240325392e-25,2.828336257577259e-43,0.0,3.831861290066598e-24,1.8061026065131644e-30,6.5585659496979865e-83,1.2433341266828785e-42,2.630382325921201e-09,1.2708171624112266e-41,1.7075938586983782e-11,8.671797121542555e-30,8.671797121542555e-30,5.874876964476217e-17,0.0,2.648057664286033e-09,1.4470838390655643e-05,-137.919979199792
0.0,0.0,0.0,0.0,0.0,0.0,3.514210387484447e-21,3.199155693263376e-62,5.0247012700603783e-135,2.0733300699243828e-19,3.44032049397587e-90,6.887843871391778e-13,8.788559831799681e-52,6.409439376520662e-22,6.190394738774252e-47,8.712553715086925e-57,7.130987882270023e-27,1.173462326301776e-36,6.515464222083597e-25,4.625412140340131e-43,0.0,5.350504702006706e-24,2.7647078421696773e-30,2.2016310036386414e-82,2.261044756411429e-42,2.933174864196781e-09,2.1671276377958064e-41,2.0030221936212494e-11,1.295182762660634e-29,1.295182762660634e-29,7.555728498046477e-17,0.0,2.9538939462889117e-09,1.513560880145732e-05,-137.759977599776
0.0,0.0,0.0,0.0,0.0,0.0,4.419886914548765e-21,5.5365107566876476e-62,2.161688528656237e-134,2.7032206720091206e-19,1.417982999415896e-89,7.912227465856972e-13,2.135258311029109e-51,9.264426733049045e-22,1.230880482323209e-46,2.4186177118575625e-56,9.32126504023148e-27,2.020681563823172e-36,9.153498687233007e-25,7.55436362551371e-43,0.0,7.462316406628653e-24,4.225963952557718e-30,7.361104144492722e-82,4.10367143475893e-42,3.2693626653737592e-09,3.6896401041878295e-41,2.3479475124544536e-11,1.9318736441112812e-29,1.9318736441112812e-29,9.707646143706982e-17,0.0,3.2936334605970276e-09,1.5828809351286018e-05,-137.59997599976
0.0,0.0,0.0,0.0,0.0,0.0,5.55538846199754e-21,9.570934863436779e-62,9.267249674763322e-134,3.52111271180586e-19,5.815222788117577e-89,9.084903138836301e-13,5.169537630388555e-51,1.336992804767912e-21,2.441700970636515e-46,6.685791901265471e-56,1.2176172190657875e-26,3.472892041618439e-36,1.2844666178494095e-24,1.232177827899175e-42,0.0,1.0395526929401178e-23,6.4501832145477e-30,2.451343540846696e-81,7.433239404871884e-42,3.6424559672500384e-09,6.271647163593272e-41,2.7503784260983993e-11,2.877743583013431e-29,2.877743583013431e-29,1.2459813909471894e-16,0.0,3.6708683667820604e-09,1.6551553239661227e-05,-137.439974399744
