na,stda
15.0,5.8094750193
6.0,0.7348469228
3.0,2.0784609691
3.0,1.5588457268
3.0,1.5588457268
3.0,1.9052558883
7.0,4.7623523599
9.0,0.9
9.0,1.5
10.0,6.9570108524
7.0,1.904940944
13.0,4.6872166581
23.0,8.1529135896
5.0,4.0249223595
16.0,4.8
14.0,2.2449944321
6.0,22.045407685
9.0,3.0
8.0,14.7078210487
4.0,8.6
8.0,0.5656854249
10.0,1.2649110641
7.0,0.5291502622
15.0,3.8729833462
9.0,4.8
14.0,2.6191601707
16.0,3.2
6.0,3.4292856399
9.0,3.6
5.0,2.0124611797
8.0,3.3941125497
5.0,5.5901699437
17.0,6.596969001
15.0,1.0457055035
33.0,10.3402127638
5.0,4.472135955
11.0,1.5256474036
15.0,2.3237900077
13.0,5.0477717856
7.0,2.2753461275
15.0,6.0805838535
8.0,8.7681240867
8.0,6.2225396744
88.0,3.7523326079
82.0,3.6221540553
23.0,3.3570820663
22.0,2.8142494559
11.0,2.3216373532
16.0,6.8
14.0,2.2449944321
10.0,2.5614449047
33.0,1.0340212764
9.0,3.9
13.0,8.6533230611
8.0,2.5455844123
9.0,6.18
25.0,7.5
21.0,6.4156059729
4.0,0.4
10.0,2.5298221281
9.0,2.4
8.0,1.6970562748
12.0,3.4641016151
13.0,5.0477717856
15.0,4.6475800154
13.0,5.0477717856
11.0,3.3166247904
9.0,0.9
14.0,5.6124860802
11.0,4.6432747065
15.0,7.3586683578
13.0,5.0477717856
15.0,5.8094750193
13.0,5.0477717856
11.0,6.6332495807
15.0,7.3586683578
6.0,3.1843366656
8.0,3.3941125497
18.0,5.0911688245
15.0,4.2602816808
13.0,5.0477717856
15.0,5.8094750193
8.0,3.1112698372
13.0,5.0477717856
10.0,4.1109609582
15.0,5.0348783501
18.0,8.909545443
9.0,6.9
10.0,4.4904342774
6.0,4.2131223576
7.0,1.9578559702
11.0,4.3779447233
19.0,7.8460180984
13.0,3.966106403
19.0,3.9230090492
32.0,6.2225396744
23.0,3.7887069034
16.0,8.0
5.0,2.8621670112
15.0,3.4856850116
7.0,2.6457513111
4.0,5.6
13.0,4.3266615306
20.0,10.2859126965
15.0,3.098386677
12.0,5.8889727457
10.0,1.5811388301
22.0,6.0975404878
37.0,4.2579337712
15.0,1.5491933385
5.0,2.2360679775
10.0,0.9486832981
5.0,0.894427191
5.0,1.9230184606
9.0,1.77
6.0,4.8989794856
7.0,5.026927491
7.0,2.38117618
7.0,0.7937253933
8.0,3.6769552622
9.0,4.2
9.0,9.0
11.0,1.9899748742
8.0,3.6769552622
27.0,7.2746133918
14.0,3.3674916481
8.0,3.3941125497
7.0,3.1749015733
13.0,2.8844410204
6.0,4.8989794856
6.0,4.8989794856
5.0,2.9068883707
8.0,3.3941125497
8.0,2.5455844123
6.0,9.5530099969
3.0,1.3856406461
4.0,4.0
4.0,4.0
8.0,3.9597979746
18.0,8.4852813742
4.0,2.0
8.0,3.3941125497
8.0,5.6568542495
4.0,1.8
8.0,3.3941125497
10.0,5.0596442563
18.0,1.2727922061
4.0,4.0
8.0,3.3941125497
15.0,7.7459666924
8.0,1.1313708499
11.0,4.6432747065
13.0,6.8505474234
16.0,4.0
14.0,2.2449944321
5.0,6.9318107302
14.0,2.2449944321
9.0,0.63
36.0,4.8
25.0,3.0
16.0,4.4
7.0,7.6726788021
8.0,1.1313708499
17.0,10.307764064
7.0,9.2601295887
10.0,15.8113883008
7.0,18.5202591775
8.0,3.6769552622
20.0,5.8137767415
8.0,4.2426406871
5.0,2.2360679775
15.0,5.0348783501
