ni,stdi
15.0,5.0348783501
4.0,1.8
13.0,0.7211102551
5.0,0.894427191
5.0,0.6708203932
5.0,0.6708203932
5.0,0.6708203932
9.0,4.8
9.0,6.3
23.0,0.9591663047
10.0,5.6920997883
17.0,5.3600373133
16.0,4.8
5.0,3.6671514831
9.0,2.7
22.0,5.6284989118
8.0,1.6970562748
21.0,5.1783105353
4.0,2.26
15.0,3.098386677
11.0,1.3266499161
9.0,3.9
8.0,13.0107647738
4.0,7.6
9.0,0.9
9.0,1.8
7.0,0.5291502622
13.0,7.5716576785
9.0,2.7
12.0,4.5033320997
17.0,3.7107950631
8.0,3.1112698372
11.0,2.6532998323
7.0,2.6457513111
7.0,4.4977772288
7.0,4.2332020977
10.0,1.8973665961
10.0,0.5375872022
17.0,4.2055677381
6.0,2.6944387171
17.0,0.8246211251
26.0,6.6287253677
9.0,9.9
7.0,2.0372285095
15.0,6.622801522
8.0,6.3639610307
7.0,4.0479995059
68.0,4.9477267507
28.0,3.7040518355
24.0,3.4292856399
31.0,2.7838821814
12.0,3.1176914536
16.0,2.4
13.0,4.6872166581
18.0,2.5455844123
10.0,3.7947331922
17.0,0.4123105626
17.0,4.2055677381
22.0,3.8461409231
19.0,6.9742383097
14.0,9.3541434669
8.0,5.0911688245
9.0,4.02
9.0,3.3
4.0,1.4
10.0,2.8460498942
9.0,2.4
7.0,1.3228756555
6.0,0.7348469228
13.0,2.5238858928
15.0,1.9364916731
13.0,2.5238858928
10.0,2.5298221281
8.0,3.3941125497
14.0,2.6191601707
11.0,3.3166247904
13.0,2.8844410204
13.0,2.5238858928
14.0,1.4966629547
13.0,2.5238858928
11.0,1.6583123952
13.0,2.8844410204
7.0,1.5874507866
8.0,2.8284271247
15.0,3.8729833462
13.0,2.1633307653
13.0,2.5238858928
14.0,1.4966629547
8.0,3.9597979746
13.0,2.5238858928
9.0,3.0
15.0,2.7110883423
21.0,9.6234089594
5.0,3.577708764
8.0,1.8101933598
6.0,3.8701937936
8.0,2.4607315985
4.0,6.2
16.0,4.8
9.0,4.2
11.0,3.6482872694
11.0,4.3116122275
13.0,4.6872166581
17.0,3.7107950631
25.0,5.5
22.0,4.4089908142
13.0,7.2111025509
10.0,3.5101282028
19.0,5.2306787322
15.0,1.1618950039
3.0,0.692820323
13.0,4.6872166581
10.0,6.3245553203
17.0,2.4738633754
9.0,4.2
10.0,2.5298221281
5.0,0.1341640786
25.0,4.5
37.0,4.8662100242
15.0,8.5205633617
12.0,3.1176914536
10.0,0.316227766
4.0,1.4
10.0,2.1503488089
12.0,3.0137684052
6.0,4.8989794856
9.0,5.4
7.0,1.8520259177
7.0,4.4977772288
12.0,2.7712812921
6.0,6.3686733312
7.0,0.2645751311
10.0,6.9570108524
9.0,3.6
13.0,7.5716576785
11.0,1.6583123952
28.0,3.7040518355
6.0,3.4292856399
6.0,4.8989794856
7.0,4.4977772288
13.0,4.3266615306
8.0,5.6568542495
9.0,6.0
9.0,4.2
11.0,5.3065996646
9.0,4.2
5.0,7.8262379212
3.0,4.6765371804
8.0,5.6568542495
8.0,2.8284271247
12.0,4.8497422612
18.0,8.4852813742
4.0,6.2
9.0,3.6
9.0,4.8
4.0,1.2
8.0,3.6769552622
10.0,4.7434164903
10.0,2.8460498942
5.0,2.2360679775
8.0,2.5455844123
20.0,4.472135955
6.0,0.4898979486
11.0,0.331662479
11.0,3.9799497484
11.0,2.9186298155
19.0,6.102458521
16.0,4.4
16.0,4.4
11.0,2.6532998323
7.0,2.4870062324
34.0,4.0816663264
24.0,4.8989794856
19.0,3.0512292605
7.0,5.026927491
8.0,2.2627416998
10.0,4.1109609582
7.0,2.38117618
16.0,7.2
7.0,0.7937253933
9.0,14.4
7.0,15.3453576042
9.0,3.0
20.0,8.94427191
13.0,4.6872166581
6.0,0.9797958971
