1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
1.40325137371e-47,5.97590493973e-62,1.13888860367e-30,1.02452188862e-21,1.02452188976e-21,4.68706507939e-32,-140.0
1.93491518856e-47,9.22147340054e-62,1.4107106492e-30,1.18381084166e-21,1.18381084307e-21,5.86586264801e-32,-139.8399984
2.66666250973e-47,1.42199661077e-61,1.74679322822e-30,1.36753542532e-21,1.36753542707e-21,7.33845037154e-32,-139.6799968
3.67327836324e-47,2.19128270334e-61,2.16218032826e-30,1.57939245246e-21,1.57939245462e-21,9.17737334564e-32,-139.5199952
5.05730667427e-47,3.37442566915e-61,2.67540282435e-30,1.8236300163e-21,1.82363001898e-21,1.14729210195e-31,-139.3599936
6.95928148814e-47,5.19281591838e-61,3.30927842508e-30,2.10512847718e-21,2.10512848049e-21,1.43374255e-31,-139.199992
9.57170224458e-47,7.98560077717e-61,4.09189321878e-30,2.42949316278e-21,2.42949316687e-21,1.79105907577e-31,-139.0399904
1.31581132828e-46,1.2271958222e-60,5.05780560318e-30,2.80316044858e-21,2.80316045364e-21,2.23660974778e-31,-138.8799888
1.80791382518e-46,1.88461111185e-60,6.24952243971e-30,3.23351911866e-21,3.23351912491e-21,2.79197858014e-31,-138.7199872
2.48279861519e-46,2.89221938564e-60,7.7193083207e-30,3.72904917197e-21,3.72904917969e-21,3.48397890665e-31,-138.5599856
3.40788496889e-46,4.43549734894e-60,9.53140230482e-30,4.29948054112e-21,4.29948055065e-21,4.34590789592e-31,-138.399984
4.67528428161e-46,6.79759085958e-60,1.17647328885e-29,4.95597453315e-21,4.95597454491e-21,5.41909899986e-31,-138.2399824
6.41077867528e-46,1.04104457301e-59,1.45162419742e-29,5.71133119194e-21,5.71133120646e-21,6.75484236196e-31,-138.0799808
8.78604063959e-46,1.59325479334e-59,1.79049529419e-29,6.58022622425e-21,6.58022624216e-21,8.41675949722e-31,-137.9199792
1.20352549809e-45,2.43670384696e-59,2.20769475681e-29,7.57948163436e-21,7.57948165644e-21,1.04837385863e-30,-137.7599776
1.64777172999e-45,3.72410459571e-59,2.7211452594e-29,8.7283747836e-21,8.72837481081e-21,1.30535613561e-30,-137.599976
2.2548541892e-45,5.68777747913e-59,3.35282806125e-29,1.0048991239e-20,1.00489912726e-20,1.62473827894e-30,-137.4399744
3.08403673862e-45,8.68090353968e-59,4.12969232703e-29,1.15666275117e-20,1.1566627553e-20,2.02152620977e-30,-137.2799728
4.21599693448e-45,1.32400269649e-58,5.0847659606e-29,1.33102506192e-20,1.33102506701e-20,2.51429890647e-30,-137.1199712
5.7605068019e-45,2.01796864867e-58,6.25851210997e-29,1.53130223556e-20,1.53130224182e-20,3.12605059392e-30,-136.9599696
7.86684810856e-45,3.07355908189e-58,7.70048506529e-29,1.76128972238e-20,1.76128973008e-20,3.8852293862e-30,-136.799968
1.07379283082e-44,4.67810885184e-58,9.47135088444e-29,2.02533042048e-20,2.02533042995e-20,4.82701772184e-30,-136.6399664
1.46494020747e-44,7.1154223889e-58,1.1645352172e-28,2.32839239179e-20,2.32839240344e-20,5.99491027975e-30,-136.4799648
1.99755599344e-44,1.08151526841e-57,1.4313313533e-28,2.67615742884e-20,2.67615744316e-20,7.44265774985e-30,-136.3199632
2.72243605989e-44,1.64273015746e-57,1.75863049539e-28,3.07512196127e-20,3.07512197886e-20,9.23666037458e-30,-136.1599616
3.70848117784e-44,2.49345428955e-57,2.16001054902e-28,3.53271199149e-20,3.53271201309e-20,1.14589142135e-29,-135.99996
5.0491018759e-44,3.78214520233e-57,2.65206400943e-28,4.05741397617e-20,4.05741400269e-20,1.42106363874e-29,-135.8399584
6.87087190322e-44,5.73292936683e-57,3.2550599295e-28,4.65892382712e-20,4.65892385967e-20,1.76167240796e-29,-135.6799568
9.34521363689e-44,8.68393551854e-57,3.99374961033e-28,5.34831649626e-20,5.3483165362e-20,2.18312369599e-29,-135.5199552
1.27041695171e-43,1.31449274943e-56,4.89834685668e-28,6.13823893813e-20,6.13823898711e-20,2.70441353599e-29,-135.3599536
1.72616771658e-43,1.98838924704e-56,6.00572017941e-28,7.04312961574e-20,7.0431296758e-20,3.34895586796e-29,-135.199952
2.34422538129e-43,3.00570409332e-56,7.36084223624e-28,8.07946813631e-20,8.07946820992e-20,4.14559922229e-29,-135.0399504
3.18196502308e-43,4.54038463855e-56,9.01855136385e-28,9.26605907885e-20,9.26605916904e-20,5.12987484875e-29,-134.879948799
4.3168911987e-43,6.85394593827e-56,1.10456916101e-27,1.06243546131e-19,1.06243547235e-19,6.34552839549e-29,-134.719947199
5.85364618229e-43,1.03392803021e-55,1.35237116352e-27,1.21788211161e-19,1.21788212514e-19,7.84639883901e-29,-134.559945599
7.93343919847e-43,1.55862468517e-55,1.6551819706e-27,1.39573556796e-19,1.39573558452e-19,9.69872251348e-29,-134.399943999
1.0746726362e-42,2.34798002029e-55,2.02508123603e-27,1.59917591726e-19,1.59917593751e-19,1.19839573397e-28,-134.239942399
1.45502530979e-42,3.5346698042e-55,2.47677188667e-27,1.83182734012e-19,1.83182736488e-19,1.48022433847e-28,-134.079940799
1.96899479782e-42,5.31746828876e-55,3.02814332271e-27,2.09781908907e-19,2.09781911935e-19,1.82766415077e-28,-133.919939199
2.66316609698e-42,7.99397109145e-55,3.70095411759e-27,2.4018546929e-19,2.40185472991e-19,2.25583230634e-28,-133.759937599
3.60024123787e-42,1.20094147644e-54,4.52165926723e-27,2.74929047633e-19,2.74929052154e-19,2.78329216337e-28,-133.599935999
4.86457176325e-42,1.80294600621e-54,5.52241222349e-27,3.1462246259e-19,3.14622468113e-19,3.43283040176e-28,-133.439934399
6.56957524098e-42,2.70486256644e-54,6.74227819239e-27,3.59959819226e-19,3.59959825968e-19,4.23240739749e-28,-133.279932799
8.86767220941e-42,4.05517211906e-54,8.22870269576e-27,4.11730959856e-19,4.11730968085e-19,5.21631906585e-28,-133.119931199
1.19635931468e-41,6.07540154024e-54,1.00392884433e-26,4.70834442752e-19,4.70834452791e-19,6.42661668569e-28,-132.959929599
