1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
4.8260229897821234e-06,1.0484852441911465e-13,8.528934601716309e-08,7.979597901504236e-47,4.911312440647811e-06,5.384938791833169e-07,-140.0
5.0279421967753205e-06,1.2671955784308366e-13,9.368262523873606e-08,1.2928419177590787e-46,5.121624948733614e-06,5.837826886264224e-07,-139.839998399984
5.237543212344468e-06,1.5304762018774182e-13,1.0286560331837321e-07,2.092216053695267e-46,5.340408968710462e-06,6.326967740282746e-07,-139.679996799968
5.455083657409539e-06,1.8471880866459305e-13,1.1290889579304599e-07,3.381927736493462e-46,5.567992737921393e-06,6.855103155694564e-07,-139.519995199952
5.680828315509025e-06,2.2279080512971231e-13,1.2388907205610963e-07,5.460328925404667e-46,5.80471761035594e-06,7.42516887294523e-07,-139.359993599936
5.915049272129184e-06,2.6852517788659887e-13,1.3588912343025356e-07,8.805823461594735e-46,6.050938664084615e-06,8.040307210881806e-07,-139.19999199992
6.158026054358407e-06,3.2342558244921654e-13,1.4899896498140898e-07,1.418462412632126e-45,6.307025342765398e-06,8.703880447500313e-07,-139.03999039990399
6.410045770754005e-06,3.892829035599975e-13,1.6331597324209484e-07,2.2822455957202505e-45,6.5733621332790035e-06,9.419484979039742e-07,-138.879988799888
6.6714032513059765e-06,4.682285583794176e-13,1.7894556213038518e-07,3.6677828145404366e-45,6.850349281664921e-06,1.0190966296244584e-06,-138.719987199872
6.9424011873754e-06,5.627973874637202e-13,1.960017994727932e-07,5.887643874220198e-45,7.138403549645581e-06,1.1022434818094527e-06,-138.559985599856
7.22335027148152e-06,6.76001800477315e-13,2.1460806666633868e-07,9.44009017149651e-45,7.437959014149659e-06,1.191828262481075e-06,-138.39998399984
7.5145693368065725e-06,8.114191227725227e-13,2.3489776414668557e-07,1.511845600505562e-44,7.74946791237238e-06,1.2883201133478618e-06,-138.239982399824
7.816385496280828e-06,9.73294413007715e-13,2.570150654654358e-07,2.418440606917714e-44,8.073401535040676e-06,1.3922199761172904e-06,-138.079980799808
8.129134281107756e-06,1.1666613977431932e-12,2.8111572292089646e-07,3.864204484007079e-44,8.41025117069005e-06,1.5040625622047597e-06,-137.919979199792
8.45315977858151e-06,1.3974846043208426e-12,3.073679278321799e-07,6.167106694380193e-44,8.760529103898294e-06,1.6244184306429418e-06,-137.759977599776
8.78881476904534e-06,1.6728262773088068e-12,3.3595322869698423e-07,9.83104110545486e-44,9.124769670568601e-06,1.7538961791555136e-06,-137.59997599976
9.136460861834543e-06,2.001042246667428e-12,3.670675106284446e-07,1.5653600647500033e-43,9.503530373505236e-06,1.8931447535199272e-06,-137.439974399744
9.496468630040505e-06,2.3920115893161576e-12,4.0092203962573845e-07,2.4895776472416184e-43,9.897393061677833e-06,2.0428558805042103e-06,-137.279972799728
9.869217743929885e-06,2.857405703362029e-12,4.3774457539733937e-07,3.954884366738336e-43,1.0306965176732927e-05,2.203766629825346e-06,-137.11997119971198
1.025509710284481e-05,3.4110033111480458e-12,4.777805566236627e-07,6.27535923510629e-43,1.0732881070471784e-05,2.3766621107358828e-06,-136.959969599696
1.0654504965407816e-05,4.069058940886893e-12,5.212943627184688e-07,9.945808258354358e-43,1.1175803397185227e-05,2.5623783090076887e-06,-136.79996799968
1.1067849077846958e-05,4.850733626706565e-12,5.685706563243224e-07,1.5744840323180786e-42,1.1636424584904907e-05,2.761805070238886e-06,-136.639966399664
1.1495546800253441e-05,5.778597935905543e-12,6.199158109574788e-07,2.4896203592877415e-42,1.2115468389808855e-05,2.975889235567926e-06,-136.479964799648
1.1938025230579036e-05,6.879219005553696e-12,6.756594284009958e-07,3.9321011497903594e-42,1.2613691538199039e-05,3.2056379360343953e-06,-136.31996319963199
1.2395721326172655e-05,8.183845077131331e-12,7.361559506310631e-07,6.203159147110664e-42,1.3131885460648797e-05,3.4521220519759196e-06,-136.159961599616
