0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
2.5424871645015488e-113,3.0514242299587696e-222,0.0,1.3431297883848142e-73,3.683906782004109e-96,3.7507863e-317,9.44456951635308e-32,0.0,0.0,0.0,1.1957645264652546e-111,6.736858298373442e-194,1.2602217579074107e-130,5.967068382616864e-142,5.967068382616864e-142,3.3375724053051547e-136,2.4432396048166023e-33,0.0,3.6444340712540493e-184,3.256124670035306e-71,0.0,3.2088373744422757e-81,1.4420974175781794e-266,1.6849911321901473e-98,1.674014832349845e-137,9.68889347683474e-32,4.4015720487971386e-58,-140.0
5.386973027565747e-113,1.3412236402732118e-221,0.0,2.2448665716487624e-73,7.097048218775085e-96,4.029637e-316,1.1667527494351776e-31,0.0,0.0,0.0,2.581873117735334e-111,2.721365174176099e-193,3.130601538172562e-130,1.6370252776449482e-141,1.6370252776449482e-141,9.065149854961176e-136,3.0507013918088567e-33,0.0,1.4199612574775617e-183,5.366321845027478e-71,0.0,5.840343810049033e-81,9.24654986590319e-266,3.610754221976158e-98,4.2729346497264594e-137,1.1972597633532663e-31,6.620682221256181e-58,-139.839998399984
1.140113987673723e-112,5.882397752149417e-221,0.0,3.748929759672818e-73,1.3658736633031762e-95,4.312359565e-315,1.4408773638609641e-31,0.0,0.0,0.0,5.568118140486269e-111,1.0968597870866176e-192,7.765976002769519e-130,4.4838891865059097e-141,4.4838891865059097e-141,2.4581603716460562e-135,3.807842017919349e-33,0.0,5.52023764022765e-183,8.837002229496987e-71,0.0,1.0619273772728217e-80,5.911932704874998e-265,7.727231984349623e-98,1.0891194758306933e-136,1.4789557840401576e-31,9.952160297108728e-58,-139.679996799968
2.410289382726224e-112,2.5743177578194763e-220,0.0,6.255590233940333e-73,2.6260739865345282e-95,4.596946221e-314,1.7787983774726412e-31,0.0,0.0,0.0,1.1994062350444199e-110,4.411134383348883e-192,1.9237636895179e-129,1.2261948040793633e-140,1.2261948040793633e-140,6.654820901549039e-135,4.7512045101252764e-33,0.0,2.1412823377533777e-182,1.4540715280464004e-70,0.0,1.92893199888996e-80,3.7691541230703446e-264,1.6514890118009056e-97,2.772088697385455e-136,1.8263104225738938e-31,1.495036077985429e-57,-139.519995199952
5.089879988055112e-112,1.1241505987256478e-219,0.0,1.0429740458842751e-72,5.0439065968309624e-95,4.8812302886e-313,2.1952194951611275e-31,0.0,0.0,0.0,2.580527421686663e-110,1.7700451494354372e-191,4.758771275903511e-129,3.347874634453964e-140,3.347874634453964e-140,1.7986781729016128e-134,5.926170036937655e-33,0.0,8.287527401235403e-182,2.3906672615938146e-70,0.0,3.5002955406036e-80,2.3961994252871725e-263,3.524951460697439e-97,7.045649659279073e-136,2.254481195530504e-31,2.244427984650036e-57,-139.359993599936
1.0736515071109527e-111,4.898255309231132e-219,0.0,1.7374924592039357e-72,9.678114707887875e-95,5.162910404937e-312,2.708199773576429e-31,0.0,0.0,0.0,5.545426711374047e-110,7.086850672567316e-191,1.1755074038943837e-128,9.126074656584461e-140,9.126074656584461e-140,4.853572157443146e-134,7.389074974907953e-33,0.0,3.2004489319403536e-181,3.9273992720265666e-70,0.0,6.3453883749830835e-80,1.5190311216902257e-262,7.513742516916703e-97,1.788204942762093e-135,2.7820905233255087e-31,3.3672810659474985e-57,-139.19999199992
2.262229048099486e-111,2.1296729649176303e-218,0.0,2.89212176892626e-72,1.8551462214990328e-94,5.4395790982557e-311,3.3399115393625367e-31,0.0,0.0,0.0,1.190270792984294e-109,2.8311123300229096e-190,2.8996350139925063e-128,2.4837275950348565e-139,2.4837275950348565e-139,1.3075564589307337e-133,9.209830114981508e-33,0.0,1.2331948660236463e-180,6.446790151601153e-70,0.0,1.1491517938964798e-79,9.602294742999587e-262,1.5995034850776682e-96,4.5320622032030354e-135,3.432009840512352e-31,5.048620808005432e-57,-139.03999039990399
4.7613187007988054e-111,9.239298445942056e-218,0.0,4.81010369881646e-72,3.552459852406634e-94,5.70875520765354e-310,4.1175677277702535e-31,0.0,0.0,0.0,2.5517663096381244e-109,1.1284850304144447e-189,7.142475033568256e-128,6.748838299674529e-139,6.748838299674529e-139,3.5168216445647786e-133,1.1475159911802195e-32,0.0,4.741190397568797e-180,1.057388468330899e-69,0.0,2.0790373280239868e-79,6.052684576459142e-261,3.400476577202235e-96,1.1469824092652978e-134,4.232319326888276e-31,7.56459756874436e-57,-138.879988799888
1.0010029803634501e-110,3.999628478367935e-217,0.0,7.993491599846889e-72,6.795851219289433e-94,5.967919576241545e-309,5.074556108477316e-31,0.0,0.0,0.0,5.4641213635383245e-109,4.488170899620706e-189,1.7568778026625508e-127,1.830877121560354e-138,1.830877121560354e-138,9.443460553969812e-133,1.4292607077386935e-32,0.0,1.818770770830005e-179,1.7329186001119564e-69,0.0,3.7576201091583926e-79,3.804395860585114e-260,7.219715757578871e-96,2.898678018547249e-134,5.217482179251185e-31,1.1327096384629805e-56,-138.719987199872
2.1021365814179013e-110,1.727646506579032e-216,0.0,1.3272808408010613e-71,1.2987399432375173e-93,6.21455333771343e-308,6.251826060224296e-31,0.0,0.0,0.0,1.168648994876577e-108,1.7810571306593826e-188,4.315407476711652e-127,4.959004334238637e-138,4.959004334238637e-138,2.5316457254696535e-132,1.7795481518311615e-32,0.0,6.961509464690444e-179,2.8377511876469277e-69,0.0,6.78467661985661e-79,2.3844488334046022e-259,1.5308270450701902e-95,7.315188494623137e-134,6.4297808754074115e-31,1.6950052767872704e-56,-138.559985599856
4.409648069388298e-110,7.446371489200057e-216,0.0,2.2020812892531394e-71,2.4795004095376514e-93,6.4461780104203995e-307,7.6995835228073155e-31,0.0,0.0,0.0,2.4965033790634936e-108,7.052144414822456e-188,1.0584966618408565e-126,1.341018881847484e-137,1.341018881847484e-137,6.77587873862679e-132,2.2148974045299654e-32,0.0,2.6586658158193105e-178,4.643260211128018e-69,0.0,1.2238019212114816e-78,1.4902357011770315e-258,3.241588386781446e-95,1.8434586046852354e-133,7.921073263260311e-31,2.5347971164621434e-56,-138.39998399984
9.23983830705517e-110,3.2024996383057563e-215,0.0,3.650464143911467e-71,4.729005537265796e-93,6.660396525114268e-306,9.479361872832285e-31,0.0,0.0,0.0,5.326777319211861e-108,2.7861174856187724e-187,2.592654254432391e-126,3.6205988803655504e-137,3.6205988803655504e-137,1.810586396175446e-131,2.7557706200702194e-32,0.0,1.013115517001402e-177,7.591442175178539e-69,0.0,2.2052549498255453e-78,9.287237849159254e-258,6.855124143899922e-95,4.638991564370308e-133,9.754938934839307e-31,3.788218717390159e-56,-138.239982399824
1.933936693005469e-109,1.3743206057413649e-214,0.0,6.04654161278296e-71,9.010297116390545e-93,6.854934248761624e-305,1.1666551197188969e-30,0.0,0.0,0.0,1.1352231553849487e-107,1.0982786377981256e-186,6.341429173806742e-126,9.759578185722187e-137,9.759578185722187e-137,4.830185549627639e-131,3.4275050101233367e-32,0.0,3.8520247108972313e-177,1.2401611195718853e-68,0.0,3.9698324489665185e-78,5.771421879418578e-257,1.4477664067695243e-94,1.1657249723601465e-132,1.2009301698201303e-30,5.657786799476627e-56,-138.079980799808
4.043314995563887e-109,5.884934113874611e-214,0.0,1.0007145722752313e-70,1.715031310829044e-92,7.027679030258536e-304,1.4353486330927682e-30,0.0,0.0,0.0,2.4164747155400334e-107,4.3197690519005256e-186,1.5488776632470064e-125,2.6265568026270238e-136,2.6265568026270238e-136,1.2864689519221488e-130,4.261462901033057e-32,0.0,1.461349326309769e-176,2.0243448277594814e-68,0.0,7.139227900482821e-78,3.5763805449768034e-256,3.0535664916161663e-94,2.9251688621392654e-132,1.4779632621030987e-30,8.444575090199014e-56,-137.919979199792
8.44404113783391e-109,2.5144889414781253e-213,0.0,1.654846137853856e-70,3.261134010733261e-92,7.176719286604541e-303,1.7653215756316583e-30,0.0,0.0,0.0,5.1376863203988637e-107,1.6952876682199347e-185,3.77776132654803e-125,7.05744759730475e-136,7.05744759730475e-136,3.4207846742208873e-130,5.296450365368867e-32,0.0,5.531639953530802e-176,3.301744253190635e-68,0.0,1.2826141040462292e-77,2.20988296766933e-255,6.431939963607672e-94,7.329732206397772e-132,1.818286079285347e-30,1.2595885872238869e-55,-137.759977599776
1.761491473546283e-108,1.0720435620951148e-212,0.0,2.734319352884779e-70,6.194822823312302e-92,7.300379171617058e-302,2.170409984065127e-30,0.0,0.0,0.0,1.0910313505415577e-106,6.638365477116521e-185,9.201091406055995e-125,1.8932747451260174e-135,1.8932747451260174e-135,9.081197061786825e-130,6.58046650076939e-32,0.0,2.089241517970047e-175,5.380900064693476e-68,0.0,2.3020061178506177e-77,1.3616311380263417e-254,1.3530140225228468e-93,1.8340349113876833e-131,2.2362146490728206e-30,1.8775837737411746e-55,-137.59997599976
3.670525040050339e-108,4.560681190266717e-212,0.0,4.514244428888363e-70,1.1755816140818967e-91,7.3972499237292046e-301,2.667541890544071e-30,0.0,0.0,0.0,2.314148319659393e-106,2.5936644941515963e-184,2.237853246345113e-124,5.070896382228612e-135,5.070896382228612e-135,2.4068631386706476e-129,8.17285962337024e-32,0.0,7.873326695777051e-175,8.762317375064167e-68,0.0,4.127457713592721e-77,8.365931858170896e-254,2.842420508762825e-93,4.582573223858706e-131,2.7492704867777732e-30,2.796981675815922e-55,-137.439974399744
7.639998580388237e-108,1.935983153309882e-211,0.0,7.446721706847958e-70,2.2286421089995682e-91,7.466216573390911e-300,3.27742104578885e-30,0.0,0.0,0.0,4.902633927459389e-106,1.0111167771227118e-183,5.4351469432671466e-124,1.3560039226219983e-134,1.3560039226219983e-134,6.368697555537001e-129,1.0146984047926235e-31,0.0,2.9604844142459447e-174,1.425724425827616e-67,0.0,7.393064385484705e-77,5.1254714661324455e-253,5.963484204512652e-93,1.1433877959082812e-130,3.378890886268112e-30,4.1638934729579544e-55,-137.279972799728
1.5884582534305753e-107,8.20026734293325e-211,0.0,1.2274092620512565e-69,4.220768477072851e-91,7.506479302389008e-299,4.025360201412852e-30,0.0,0.0,0.0,1.0374138874866411e-105,3.932997932702714e-183,1.3181911945162565e-123,3.620280910439076e-134,3.620280910439076e-134,1.6824446599217182e-128,1.2593472460123372e-31,0.0,1.1107137993105641e-173,2.3179537069278256e-67,0.0,1.3229153058217907e-76,3.1312516072362705e-252,1.2495036621628374e-92,2.848787243907114e-130,4.1512949260140855e-30,6.194828541001447e-55,-137.11997119971198
3.298950310238318e-107,3.465844128761254e-210,0.0,2.0214261849639894e-69,7.985578442132912e-91,7.517568882962438e-298,4.942296303807435e-30,0.0,0.0,0.0,2.192597748993327e-105,1.5264444407903987e-182,3.192515037415319e-123,9.650031026121596e-134,9.650031026121596e-134,4.4373316001402563e-128,1.5624265025241541e-31,0.0,4.1579229557321585e-173,3.765533223439968e-67,0.0,2.3648592114211033e-76,1.9075097255737323e-251,2.614572615856961e-92,7.0877567459816835e-130,5.09853895405985e-30,9.210403618446748e-55,-136.959969599696
6.843734984108903e-107,1.4616541396159205e-209,0.0,3.3263703199155327e-69,1.5093323527733332e-90,7.49935578007212e-297,6.066026870617407e-30,0.0,0.0,0.0,4.628605698820337e-105,5.9111661533741414e-182,7.721024419635585e-123,2.5681492764201693e-133,2.5681492764201693e-133,1.1684063666002345e-127,1.9377568391545377e-31,0.0,1.553050543642772e-172,6.112245180556171e-67,0.0,4.223225167758861e-76,1.1587245392381072e-250,5.463734631581726e-92,1.760921177152532e-129,6.259802554532861e-30,1.3685092123559645e-54,-136.79996799968
1.418169151000411e-106,6.150845139252187e-209,0.0,5.469246853239427e-69,2.849883021422151e-90,7.452052669905927e-296,7.442715201670277e-30,0.0,0.0,0.0,9.759458527549117e-105,2.284021638128252e-181,1.8646800725013335e-122,6.823652991276302e-133,6.823652991276302e-133,3.0715449727839185e-127,2.402395694222895e-31,0.0,5.788014680425064e-172,9.913513612501602e-67,0.0,7.534403595447511e-76,7.018726132699433e-250,1.1402608211931208e-91,4.3687113726349033e-129,7.682954771092567e-30,2.032059777902835e-54,-136.639966399664
2.935488108569645e-106,2.5827331864248937e-208,0.0,8.985219130685144e-69,5.375672940487177e-90,7.37621030617988e-295,9.128722224549604e-30,0.0,0.0,0.0,2.055348996961583e-104,8.805664668925359e-181,4.4969821360196034e-122,1.810167308738951e-132,1.810167308738951e-132,8.061405659302033e-127,2.9773876619062826e-31,0.0,2.1523284177500583e-171,1.6065971981163508e-66,0.0,1.3428243886786577e-75,4.2393672245385234e-249,2.3765366804846825e-91,1.082303628113536e-128,9.426460990740233e-30,3.0153999636116465e-54,-136.479964799648
6.06946005735346e-106,1.0821285897582752e-207,0.0,1.4749389326481082e-68,1.0129833186208874e-89,7.272706846576766e-294,1.1192835059040342e-29,0.0,0.0,0.0,4.3234430559900445e-104,3.3873412726973866e-180,1.0829924381847406e-121,4.7943045286330083e-132,4.7943045286330083e-132,2.1123000381568683e-126,3.688687032571872e-31,0.0,7.985871864326554e-171,2.6015906354138793e-66,0.0,2.3908661169150684e-75,2.5533386999619003e-248,4.946642857987093e-91,2.677485945429949e-128,1.1561703762297529e-29,4.471704144942732e-54,-136.31996319963199
1.253537212399991e-105,4.524106059278479e-207,0.0,2.4191546061881216e-68,1.9069328518055366e-89,7.142730928509612e-293,1.3718977248395994e-29,0.0,0.0,0.0,9.083604702598982e-104,1.3001415761177406e-179,2.6044565425096214e-121,1.2677617093304068e-131,1.2677617093304068e-131,5.5257517699100805e-126,4.568291568522811e-31,0.0,2.956453257731603e-170,4.209431760616142e-66,0.0,4.2526240507127585e-75,1.533488298323712e-247,1.0282584920744746e-90,6.614356666973816e-128,1.4175806405248275e-29,6.627059814938858e-54,-136.159961599616
2.586079341768143e-105,1.8873014002553322e-206,0.0,3.9645822176301176e-68,3.586180618670065e-89,6.987758950298906e-292,1.6809503583924246e-29,0.0,0.0,0.0,1.9062112355459015e-103,4.9791730571870095e-179,6.25455240126943e-121,3.346992656084458e-131,3.346992656084458e-131,1.4431719183273088e-125,5.655635365706224e-31,0.0,1.0920803139196088e-169,6.805507922368374e-66,0.0,7.55656498522299e-75,9.18368869409353e-247,2.134616041009839e-90,1.6316625437323774e-127,1.737506712049487e-29,9.81495719928364e-54,-135.9999599996
5.329223080234836e-105,7.856051554194443e-206,0.0,6.491954264451225e-68,6.737403673359936e-89,6.80952716477547e-291,2.0589204187421873e-29,0.0,0.0,0.0,3.9954724362987675e-103,1.9026490006748165e-178,1.4999016564169624e-120,8.822202118343966e-131,8.822202118343966e-131,3.7630128506622336e-125,6.999299372485289e-31,0.0,4.0250661459084734e-169,1.0993859228295053e-65,0.0,1.3413976740402845e-74,5.484265733850199e-246,4.42550613675805e-90,4.019346085632747e-127,2.1289134124670403e-29,1.4526989445401544e-53,-135.839958399584
1.0969918374931117e-104,3.263036753878778e-205,0.0,1.062178957044903e-67,1.264493584768207e-88,6.609999322652454e-290,2.521016879002958e-29,0.0,0.0,0.0,8.364684564286775e-103,7.254291711545008e-178,3.591838185325745e-120,2.321690702234468e-130,2.321690702234468e-130,9.795898280824883e-125,8.659111231929174e-31,0.0,1.4802202691045972e-168,1.7745668198574904e-65,0.0,2.3787914735575844e-74,3.265761574810555e-245,9.162876662303596e-90,9.886960196980587e-127,2.60760799132225e-29,2.1487333438162483e-53,-135.679956799568
2.2555908958256165e-104,1.3523658160749368e-204,0.0,1.736457482063605e-67,2.3708514490734513e-88,6.39133070815441e-289,3.085769389086543e-29,0.0,0.0,0.0,1.7491027104653449e-102,2.75972771858349e-177,8.58930789290635e-120,6.100098333646022e-130,6.100098333646022e-130,2.5459142142964723e-124,1.0708722104132178e-30,0.0,5.431434590411963e-168,2.8621151317054385e-65,0.0,4.214255809829748e-74,1.9391665382337546e-244,1.894638896380332e-89,2.4285804420636894e-126,3.192856610127865e-29,3.176209327227052e-53,-135.519955199552
4.6327056892101205e-104,5.5926930174593496e-204,0.0,2.836448046744905e-67,4.4407436902862504e-88,6.155829486430624e-288,3.7757453819280456e-29,0.0,0.0,0.0,3.653132064838571e-102,1.04754415402833e-176,2.0511008164639495e-119,1.6002005840386834e-129,1.6002005840386834e-129,6.605933514532106e-124,1.3238767642264999e-30,0.0,1.9885551614713315e-167,4.6124789795484725e-65,0.0,7.458493440067574e-74,1.1481810925424362e-243,3.912431727069338e-89,5.956957821197765e-126,3.9081330583506956e-29,4.691971890665431e-53,-135.359953599536
9.504439916333493e-104,2.3078222535913032e-203,0.0,4.6294535568271947e-67,8.309420232205508e-88,5.905916329275683e-287,4.618420301416286e-29,0.0,0.0,0.0,7.620785678738913e-102,3.967466983470386e-176,4.891063186006119e-119,4.190994859978034e-129,4.190994859978034e-129,1.711258288344483e-123,1.636074410934963e-30,0.0,7.264330809312503e-167,7.427356292366494e-65,0.0,1.3187030990221859e-73,6.779073180132587e-243,8.068500123089361e-89,1.4590792499563066e-125,4.7820277425097823e-29,6.926620243222723e-53,-135.19995199951998
1.9477615540778852e-103,9.50250944950229e-203,0.0,7.549685295447033e-67,1.5532787121564342e-87,5.644083301580304e-286,5.64723326996385e-29,0.0,0.0,0.0,1.5878827788879407e-101,1.4993022299874222e-175,1.1646809401826228e-118,1.0958849096752672e-128,1.0958849096752672e-128,4.4257600519995013e-123,2.0211759666583454e-30,0.0,2.6478200457149434e-166,1.195051641585728e-64,0.0,2.329209958982492e-73,3.991121069045016e-242,1.661745696265662e-88,3.5687453675884586e-125,5.849350866629684e-29,1.0218968143350124e-52,-135.039950399504
