0-Abe 2014,1-Beyder 2010,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
5.946668123078743e-55,1.6579398160286562e-09,8.602547877727192e-165,0.0,0.0,0.0,1.4795815185485836e-249,1.660230340337671e-188,4.171823135679504e-201,4.995717050225566e-304,2.1793541185903635e-143,0.0,0.0,6.856916125197861e-195,1.1853419279289542e-93,1.4788287587820328e-117,7.913530267222336e-94,4.059413668322731e-220,7.474826464370341e-79,8.943790754597741e-52,1.4929884983440815e-97,3.6677191363737176e-75,7.913530267222336e-94,6.505376666077295e-58,8.943790754597741e-52,1.530681895910469e-228,6.311409551414041e-90,1.1853419279289542e-93,3.6677191363737176e-75,2.9113276622676057e-237,1.1853419279289542e-93,3.794533918773865e-142,1.5471482554552472e-96,5.925905074257713e-187,2.9567953534307544e-235,1.2624136521505127e-96,0.0,6.658128484585123e-240,4.916168653455237e-96,7.160164943754124e-98,2.1534379236468914e-250,3.371079586618377e-188,0.0,8.014326927715283e-28,0.0,7.792957160917268e-167,3.610563333767978e-134,2.686500634131771e-38,1.6579398160286562e-09,1.9480988542155873e-41,-140.0
9.086159810676056e-55,1.7173391869122643e-09,3.677701060558273e-164,0.0,0.0,0.0,7.963758875799444e-249,6.0709343206044e-188,1.7278767823367025e-200,6.822688560735639e-303,6.169498296457212e-143,0.0,0.0,2.7009936812684044e-194,2.260733284159513e-93,3.255335416338407e-117,1.5102493750736732e-93,1.862032576237381e-219,1.2710665530395352e-78,1.236491509955998e-51,2.887100330422825e-97,6.048546176662426e-75,1.5102493750736732e-93,9.523824101718868e-58,1.236491509955998e-51,7.704650771128228e-228,1.1818300902132489e-89,2.260733284159513e-93,6.048546176662426e-75,1.5719579856828703e-236,2.260733284159513e-93,1.013994580021248e-141,2.9868484180652505e-96,2.250194852735813e-186,1.597656382954986e-234,2.4375997762863834e-96,0.0,3.1509793890644565e-239,9.634363330823327e-96,1.4125850302148148e-97,1.3752087549095204e-249,1.3318255152501874e-187,5e-324,9.548800552839896e-28,0.0,2.836561722479128e-166,9.612588988819379e-134,3.488117095093436e-38,1.7173391869122643e-09,2.5862111902109106e-41,-139.839998399984
1.3872591994492234e-54,1.7787729709684732e-09,1.5677990624315612e-163,0.0,0.0,0.0,4.275742557203775e-248,2.215566754695994e-187,7.14059713996864e-200,9.271835928437681e-302,1.7435761375663503e-142,0.0,0.0,1.0616754766461082e-193,4.307434296131489e-93,7.157458998688199e-117,2.8793251658411465e-93,8.52119488049442e-219,2.1596457031805075e-78,1.7086587143219063e-51,5.577389083155117e-97,9.967276426270072e-75,2.8793251658411465e-93,1.393469920069101e-57,1.7086587143219063e-51,3.8683388126726867e-227,2.2108271144943612e-89,4.307434296131489e-93,9.967276426270072e-75,8.465297227628398e-236,4.307434296131489e-93,2.7055461642345726e-141,5.7604425201071806e-96,8.526493955216082e-186,8.609686714833438e-234,4.7020056376624515e-96,0.0,1.487900312596304e-238,1.88606219830393e-95,2.7838313119573013e-97,8.755665092353167e-249,5.250014923199401e-187,4.4e-323,1.1373883103548583e-27,0.0,1.030189381499737e-165,2.5551176038660784e-133,4.526993398570781e-38,1.7787729709684732e-09,3.431821349202719e-41,-139.679996799968
2.1164374069875273e-54,1.8423073568042279e-09,6.664522285788276e-163,0.0,0.0,0.0,2.289914340151077e-247,8.06967905396332e-187,2.9443618102643533e-199,1.2538004014416818e-300,4.9192739378163194e-142,0.0,0.0,4.1642183158648346e-193,8.198825559258327e-93,1.5718361217743887e-116,5.483986953208842e-93,3.8904781356711075e-218,3.6664331496125396e-78,2.3600118924755432e-51,1.0763751421160922e-96,1.6412418338088432e-74,5.483986953208842e-93,2.037657303481007e-57,2.3600118924755432e-51,1.9373120806903114e-226,4.131669555066473e-89,8.198825559258327e-93,1.6412418338088432e-74,4.546685536703599e-235,8.198825559258327e-93,7.208026659652881e-141,1.1098388565142034e-95,3.224079744411591e-185,4.627358816740962e-233,9.060745143399411e-96,0.0,7.010306227962405e-238,3.688295802920584e-95,5.48034595107123e-97,5.557684581006706e-248,2.0649456564653404e-186,5.14e-322,1.3543997629068413e-27,0.0,3.7331615323091437e-165,6.780887354297708e-133,5.872775023603803e-38,1.8423073568042279e-09,4.551903498003775e-41,-139.519995199952
3.226441664467152e-54,1.908010561090154e-09,2.82495996534215e-162,0.0,0.0,0.0,1.223323073698736e-246,2.9333899663728145e-186,1.211386424536899e-198,1.6871105735243256e-299,1.3855752641206288e-141,0.0,0.0,1.6298539179478164e-192,1.559007780028932e-92,3.4477909970063476e-116,1.0434358745026217e-92,1.772126492725921e-217,6.219451345005014e-78,3.2581249492830794e-51,2.0752003325089714e-96,2.700469188993195e-74,1.0434358745026217e-92,2.977913010104328e-57,3.2581249492830794e-51,9.677834755753473e-226,7.713783335988433e-89,1.559007780028932e-92,2.700469188993195e-74,2.4355612421895486e-234,1.559007780028932e-92,1.9174318653944354e-140,2.1361188771531552e-95,1.2165388614924525e-184,2.480395093004639e-232,1.7442338465704625e-95,0.0,3.2956040338546316e-237,7.204970737786855e-95,1.0777295155549167e-96,3.517085213167975e-247,8.103853800596406e-186,5.67e-321,1.6123642053875012e-27,0.0,1.3498060700950156e-164,1.7966657152475543e-132,7.615379739496549e-38,1.908010561090154e-09,6.034886553626561e-41,-139.359993599936
4.9148784152437223e-54,1.9759528863696543e-09,1.1940436935090064e-161,0.0,0.0,0.0,6.518945343065498e-246,1.0642054020418853e-185,4.972892951977041e-198,2.258973654726825e-298,3.896083521197459e-141,0.0,0.0,6.36557087740966e-192,2.9614784047526605e-92,7.553702355422649e-116,1.9833472890127172e-92,8.053334080479761e-217,1.0541621555223596e-77,4.4958929103420415e-51,3.996870236117653e-96,4.439933320872503e-74,1.9833472890127172e-92,4.349508494067319e-57,4.4958929103420415e-51,4.8223680436102474e-225,1.4387334839957123e-88,2.9614784047526605e-92,4.439933320872503e-74,1.301231656646441e-233,2.9614784047526605e-92,5.0929054959374125e-140,4.1072612123381616e-95,4.5806923376663947e-184,1.3260210188854048e-231,3.354328016965746e-95,0.0,1.5458521129582284e-236,1.4059680172497266e-94,2.117133882663448e-96,2.2189939968696176e-246,3.173287711869339e-185,6.2643e-320,1.9189232189580455e-27,0.0,4.869684821312364e-164,4.752839470942663e-132,9.870847941003995e-38,1.9759528863696543e-09,7.997474502691445e-41,-139.19999199992
7.481218051342559e-54,2.0462067803722352e-09,5.032604361291168e-161,0.0,0.0,0.0,3.4651956010785442e-245,3.8532149205315854e-185,2.0369032475085346e-197,3.0097558049487032e-297,1.0936929638812538e-140,0.0,0.0,2.4808443780408684e-191,5.6199507430927326e-92,1.652966587528403e-115,3.7661309892278115e-92,3.651287000375754e-216,1.7852942645340238e-77,6.200958988090585e-51,7.690307758168626e-96,7.294310434356562e-74,3.7661309892278115e-92,6.349151264805164e-57,6.200958988090585e-51,2.396878596830522e-224,2.680799443344897e-88,5.6199507430927326e-92,7.294310434356562e-74,6.9336452199983825e-233,5.6199507430927326e-92,1.3506829417734845e-139,7.88933946694554e-95,1.721159764323373e-183,7.070039025591895e-231,6.444160891544139e-95,0.0,7.234953495341794e-236,2.740661538095518e-94,4.154546380182469e-96,1.3957691826176917e-245,1.2398301246593742e-184,6.89197e-319,2.2831277779032826e-27,0.0,1.7529325760389157e-163,1.2552901660949054e-131,1.2788866577405261e-37,2.0462067803722352e-09,1.059361797345008e-40,-139.03999039990399
1.1378956063113857e-53,2.1188468968653935e-09,2.1150956344393136e-160,0.0,0.0,0.0,1.8373521889758713e-244,1.3923971467774095e-184,8.324661295557551e-197,3.990284227604008e-296,3.065007918544337e-140,0.0,0.0,9.647952854416462e-191,1.0654181713068293e-91,3.612880127991465e-115,7.14423491850076e-92,1.6516023206613077e-215,3.021059237403323e-77,8.548628386418643e-51,1.4781926661559356e-95,1.1974643963830281e-73,7.14423491850076e-92,9.26271878731184e-57,8.548628386418643e-51,1.1883250615110592e-223,4.990216142428119e-88,1.0654181713068293e-91,1.1974643963830281e-73,3.6848519308435444e-232,1.0654181713068293e-91,3.576706741402992e-139,1.5138762542929314e-94,6.4535127386434435e-183,3.7595431357820208e-230,1.2367651683462097e-94,0.0,3.378612820975329e-235,5.336691668485676e-94,8.143960226032755e-96,8.752967672140652e-245,4.833367311917948e-184,7.55242e-318,2.715695099358938e-27,0.0,6.295996127588029e-163,3.310093199687423e-131,1.6562441169069612e-37,2.1188468968653935e-09,1.4026310225090306e-40,-138.879988799888
1.7294304484968326e-53,2.1939501580805213e-09,8.864043462811505e-160,0.0,0.0,0.0,9.717875031449349e-244,5.021634891765291e-184,3.3946704986272265e-196,5.264157545752087e-295,8.575052872656262e-140,0.0,0.0,3.7440730160499384e-190,2.0177685174339995e-91,7.887298911767806e-115,1.3538784756707823e-91,7.453397030314035e-215,5.108056765237151e-77,1.1779549903753644e-50,2.8384550284520442e-95,1.9643168858027286e-73,1.3538784756707823e-91,1.3505435681876032e-56,1.1779549903753644e-50,5.876625426408298e-223,9.279945964704077e-88,2.0177685174339995e-91,1.9643168858027286e-73,1.9531243571742968e-231,2.0177685174339995e-91,9.45704318312793e-139,2.902027504065835e-94,2.4146605306479818e-182,1.9938394811611535e-229,2.3711997544898336e-94,0.0,1.5742582918103027e-234,1.0380674226014625e-93,1.5947199215153952e-95,5.472443481893756e-244,1.8800625506682402e-183,8.2435446e-317,3.2293117268666582e-27,0.0,2.256308993122645e-162,8.714479094920649e-131,2.144032370729818e-37,2.1939501580805213e-09,1.8563089662796753e-40,-138.719987199872
2.626481549733869e-53,2.2715958187484785e-09,3.704233828898937e-159,0.0,0.0,0.0,5.127013379051564e-243,1.8074623477455589e-183,1.3812222372050361e-195,6.91045114890647e-294,2.3950304267928774e-139,0.0,0.0,1.449862887682737e-189,3.8175631950649137e-91,1.7198410787224375e-114,2.563110278841749e-91,3.3557707607378776e-214,8.629770200953887e-77,1.622391389646138e-50,5.4449844495834895e-95,3.219816068066176e-73,2.563110278841749e-91,1.9680042557388727e-56,1.622391389646138e-50,2.898840349524905e-222,1.7240211790794622e-87,3.8175631950649137e-91,3.219816068066176e-73,1.0325026633800076e-230,3.8175631950649137e-91,2.496718226142159e-138,5.557431074679668e-94,9.015730474650088e-182,1.0545985478811744e-228,4.541601895348825e-94,0.0,7.31894418181356e-234,2.01704577980594e-93,3.1193918878307395e-95,3.411076714875164e-243,7.296753559651462e-183,8.96243253e-316,3.838991064460265e-27,0.0,8.068031374628648e-162,2.290592095635573e-130,2.774297463598167e-37,2.2715958187484785e-09,2.455640425108383e-40,-138.559985599856
