1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,10-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,19-Detta 2014,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,30-Itoh 2005a,31-Itoh 2005b,33-Kato 2014,34-Lin 2008,36-Lupoglazoff 2001,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,57-Wang 2007b,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.078918739358806e-135,1.0580689594639233e-31,2.6172086244496234e-119,2.476882312942439e-15,8.553118358539595e-34,2.659707105739741e-152,4.8093476535505417e-85,0.0,0.0,1.1160793661270213e-61,4.163093799739403e-33,4.383606298927422e-63,2.215440702057245e-172,2.0620357218332902e-190,7.532185643760997e-217,4.71991378792923e-310,0.0,1.3819367944575708e-49,3.3502934073723395e-42,1.1822463833973403e-55,8.800921503271838e-24,0.0,5.124746046270871e-34,2.0677293172626062e-122,8.22036887645608e-144,9.176426870425939e-303,5.85322756591192e-102,4.7679191576283277e-20,1.9233083271123443e-53,0.0,0.0,1.7849562053e-314,1.710037008336642e-120,6.640747075958713e-29,8.866462959093666e-52,1.4032830399026146e-186,8.06534579412935e-263,0.0,5.56468380110764e-103,4.028066919340024e-47,4.615243822558703e-119,0.0,4.0731962420152005e-44,0.0,0.0,6.228103685576398e-39,9.187937102312861e-23,3.016606492683606e-12,1.7911716812619724e-77,0.0,3.0190834227764206e-12,2.7153222748870315e-27,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0996234047409014e-134,1.3225184760893226e-31,6.537627134655182e-119,2.6763583148404954e-15,1.061931506054026e-33,7.837919833670368e-152,9.593908359955136e-85,0.0,0.0,1.715365185391301e-61,5.140045105372678e-33,6.69878097324482e-63,7.290700356543653e-172,7.549728148261933e-190,3.354898973719999e-216,3.994763420407854e-309,0.0,2.011274478879836e-49,4.452884562155282e-42,1.7393366023489442e-55,1.0456607421854336e-23,0.0,6.520773869268983e-34,5.309913509389921e-122,2.405021292187345e-143,8.643590576890766e-302,1.285196624034717e-101,5.455013739559356e-20,2.9001268261881147e-53,0.0,0.0,2.26388209465e-313,4.133997766817817e-120,8.03085152427817e-29,1.2305910574238383e-51,5.571106726877175e-186,5.478218006566333e-262,0.0,1.1620538024205099e-102,5.601534486151321e-47,1.1606600132836787e-118,0.0,5.568757886176587e-44,0.0,0.0,8.109469174971667e-39,1.0779546216710306e-22,3.207596603473472e-12,2.97553943091464e-77,0.0,3.210273016456702e-12,3.264764946051089e-27,-139.839998399984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.850009848528674e-134,1.6524269007571465e-31,1.6304806384275523e-118,2.891556916311187e-15,1.3180084763387257e-33,2.3058264152108365e-151,1.9113888643132202e-84,0.0,0.0,2.6346164415160577e-61,6.34414421596332e-33,1.0229934930803703e-62,2.394907402049519e-171,2.7587924080485887e-189,1.490909736524496e-215,3.3701113826363296e-308,0.0,2.925252749869894e-49,5.915648679477735e-42,2.557344041275428e-55,1.2419765524258528e-23,0.0,8.293642739995391e-34,1.3613644212472757e-121,7.023797665158278e-143,8.111972282341637e-301,2.8180573298007917e-101,6.239614057728476e-20,4.369829340183013e-53,0.0,0.0,2.858374766424e-312,9.979405838672481e-120,9.708876849206498e-29,1.7071316404579126e-51,2.2067708723829545e-185,3.7095336296104897e-261,0.0,2.4237972916307932e-102,7.785391232840948e-47,2.9142077598691635e-118,0.0,7.60939188774651e-44,0.0,0.0,1.0554560679291335e-38,1.2643091656975478e-22,3.410329609784258e-12,4.939298415220816e-77,0.0,3.4132212292355607e-12,3.924236330299521e-27,-139.679996799968
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1190198094246626e-133,2.0638374988646595e-31,4.059988826016842e-118,3.1236893480269187e-15,1.6352703936889523e-33,6.771910228094958e-151,3.8031777982952797e-84,0.0,0.0,4.0436866829209555e-61,7.82770673729621e-33,1.5612153833886146e-62,7.852691951169049e-171,1.0061420726839518e-188,6.610536811397673e-215,2.8339594808888413e-307,0.0,4.251716910356932e-49,7.855352086605263e-42,3.7577212347611785e-55,1.4746736754005692e-23,0.0,1.0544133611663707e-33,3.4846128429057325e-121,2.0476253916467725e-142,7.585259097594914e-300,6.170724442104352e-101,7.135337506026933e-20,6.57947694093324e-53,0.0,0.0,3.592722377345e-311,2.4055193265687442e-119,1.1733812032430907e-28,2.3670649513649076e-51,8.721527812398535e-185,2.5041653199843764e-260,0.0,5.049526677028901e-102,1.0814761837438907e-46,7.305351431994444e-118,0.0,1.0392264181975455e-43,0.0,0.0,1.3730900978370556e-38,1.482437648922099e-22,3.6255048793528383e-12,8.192866563109716e-77,0.0,3.628628640217231e-12,4.715536257307569e-27,-139.519995199952
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5788546667214477e-133,2.576685869852058e-31,1.009363798320019e-117,3.3740579018596743e-15,2.028199251029509e-33,1.985429926140626e-150,7.55767650569771e-84,0.0,0.0,6.202073255634982e-61,9.65498112762588e-33,2.3810341809492804e-62,2.5701516763126665e-170,3.662285323442578e-188,2.9243919372204207e-214,2.375413444927022e-306,0.0,6.1755291400540164e-49,1.0426325536739941e-41,5.51810346800677e-55,1.7504043989056905e-23,0.0,1.3399724537548735e-33,8.904875604736084e-121,5.958740434966394e-142,7.066853256465617e-299,1.349362272617892e-100,8.157671752506356e-20,9.89914462302826e-53,0.0,0.0,4.49538895017413e-310,5.790055611889482e-119,1.41765972043602e-28,3.2805241894065466e-51,3.4391210286207226e-184,1.6852733898354315e-259,0.0,1.0507257156746638e-101,1.5014696864645326e-46,1.828381551692244e-117,0.0,1.4185316117659725e-43,0.0,0.0,1.7855378047153656e-38,1.7376805013123667e-22,3.853862001974828e-12,1.3579305469105562e-76,0.0,3.857236141644678e-12,5.664736612613201e-27,-139.359993599936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.936218799291286e-133,3.215734513223106e-31,2.5054417155203875e-117,3.6440626000678e-15,2.5146719377279396e-33,5.811078260639261e-150,1.4999405984784904e-83,0.0,0.0,9.50595117237863e-61,1.1904843614632399e-32,3.628952597965664e-62,8.396712905240741e-170,1.330447134598926e-187,1.2907671395111298e-213,1.9846365066067994e-305,0.0,8.963815334935164e-49,1.3832454475446043e-41,8.098134760120923e-55,2.077020590740223e-23,0.0,1.7021594240701603e-33,2.2719269780146754e-120,1.7309474231803767e-141,6.559842584018923e-298,2.946639828574271e-100,9.324227162983503e-20,1.4882756502624068e-52,0.0,0.0,5.599509857196585e-309,1.3916381898971304e-118,1.712251723429941e-28,4.5442918989536344e-51,1.3530751304577986e-183,1.1306844321948482e-258,0.0,2.1837975136590165e-101,2.0834316999516995e-46,4.5687528286713166e-117,0.0,1.9352473040032658e-43,0.0,0.0,2.3208667407899775e-38,2.0362624930331745e-22,4.096183014854676e-12,2.2490043460282743e-76,0.0,4.099827170921412e-12,6.803009132333111e-27,-139.19999199992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3648561186001436e-132,4.011729405822895e-31,6.209184685954326e-117,3.935208339315484e-15,3.116748262251335e-33,1.6979217605097487e-149,2.9730616415148033e-83,0.0,0.0,1.4559738020130384e-60,1.4674095570016385e-32,5.527259034776561e-62,2.738231818992739e-169,4.823870581004742e-187,5.6842568799050245e-213,1.6527947819096672e-304,0.0,1.3002310033963233e-48,1.8342966053646585e-41,1.1877089770804133e-54,2.4637869206598936e-23,0.0,2.161344472952372e-33,5.7870077990250284e-120,5.0192489020874916e-141,6.066978467163709e-297,6.425865443430227e-100,1.0655022674750286e-19,2.2358799966386587e-52,0.0,0.0,6.943395094812182e-308,3.3399476546311676e-118,2.0674069062958318e-28,6.291860746786129e-51,5.311484597183321e-183,7.562687313091806e-258,0.0,4.533354572209058e-101,2.889382629473902e-46,1.1398130124041343e-116,0.0,2.638776066875978e-43,0.0,0.0,3.0153831277417996e-38,2.3854369270954526e-22,4.353294745828292e-12,3.7219804849261873e-76,0.0,4.357230060981016e-12,8.167611747931679e-27,-139.03999039990399
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1344242672247385e-132,5.002830755513438e-31,1.5363796460660692e-116,4.2491125423064996e-15,3.861640049875594e-33,4.9526474416239925e-149,5.885425398068231e-83,0.0,0.0,2.2284907500874475e-60,1.808149662422358e-32,8.413005997354379e-62,8.913360647902435e-169,1.7456061044443586e-186,2.497542944294772e-212,1.3719967484411222e-303,0.0,1.8847642021626123e-48,2.4313205391884e-41,1.7408644551105118e-54,2.921631419281786e-23,0.0,2.7432610618905947e-33,1.4716581983978772e-119,1.4528441738017947e-140,5.590661280560992e-296,1.3994013254019118e-99,1.2172809468429185e-19,3.3565491573146015e-52,0.0,0.0,8.571027097029023e-307,8.004287902741241e-118,2.4954395402041193e-28,8.707267570800348e-51,2.0803169304025665e-182,5.0428326819217e-257,0.0,9.399642253063183e-101,4.004920853603218e-46,2.839060668216929e-116,0.0,3.596145164921588e-43,0.0,0.0,3.916029335107328e-38,2.7936529668031e-22,4.626071280396661e-12,6.155012638927264e-76,0.0,4.630320514975644e-12,9.803063487458949e-27,-138.879988799888
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.189896356866465e-132,6.236382216140175e-31,3.7955630148046536e-116,4.587513352005803e-15,4.782902494260873e-33,1.4421682891279712e-148,1.1635790585024014e-82,0.0,0.0,3.4085322287891814e-60,2.2272695975624446e-32,1.2796919446446325e-61,2.896163682695605e-168,6.304482383263657e-186,1.0948779404590645e-211,1.1352288591031291e-302,0.0,2.7302500416118454e-48,3.221196505571976e-41,2.5500562267200936e-54,3.463439811003643e-23,0.0,3.480404179435927e-33,3.7363971156783205e-119,4.1978294200729937e-140,5.132933040964732e-295,3.0433998557329106e-99,1.3903437339825117e-19,5.035202490381631e-52,0.0,0.0,1.0532536745686722e-305,1.9154704688135564e-117,3.0111395308395555e-28,1.2044106437075928e-50,8.129477683324779e-182,3.352251977848731e-256,0.0,1.946647322086394e-100,5.548120803032784e-46,7.06026253393692e-116,0.0,4.898245015394236e-43,0.0,0.0,5.083472902893836e-38,3.2707497478679714e-22,4.915436558793663e-12,1.0170794200755983e-75,0.0,4.920024211541752e-12,1.1762543548882688e-26,-138.719987199872
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6473330739635434e-131,7.771097751803955e-31,9.361976807478099e-116,4.952278405748008e-15,5.9218982071164657e-33,4.192308750919088e-148,2.2975132555407125e-82,0.0,0.0,5.209826584497447e-60,2.742625983521342e-32,1.9452370431896844e-61,9.393232787021252e-168,2.2725068354498542e-185,4.788857562432758e-211,9.36289074346253e-302,0.0,3.952361962760388e-48,4.2657417887949787e-41,3.733055393138347e-54,4.104401149919944e-23,0.0,4.413789497960495e-33,9.470922648015459e-119,1.210754202341227e-139,4.6954769022501885e-294,6.609701268915027e-99,1.5876269296446435e-19,7.547798125796193e-52,0.0,0.0,1.2884638043974811e-304,4.577179446447629e-117,3.6322643430679516e-28,1.6651646613179607e-50,3.169679458479362e-181,2.2215824460513854e-255,0.0,4.026683951865659e-100,7.681764167747013e-46,1.7529605510704188e-115,0.0,6.668258213556001e-43,0.0,0.0,6.596084792407846e-38,3.828181490823987e-22,5.2223671096030164e-12,1.6793910901261083e-75,0.0,5.22731954719532e-12,1.4109556805593742e-26,-138.559985599856
