0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
2.1506681032155913e-48,0.0,0.0,1.0766550951883237e-47,0.0,7.332742957063077e-10,7.332742957063077e-10,5.493049018754189e-37,-140.0
3.056670249480773e-48,0.0,0.0,1.5012480345808625e-47,0.0,7.682615383094774e-10,7.682615383094774e-10,7.259476737042176e-37,-139.839998399984
4.341784995547107e-48,0.0,0.0,2.0921594380641362e-47,0.0,8.048580778391813e-10,8.048580778391813e-10,9.589309091249715e-37,-139.679996799968
6.163573290035254e-48,0.0,0.0,2.9140941445013317e-47,0.0,8.4313498117277e-10,8.4313498117277e-10,1.2660751163934268e-36,-139.519995199952
8.744628078239662e-48,0.0,0.0,4.0567556791747007e-47,0.0,8.831663125323795e-10,8.831663125323795e-10,1.6707896842467624e-36,-139.359993599936
1.2399228089968673e-47,0.0,0.0,5.644436630660015e-47,0.0,9.250292533948126e-10,9.250292533948126e-10,2.2038105279165966e-36,-139.19999199992
1.7570838329525237e-47,0.0,0.0,7.849261983583459e-47,0.0,9.688042269085544e-10,9.688042269085544e-10,2.905473226822975e-36,-139.03999039990399
2.488483949890306e-47,0.0,0.0,1.0909466725807487e-46,0.0,1.0145750269747528e-09,1.0145750269747528e-09,3.828685191874598e-36,-138.879988799888
3.522262611085732e-47,0.0,0.0,1.5154607529076813e-46,0.0,1.0624289521541958e-09,1.0624289521541958e-09,5.0428098853472875e-36,-138.719987199872
4.982567019834825e-47,0.0,0.0,2.1040319937863613e-46,0.0,1.1124569445672094e-09,1.1124569445672094e-09,6.638740434381668e-36,-138.559985599856
7.044158069668226e-47,0.0,0.0,2.9196208702377566e-46,0.0,1.1647537339586509e-09,1.1647537339586509e-09,8.735523533703793e-36,-138.39998399984
9.95289825136854e-47,0.0,0.0,4.049179726472902e-46,0.0,1.2194179871058297e-09,1.2194179871058297e-09,1.1489003022045494e-35,-138.239982399824
1.4054472925938606e-46,0.0,0.0,5.612729628835736e-46,0.0,1.2765524627520546e-09,1.2765524627520546e-09,1.510309330878102e-35,-138.079980799808
1.9834629373383813e-46,0.0,0.0,7.775846255247089e-46,0.0,1.3362641722550648e-09,1.3362641722550648e-09,1.9844475447572892e-35,-137.919979199792
2.7975518452096577e-46,0.0,0.0,1.0766825691385549e-45,0.0,1.398664546144466e-09,1.398664546144466e-09,2.6061745407905924e-35,-137.759977599776
3.943453511238116e-46,0.0,0.0,1.4900271211795403e-45,0.0,1.4638696067890074e-09,1.4638696067890074e-09,3.4210350873158214e-35,-137.59997599976
5.5554575635559245e-46,0.0,0.0,2.06094849722277e-45,0.0,1.532000147380292e-09,1.532000147380292e-09,4.488505020242763e-35,-137.439974399744
7.821813762587457e-46,0.0,0.0,2.849092692008146e-45,0.0,1.6031819174457774e-09,1.6031819174457774e-09,5.886214148506746e-35,-137.279972799728
1.1006256642592463e-45,0.0,0.0,3.936520276527874e-45,0.0,1.6775458151106269e-09,1.6775458151106269e-09,7.715437499561055e-35,-137.11997119971198
1.547805292033163e-45,0.0,0.0,5.4360680044747234e-45,0.0,1.7552280863342037e-09,1.7552280863342037e-09,1.0108232276712881e-34,-136.959969599696
2.1753920974355214e-45,0.0,0.0,7.502806458489324e-45,0.0,1.8363705313542204e-09,1.8363705313542204e-09,1.3236709104009476e-34,-136.79996799968
3.0556477877944216e-45,0.0,0.0,1.034973143307068e-44,0.0,1.921120718578149e-09,1.921120718578149e-09,1.7325069786385e-34,-136.639966399664
4.289568108741852e-45,0.0,0.0,1.426924160301154e-44,0.0,2.009632206168642e-09,2.009632206168642e-09,2.2665229285841413e-34,-136.479964799648
6.018224298615416e-45,0.0,0.0,1.9662519966721155e-44,0.0,2.102064771577593e-09,2.102064771577593e-09,2.9637078961072614e-34,-136.31996319963199
8.43854749987225e-45,0.0,0.0,2.7079705450382745e-44,0.0,2.1985846492898186e-09,2.1985846492898186e-09,3.873475682813814e-34,-136.159961599616
1.1825283366022043e-44,0.0,0.0,3.727478695577981e-44,0.0,2.299364777046507e-09,2.299364777046507e-09,5.060068857131993e-34,-135.9999599996
1.656151037630765e-44,0.0,0.0,5.128057402265296e-44,0.0,2.404585050824907e-09,2.404585050824907e-09,6.606967581209996e-34,-135.839958399584
