0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,8-Hayashi 2015,9-Holst 2009,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,30-Splawski 2002,31-Tan 2001,32-Tsurugi 2009,34-Vatta 2002b,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,40-Zhang 2015,sum,gauss,x
3.78636226128e-93,1.66929314489e-51,0.0,0.0,2.86743264232e-66,1.52789615516e-284,1.94203867913e-19,7.11155613293e-47,0.0,2.71916229455e-218,3.88699112456e-72,9.62131527206e-89,2.53978154698e-94,2.8888654191e-122,8.35479755955e-49,9.37285474089e-35,5.89827665002e-249,1.45420368563e-63,1.27073947263e-76,2.59896158553e-112,0.0,0.0,0.0,0.0,1.90928367319e-125,3.32151223611e-199,0.0,5.4683369469e-210,2.08540131981e-183,2.02095465511e-193,0.0,7.22160022244e-89,0.0,3.95275954237e-30,4.01042812802e-134,1.42711815988e-110,1.94203867917e-19,2.75570995766e-17,-140.0
7.48600380869e-93,2.34814773715e-51,0.0,0.0,5.05073534942e-66,1.37558571052e-283,2.21906939582e-19,9.91768536752e-47,0.0,1.96120870127e-217,7.32116919317e-72,2.03914402519e-88,5.36185419434e-94,7.50423303764e-122,1.21296100405e-48,1.19128793605e-34,3.85676310923e-248,2.33386200145e-63,2.05786582166e-76,6.03815732388e-112,0.0,0.0,0.0,0.0,4.13520065888e-125,1.22557516404e-198,0.0,2.09063518406e-209,8.88620086076e-183,8.1410344724e-193,0.0,1.40093095376e-88,0.0,4.69250138803e-30,1.16512973248e-133,2.89050564108e-110,2.21906939587e-19,3.08167228334e-17,-139.8399984
1.47838553925e-92,3.30132675394e-51,0.0,0.0,8.88655517294e-66,1.23384541134e-282,2.5350113412e-19,1.38234219858e-46,0.0,1.40895371912e-216,1.37719663053e-71,4.31553849901e-88,1.13045570638e-93,1.94608984571e-121,1.75982954167e-48,1.51351900908e-34,2.5139902713e-247,3.7425755157e-63,3.33026314972e-76,1.40086324837e-111,0.0,0.0,0.0,0.0,8.94662967703e-125,4.51358574451e-198,0.0,7.97772191725e-209,3.77693590701e-182,3.27218236768e-192,0.0,2.71467260613e-88,0.0,5.56934064741e-30,3.3785899288e-133,5.84856234511e-110,2.53501134125e-19,3.44557044383e-17,-139.6799968
2.91631981883e-92,4.63897349408e-51,0.0,0.0,1.5618154379e-65,1.10258764483e-281,2.8952424886e-19,1.92566333149e-46,0.0,1.00821668088e-215,2.58737914152e-71,9.12001868891e-88,2.38019212998e-93,5.03845093074e-121,2.55156846585e-48,1.92214123098e-34,1.63360488583e-246,5.99668778122e-63,5.38568580265e-76,3.24544170345e-111,0.0,0.0,0.0,0.0,1.93356634076e-124,1.65913258788e-197,0.0,3.03848560713e-208,1.60125357495e-181,1.31229141689e-191,0.0,5.25455123084e-88,0.0,6.60843333377e-30,9.77854710347e-133,1.18218607669e-109,2.89524248866e-19,3.85174518841e-17,-139.5199952
5.74635396056e-92,6.51516706617e-51,0.0,0.0,2.7418482961e-65,9.81623099852e-281,3.30587169982e-19,2.68104874898e-46,0.0,7.18613321323e-215,4.85481636527e-71,1.92455399506e-87,5.00484224972e-93,1.30229313882e-120,3.69706176342e-48,2.44010765964e-34,1.05821340132e-245,9.60058661976e-63,8.70371053225e-76,7.50824847619e-111,0.0,0.0,0.0,0.0,4.17441321633e-124,6.08720798612e-197,0.0,1.1550828186e-207,6.77138671983e-181,5.25119273323e-191,0.0,1.01594744349e-87,0.0,7.83950429896e-30,2.82482034124e-132,2.38717341995e-109,3.3058716999e-19,4.30502520333e-17,-139.3599936
1.13099160108e-91,9.14533267404e-51,0.0,0.0,4.80811197848e-65,8.70674238498e-280,3.77383632121e-19,3.73068530248e-46,0.0,5.10177008896e-214,9.09775327983e-71,4.05544121727e-87,1.05096604673e-92,3.36045468932e-120,5.35326870575e-48,3.09641355857e-34,6.83348575318e-245,1.53578198757e-62,1.40562291394e-75,1.73456354297e-110,0.0,0.0,0.0,0.0,9.0026121325e-124,2.22911687153e-196,0.0,4.38275016937e-207,2.85622312055e-180,2.0966237946e-190,0.0,1.96211425898e-87,0.0,9.29766834534e-30,8.14488548189e-132,4.81552358198e-109,3.77383632131e-19,4.81078094619e-17,-139.199992
2.22349505003e-91,1.28305048624e-50,0.0,0.0,8.42215376448e-65,7.69388864712e-279,4.3070125731e-19,5.18838358898e-46,0.0,3.60770266492e-213,1.7027234464e-70,8.5333539585e-87,2.203976157e-92,8.65694997372e-120,7.74629867009e-48,3.92767198912e-34,4.3990017227e-244,2.45474755308e-62,2.26847596191e-75,4.00155273865e-110,0.0,0.0,0.0,0.0,1.93944909657e-123,8.14751535836e-196,0.0,1.65980839662e-206,1.20172100164e-179,8.3525280746e-190,0.0,3.78525190639e-87,0.0,1.10243973219e-29,2.3439955553e-131,9.70430575727e-109,4.30701257321e-19,5.37498430409e-17,-139.0399904
4.36639212816e-91,1.79911228442e-50,0.0,0.0,1.47363252899e-64,6.77353493561e-278,4.91434037729e-19,7.21165750519e-46,0.0,2.54111795927e-212,3.18275120157e-70,1.79297836277e-86,4.61577905573e-92,2.22643153205e-119,1.12016575068e-47,4.980096305e-34,2.82298631868e-243,3.92039267186e-62,3.65847843029e-75,9.21835925648e-110,0.0,0.0,0.0,0.0,4.17373599444e-123,2.97231742474e-195,0.0,6.27403374354e-206,5.0432695378e-179,3.32009308158e-189,0.0,7.2942848796e-87,0.0,1.30686588713e-29,6.73296312635e-131,1.95365036531e-108,4.91434037742e-19,6.0042746929e-17,-138.8799888
8.56483666176e-91,2.52140772013e-50,0.0,0.0,2.57556594431e-64,5.94106262714e-277,5.60596447446e-19,1.00183837828e-45,0.0,1.78280214656e-211,5.94168848509e-70,3.76187166646e-86,9.65390556972e-92,5.71651507024e-119,1.61876273965e-47,6.31199359764e-34,1.80595205909e-242,6.25601481424e-62,5.89613990555e-75,2.12063276423e-109,0.0,0.0,0.0,0.0,8.97239340133e-123,1.08228798698e-194,0.0,2.36708249525e-205,2.1111433134e-178,1.31679284221e-188,0.0,1.4040678516e-86,0.0,1.54882569574e-29,1.93033790613e-130,3.9290777965e-108,5.60596447461e-19,6.70603227854e-17,-138.7199872
1.67812851081e-90,3.53181684384e-50,0.0,0.0,4.49648955845e-64,5.19149168388e-276,6.39339391592e-19,1.39097649535e-45,0.0,1.24584985352e-210,1.10781101669e-69,7.88145756986e-86,2.01641999184e-91,1.4653147921e-118,2.33774408167e-47,7.99689947754e-34,1.15171882066e-241,9.97496625142e-62,9.49589765403e-75,4.87151515714e-109,0.0,0.0,0.0,0.0,1.9267633783e-122,3.93340023365e-194,0.0,8.91369127552e-205,8.81495826192e-178,5.21098156147e-188,0.0,2.69967143511e-86,0.0,1.83514095294e-29,5.52380187111e-130,7.89397645815e-108,6.3933939161e-19,7.4884590718e-17,-138.5599856
3.28428720328e-90,4.94451335896e-50,0.0,0.0,7.84136997604e-64,4.51959450204e-275,7.28968227562e-19,1.93019627655e-45,0.0,8.67186477422e-210,2.06286161212e-69,1.64885606754e-85,4.20609286158e-91,3.74979984816e-118,3.37383306714e-47,1.01275175123e-33,7.32199643341e-241,1.58917076988e-61,1.52828810966e-74,1.11750481385e-108,0.0,0.0,0.0,0.0,4.13318840424e-122,1.42682625223e-193,0.0,3.35026710793e-204,3.67129947631e-177,2.05757889976e-187,0.0,5.18502874058e-86,0.0,2.17386048031e-29,1.57768573009e-129,1.58439126542e-107,7.28968227584e-19,8.36066872576e-17,-138.399984
6.42047000801e-90,6.91861591703e-50,0.0,0.0,1.3659277954e-63,3.9199999138e-274,8.30963122128e-19,2.67696511068e-45,0.0,6.01233987337e-209,3.83639328262e-69,3.44455077117e-85,8.76186652186e-91,9.57994052635e-118,4.86589879799e-47,1.28206678087e-33,4.64039942958e-240,2.52973580986e-61,2.45796337417e-74,2.55989115906e-108,0.0,0.0,0.0,0.0,8.85683929775e-122,5.16596779283e-193,0.0,1.2568369197e-203,1.52516339104e-176,8.10640580493e-187,0.0,9.94738359329e-86,0.0,2.57447848153e-29,4.4975971477e-129,3.1768043294e-107,8.30963122154e-19,9.33278595005e-17,-138.2399824
1.25372502961e-89,9.67576194253e-50,0.0,0.0,2.37673619856e-63,3.38728641291e-273,9.47002041299e-19,3.7105945624e-45,0.0,4.15201375236e-208,7.1256545323e-69,7.18548476656e-85,1.82278028612e-90,2.44340304674e-117,7.01318687277e-47,1.62235006639e-33,2.93173032373e-239,4.02369668691e-61,3.9504497703e-74,5.85572066861e-108,0.0,0.0,0.0,0.0,1.89587225272e-121,1.86685225175e-192,0.0,4.70604500975e-203,6.31989612116e-176,3.18665513161e-186,0.0,1.90626820457e-85,0.0,3.04819133002e-29,1.27972972911e-128,6.36326347842e-107,9.47002041329e-19,1.04160565505e-16,-138.0799808
2.4453867361e-89,1.35245060836e-49,0.0,0.0,4.13096637251e-63,2.91606405455e-272,1.07898670668e-18,5.14048210915e-45,0.0,2.85600049296e-207,1.32182821348e-68,1.49676353607e-84,3.78697054275e-90,6.2216414826e-117,1.0101377645e-46,2.05212954487e-33,1.84644117419e-238,6.39470875077e-61,6.34481034523e-74,1.33759906439e-107,0.0,0.0,0.0,0.0,4.05392882456e-121,6.73357733675e-192,0.0,1.75877739146e-202,2.61216445479e-175,1.24990404115e-185,0.0,3.64902285594e-85,0.0,3.60819947736e-29,3.63440746708e-128,1.27330006137e-106,1.07898670672e-18,1.16229692056e-16,-137.9199792
4.76433827502e-89,1.8894175214e-49,0.0,0.0,7.1719917217e-63,2.50104482665e-271,1.22907189352e-18,7.1174390289e-45,0.0,1.95678002867e-206,2.44891597941e-68,3.11332138409e-84,7.85722961547e-90,1.58158458885e-116,1.45398076646e-46,2.59472450802e-33,1.15928371601e-237,1.01545754244e-60,1.01833743652e-73,3.05111315459e-107,0.0,0.0,0.0,0.0,8.65924269176e-121,2.42414954486e-191,0.0,6.56059642218e-202,1.07693154629e-174,4.8916250547e-185,0.0,6.97728726676e-85,0.0,4.27006232098e-29,1.03021204661e-127,2.54532373737e-106,1.22907189356e-18,1.29673902054e-16,-137.7599776
9.27187158246e-89,2.63818197783e-49,0.0,0.0,1.24378507307e-62,2.13710159661e-270,1.39969849202e-18,9.84925120624e-45,0.0,1.33539569166e-205,4.53128487067e-68,6.46648617975e-84,1.62804676945e-89,4.01381581484e-116,2.09146004818e-46,3.27947265118e-33,7.25582496762e-237,1.61119548821e-60,1.63329915909e-73,6.9498819173e-107,0.0,0.0,0.0,0.0,1.84765315238e-120,8.71065100434e-191,0.0,2.44260601422e-201,4.42866357311e-174,1.91013706193e-184,0.0,1.33264374528e-84,0.0,5.05211521596e-29,2.9147229636e-127,5.08296019997e-106,1.39969849207e-18,1.44647125033e-16,-137.599976
1.8023619388e-88,3.68172923382e-49,0.0,0.0,2.15460836802e-62,1.81931599864e-269,1.59363080577e-18,1.3622042424e-44,0.0,9.07741453555e-205,8.37370121063e-68,1.34117790979e-83,3.36886976938e-89,1.01695099941e-115,3.00644554284e-46,4.14326824854e-33,4.52716853444e-236,2.5543486277e-60,2.61782572477e-73,1.580823162e-106,0.0,0.0,0.0,0.0,3.93819962231e-120,3.12406075238e-190,0.0,9.07697568785e-201,1.81657899867e-173,7.44236187914e-184,0.0,2.54248832606e-84,0.0,5.97595938986e-29,8.23086714952e-127,1.01403233632e-105,1.59363080583e-18,1.6132020568e-16,-137.4399744
3.4996643106e-88,5.13534030703e-49,0.0,0.0,3.72828226437e-62,1.54301584314e-268,1.81399861911e-18,1.88295871528e-44,0.0,6.14608554913e-204,1.54547565421e-67,2.77765349976e-83,6.96179903794e-89,2.57229152882e-115,4.31886836941e-46,5.23248954075e-33,2.81584879074e-235,4.04629527783e-60,4.19292107579e-73,3.59067343522e-106,0.0,0.0,0.0,0.0,8.38516761513e-120,1.11831970826e-189,0.0,3.36671669931e-200,7.4324653957e-173,2.89328967718e-183,0.0,4.84530712709e-84,0.0,7.06703736048e-29,2.31991221858e-126,2.02091623752e-105,1.81399861918e-18,1.79882726765e-16,-137.2799728
6.78766735933e-88,7.15907475159e-49,0.0,0.0,6.4441652481e-62,1.30380279804e-267,2.06434463123e-18,2.60135080487e-44,0.0,4.14494972981e-203,2.84875754876e-67,5.74438294393e-83,1.43674156607e-88,6.49557976032e-115,6.20011080947e-46,6.60541281538e-33,1.74596204999e-234,6.40442936177e-60,6.71109842396e-73,8.14432845696e-106,0.0,0.0,0.0,0.0,1.78345647042e-119,3.99567482295e-189,0.0,1.24637757032e-199,3.0332521252e-172,1.12229733978e-182,0.0,9.22361346722e-84,0.0,8.35530860848e-29,6.52642217088e-126,4.02352066374e-105,2.06434463131e-18,2.00545024513e-16,-137.1199712
1.31499618948e-87,9.9750447255e-49,0.0,0.0,1.11260752539e-61,1.09757121583e-266,2.3486779274e-18,3.59183686116e-44,0.0,2.78435219645e-202,5.24441949699e-67,1.18626669756e-82,2.96111820395e-88,1.63754492988e-114,8.89491479514e-46,8.33523481923e-33,1.07920282186e-233,1.01285849392e-59,1.0734244731e-72,1.84468155464e-105,0.0,0.0,0.0,0.0,3.78922175915e-119,1.42492480425e-188,0.0,4.60543150339e-199,1.2347559655e-171,4.34369008299e-182,0.0,1.75387371622e-83,0.0,9.87604277215e-29,1.83255249905e-125,8.00249796906e-105,2.3486779275e-18,2.23540416312e-16,-136.9599696
2.54470954671e-87,1.38913064451e-48,0.0,0.0,1.91882230649e-61,9.20519061618e-266,2.67153424028e-18,4.95671374399e-44,0.0,1.86300192842e-201,9.64246277371e-67,2.44621672853e-82,6.09470579266e-88,4.12141267023e-114,1.2752548699e-45,1.05138552243e-32,6.64988519136e-233,1.60052541894e-59,1.71573551447e-72,4.17228804548e-105,0.0,0.0,0.0,0.0,8.04218898655e-119,5.0719084603e-188,0.0,1.69851223959e-198,5.01361248728e-171,1.67743079205e-181,0.0,3.33129417693e-83,0.0,1.16707505702e-28,5.13588555784e-125,1.59003367725e-104,2.67153424039e-18,2.49127662639e-16,-136.799968
4.918829003e-87,1.93348861163e-48,0.0,0.0,3.30555939397e-61,7.69151940306e-265,3.03804384576e-18,6.83644980579e-44,0.0,1.24161421008e-200,1.77062720128e-66,5.03710685533e-82,1.25276514466e-87,1.03556306311e-113,1.82711148041e-45,1.32566083106e-32,4.08477392456e-232,2.52709660322e-59,2.74050218846e-72,9.42353646078e-105,0.0,0.0,0.0,0.0,1.70504274001e-118,1.80189100625e-187,0.0,6.25237020635e-198,2.0305673629e-170,6.46346308066e-181,0.0,6.32040768581e-83,0.0,1.37882760915e-28,1.43665305705e-124,3.15608351563e-104,3.0380438459e-18,2.77593687292e-16,-136.6399664
9.49718750321e-87,2.68974079965e-48,0.0,0.0,5.68817058609e-61,6.40281230123e-264,3.45400804077e-18,9.42381985779e-44,0.0,8.24222144697e-200,3.24724387287e-66,1.03571683352e-81,2.57161820333e-87,2.59767355633e-113,2.61604951404e-45,1.67081796104e-32,2.50129379335e-231,3.98681954752e-59,4.37432381828e-72,2.12539816035e-104,0.0,0.0,0.0,0.0,3.61104589721e-118,6.38944710771e-187,0.0,2.297197526e-197,8.20315745211e-170,2.48496808755e-180,0.0,1.19782849512e-82,0.0,1.62860780999e-28,4.01112425519e-124,6.25823784737e-104,3.45400804093e-18,3.09256582437e-16,-136.4799648
1.83163140331e-86,3.73980991665e-48,0.0,0.0,9.77727207259e-61,5.31017309737e-263,3.92598526517e-18,1.2983233782e-43,0.0,5.44986968124e-199,5.94773066099e-66,2.12654484051e-81,5.27185230771e-87,6.505342515e-113,3.74317154042e-45,2.1050001188e-32,1.52687747539e-230,6.28458754987e-59,6.97738471588e-72,4.78688990157e-104,0.0,0.0,0.0,0.0,7.63954494575e-118,2.26139116942e-186,0.0,8.42421894584e-197,3.30553455371e-169,9.5325971719e-180,0.0,2.26757483679e-82,0.0,1.92317326822e-28,1.11778423649e-123,1.23970129895e-103,3.92598526537e-18,3.44468927639e-16,-136.3199632
3.52850657207e-86,5.19707414733e-48,0.0,0.0,1.67872759581e-60,4.38758822659e-262,4.46138805897e-18,1.78771520588e-43,0.0,3.58932009655e-198,1.08801853637e-65,4.35995185304e-81,1.07929432236e-86,1.62642235265e-112,5.35237283968e-45,2.65094912325e-32,9.29151375042e-230,9.89856978669e-59,1.11218074937e-71,1.07659741005e-103,0.0,0.0,0.0,0.0,1.6145024764e-117,7.98850948774e-186,0.0,3.08346201136e-196,1.32861564754e-168,3.64868648533e-179,0.0,4.28791392315e-82,0.0,2.27046950316e-28,3.10904849763e-123,2.45325934352e-103,4.4613880592e-18,3.83621454963e-16,-136.1599616
6.78974652838e-86,7.21836075301e-48,0.0,0.0,2.87912287286e-60,3.61178860563e-261,5.06859218928e-18,2.46021661066e-43,0.0,2.35462905167e-197,1.98778728642e-65,8.92611506353e-81,2.20666529103e-86,4.05951427997e-112,7.64831636227e-45,3.33715931166e-32,5.63652661567e-229,1.55780676197e-58,1.77157295484e-71,2.41790913456e-103,0.0,0.0,0.0,0.0,3.40836960681e-117,2.81665379463e-185,0.0,1.12648447209e-195,5.32664841831e-168,1.39346715634e-178,0.0,8.09930827153e-82,0.0,2.67983645329e-28,8.63126922584e-123,4.84988321201e-103,5.06859218955e-18,4.27147095419e-16,-135.99996
