0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,8.98413014387e-15,3.10238108882e-33,0.0,1.09993419264e-303,4.04823524468e-61,1.51003446157e-32,1.59001860053e-62,7.47940149981e-190,1.71200381694e-309,0.0,3.21603722244e-51,0.0,0.0,8.98413014387e-15,2.45391306418e-41,-140.0
0.0,9.70766809813e-15,3.85183050661e-33,0.0,1.50218844627e-302,6.2219605628e-61,1.86439355357e-32,2.42977713372e-62,2.73843209588e-189,1.44897778451e-308,0.0,4.46359124776e-51,0.0,0.0,9.70766809813e-15,3.2222938455e-41,-139.8399984
0.0,1.04882349552e-14,4.78067109619e-33,0.0,2.04143054214e-301,9.55626226813e-61,2.30114353798e-32,3.7105948192e-62,1.00066724625e-188,1.22240443572e-307,0.0,6.1920959064e-51,0.0,0.0,1.04882349552e-14,4.229537054e-41,-139.6799968
0.0,1.13302240825e-14,5.93144129641e-33,0.0,2.760560533e-300,1.46672319595e-60,2.83926029462e-32,5.66282948273e-62,3.64947146539e-188,1.02793179416e-306,0.0,8.58580138061e-51,0.0,0.0,1.13302240825e-14,5.54935169517e-41,-139.5199952
0.0,1.2238359144e-14,7.35667009036e-33,0.0,3.71460310486e-299,2.24961165895e-60,3.50204797919e-32,8.63647047213e-62,1.32838156249e-187,8.61608297787e-306,0.0,1.18990943186e-50,0.0,0.0,1.2238359144e-14,7.27802240302e-41,-139.3599936
0.0,1.32177182906e-14,9.12120040571e-33,0.0,4.97370515207e-298,3.4479919384e-60,4.31811652162e-32,1.3162911397e-61,4.82578851015e-187,7.19865960949e-305,0.0,1.64830236861e-50,0.0,0.0,1.32177182906e-14,9.54127140849e-41,-139.199992
0.0,1.42737600729e-14,1.13050474249e-32,0.0,6.62674304423e-297,5.2810979573e-60,5.32257764755e-32,2.00484351832e-61,1.74971095197e-186,5.99500563438e-304,0.0,2.28217931473e-50,0.0,0.0,1.42737600729e-14,1.25031901142e-40,-139.0399904
0.0,1.54123511951e-14,1.40069136897e-32,0.0,8.78562579937e-296,8.08316601019e-60,6.55850776677e-32,3.0515596315e-61,6.33165021217e-186,4.9764969779e-303,0.0,3.15829398292e-50,0.0,0.0,1.54123511951e-14,1.63778595664e-40,-138.8799888
0.0,1.66397962373e-14,1.7348510363e-32,0.0,1.15903819648e-294,1.23634041807e-59,8.07873665432e-32,4.64168964132e-61,2.28675742586e-185,4.11769415122e-302,0.0,4.36862983485e-50,0.0,0.0,1.66397962373e-14,2.14444629413e-40,-138.7199872
0.0,1.79628694805e-14,2.14798676197e-32,0.0,1.52151161261e-293,1.88970464271e-59,9.94803372093e-32,7.05575015227e-61,8.24282084613e-185,3.39610116002e-301,0.0,6.03987357417e-50,0.0,0.0,1.79628694805e-14,2.80669311063e-40,-138.5599856
0.0,1.93888489798e-14,2.65858582239e-32,0.0,1.98749145553e-292,2.8863506243e-59,1.22457793227e-31,1.07182318278e-60,2.96540627788e-184,2.79192239621e-300,0.0,8.34642230734e-50,0.0,0.0,1.93888489798e-14,3.67194701825e-40,-138.399984
0.0,2.0925553039e-14,3.28942085632e-32,0.0,2.58337674099e-291,4.40558451462e-59,1.50692275865e-31,1.62710641075e-60,1.06474380945e-183,2.28782214129e-299,0.0,1.15282336056e-49,0.0,0.0,2.0925553039e-14,4.80197181903e-40,-138.2399824
0.0,2.25813792506e-14,4.06853327522e-32,0.0,3.34135559001e-290,6.71981444636e-59,1.85374903499e-31,2.46843458983e-60,3.81556295818e-183,1.86869045247e-298,0.0,1.5915309471e-49,0.0,0.0,2.25813792506e-14,6.27717925739e-40,-138.0799808
0.0,2.43653462761e-14,5.030440033e-32,0.0,4.30041257445e-289,1.02426025064e-58,2.27963999001e-31,3.74231334429e-60,1.36466075859e-182,1.52141840752e-297,0.0,2.19612630331e-49,0.0,0.0,2.43653462761e-14,8.20221554933e-40,-137.9199792
0.0,2.62871385536e-14,6.21761395203e-32,0.0,5.50744319038e-288,1.56013669129e-58,2.80244423015e-31,5.66984948908e-60,4.87128301273e-182,1.23468496012e-296,0.0,3.02893145679e-49,0.0,0.0,2.62871385536e-14,1.07132082825e-39,-137.7599776
0.0,2.83571541298e-14,7.68229896181e-32,0.0,7.01846930855e-287,2.37473020491e-58,3.44399945027e-31,8.58451511953e-60,1.73545996648e-181,9.98757011737e-296,0.0,4.1755288031e-49,0.0,0.0,2.83571541298e-14,1.39871631896e-39,-137.599976
0.0,3.05865558294e-14,9.48873521871e-32,0.0,8.89994371648e-286,3.61214516546e-58,4.23101486477e-31,1.29889147621e-59,6.17075660619e-181,8.05303740589e-295,0.0,5.7533848886e-49,0.0,0.0,3.05865558294e-14,1.82541434247e-39,-137.4399744
0.0,3.29873259876e-14,1.17158856743e-31,0.0,1.1230125024e-284,5.49054440868e-58,5.19614679518e-31,1.96400604953e-59,2.18985224576e-180,6.47225743743e-294,0.0,7.9236499135e-49,0.0,0.0,3.29873259876e-14,2.38130485996e-39,-137.2799728
0.0,3.55723249835e-14,1.44607758923e-31,0.0,1.41004962816e-283,8.33997819983e-58,6.37930923937e-31,2.96773851477e-59,7.75610693882e-180,5.18499141788e-293,0.0,1.09072944177e-48,0.0,0.0,3.55723249835e-14,3.10520488916e-39,-137.1199712
0.0,3.83553538332e-14,1.78425835671e-31,0.0,1.76171917575e-282,1.26594173017e-57,7.82927020354e-31,4.48147834395e-59,2.741734159e-179,4.14034463294e-292,0.0,1.50071664454e-48,0.0,0.0,3.83553538332e-14,4.04750363483e-39,-136.9599696
0.0,4.13512211129e-14,2.20076442256e-31,0.0,2.19023866128e-281,1.92026784863e-57,9.60559543074e-31,6.76285114929e-59,9.67296188824e-179,3.29549862314e-291,0.0,2.06381264411e-48,0.0,0.0,4.13512211129e-14,5.27358507733e-39,-136.799968
