0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
5.0849743290030976e-113,0.0,0.0,0.0,2.714243924067437e-46,6.065301736004841e-23,2.884194835156359e-266,1.2344158170030427e-76,6.065301736004841e-23,5.42364919972598e-27,-140.0
1.0773946055131493e-112,0.0,0.0,0.0,3.785249915270784e-46,7.206345281561279e-23,1.849309973180638e-265,2.0506425911386726e-76,7.206345281561279e-23,6.489611546367666e-27,-139.839998399984
2.280227975347446e-112,0.0,0.0,0.0,5.2759393912555796e-46,8.559288407134835e-23,1.1823865409749996e-264,3.4039998244896784e-76,8.559288407134835e-23,7.762893297704454e-27,-139.679996799968
4.820578765452448e-112,0.0,0.0,0.0,7.349615048516895e-46,1.0162959412968923e-22,7.538308246140689e-264,5.646250539743112e-76,1.0162959412968923e-22,9.283384466849993e-27,-139.519995199952
1.0179759976110225e-111,0.0,0.0,0.0,1.023266939195495e-45,1.2063203649125049e-22,4.792398850574345e-263,9.358404685791916e-76,1.2063203649125049e-22,1.1098565825594686e-26,-139.359993599936
2.1473030142219054e-111,0.0,0.0,0.0,1.4238782237788957e-45,1.4314133571184702e-22,3.0380622433804514e-262,1.5499388284711522e-75,1.4314133571184702e-22,1.3264937025871756e-26,-139.19999199992
4.524458096198972e-111,0.0,0.0,0.0,1.9802330697931344e-45,1.6979598194881099e-22,1.9204589485999174e-261,2.565064884194964e-75,1.6979598194881099e-22,1.584971027769461e-26,-139.03999039990399
9.522637401597611e-111,0.0,0.0,0.0,2.752449281146004e-45,2.0134909864550308e-22,1.2105369152918285e-260,4.2418295436607056e-75,2.0134909864550308e-22,1.8932818370409145e-26,-138.879988799888
2.0020059607269003e-110,0.0,0.0,0.0,3.823683143783284e-45,2.3868872697500105e-22,7.608791721170228e-260,7.009372336687665e-75,2.3868872697500105e-22,2.260929467596821e-26,-138.719987199872
4.2042731628358026e-110,0.0,0.0,0.0,5.308893623914049e-45,2.8286164591531612e-22,4.7688976668092044e-259,1.1573803596119096e-74,2.8286164591531612e-22,2.6992093210261527e-26,-138.559985599856
8.819296138776596e-110,0.0,0.0,0.0,7.366915788849342e-45,3.3510133463033393e-22,2.980471402354063e-258,1.909607653331307e-74,3.3510133463033393e-22,3.2215429131626633e-26,-138.39998399984
1.847967661411034e-109,0.0,0.0,0.0,1.0217083505753227e-44,3.968607862394628e-22,1.8574475698318508e-257,3.1483517297729364e-74,3.968607862394628e-22,3.843873455355164e-26,-138.239982399824
3.867873386010938e-109,0.0,0.0,0.0,1.4162102579839882e-44,4.698510014603948e-22,1.1542843758837155e-256,5.186727171900195e-74,4.698510014603948e-22,4.58513416275498e-26,-138.079980799808
8.086629991127774e-109,0.0,0.0,0.0,1.961950671659165e-44,5.560861297756078e-22,7.152761089953607e-256,8.538363177205685e-74,5.560861297756078e-22,5.467802496569775e-26,-137.919979199792
1.688808227566782e-108,0.0,0.0,0.0,2.716489229362574e-44,6.579363879140432e-22,4.41976593533866e-255,1.4045166859720172e-73,6.579363879140432e-22,6.518555915216154e-26,-137.759977599776
3.522982947092566e-108,0.0,0.0,0.0,3.759130877046453e-44,7.781900742828393e-22,2.7232622760526835e-254,2.3086082484391997e-73,7.781900742828393e-22,7.769047496308081e-26,-137.59997599976
7.341050080100678e-108,0.0,0.0,0.0,5.199079525151374e-44,9.201262178461687e-22,1.6731863716341793e-253,3.791793198963317e-73,9.201262178461687e-22,9.256823070592077e-26,-137.439974399744
1.5279997160776474e-107,0.0,0.0,0.0,7.186625763327674e-44,1.0875996558319877e-21,1.0250942932264891e-252,6.223147631467066e-73,1.0875996558319877e-21,1.1026405365985677e-25,-137.279972799728
3.1769165068611506e-107,0.0,0.0,0.0,9.928488905247633e-44,1.285140632349154e-21,6.262503214472541e-252,1.0205789928443329e-72,1.285140632349154e-21,1.3130575195292572e-25,-137.11997119971198
6.597900620476636e-107,0.0,0.0,0.0,1.3708844020112345e-43,1.5180713562217733e-21,3.8150194511474645e-251,1.6724540940770404e-72,1.5180713562217733e-21,1.5631885052557372e-25,-136.959969599696
