1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Aiba 2014,7-Akai 2000,8-Albert 2008,9-Amin 2005,11-Bankston 2007a,12-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Beckermann 2014,16-Bezzina 2003,17-Calloe 2011,18-Casini 2007,19-Chang 2004,20-Chen 2016,21-Cordeiro 2006,22-Crotti 2012a,23-Deschenes 2000,24-Detta 2014,25-Ellinor 2008,26-Ge 2008,27-Gosselin-Badaroudine 2012,28-Groenewegen 2003a,29-Hayashi 2015,30-Hsueh 2009,31-Hu 2007,34-Huang 2009,35-Itoh 2005a,36-Itoh 2005b,38-Juang 2014a,39-Kato 2014,40-Keller 2005,41-Keller 2006,42-Lin 2008,44-Lupoglazoff 2001,45-Makita 2002,46-Makita 2005,47-Makita 2008,48-Makiyama 2008,49-Marangoni 2011,50-Mohler 2004,51-Mok 2003,52-Moreau 2013,53-Nakajima 2015,54-Neu 2010,55-Nguyen 2008,56-Otagiri 2008,57-Rivolta 2001,58-Rossenbacker 2004,59-Ruan 2007,60-Ruan 2010,61-Saber 2015,62-Samani 2009,63-Shuraih 2007,64-Smits 2005a,65-Smits 2005b,66-Sottas 2013,67-Swan 2014,68-Tan 2001,69-Viswanathan 2003,70-Wang 2002,71-Wang 2007a,72-Wang 2007b,73-Wang 2008,74-Wang 2016,75-Wedekind 2001,76-Wehrens 2003,78-Yang 2002,79-Zeng 2013,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,1.99328036283e-93,0.0,0.0,8.78777310759e-52,0.0,8.63019057178e-135,1.0057735971e-31,2.48785233611e-119,0.0,8.13037802588e-34,0.0,2.52825031775e-152,1.50952201171e-66,8.04340734553e-285,0.0,1.022360592e-19,4.57164426378e-85,0.0,0.0,1.01625014676e-96,2.88258616002e-304,3.9573316924e-33,3.74378472285e-47,1.03469944913e-317,0.0,1.31363417128e-49,3.18470419298e-42,1.12381351617e-55,0.0,8.36593342897e-24,1.18803320848e-48,2.04625509776e-72,0.0,4.87145400031e-34,1.96553120158e-122,1.52080501373e-122,4.39827273824e-49,7.81407478256e-144,4.93421548428e-35,8.72287933545e-303,7.65546308069e-64,5.5639301115e-102,1.70610490508e-235,1.82824826037e-53,0.0,1.36818897261e-112,0.0,0.0,0.0,0.0,1.0051171521e-125,7.28427187793e-97,0.0,1.62551793781e-120,6.31252624347e-29,0.0,3.84181666582e-240,1.09783195916e-183,5.28964770519e-103,4.38713407041e-119,0.0,3.87187734729e-44,0.0,3.80171597917e-89,5.92027787123e-39,0.0,8.73382067082e-23,4.61797195131e-138,1.02331763404e-19,3.66184738566e-22,-140.0
0.0,0.0,0.0,0.0,0.0,3.94090775216e-93,0.0,0.0,1.23615133749e-51,0.0,1.99584891462e-134,1.25715262037e-31,6.2145030349e-119,0.0,1.00944523621e-33,0.0,7.45052839362e-152,2.65889286211e-66,7.24158914272e-284,0.0,1.1681997509e-19,9.11972668239e-85,0.0,0.0,1.95780640518e-96,3.93676972125e-303,4.88599689902e-33,5.22103436589e-47,1.11162398799e-316,0.0,1.91186665981e-49,4.23279946311e-42,1.65336939097e-55,0.0,9.93978659526e-24,1.6565495554e-48,3.85413274767e-72,0.0,6.19848274699e-34,5.04746950835e-122,3.95050428878e-122,6.3854728719e-49,2.28615242372e-143,6.27137787025e-35,8.21637862884e-302,1.22863080076e-63,1.22167541158e-101,9.21866096831e-235,2.75678722443e-53,0.0,3.17870810843e-112,0.0,0.0,0.0,0.0,2.17692172617e-125,1.40652308931e-96,0.0,3.92967373926e-120,7.63392437997e-29,0.0,1.81815132564e-239,4.67802298187e-183,1.10461895931e-102,1.1032940586e-118,0.0,5.29352042743e-44,0.0,7.37501582553e-89,7.70865633069e-39,0.0,1.02467640474e-22,1.17874059303e-137,1.16932382594e-19,4.26031657597e-22,-139.8399984
0.0,0.0,0.0,0.0,0.0,7.78276525258e-93,0.0,0.0,1.73793983139e-51,0.0,4.61029671808e-134,1.57075522635e-31,1.54989366434e-118,0.0,1.25286552866e-33,0.0,2.19186028205e-151,4.67820950484e-66,6.4954160735e-283,0.0,1.3345232118e-19,1.81691792044e-84,0.0,0.0,3.76792734704e-96,5.34995590354e-302,6.03058306506e-33,7.27715778104e-47,1.18961642998e-315,0.0,2.78067129212e-49,5.6232660436e-42,2.43094657717e-55,0.0,1.18059150443e-23,2.30858972476e-48,7.25006961818e-72,0.0,7.88372706434e-34,1.29407859353e-121,1.0244932751e-121,9.26439000099e-49,6.67664444723e-143,7.96772076047e-35,7.71103572126e-301,1.97022940941e-63,2.67877403649e-101,4.96788819638e-234,4.15384926935e-53,0.0,7.37465939945e-112,0.0,0.0,0.0,0.0,4.70983493343e-125,2.71311129897e-96,0.0,9.48617083745e-120,9.22901282103e-29,0.0,8.58535582671e-239,1.98831798323e-182,2.304000414e-102,2.77017220392e-118,0.0,7.23329550709e-44,0.0,1.42910350989e-88,1.00328984848e-38,0.0,1.20182032188e-22,3.00446751953e-137,1.3358430922e-19,4.95536266447e-22,-139.6799968
0.0,0.0,0.0,0.0,0.0,1.53525801957e-92,0.0,0.0,2.4421262762e-51,0.0,1.06371193379e-133,1.96183173743e-31,3.85932271163e-118,0.0,1.55444668458e-33,0.0,6.43720661912e-151,8.22197092598e-66,5.80442691188e-282,0.0,1.52416213768e-19,3.61520464275e-84,0.0,0.0,7.24434203182e-96,7.23457243131e-301,7.44082008246e-33,1.01374000669e-46,1.2681230955e-314,0.0,4.0415745803e-49,7.46709905244e-42,3.57199478293e-55,0.0,1.40178750524e-23,3.21555215945e-48,1.36209154806e-71,0.0,1.0022986778e-33,3.31238485182e-121,2.65242589228e-121,1.34323949122e-48,1.94642091827e-142,1.01188584344e-34,7.21035548702e-300,3.15687701586e-63,5.86573461336e-101,2.67003922529e-233,6.25428440247e-53,0.0,1.70851988526e-111,0.0,0.0,0.0,0.0,1.01790044146e-124,5.22815409424e-96,0.0,2.28662584261e-119,1.11538650009e-28,0.0,4.04502727177e-238,8.42958778536e-182,4.79995237e-102,6.94428233823e-118,0.0,9.8786235385e-44,0.0,2.76618903877e-88,1.30522472519e-38,0.0,1.40916774214e-22,7.64714123417e-137,1.52571148529e-19,5.76236757184e-22,-139.5199952
0.0,0.0,0.0,0.0,0.0,3.02509208498e-92,0.0,0.0,3.42982358196e-51,0.0,2.45139403377e-133,2.44933243031e-31,9.59475702541e-118,0.0,1.92795492023e-33,0.0,1.88729948152e-150,1.44340979266e-65,5.16762505439e-281,0.0,1.74033245807e-19,7.18413617266e-84,0.0,0.0,1.39142250947e-95,9.73482192999e-300,9.17778091097e-33,1.41140267475e-46,1.3465462865e-313,0.0,5.87030183773e-49,9.91100140102e-42,5.24536961844e-55,0.0,1.6638901585e-23,4.47642005978e-48,2.55575390264e-71,0.0,1.27374393018e-33,8.4647495691e-121,6.8557500871e-121,1.94626929615e-48,5.66422797669e-142,1.28456242312e-34,6.71757200356e-299,5.05410192166e-63,1.28266965455e-100,1.43121647895e-232,9.40987655545e-53,0.0,3.95261816333e-111,0.0,0.0,0.0,0.0,2.19756465871e-124,1.00644297814e-95,0.0,5.50388044946e-119,1.34759148138e-28,0.0,1.90160140804e-237,3.56470703182e-181,9.98793295245e-102,1.7380132681e-117,0.0,1.34842027923e-43,0.0,5.34832102434e-88,1.69728708563e-38,0.0,1.6517951432e-22,1.94362749221e-136,1.74215064358e-19,6.69913009943e-22,-139.3599936
0.0,0.0,0.0,0.0,0.0,5.95395578499e-92,0.0,0.0,4.81443949967e-51,0.0,5.64281947933e-133,3.05679591085e-31,2.38160953878e-117,0.0,2.3903835546e-33,0.0,5.52386404776e-150,2.53116699557e-65,4.58354943945e-280,0.0,1.98668624726e-19,1.42580560338e-83,0.0,0.0,2.669824747e-95,1.30345376399e-298,1.1316443298e-32,1.96396996383e-46,1.42425114619e-312,0.0,8.5207761862e-49,1.31487814382e-41,7.69788212255e-55,0.0,1.9743632512e-23,6.22834386831e-48,4.78939195651e-71,0.0,1.61802970541e-33,2.15963633427e-120,1.76906695139e-120,2.81815754854e-48,1.64539484939e-141,1.63006598831e-34,6.23562047929e-298,8.08492126789e-63,2.80100130831e-100,7.65129369518e-232,1.41471719858e-52,0.0,9.13138049058e-111,0.0,0.0,0.0,0.0,4.73930615711e-124,1.93548582128e-95,0.0,1.32285607247e-118,1.62762318997e-28,0.0,8.91974437592e-237,1.50362090714e-180,2.07586269402e-101,4.34294090725e-117,0.0,1.8395971499e-43,0.0,1.03292911565e-87,2.20615723521e-38,0.0,1.93561963418e-22,4.93297915245e-136,1.98881930485e-19,7.78624037793e-22,-139.199992
0.0,0.0,0.0,0.0,0.0,1.17052957806e-91,0.0,0.0,6.75444968617e-51,0.0,1.29739771274e-132,3.81344852714e-31,5.9022939486e-117,0.0,2.96270208377e-33,0.0,1.61400148959e-149,4.43373152199e-65,4.05034597745e-279,0.0,2.26736983733e-19,2.82611721555e-83,0.0,0.0,5.11764474896e-95,1.73666369435e-297,1.39488241798e-32,2.73135595834e-46,1.50057354435e-311,0.0,1.23596671242e-48,1.74363596855e-41,1.12900611959e-54,0.0,2.34201354412e-23,8.66125460257e-48,8.96376251096e-71,0.0,2.0545194013e-33,5.50098327562e-120,4.55733688272e-120,4.07793654127e-48,4.77117108279e-141,2.06767100117e-34,5.76711631304e-297,1.29226940151e-62,6.10826519738e-100,4.07949378258e-231,2.12537098531e-52,0.0,2.10656454518e-110,0.0,0.0,0.0,0.0,1.02099734049e-123,3.71835490524e-95,0.0,3.17486978205e-118,1.96522472587e-28,0.0,4.1746513272e-236,6.32630136496e-180,4.30929221979e-101,1.08347742673e-116,0.0,2.5083538015e-43,0.0,1.99269583118e-87,2.86634695016e-38,0.0,2.2675360215e-22,1.25022405606e-135,2.26987157668e-19,9.04751148867e-22,-139.0399904
0.0,0.0,0.0,0.0,0.0,2.29862941919e-91,0.0,0.0,9.47118880763e-51,0.0,2.97950444712e-132,4.75556440783e-31,1.46044364057e-116,0.0,3.67077738074e-33,0.0,4.70786141865e-149,7.75774365834e-65,3.56583793162e-278,0.0,2.58708953195e-19,5.59453655655e-83,0.0,0.0,9.79988924802e-95,2.30243986466e-296,1.71878134577e-32,3.7964817671e-46,1.5748290228e-310,0.0,1.79160918987e-48,2.31115182288e-41,1.65482172917e-54,0.0,2.77722894683e-23,1.20380322492e-47,1.67551729922e-70,0.0,2.60767459561e-33,1.39892106905e-119,1.17207545021e-119,5.89696452656e-48,1.38103693303e-140,2.62170587091e-34,5.31434124026e-296,2.06383890082e-62,1.33023551277e-99,2.16929960249e-230,3.19065075069e-52,0.0,4.8528833787e-110,0.0,0.0,0.0,0.0,2.1972081442e-123,7.13627717827e-95,0.0,7.60867367307e-118,2.37210172385e-28,0.0,1.94949843233e-235,2.65496258427e-179,8.93506223366e-101,2.69873927887e-116,0.0,3.41840465677e-43,0.0,3.83997985616e-87,3.72247845992e-38,0.0,2.65557586615e-22,3.16408940487e-135,2.59002283309e-19,1.05104768555e-21,-138.8799888
0.0,0.0,0.0,0.0,0.0,4.50884504722e-91,0.0,0.0,1.32736176531e-50,0.0,6.83453366337e-132,5.92814723304e-31,3.60796622212e-116,0.0,4.54650616408e-33,0.0,1.37088870702e-148,1.35587264655e-64,3.12759388877e-277,0.0,2.95118589575e-19,1.10606882917e-82,0.0,0.0,1.87471757774e-94,3.03747941146e-295,2.11718615768e-32,5.27404571556e-46,1.64632264172e-309,0.0,2.59530664875e-48,3.06198794265e-41,2.42401896494e-54,0.0,3.2922583031e-23,1.67223255493e-47,3.12792336341e-70,0.0,3.30838420275e-33,3.55172461456e-119,3.0093837956e-119,8.5217624685e-48,3.99035049471e-140,3.32286559508e-34,4.87923635043e-295,3.29339630451e-62,2.89297894332e-99,1.15046829833e-229,4.7863361604e-52,0.0,1.11637908738e-109,0.0,0.0,0.0,0.0,4.72339790553e-123,1.36820951351e-94,0.0,1.82079779047e-117,2.86231309426e-28,0.0,9.08365129297e-235,1.11138349142e-178,1.85043371881e-100,6.71130702939e-116,0.0,4.65614784797e-43,0.0,7.39152960958e-87,4.8322207939e-38,0.0,3.10909200171e-22,7.99635315461e-135,2.95462421645e-19,1.22069632773e-21,-138.7199872
0.0,0.0,0.0,0.0,0.0,8.83428572356e-91,0.0,0.0,1.8592782925e-50,0.0,1.56591316341e-131,7.38700901235e-31,8.89925841355e-116,0.0,5.62920668653e-33,0.0,3.98510268622e-148,2.36711749169e-64,2.73299217381e-276,0.0,3.36571771666e-19,2.18395800268e-82,0.0,0.0,3.5827308779e-94,3.98740974339e-294,2.60707090617e-32,7.32261189505e-46,1.71435954144e-308,0.0,3.75701533701e-48,4.0549062751e-41,3.54854805762e-54,0.0,3.90153994366e-23,2.3216904759e-47,5.83192466256e-70,0.0,4.19563668369e-33,9.00281957461e-119,7.71395603198e-119,1.23067447058e-47,1.15091232797e-139,4.20986202381e-34,4.46340160708e-294,5.25118913006e-62,6.28301488436e-99,6.0851548395e-229,7.17474603452e-52,0.0,2.56454476089e-109,0.0,0.0,0.0,0.0,1.0143191118e-122,2.62055649594e-94,0.0,4.35095103703e-117,3.45273863416e-28,0.0,4.2231149187e-234,4.64051825742e-178,3.82766394045e-100,1.66631997211e-115,0.0,6.33867763518e-43,0.0,1.4212063417e-86,6.27007140612e-38,0.0,3.63897252059e-22,2.017983033e-134,3.36974684663e-19,1.41737509307e-21,-138.5599856
