0-Abe 2014,4-Bebarova 2008,5-Beyder 2010,6-Beyder 2014,7-Bezzina 2003,8-Calloe 2011,9-Calloe 2013,10-Cheng 2010,11-Cheng 2010,12-Cheng 2010,13-Cheng 2010,14-Cheng 2011,15-Cheng 2011,16-Clatot 2012,18-Groenewegen 2003a,19-Groenewegen 2003b,20-Guetter 2013,21-Guetter 2013,22-Gui 2010a,23-Gui 2010a,24-Gui 2010b,25-Holst 2009,27-Hu 2015,28-Hu 2015,29-Huang 2006,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Kapplinger 2015,35-Kapplinger 2015,36-Kapplinger 2015,37-Kapplinger 2015,38-Kapplinger 2015,39-Kapplinger 2015,40-Kapplinger 2015,41-Kapplinger 2015,42-Kapplinger 2015,43-Kapplinger 2015,44-Kapplinger 2015,45-Kapplinger 2015,46-Kapplinger 2015,47-Kapplinger 2015,48-Kapplinger 2015,49-Kapplinger 2015,50-Kapplinger 2015,51-Kapplinger 2015,52-Kapplinger 2015,53-Kapplinger 2015,54-Kapplinger 2015,55-Kapplinger 2015,56-Kapplinger 2015,57-Li 2009,58-Liu 2003a,61-Medeiros-Domingo 2007,62-Medeiros-Domingo 2009,63-Murphy 2012,65-Olesen 2012,66-Pfahnl 2007,68-Rook 1999,72-Shirai 2002,73-Shy 2014,74-Splawski 2002,75-Surber 2008,76-Surber 2008,77-Tan 2002,78-Tan 2005,79-Tan 2005,80-Tan 2005,81-Tan 2005,82-Tan 2005,83-Tan 2005,84-Tan 2005,85-Tan 2005,86-Tan 2005,87-Tan 2005,88-Tan 2005,89-Tan 2005,90-Tan 2005,91-Tan 2005,92-Tan 2005,93-Tan 2006,94-Tan 2006,95-Tarradas 2013,96-Tester 2010,97-Tsurugi 2009,98-Valdivia 2004,100-Vatta 2002b,101-Wang 1996,103-Wang 2015,104-Watanabe 2011b,105-Watanabe 2011b,107-Winkel 2012,108-Ye 2003,109-Ye 2003,110-Yokoi 2005,111-Young 2005,112-Zhang 2008,113-Zhang 2015,sum,gauss,x
2.38246400462e-55,4.86988762554e-114,6.64234467395e-10,3.44651159986e-165,1.63478186177e-15,0.0,0.0,5.92777272395e-250,5.84470722418e-223,6.65152139545e-189,0.0,1.6713928285e-201,2.57263487001e-74,1.64775848291e-49,7.36630196159e-62,2.89325012707e-63,1.46222622554e-172,1.36097648999e-190,4.97136275131e-217,3.11521843784e-310,0.0,0.0,8.73133094599e-144,1.80901570944e-32,9.93915667122e-219,0.0,0.0,0.0,2.74714436939e-195,4.74893573679e-94,5.92475687876e-118,3.17046464018e-94,1.62635727175e-220,0.0,2.99470302084e-79,2.29037100041e-112,3.58322662315e-52,5.98148624237e-98,1.46942937467e-75,3.17046464018e-94,2.60630413916e-58,3.58322662315e-52,6.13250049279e-229,1.29037988157e-194,2.52859345156e-90,2.413832577e-131,4.74893573679e-94,1.46942937467e-75,1.16638985352e-237,4.74893573679e-94,1.52023625477e-142,6.19847106336e-97,3.51680957271e-89,9.28347923797e-95,2.15595427431e-249,2.37414552855e-187,3.14690274809e-20,4.64484180737e-77,0.0,0.0,1.17809958636e-314,1.21408827146e-199,1.99880153366e-210,5.85200707675e-52,9.26189205107e-187,5.32325696069e-263,1.96960627616e-96,2.86863751138e-98,8.62750069969e-251,1.35058416e-188,0.0,3.21084765979e-28,0.0,1.14293408765e-142,1.14293408765e-142,6.39279630705e-137,4.67978854873e-34,0.0,6.98056007263e-185,6.2367910679e-72,0.0,3.12215841563e-167,6.14621683852e-82,0.0,1.44653056149e-134,7.38704893886e-194,1.07631549747e-38,0.0,2.65858846153e-47,0.0,2.76219776711e-267,3.22743712471e-99,1.44482351988e-30,1.99100843531e-12,5.61806323925e-11,1.46590269963e-134,1.18220189976e-77,0.0,5.21644147824e-111,7.22407743037e-10,3.3131118149e-35,-140.0
3.64026514362e-55,1.03182244742e-113,6.88032140327e-10,1.47342851748e-164,1.766439207e-15,0.0,0.0,3.19058815295e-249,2.56898382814e-222,2.43224982358e-188,0.0,6.92253906411e-201,4.29982423939e-74,2.34190218635e-49,1.13216840249e-61,4.42130236622e-63,4.81197860723e-172,4.98294108429e-190,2.21428687252e-216,2.63660762065e-309,0.0,0.0,2.47173834383e-143,2.2348017547e-32,7.16866388813e-218,0.0,0.0,0.0,1.08212196967e-194,9.05736718793e-94,1.30421259298e-117,6.05063995441e-94,7.46001878109e-220,0.0,5.09238156126e-79,4.94532759981e-112,4.95386063845e-52,1.15668345241e-97,2.4232802719e-75,6.05063995441e-94,3.81561029454e-58,4.95386063845e-52,3.08677947894e-228,5.21251110776e-194,4.73486596398e-90,5.99636368046e-131,9.05736718793e-94,2.4232802719e-75,6.29786838638e-237,9.05736718793e-94,4.06245234773e-142,1.1966463734e-96,7.45353522375e-89,1.95987966561e-94,1.40973464009e-248,9.01514617776e-187,3.60039613936e-20,7.52196764821e-77,0.0,0.0,1.49419831785e-313,4.47975598668e-199,7.64174712129e-210,8.12209740215e-52,3.67701936403e-186,3.61571132596e-262,3.85989656191e-96,5.6593590197e-98,5.50961528304e-250,5.33580533644e-188,0.0,3.82561682165e-28,0.0,3.13556318144e-142,3.13556318144e-142,1.73634155243e-136,5.8433226978e-34,0.0,2.71979809892e-184,1.02786691365e-71,0.0,1.13643574197e-166,1.11866122459e-81,0.0,3.85117292289e-134,2.97573327084e-193,1.39747388806e-38,0.0,3.69710217083e-47,0.0,1.77108696554e-266,6.91604958718e-99,1.7152159902e-30,2.11706495696e-12,5.8861219216e-11,4.25881418575e-134,1.96390351905e-77,0.0,1.05654555755e-110,7.49012190975e-10,4.20286163117e-35,-139.8399984
5.55789399939e-55,2.18377778964e-113,7.12644877435e-10,6.28120613999e-164,1.90847371891e-15,0.0,0.0,1.7130269463e-248,1.12671624941e-221,8.87641269639e-188,0.0,2.86079789646e-200,7.18071143114e-74,3.32650725916e-49,1.73888890434e-61,6.7519203414e-63,1.58067711213e-171,1.82084702431e-189,9.84024223548e-216,2.22432730522e-308,0.0,0.0,6.98543672034e-143,2.75986087252e-32,5.1500463157e-217,0.0,0.0,0.0,4.25348036134e-194,1.72572387602e-93,2.8675534057e-117,1.15356842239e-93,3.4139184597e-219,0.0,8.65237145249e-79,1.06651903728e-111,6.8455440909e-52,2.23451661592e-97,3.99327435434e-75,1.15356842239e-93,5.58277653531e-58,6.8455440909e-52,1.54980533437e-227,2.10092856266e-193,8.85742387451e-90,1.48749739877e-130,1.72572387602e-93,3.99327435434e-75,3.39152370971e-236,1.72572387602e-93,1.08394586947e-141,2.3078548644e-96,1.57742748008e-88,4.13207273363e-94,9.18920625901e-248,3.41604147288e-186,4.1182448729e-20,1.21728692943e-76,0.0,0.0,1.88657297034e-312,1.64981825298e-198,2.91603881732e-209,1.12673413141e-51,1.45650399957e-185,2.44835140598e-261,7.55629069073e-96,1.1153099111e-97,3.5078562461e-249,2.10335793412e-187,1.97626258336e-323,4.55681509815e-28,0.0,8.58845494622e-142,8.58845494622e-142,4.70836783077e-136,7.29355214925e-34,0.0,1.05734799174e-183,1.69264208705e-71,0.0,4.12733495222e-166,2.03401891896e-81,0.0,1.02367840155e-133,1.19605708252e-192,1.81368769839e-38,0.0,5.13848248169e-47,0.0,1.13237338322e-265,1.48007635774e-98,2.03572068357e-30,2.25087197709e-12,6.16651041281e-11,1.23495146639e-133,3.26001579361e-77,0.0,2.13778256509e-110,7.76562762055e-10,5.32957917315e-35,-139.6799968
8.47926239671e-55,4.61667559341e-113,7.38099196421e-10,2.67006399638e-163,2.06168482906e-15,0.0,0.0,9.17427772351e-248,4.93085604052e-221,3.23302385083e-187,0.0,1.17962460395e-199,1.19819765056e-73,4.72229078885e-49,2.66889775481e-61,1.03042707268e-62,5.18290203002e-171,6.64069827701e-189,4.36305981087e-215,1.87045849217e-307,0.0,0.0,1.97085037253e-142,3.40711580681e-32,3.68526129163e-216,0.0,0.0,0.0,1.66834604514e-193,3.28476490882e-93,6.29738015268e-117,2.1970961297e-93,1.55867519881e-218,0.0,1.4689141589e-78,2.29734634007e-111,9.45511548302e-52,4.31237287584e-97,6.57544613386e-75,2.1970961297e-93,8.16363899719e-58,9.45511548302e-52,7.76161743421e-227,8.44910017561e-193,1.65530575949e-89,3.68478280514e-130,3.28476490882e-93,6.57544613386e-75,1.82157712644e-235,3.28476490882e-93,2.8878127559e-141,4.44644138843e-96,3.33357426937e-88,8.70014361957e-94,5.97119742786e-247,1.29169036847e-185,4.70943664604e-20,1.96859066051e-76,0.0,0.0,2.37125411498e-311,6.06450698522e-198,1.11063560101e-208,1.56230065026e-51,5.75634756652e-185,1.65278908191e-260,1.47767317882e-95,2.19563740418e-97,2.22662223437e-248,8.27296663644e-187,2.02566914795e-322,5.42624645634e-28,0.0,2.34865724644e-141,2.34865724644e-141,1.2746664137e-135,9.10047152777e-34,0.0,4.10141868365e-183,2.78513301461e-71,0.0,1.4956481159e-165,3.69468220059e-81,0.0,2.71668431912e-133,4.79672361483e-192,2.35285958647e-38,0.0,7.13791543461e-47,0.0,7.21944923812e-265,3.16326706171e-98,2.41553269503e-30,2.39289108956e-12,6.45977319973e-11,3.57428138339e-133,5.40742270366e-77,0.0,4.32115900339e-110,8.0509188124e-10,6.75584335774e-35,-139.5199952
1.2926366445e-54,9.74917156531e-113,7.64422427508e-10,1.13178763177e-162,2.2269320709e-15,0.0,0.0,4.90110281721e-247,2.15320146603e-220,1.17522886123e-186,0.0,4.85328000892e-199,1.99771565054e-73,6.69979485643e-49,4.0934673443e-61,1.57152056476e-62,1.69634113034e-170,2.41716676974e-188,1.93014535681e-214,1.56781078927e-306,0.0,0.0,5.55114750669e-142,4.20473007852e-32,2.62669514099e-215,0.0,0.0,0.0,6.52982176225e-193,6.24598488088e-93,1.38131770191e-116,4.18040549881e-93,7.09982042577e-218,0.0,2.49175145666e-78,4.94275004952e-111,1.30533018718e-51,8.3140508134e-97,1.08191183789e-74,4.18040549881e-93,1.19306650525e-57,1.30533018718e-51,3.87731288698e-226,3.39034984728e-192,3.09043833573e-89,9.11496493389e-130,6.24598488088e-93,1.08191183789e-74,9.75779524006e-235,6.24598488088e-93,7.68196964428e-141,8.5581139372e-96,7.03468259965e-88,1.82938367947e-93,3.86801067682e-246,4.87392265339e-185,5.3841935669e-20,3.18140416901e-76,0.0,0.0,2.96702846113e-310,2.22501297498e-197,4.22209043033e-208,2.16519832772e-51,2.26987477308e-184,1.11230733711e-259,2.88658843605e-95,4.31779901683e-97,1.4090796305e-247,3.24671556895e-186,2.27270197087e-321,6.45975124585e-28,0.0,6.412529228e-141,6.412529228e-141,3.44519362727e-135,1.13510040612e-33,0.0,1.58739551181e-182,4.57909132308e-71,0.0,5.40784235585e-165,6.70447669389e-81,0.0,7.19813399086e-133,1.91943038453e-191,3.05101406961e-38,0.0,9.90993959063e-47,0.0,4.5896876462e-264,6.75170271802e-98,2.86551713402e-30,2.54361043546e-12,6.76647773369e-11,1.03253608642e-132,8.9625583583e-77,0.0,8.72566182231e-110,8.34633042266e-10,8.56061669248e-35,-139.3599936
1.9690893571e-54,2.05647535281e-112,7.91642736598e-10,4.78379835708e-162,2.40513948145e-15,0.0,0.0,2.61174027312e-246,9.38213307435e-220,4.26361621568e-186,0.0,1.9923322122e-198,3.32799832569e-73,9.49980763477e-49,6.27407950483e-61,2.39516663888e-62,5.5419645432e-170,8.78116345023e-188,8.51926914905e-214,1.30989177252e-305,0.0,0.0,1.56092093188e-141,5.18729405952e-32,1.86481300937e-214,0.0,0.0,0.0,2.55029256222e-192,1.18648217014e-92,3.02630373697e-116,7.94605218743e-93,3.2264754257e-217,0.0,4.22337910672e-78,1.06217271407e-110,1.80122764644e-51,1.6012999669e-96,1.77880808226e-74,7.94605218743e-93,1.74258041821e-57,1.80122764644e-51,1.93202614357e-225,1.35741752707e-191,5.76411978424e-89,2.25157044641e-129,1.18648217014e-92,1.77880808226e-74,5.21323457012e-234,1.18648217014e-92,2.04041385392e-140,1.64552683846e-95,1.48235600759e-87,3.84151994734e-93,2.49779447323e-245,1.83520155907e-184,6.15413875801e-20,5.13787146515e-76,0.0,0.0,3.6957658834e-309,8.14792918725e-197,1.60199487436e-207,2.9993051879e-51,8.93051183471e-184,7.46269772885e-259,5.63284872035e-95,8.48205274619e-97,8.89014354692e-247,1.27134112638e-185,2.50985348087e-320,7.68794458034e-28,0.0,1.74801110741e-140,1.74801110741e-140,9.2965468299e-135,1.41530566159e-33,0.0,6.13014959031e-182,7.52255247635e-71,0.0,1.95098306488e-164,1.21539761372e-80,0.0,1.90417032276e-132,7.66363685497e-191,3.95464139376e-38,0.0,1.37509817706e-46,0.0,2.90955681728e-263,1.4391845204e-97,3.39850925951e-30,2.70354617182e-12,7.08721534923e-11,2.9771409024e-132,1.48437876629e-76,0.0,1.76018340028e-109,8.65220841463e-10,1.08434968846e-34,-139.199992
2.99726373645e-54,4.33308037944e-112,8.1978914904e-10,2.01625489974e-161,2.59730031653e-15,0.0,0.0,1.38829065582e-245,4.07918205571e-219,1.54374612139e-185,0.0,8.16061795889e-198,5.5395788072e-73,1.34620948095e-48,9.60965949134e-61,3.64807918736e-62,1.80727670735e-169,3.1838315806e-187,3.75170027109e-213,1.09087093746e-304,0.0,0.0,4.38175473159e-141,6.39727669152e-32,1.31869738271e-213,0.0,0.0,0.0,9.93921690165e-192,2.25156845414e-92,6.6224200075e-116,1.5088569486e-92,1.46284602888e-216,0.0,7.15257558496e-78,2.27984828664e-110,2.48434270712e-51,3.0810331162e-96,2.92238135519e-74,1.5088569486e-92,2.54371423378e-57,2.48434270712e-51,9.60281768243e-225,5.4227211429e-191,1.07403138113e-88,5.55396969959e-129,2.25156845414e-92,2.92238135519e-74,2.77788499636e-233,2.25156845414e-92,5.4113554411e-140,3.16077287503e-95,3.11913496647e-87,8.05603415726e-93,1.60793518675e-244,6.89562810607e-184,7.03248503752e-20,8.29179561496e-76,0.0,0.0,4.58275159091e-308,2.97810218207e-196,6.06697721988e-207,4.15272852162e-51,3.50566461442e-183,4.99149433993e-258,1.09801443905e-94,1.66447109565e-96,5.59198826556e-246,4.96723641324e-185,2.76118467491e-319,9.14708814451e-28,0.0,4.75733936798e-140,4.75733936798e-140,2.50449760689e-134,1.76405365331e-33,0.0,2.36206518632e-181,1.23482014077e-70,0.0,7.02292221206e-164,2.20108883109e-80,0.0,5.02917528635e-132,3.05303899295e-190,5.1237119089e-38,0.0,1.90703865489e-46,0.0,1.83922644718e-262,3.06369382617e-97,4.02966797559e-30,2.8732440182e-12,7.42260221734e-11,8.56783690605e-132,2.45656652916e-76,0.0,3.54714448271e-109,8.96891012602e-10,1.37300618468e-34,-139.0399904
4.5588475209e-54,9.11984427926e-112,8.48891574004e-10,8.47388673973e-161,2.80448210095e-15,0.0,0.0,7.36113965575e-245,1.76969802636e-218,5.57847859284e-185,0.0,3.33517954539e-197,9.21328721242e-73,1.9065798818e-48,1.47083946554e-60,5.55271824406e-62,5.88296029993e-169,1.15212789176e-186,1.64841820825e-212,9.05539753361e-304,0.0,0.0,1.22796007591e-140,7.88680171321e-32,9.28836412885e-213,0.0,0.0,0.0,3.86534104782e-191,4.26847503588e-92,1.44745875838e-115,2.86225533048e-92,6.61695422962e-216,0.0,1.21035254364e-77,4.88766092828e-110,3.42490937748e-51,5.92220844701e-96,4.79750300865e-74,2.86225533048e-92,3.71100146148e-57,3.42490937748e-51,4.76088731747e-224,2.16150364964e-190,1.99927254868e-88,1.36807183404e-128,4.26847503588e-92,4.79750300865e-74,1.47629343119e-232,4.26847503588e-92,1.43296630821e-139,6.06517062773e-95,6.55374373624e-87,1.68717223266e-92,1.03186570946e-243,2.58552545475e-183,8.0342485478e-20,1.33725707987e-75,0.0,0.0,5.65701469213e-307,1.08644962532e-195,2.29330203874e-206,5.74693557945e-51,1.37304237944e-182,3.32835006221e-257,2.13808397253e-94,3.26278374578e-96,3.5067755558e-245,1.93643287357e-184,3.02579141286e-318,1.08801192329e-27,0.0,1.29267453465e-139,1.29267453465e-139,6.73613084354e-134,2.1979556096e-33,0.0,9.08129046621e-181,2.02532507901e-70,0.0,2.52241824106e-163,3.98219440324e-80,0.0,1.32615066739e-131,1.2135695382e-189,6.63555105098e-38,0.0,2.64331168869e-46,0.0,1.15933303939e-261,6.51328314867e-97,4.77689206947e-30,3.05328088499e-12,7.77328033436e-11,2.4610511667e-131,4.06240658611e-76,0.0,7.14103645102e-109,9.29680462795e-10,1.73785867087e-34,-138.8799888
6.92876364841e-54,1.91732414435e-111,8.78980829494e-10,3.55127679037e-160,3.0278320368e-15,0.0,0.0,3.89335456168e-244,7.66090051723e-218,2.01186010827e-184,0.0,1.36003558684e-196,1.53107580524e-72,2.69862099493e-48,2.24968567694e-60,8.44617109514e-62,1.91151425825e-168,4.16105900316e-186,7.22636916807e-212,7.49269167181e-303,0.0,0.0,3.43549604316e-140,9.71982015989e-32,6.51654735134e-212,0.0,0.0,0.0,1.50001967602e-190,8.08395686953e-92,3.15995535013e-115,5.42415797914e-92,2.98611756522e-215,0.0,2.04648403523e-77,1.04659946309e-109,4.71934082337e-51,1.13719427317e-95,7.86980907161e-74,5.42415797914e-92,5.4107970569e-57,4.71934082337e-51,2.35440220595e-223,8.59665615251e-190,3.71790333143e-88,3.36512907134e-128,8.08395686953e-92,7.86980907161e-74,7.82496749642e-232,8.08395686953e-92,3.78885528965e-139,1.16266385239e-94,1.37504965941e-86,3.52872206778e-92,6.6011655472e-243,9.6740589496e-183,9.17649056667e-20,2.1551732456e-75,0.0,0.0,6.95164236926e-306,3.95600876327e-195,8.65222492279e-206,7.94930249279e-51,5.36558503121e-182,2.21253981299e-256,4.15889741537e-94,6.38906145731e-96,2.19247137104e-244,7.53225379438e-184,3.30268111682e-317,1.29378650191e-27,0.0,3.50686759118e-139,3.50686759118e-139,1.80880329845e-133,2.73761029415e-33,0.0,3.48367905027e-180,3.31923754211e-70,0.0,9.03964177612e-163,7.1973569529e-80,0.0,3.4913555512e-131,4.81317734823e-189,8.5898184366e-38,0.0,3.6618482874e-46,0.0,7.28695136904e-261,1.38286654575e-96,5.66131020471e-30,3.24426658749e-12,8.13991854803e-11,7.05582411018e-131,6.71288651558e-76,0.0,1.43616730311e-108,9.63627309486e-10,2.19884817685e-34,-138.7199872
1.05226954347e-53,4.02643878324e-111,9.10088668006e-10,1.48405856513e-159,3.26858279454e-15,0.0,0.0,2.05407878395e-243,3.30913935817e-217,7.24138945386e-184,0.0,5.53370760636e-196,2.54227774774e-72,3.81744959221e-48,3.43856870342e-60,1.28388749778e-61,6.19968357132e-168,1.49989078445e-185,3.16072242947e-211,6.17965733826e-302,0.0,0.0,9.59541320231e-140,1.19747665958e-31,4.55386458829e-211,0.0,0.0,0.0,5.80870845664e-190,1.52946266873e-91,6.89034494428e-115,1.0268805746e-91,1.34445085546e-214,0.0,3.45741790972e-77,2.23843382897e-109,6.49992400321e-51,2.18147022641e-95,1.28998217571e-73,1.0268805746e-91,7.88458209402e-57,6.49992400321e-51,1.16138695568e-222,3.41144222952e-189,6.9070920343e-88,8.26574456832e-128,1.52946266873e-91,1.28998217571e-73,4.1366028493e-231,1.52946266873e-91,1.00028136434e-138,2.22652066998e-94,2.88085200877e-86,7.3704737132e-92,4.2097942527e-242,3.61204844236e-182,1.04785911478e-19,3.47096658064e-75,0.0,0.0,8.50406676965e-305,1.4377472522e-194,3.25815690677e-205,1.09903525532e-50,2.09203903604e-181,1.46627987461e-255,8.08106130457e-94,1.24974838603e-95,1.36660854818e-243,2.92336016516e-183,3.59069525227e-316,1.53804749749e-27,0.0,9.49849194108e-139,9.49849194108e-139,4.84912190034e-133,3.40855192689e-33,0.0,1.3334096341e-179,5.43543723093e-70,0.0,3.23236372711e-162,1.29953901737e-79,0.0,9.1769930727e-131,1.90473228664e-188,1.1114902847e-37,0.0,5.07008696467e-46,0.0,4.56718052687e-260,2.9321507647e-96,6.70785759333e-30,3.44684565015e-12,8.52321362158e-11,2.01907522504e-130,1.10842492541e-75,0.0,2.88542794719e-108,9.9877091856e-10,2.78108882262e-34,-138.5599856
