1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,13-Detta 2014,14-Huang 2009,15-Itoh 2005a,16-Itoh 2005b,18-Lin 2008,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,32-Wang 2007b,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,2.1452187992713522e-134,2.500065798504756e-31,6.18409009262811e-119,6.284507932705045e-152,1.1363801455675137e-84,0.0,3.265319225761174e-49,7.916264708276927e-42,2.7934793116274298e-55,0.0,1.2109042800760029e-33,4.885748986789073e-122,1.9423557316654793e-143,2.1682585776692148e-302,1.383034056288331e-101,4.544502818634025e-53,0.0,4.040573159698293e-120,1.5691136662336732e-28,1.3148552867188624e-102,1.0905161832160135e-118,0.0,9.624380834704488e-44,0.0,1.471611927991909e-38,2.1709782810322104e-22,2.1709798526580515e-22,8.3741806258137e-28,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,4.961110159202073e-134,3.1249222277881994e-31,1.5447478972456673e-118,1.85198848641297e-151,2.266903489623685e-84,0.0,4.752354268667498e-49,1.0521530094006909e-41,4.109803914693077e-55,0.0,1.5407657113958427e-33,1.2546567063615614e-121,5.682721738968383e-143,2.042356973453904e-301,3.036736023076317e-101,6.852585386450203e-53,0.0,9.768046151880956e-120,1.8975754887365844e-28,2.745767127433605e-102,2.742473802816007e-118,0.0,1.3158179348194392e-43,0.0,1.9161517164861624e-38,2.547052777491264e-22,2.5470546782070827e-22,1.0183065751794474e-27,-139.839998399984
0.0,0.0,0.0,0.0,0.0,0.0,1.1459880413523467e-133,3.9044487055033145e-31,3.8525928227988163e-118,5.448338415369605e-151,4.516338830820095e-84,0.0,6.911954354692578e-49,1.397783273693739e-41,6.0426386346707965e-55,0.0,1.9596692988503394e-33,3.216709646775706e-121,1.659623048310256e-142,1.9167431649990097e-300,6.658666890700728e-101,1.0325282469518147e-52,0.0,2.3579910367377545e-119,2.2940689012267923e-28,5.727086743367617e-102,6.885856621176566e-118,0.0,1.797990597476104e-43,0.0,2.4938919090782667e-38,2.9873819429482056e-22,2.9873842409411527e-22,1.2378680197408253e-27,-139.679996799968
0.0,0.0,0.0,0.0,0.0,0.0,2.6440839496977032e-133,4.87655317588878e-31,9.59317359747408e-118,1.6001056453241515e-150,8.986365826257704e-84,0.0,1.0046199671043378e-48,1.8561074787493004e-41,8.878958460421412e-55,0.0,2.4914281419559677e-33,8.233642345951545e-121,4.838246282548231e-142,1.7922883639174266e-299,1.4580540324629428e-100,1.5546364086147971e-52,0.0,5.683898523063861e-119,2.7725321573772456e-28,1.1931310176865432e-101,1.7261501812169728e-117,0.0,2.455543565283915e-43,0.0,3.2444157454606996e-38,3.502788387595931e-22,3.502791165029556e-22,1.504283560692503e-27,-139.519995199952
0.0,0.0,0.0,0.0,0.0,0.0,6.0934651696532494e-133,6.0883406124790055e-31,2.384982460601873e-117,4.6912872826237075e-150,1.7857709914891447e-83,0.0,1.459189313949906e-48,2.4635917768239803e-41,1.3038490194404566e-54,0.0,3.1661634835865157e-33,2.1040948928904974e-120,1.4079652399192022e-141,1.669796469456304e-298,3.1883502841571337e-100,2.33902645806982e-52,0.0,1.3681074260093146e-118,3.3497273965731097e-28,2.482714762465563e-101,4.320204409284245e-117,0.0,3.3517875512298835e-43,0.0,4.218970755713164e-38,4.105890784529506e-22,4.105894140376905e-22,1.8274463967137263e-27,-139.359993599936
0.0,0.0,0.0,0.0,0.0,0.0,1.402643699146827e-132,7.598321264101454e-31,5.920000853529601e-117,1.3730747775853337e-149,3.544145356976319e-83,0.0,2.1180215091403944e-48,3.268411386055393e-41,1.9134735561771437e-54,0.0,4.021959553445779e-33,5.368238888051819e-120,4.089981482771918e-141,1.549997090566757e-297,6.962488966374063e-100,3.516582750762887e-52,0.0,3.288242237271219e-118,4.045806215075889e-28,5.160001553702877e-101,1.0795310255174797e-116,0.0,4.572712915459145e-43,0.0,5.483876556095175e-38,4.81139737639553e-22,4.811401429840286e-22,2.2193160587414937e-27,-139.19999199992
0.0,0.0,0.0,0.0,0.0,0.0,3.2249600288066254e-132,9.47914348175867e-31,1.4671416386526364e-116,4.011946559833035e-149,7.024919935807835e-83,0.0,3.072260113739312e-48,4.3341808361044927e-41,2.8063866401300046e-54,0.0,5.106948226090319e-33,1.3673872713696282e-119,1.1859768120075301e-140,1.433540340669825e-296,1.5183402062047996e-99,5.2830650206290595e-52,0.0,7.891819172514216e-118,4.884987175733294e-28,1.0711669232048262e-100,2.693215317880626e-116,0.0,6.235050878018382e-43,0.0,7.124919561835623e-38,5.636446682022683e-22,5.636451576540073e-22,2.6943451924445693e-27,-139.03999039990399
0.0,0.0,0.0,0.0,0.0,0.0,7.40619676855674e-132,1.1820974385170324e-30,3.6302456208475406e-116,1.1702398383494404e-148,1.390641944057836e-82,0.0,4.4534285576813725e-48,5.744863102596591e-41,4.11341401250398e-54,0.0,6.481933994810062e-33,3.4773180859286986e-119,3.4328632335259547e-140,1.3209933940068399e-295,3.3065854174496606e-99,7.93104615171193e-52,0.0,1.8912988844477158e-117,5.896367142139448e-28,2.221001183795215e-100,6.708294778901145e-116,0.0,8.497177289686151e-43,0.0,9.253017886096459e-38,6.601002867274754e-22,6.601008775527691e-22,3.2699934803982585e-27,-138.879988799888
0.0,0.0,0.0,0.0,0.0,0.0,1.6988697963224478e-131,1.473568026499407e-30,8.968373180695568e-116,3.4076376431680916e-148,2.749371089661388e-82,0.0,6.45119081260856e-48,7.611227171737211e-41,6.025418569992907e-54,0.0,8.223697875410032e-33,8.828572613331346e-119,9.918871229715331e-140,1.2128387499650955e-294,7.191119087688906e-99,1.1897464170130313e-51,0.0,4.525983079168032e-117,7.1148925485837495e-28,4.599649529615566e-100,1.668239175875952e-115,0.0,1.1573853222088667e-42,0.0,1.2011520259123435e-37,7.728314404248036e-22,7.728321533958503e-22,3.967346286401042e-27,-138.719987199872
0.0,0.0,0.0,0.0,0.0,0.0,3.892412720479573e-131,1.836199383069106e-30,2.2121013770812535e-115,9.905826677171672e-148,5.42869560666334e-82,0.0,9.338866694865257e-48,1.0079338455238419e-40,8.820676600358323e-54,0.0,1.0429154042323798e-32,2.2378437228310814e-118,2.8608392152462707e-139,1.1094741137602589e-293,1.5617779855407793e-98,1.7834368714381294e-51,0.0,1.0815221149177683e-116,8.582521747763415e-28,9.514478937694e-100,4.1419953592435325e-115,0.0,1.5756141550316607e-42,0.0,1.5585606066632254e-37,9.045445979746963e-22,9.045454580734998e-22,4.8118591089466045e-27,-138.559985599856
