0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,5-Hoshi 2014,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,15-Sarhan 2009,16-Shinlapawittayatorn 2011a,17-Shinlapawittayatorn 2011b,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
8.256183377781367e-125,2.901334377160332e-111,7.061444023933197e-143,3.057110671961094e-55,1.3157153669711785e-21,1.6135420832739041e-125,5.395789288819578e-50,2.171831776891098e-12,1.813e-321,0.0,2.416726472019215e-71,1.3233967248138333e-68,1.400415076034228e-80,6.482586529426621e-165,2.476928851163796e-62,2.8428309459859104e-28,2.5033433764272274e-70,3.767501453309609e-32,1.6145659910616692e-107,2.6993453458316897e-34,1.5851716425538403e-14,7.983995991112775e-23,1.3466244748274442e-59,2.7510910300635623e-37,0.0,4.743624209714665e-38,8.248490961559471e-31,1.4858738433369116e-62,1.777403968083052e-37,2.1876834947121916e-12,1.9826481397822515e-12,-140.0
2.8021571568225722e-124,9.124538564764343e-111,3.2673050080090807e-142,5.477727667924768e-55,1.6442838106231477e-21,7.176360762548512e-125,1.0010405072002332e-49,2.4233237360726614e-12,1.43086e-319,0.0,5.5624205437832765e-71,3.055259733596549e-68,4.068113277133184e-80,4.87603515731182e-164,1.0285211587377323e-61,4.156180680189182e-28,6.907704082441194e-70,5.212269050573821e-32,5.570465106611402e-107,4.002930905885992e-34,1.8149752351725137e-14,1.016066253788029e-22,2.7529414038088775e-59,4.170820745520858e-37,0.0,7.263802687420097e-38,1.193530274831984e-30,3.5403989786193074e-62,2.7278781874517668e-37,2.4414734901702776e-12,2.259589188927332e-12,-139.839998399984
9.485222113702727e-124,2.8620384756955035e-110,1.5062516211032826e-141,9.80097496154673e-55,2.0537074758577417e-21,3.1791605708698336e-124,1.8538569822902517e-49,2.703146755716106e-12,1.1152326e-317,0.0,1.2774238588766327e-70,7.0371284007858115e-68,1.1779843675940749e-79,3.647620591824508e-163,4.2390787310140205e-61,6.068595857463937e-28,1.8997626605639901e-69,7.205311809453475e-32,1.9157434344262455e-106,5.929594931383275e-34,2.0773548760483298e-14,1.2922142047115e-22,5.616807615178807e-59,6.316195008833943e-37,0.0,1.1110245608931038e-37,1.7251589668528807e-30,8.412561629544902e-62,4.181746863347286e-37,2.723920306659519e-12,2.574290409090686e-12,-139.679996799968
3.202169965610498e-123,8.953471475339585e-110,6.918581599669994e-141,1.7511271816308835e-54,2.5635828449761e-21,1.4028295271179589e-123,3.427115237213369e-49,3.0143990767856293e-12,8.5795202e-316,0.0,2.927123916596877e-70,1.617082109512674e-67,3.400135674146177e-79,2.7137935988715064e-162,1.7341565016493455e-60,8.849779002125381e-28,5.207356286252151e-69,9.952479492585837e-32,6.567399920540685e-106,8.774032687187388e-34,2.376819845196117e-14,1.6423199169494685e-22,1.1437319343985667e-58,9.554478250426587e-37,0.0,1.6974193180623197e-37,2.4909301151925326e-30,1.993471787920237e-61,6.40301391256385e-37,3.0381672779654064e-12,2.9317693373359163e-12,-139.519995199952
1.078159745047829e-122,2.79356557611104e-109,3.1662725726331037e-140,3.1242491900917064e-54,3.1981814419002645e-21,6.165688330383538e-123,6.3242509439401236e-49,3.3605070204028994e-12,6.514604904e-314,1.3e-322,6.692402840946916e-70,3.707301675557459e-67,9.782800484102399e-79,2.0080211984015295e-161,7.041475101090308e-60,1.2889232184013443e-27,1.4226155824558063e-68,1.3736065737864117e-31,2.24419097112286e-105,1.2968828843897456e-33,2.7184879811676255e-14,2.0858917893471518e-22,2.324347529502143e-58,1.4436963653261585e-36,0.0,2.5903621209080868e-37,3.592780707453354e-30,4.7108330325249856e-61,9.792759528284825e-37,3.387691903621348e-12,3.337692072558552e-12,-139.359993599936
3.6204595842978734e-122,8.693160864002083e-109,1.4437474216511836e-139,5.566128257806987e-54,3.987546958833889e-21,2.6992460313112647e-122,1.1649770935187992e-48,3.745258524998742e-12,4.88248178259e-312,1.316e-320,1.526714827309969e-69,8.479554594245086e-67,2.805694467330939e-78,1.4776925962948795e-160,2.83790309079348e-59,1.874873975146636e-27,3.873558796728655e-68,1.8942879092454562e-31,7.64427651001325e-105,1.9148270697440267e-33,3.1081656082481753e-14,2.647503575502642e-22,4.714330176731388e-58,2.179024889663429e-36,0.0,3.9485503514791805e-37,5.176504787245807e-30,1.1101741544552057e-60,1.4959589404834474e-36,3.7763401853335224e-12,3.798454646491728e-12,-139.19999199992
1.2125123005139246e-121,2.6980375615810424e-108,6.559123914255107e-139,9.902396679634779e-54,4.968845483004465e-21,1.177030209768104e-121,2.1421682758905773e-48,4.17283998040288e-12,3.6117746876735e-310,1.33472e-318,3.4751107815409886e-69,1.9349841499824152e-66,8.020986492796763e-78,1.0814942780363591e-159,1.1352461237503318e-58,2.7237517772130414e-27,1.0511993081996932e-67,2.6102504026855893e-31,2.595512920624447e-104,2.8241362623509556e-33,3.5524376579465267e-14,3.358088224504837e-22,9.542914789243604e-58,3.2852313592552816e-36,0.0,6.012024471705602e-37,7.450394567409924e-30,2.609097424941755e-60,2.2825915024134844e-36,4.208364362287002e-12,4.3212742783387504e-12,-139.03999039990399
4.049957451614264e-121,8.351600210410666e-108,2.969013285023213e-138,1.7591667060689168e-53,6.188026177236868e-21,5.112307663084748e-121,3.9320378181504056e-48,4.647876669076441e-12,2.637109342503956e-308,1.33367675e-316,7.892494102937213e-69,4.4052548834084986e-66,2.285732608895297e-77,7.872065141122623e-159,4.5075551392969225e-58,3.951967684902154e-27,2.843232030705524e-67,3.59394075026308e-31,8.784564423072788e-104,4.160725122276134e-33,4.0587692442375064e-14,4.256556615506464e-22,1.927898712077082e-57,4.947515568150323e-36,0.0,9.143440822775948e-37,1.071170663124379e-29,6.114983123405143e-60,3.4788095820469555e-36,4.688464368132502e-12,4.914291671591747e-12,-138.879988799888
1.3491387812311895e-120,2.5783557027741924e-107,1.339029476546629e-137,3.1207087679615284e-53,7.70186252367864e-21,2.211722260677411e-120,7.204597026021128e-48,5.175477152455503e-12,1.900479080446425e-306,1.3132808694e-314,1.7885239501184288e-68,1.0005848634918592e-65,6.492818952694685e-77,5.698721811030567e-158,1.7764403203322974e-57,5.726768863341801e-27,7.664641786047384e-67,4.944384224854083e-31,2.963653997637032e-103,6.123217584663402e-33,4.635620102278579e-14,5.391821329855338e-22,3.887133870097021e-57,7.44261956192754e-36,0.0,1.3890070073234738e-36,1.5384196190795577e-29,1.4292427974307655e-59,5.2957449172680215e-36,5.221833361719338e-12,5.586685642150111e-12,-138.719987199872
4.4823384953425e-120,7.939029130555107e-107,6.016997418952437e-137,5.528140244626137e-53,9.580459777175872e-21,9.530779683963326e-120,1.3177396331362858e-47,5.761281970472526e-12,1.3518407024139564e-304,1.27441662286e-312,4.0439905875952004e-68,2.267389203034716e-65,1.83844817535905e-76,4.1028964782701764e-157,6.948943002028886e-57,8.288125861077078e-27,2.059319560815025e-66,6.796824695287019e-31,9.966553347372705e-103,9.001557253393311e-33,5.292573467819108e-14,6.825325009263692e-22,7.821983569346349e-57,1.1183607371094607e-35,0.0,2.1076819410917412e-36,2.207128876843806e-29,3.3313675013131688e-59,8.05225273274894e-36,5.814207715413717e-12,6.3488015114666085e-12,-138.559985599856
