0-Abe 2014,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,10-Hu 2014,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Liu 2005,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
3.71542457265e-30,9.01245933455e-32,0.0,2.72215504184e-263,0.0,1.52847983582e-60,7.14945781673e-146,1.68331507204e-47,1.86458626525e-86,3.16415393354e-36,1.68432744989e-19,9.09801566301e-102,2.1761528013e-108,0.0,4.20675158874e-127,2.77323902498e-226,5.17553724584e-121,4.79155773706e-127,1.05604723659e-106,1.44262341056e-102,1.27940093922e-118,0.0,5.17553724584e-121,1.37147326937e-282,1.44262341056e-102,1.75339603669e-272,3.83714755693e-52,4.20675158874e-127,0.0,6.50589551861e-54,4.20675158874e-127,1.23625924795e-97,2.93779524531e-111,2.70923980861e-26,8.21344769636e-36,7.11486220067e-107,2.47373730762e-22,0.0,4.56233262067e-41,2.20402278804e-32,3.5840373406e-29,2.20310238198e-46,3.06297786931e-32,2.44709285738e-49,1.09737766839e-17,1.28017357692e-38,6.27236255776e-58,2.48107166907e-204,6.73876882918e-37,1.11424568297e-17,2.34451316586e-18,-140.0
5.28467994138e-30,1.43806591141e-31,0.0,5.87944310697e-262,0.0,3.07715262158e-60,3.3471298351e-145,2.78856035659e-47,8.6419683744e-86,5.28455802338e-36,2.05129966704e-19,3.00699116756e-101,9.41230254099e-108,0.0,1.90925103257e-126,3.91041678072e-225,2.26208384414e-120,2.16470811352e-126,4.00198752045e-106,4.71842521811e-102,5.50826419159e-118,0.0,2.26208384414e-120,4.35140425325e-281,4.71842521811e-102,6.06862333979e-271,7.12504076244e-52,1.90925103257e-126,0.0,1.20276083301e-53,1.90925103257e-126,3.75012831317e-97,1.09456030207e-110,3.99869884727e-26,1.19362224113e-35,2.92093115659e-106,3.25499581251e-22,0.0,6.99576501695e-41,3.04922503873e-32,4.78279990353e-29,3.75952885998e-46,4.32982628877e-32,4.25233654805e-49,1.29004256684e-17,1.97004467842e-38,1.24780438358e-57,2.18052834491e-203,1.05154087894e-36,1.31058811748e-17,2.87917471722e-18,-139.8399984
7.50914248025e-30,2.29077950095e-31,0.0,1.2598765607e-260,0.0,6.183451251e-60,1.56132288569e-144,4.61365481276e-47,3.98074156178e-85,8.81065397454e-36,2.4969112836e-19,9.90706499654e-101,4.05295828416e-107,0.0,8.63045727006e-126,5.47638471841e-224,9.84728627045e-120,9.74057851821e-126,1.51094060437e-105,1.53852607013e-101,2.36198679166e-117,0.0,9.84728627045e-120,1.36781873733e-279,1.53852607013e-101,2.07916222837e-269,1.32076330881e-51,8.63045727006e-126,0.0,2.21994596486e-53,8.63045727006e-126,1.13435071909e-96,4.06392034802e-110,5.89331514178e-26,1.73301349137e-35,1.19415157633e-105,4.27923373101e-22,0.0,1.07156920774e-40,4.21517327061e-32,6.37797863445e-29,6.40622052841e-46,6.11508172994e-32,7.37860951594e-49,1.515899614e-17,3.02813279834e-38,2.477647458e-57,1.90660413738e-202,1.63876188711e-36,1.54091152508e-17,3.53378441948e-18,-139.6799968
1.06591706046e-29,3.64298017307e-31,0.0,2.67847914329e-259,0.0,1.24023912134e-59,7.25660707664e-144,7.62360804062e-47,1.82236939147e-84,1.46641207168e-35,3.03772554813e-19,3.25375807975e-100,1.73747335339e-106,0.0,3.88560979269e-125,7.61728156163e-223,4.2695198274e-119,4.36548947452e-125,5.68327055805e-105,5.00122421904e-101,1.00877607392e-116,0.0,4.2695198274e-119,4.25975575017e-278,5.00122421904e-101,7.05138783316e-268,2.44411382252e-51,3.88560979269e-125,0.0,4.09068900494e-53,3.88560979269e-125,3.42147382962e-96,1.50361969849e-109,8.67302008286e-26,2.51379940596e-35,4.86161875025e-105,5.62082806635e-22,0.0,1.63961536939e-40,5.82229147647e-32,8.49914171058e-29,1.09003405212e-45,8.62857816708e-32,1.27847177609e-48,1.78055471212e-17,4.64906249002e-38,4.91032418909e-57,1.65857720981e-201,2.55064278992e-36,1.81098818456e-17,4.33479706529e-18,-139.5199952
1.51153391335e-29,5.78361466114e-31,0.0,5.64959102813e-258,0.0,2.48297583173e-59,3.36043273092e-143,1.25813265011e-46,8.29143996019e-84,2.43642089961e-35,3.69373194098e-19,1.06525331506e-99,7.41538895199e-106,0.0,1.7423651226e-124,1.05230400919e-221,1.84372486093e-118,1.94869525066e-124,2.12974961089e-104,1.62073299691e-100,4.2910807514e-116,0.0,1.84372486093e-118,1.31431020286e-276,1.62073299691e-100,2.36727579954e-266,4.51519642262e-51,1.7423651226e-124,0.0,7.52560564902e-53,1.7423651226e-124,1.02906721688e-95,5.54393527184e-109,1.27453203976e-25,3.64294764119e-35,1.97099556653e-104,7.37655037426e-22,0.0,2.50611201828e-40,8.03572401484e-32,1.13177017021e-28,1.85202977513e-45,1.21641394031e-31,2.21196107838e-48,2.09054096761e-17,7.12930960658e-38,9.71311368256e-57,1.43544720409e-200,3.96485691857e-36,2.12755206528e-17,5.3143992389e-18,-139.3599936
2.14128163224e-29,9.16665560994e-31,0.0,1.18226333414e-256,0.0,4.96171870563e-59,1.55052052657e-142,2.07368467779e-46,3.74925195729e-83,4.04107594726e-35,4.4890416564e-19,3.47654549257e-99,3.15079017141e-105,0.0,7.78168701187e-124,1.44383510907e-220,7.92990153282e-118,8.66398507097e-124,7.95129818395e-104,5.23612860998e-100,1.81799718897e-115,0.0,7.92990153282e-118,4.01761293007e-275,5.23612860998e-100,7.86703615516e-265,8.32704013835e-51,7.78168701187e-124,0.0,1.38222067305e-52,7.78168701187e-124,3.08630549713e-95,2.03697463203e-108,1.87025524601e-25,5.27434912716e-35,7.95744606125e-104,9.6721949808e-22,0.0,3.8264471651e-40,1.10817574215e-31,1.50602637593e-28,3.14214037043e-45,1.71328147216e-31,3.82149711121e-48,2.4534686971e-17,1.09199636311e-37,1.9177166032e-56,1.23599046865e-199,6.15530375386e-36,2.49845585434e-17,6.51172829761e-18,-139.199992
3.03033820674e-29,1.45041239833e-30,0.0,2.45459530989e-255,0.0,9.89656239205e-59,7.12821104974e-142,3.41357474431e-46,1.68492437142e-82,6.69098592302e-35,5.45272148691e-19,1.1310201092e-98,1.33283010051e-104,0.0,3.46148899099e-123,1.96756518026e-219,3.39698855188e-117,3.83666827696e-123,2.95751400575e-103,1.68644747225e-99,7.67139478881e-115,0.0,3.39698855188e-117,1.21673314605e-273,1.68644747225e-99,2.58798327369e-263,1.53307519695e-50,3.46148899099e-123,0.0,2.53456973624e-52,3.46148899099e-123,9.22993686754e-95,7.45830973018e-108,2.74044269179e-25,7.62919038599e-35,3.19922707505e-103,1.26711342389e-21,0.0,5.83616694069e-40,1.52702034526e-31,2.00261781381e-28,5.32320166523e-45,2.41091126961e-31,6.59263921048e-48,2.87819913954e-17,1.67065407198e-37,3.77909696801e-56,1.05881329883e-198,9.54367302449e-36,2.93285309318e-17,7.9743455855e-18,-139.0399904
4.28420086991e-29,2.29108453967e-30,0.0,5.05608129278e-254,0.0,1.97028556538e-58,3.2651587035e-141,5.61211454913e-46,7.52553389434e-82,1.10594015533e-34,6.61979308314e-19,3.66792227348e-98,5.61306234639e-104,0.0,1.5335811303e-122,2.6630285072e-218,1.44935568283e-116,1.69220741771e-122,1.09596038532e-102,5.41500690727e-99,3.22411158993e-114,0.0,1.44935568283e-116,3.65072918435e-272,5.41500690727e-99,8.42752045847e-262,2.8177019077e-50,1.5335811303e-122,0.0,4.64004336354e-52,1.5335811303e-122,2.75247382281e-94,2.7213383023e-107,4.00968528004e-25,1.10250778878e-34,1.28085431793e-102,1.65853507196e-21,0.0,8.89193817868e-40,2.10248819028e-31,2.66106041267e-28,9.00512975449e-45,3.38952557135e-31,1.13567692413e-47,3.37504552814e-17,2.55295700136e-37,7.43308833142e-56,9.02401941448e-198,1.47783417553e-35,3.4414093526e-17,9.76001582527e-18,-138.8799888
6.05076048998e-29,3.6129316768e-30,0.0,1.03327676767e-252,0.0,3.91531371062e-58,1.49021440184e-140,9.21497262125e-46,3.34052971104e-81,1.82482635742e-34,8.03242970399e-19,1.18576140065e-97,2.35339433496e-103,0.0,6.76714003319e-122,3.57979090026e-217,6.15900388332e-116,7.43388305871e-122,4.04615186877e-102,1.73336049231e-98,1.34958549582e-113,0.0,6.15900388332e-116,1.08522784489e-270,1.73336049231e-98,2.71660313247e-260,5.16993905937e-50,6.76714003319e-122,0.0,8.48068177451e-52,6.76714003319e-122,8.18487993301e-94,9.89491297072e-107,5.85827246557e-25,1.59176339848e-34,5.10666905616e-102,2.16896501136e-21,0.0,1.35332438202e-39,2.89250996701e-31,3.533479334e-28,1.52116648834e-44,4.76103946303e-31,1.95352967374e-47,3.95600572435e-17,3.89665621708e-37,1.45924496251e-55,7.6516839316e-197,2.28549329506e-35,4.03654697651e-17,1.19388550201e-17,-138.7199872
8.53712250586e-29,5.68784045535e-30,0.0,2.09501795957e-251,0.0,7.76598479046e-58,6.77663248201e-140,1.511165339e-45,1.4737183125e-80,3.00579854964e-34,9.74138867172e-19,3.82121858519e-97,9.82334292019e-103,0.0,2.97411787073e-121,4.77941410599e-216,2.60675721305e-115,3.25267478407e-121,1.48822563004e-101,5.53149411848e-98,5.62659097642e-113,0.0,2.60675721305e-115,3.19609199595e-269,5.53149411848e-98,8.66843326571e-259,9.46966446324e-50,2.97411787073e-121,0.0,1.54749918439e-51,2.97411787073e-121,2.42697932889e-93,3.58532680687e-106,8.54670208434e-25,2.29598473628e-34,2.02749129343e-101,2.83399546905e-21,0.0,2.05752026466e-39,3.97620457494e-31,4.6885822517e-28,2.56586168883e-44,6.68143621541e-31,3.35548222259e-47,4.63503124424e-17,5.94062732388e-37,2.85933317088e-55,6.45491297366e-196,3.53002913178e-35,4.73272861603e-17,1.4595921614e-17,-138.5599856
