0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,8-An 1998,9-An 1998,10-Bankston 2007b,11-Baroudi 2000a,12-Baroudi 2000a,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,32-Itoh 2007,33-Kato 2014,34-Lin 2008,35-Liu 2002,36-Lupoglazoff 2001,37-Makita 1998,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,61-Wei 1999,62-Wei 1999,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,4.69406371401e-23,0.0,2.33464914788e-40,8.29345105785e-66,1.65467945481e-144,7.75118960611e-14,0.0,3.77945056998e-21,7.83692900648e-100,3.94678846797e-09,1.32499407886e-15,4.827325335e-14,5.73945486685e-58,0.0,6.59906617399e-20,1.37141013061e-26,9.74830285499e-55,2.03523504853e-30,4.49644500085e-78,1.34305608009e-66,1.87974074079e-149,4.50300049177e-83,1.10637957629e-24,1.13463139699e-51,4.20687503406e-11,1.09042583083e-63,2.46233601973e-29,2.05972893464e-40,5.19620999225e-63,2.52829129918e-27,3.63006154126e-46,0.0,2.29909223275e-26,1.12402022594e-11,2.21258540449e-33,2.60986845335e-90,0.0,5.96188836263e-15,1.5468403696e-46,3.13491513293e-10,4.05190235326e-86,1.33045947979e-71,1.22196746744e-28,7.01949753246e-85,4.60514662324e-45,4.57868573304e-45,1.50700216599e-12,2.63113579333e-32,2.63113579333e-32,1.34260707202e-162,5.60415531905e-19,1.95294594264e-79,6.9189704018e-170,0.0,2.3233840984e-06,1.50167475312e-18,0.0,2.32769932741e-06,1.86323197701e-06,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,5.95736390505e-23,0.0,3.44230932865e-40,1.45777965476e-65,7.47736352446e-144,9.4320259454e-14,0.0,4.99397645635e-21,3.46491880868e-99,4.1834854959e-09,1.54185841459e-15,5.5800372275e-14,1.46501925384e-57,0.0,8.12932254355e-20,1.77236734956e-26,1.78446165224e-54,2.92748694505e-30,1.00211163978e-77,2.97768484607e-66,8.34900446053e-149,1.20149646667e-82,1.63506299233e-24,2.33155496985e-51,4.63519467927e-11,3.21161718362e-63,3.2487908607e-29,3.64362214002e-40,9.59181713009e-63,3.61038672746e-27,6.03905066327e-46,0.0,3.25926864176e-26,1.30812296628e-11,3.45144156066e-33,9.22864680302e-90,0.0,7.12053406276e-15,2.88615252846e-46,3.5161386348e-10,9.41756757904e-86,3.03112530952e-71,1.8170573201e-28,2.08117411567e-84,8.01991259479e-45,9.76441716781e-45,1.78359505327e-12,3.9978907034e-32,3.9978907034e-32,7.64071491243e-162,7.3031026119e-19,4.03775733837e-79,4.4329041258e-169,0.0,2.40532643411e-06,1.74093524191e-18,0.0,2.40992290902e-06,1.96321039483e-06,-139.8399984
0.0,0.0,0.0,0.0,0.0,0.0,7.55577739393e-23,0.0,5.07097157206e-40,2.55956359425e-65,3.36711531949e-143,1.14680786007e-13,0.0,6.59249311921e-21,1.52427534386e-98,4.43370716375e-09,1.79342229364e-15,6.4472378321e-14,3.72635813975e-57,0.0,1.00085864237e-19,2.28910443086e-26,3.26142144387e-54,4.20650285358e-30,2.22921812751e-77,6.58745850165e-66,3.69604142794e-148,3.1974161029e-82,2.41255287135e-24,4.7798643272e-51,5.1057117643e-11,9.41922737361e-63,4.28358074022e-29,6.43311434605e-40,1.7681414881e-62,5.14960925658e-27,1.00334759239e-45,0.0,4.6150654144e-26,1.52140577641e-11,5.37614191437e-33,3.25027583931e-89,0.0,8.4989873088e-15,5.3744642407e-46,3.94196041992e-10,2.18478224753e-85,6.89065819383e-71,2.6982593616e-28,6.1508933002e-84,1.3944209656e-44,2.07609212812e-44,2.10950270966e-12,6.06658498752e-32,6.06658498752e-32,4.33033523077e-161,9.50746351501e-19,8.33551291318e-79,2.82731585969e-168,0.0,2.48985134115e-06,2.01767111835e-18,0.0,2.49474781448e-06,2.06826070171e-06,-139.6799968
0.0,0.0,0.0,0.0,0.0,0.0,9.57688018422e-23,0.0,7.4635504045e-40,4.48908061892e-65,1.51092310087e-142,1.3932382304e-13,0.0,8.69437270942e-21,6.67201477139e-98,4.69818446376e-09,2.08510602865e-15,7.44588549676e-14,9.44483609381e-57,0.0,1.23150916629e-19,2.95462894873e-26,5.95152307539e-54,6.03800176232e-30,4.94969756688e-77,1.45415811786e-65,1.63081375724e-147,8.4865656263e-82,3.55411276134e-24,9.77607509306e-51,5.62243643868e-11,2.75087371662e-62,5.64420690282e-29,1.13363666955e-39,3.25488063831e-62,7.33649741002e-27,1.66480053713e-45,0.0,6.52723881982e-26,1.76833114939e-11,8.36200923755e-33,1.1401584267e-88,0.0,1.01378923827e-14,9.98833715172e-46,4.41737832461e-10,5.05902947431e-85,1.56304723468e-70,4.00133431504e-28,1.81215507012e-83,2.42056232047e-44,4.40090226893e-44,2.49324732459e-12,9.19355270155e-32,9.19355270155e-32,2.44405794543e-160,1.23646537013e-18,1.71817170522e-78,1.79514463374e-167,0.0,2.57702833678e-06,2.3376482406e-18,0.0,2.58224488601e-06,2.17862375527e-06,-139.5199952
0.0,0.0,0.0,0.0,0.0,0.0,1.21307828516e-22,0.0,1.09752084263e-39,7.86441325277e-65,6.75618614888e-142,1.69125523155e-13,0.0,1.14554510969e-20,2.9058539715e-97,4.97768539141e-09,2.42315522155e-15,8.59538002491e-14,2.38546380545e-56,0.0,1.51442953348e-19,3.81123535661e-26,1.08435333068e-53,8.65787098256e-30,1.09696911427e-76,3.20302220908e-65,7.17195078893e-147,2.24657512733e-81,5.22754256086e-24,1.99476866121e-50,6.18974505681e-11,7.99999826282e-62,7.43206774514e-29,1.9938440023e-39,5.98349657871e-62,1.04399206868e-26,2.75867828517e-45,0.0,9.22093761729e-26,2.05401768928e-11,1.29873420993e-32,3.98357474652e-88,0.0,1.20852059637e-14,1.85264976739e-45,4.94792376501e-10,1.16927294087e-84,3.53783908362e-70,5.92559637265e-28,5.32206177313e-83,4.19504601719e-44,9.30104259358e-44,2.94477475638e-12,1.3913877285e-31,1.3913877285e-31,1.37373807494e-159,1.60642063015e-18,3.53624965127e-78,1.1346546206e-166,0.0,2.6669283773e-06,2.70750313076e-18,0.0,2.67248650706e-06,2.29455096702e-06,-139.3599936
0.0,0.0,0.0,0.0,0.0,0.0,1.5355836463e-22,0.0,1.61247539004e-39,1.37623528602e-64,3.01047986972e-141,2.05136041636e-13,0.0,1.50789642497e-20,1.25925529232e-96,5.27301667438e-09,2.81476302139e-15,9.91790352721e-14,6.00371143732e-56,0.0,1.86125984824e-19,4.91308260801e-26,1.97258174781e-53,1.24015169407e-29,2.42660883543e-76,7.03984092886e-65,3.14366046975e-146,5.93152103645e-81,7.67672466205e-24,4.06068772769e-50,6.81241215732e-11,2.31671706185e-61,9.77973663866e-29,3.50004109117e-39,1.09844155688e-61,1.48388269112e-26,4.56528568637e-45,0.0,1.30111176441e-25,2.38433244049e-11,2.01418629513e-32,1.38625628135e-87,0.0,1.43974745505e-14,3.42953766087e-45,5.539715618e-10,2.69745511959e-84,7.99021796404e-70,8.76325348297e-28,1.55808752818e-82,7.25864046726e-44,1.95982073651e-43,3.47568369941e-12,2.10299714111e-31,2.10299714111e-31,7.68951290194e-159,2.08495465197e-18,7.26710429531e-78,7.13948773595e-166,0.0,2.75962387278e-06,3.13487188567e-18,0.0,2.76554662568e-06,2.41630471936e-06,-139.199992
0.0,0.0,0.0,0.0,0.0,0.0,1.94257592895e-22,0.0,2.36693551284e-39,2.40567243571e-64,1.33673316487e-140,2.48613001553e-13,0.0,1.9829702617e-20,5.4297145177e-96,5.5850255743e-09,3.26820996585e-15,1.14388072932e-13,1.50568929144e-55,0.0,2.28618548783e-19,6.32947722497e-26,3.58278460476e-53,1.77453405668e-29,5.35790226869e-76,1.54390409872e-64,1.37340734505e-145,1.56195083604e-80,1.12555407092e-23,8.24680447359e-50,7.49564509595e-11,6.68066919026e-61,1.28604280955e-28,6.13224906988e-39,2.0137279169e-61,2.10666692901e-26,7.5450638306e-45,0.0,1.83378350736e-25,2.76599558096e-11,3.1192394264e-32,4.80481721449e-87,0.0,1.71413280432e-14,6.33606966479e-45,6.19951919719e-10,6.21129554359e-84,1.80066845227e-69,1.29421003708e-27,4.54706517217e-82,1.25392608783e-43,4.1171422299e-43,4.09949025528e-12,3.17435073698e-31,3.17435073698e-31,4.28643440132e-158,2.70329835007e-18,1.49115225361e-77,4.47207978252e-165,0.0,2.8551887014e-06,3.62853778201e-18,0.0,2.86150077821e-06,2.54415879685e-06,-139.0399904
0.0,0.0,0.0,0.0,0.0,0.0,2.45585319752e-22,0.0,3.47130495766e-39,4.20046853945e-64,5.91464378398e-140,3.01061173959e-13,0.0,2.6052311641e-20,2.32950377946e-95,5.91460176403e-09,3.79302385522e-15,1.31870506716e-13,3.76287235293e-55,0.0,2.8064831248e-19,8.14905209467e-26,6.49722467523e-53,2.53652819015e-29,1.18080841359e-75,3.37856572937e-64,5.98037608235e-145,4.10227529022e-80,1.64766445938e-23,1.67090150927e-49,8.2451215397e-11,1.91836305854e-60,1.69003016853e-28,1.07233654044e-38,3.68660454829e-61,2.98735011989e-26,1.24533424579e-44,0.0,2.5815197988e-25,3.20669904268e-11,4.82355800355e-32,1.65871969741e-86,0.0,2.03952248087e-14,1.16827861777e-44,6.93481076841e-10,1.42757784424e-83,4.04914624979e-69,1.9087552045e-27,1.32281129362e-81,2.16265222392e-43,8.62323453978e-43,4.83193313068e-12,4.78516429867e-31,4.78516429867e-31,2.37955633431e-157,3.50147774621e-18,3.05509490528e-77,2.78863169241e-164,0.0,2.95369822337e-06,4.19860022789e-18,0.0,2.96042611348e-06,2.67839883212e-06,-138.8799888
0.0,0.0,0.0,0.0,0.0,0.0,3.10274923541e-22,0.0,5.08641889072e-39,7.32616037481e-64,2.60787841387e-139,3.64279483897e-13,0.0,3.41949286428e-20,9.94427338051e-95,6.26267928314e-09,4.40016243722e-15,1.51956986959e-13,9.37070321621e-55,0.0,3.4431815566e-19,1.04850818311e-25,1.17640420224e-52,3.62193685579e-29,2.59748907002e-75,7.37732647191e-64,2.59551190195e-144,1.07457912231e-79,2.40814812494e-23,3.37749763301e-49,9.06703004442e-11,5.4853646563e-60,2.21944432279e-28,1.87157441746e-38,6.73991230926e-61,4.23126583986e-26,2.05275443199e-44,0.0,3.62991785336e-25,3.71524080769e-11,7.44828039888e-32,5.70337490556e-86,0.0,2.42514891146e-14,2.1498840113e-44,7.75384808434e-10,3.27496786223e-83,9.08547732277e-69,2.81126500185e-27,3.83611834511e-81,3.7239130349e-43,1.80069157668e-42,5.69132541577e-12,7.20384752216e-31,7.20384752216e-31,1.31552242988e-156,4.53073631111e-18,6.24984926921e-77,1.7310591174e-163,0.0,3.05522929438e-06,4.85666808064e-18,0.0,3.06240141741e-06,2.8193227668e-06,-138.7199872
0.0,0.0,0.0,0.0,0.0,0.0,3.91751643325e-22,0.0,7.4463679204e-39,1.27635812554e-63,1.14583203575e-138,4.4041664311e-13,0.0,4.4839680842e-20,4.22382487047e-94,6.63023857442e-09,5.10222205277e-15,1.75024860295e-13,2.32537743303e-54,0.0,4.22186097677e-19,1.34822393197e-25,2.12670252112e-52,5.16639827569e-29,5.70318759371e-75,1.60738611133e-63,1.12274971134e-143,2.8074249307e-79,3.51406371574e-23,6.81111642542e-49,9.96811395473e-11,1.56186707806e-59,2.91276077908e-28,3.26022648701e-38,1.2305063679e-60,5.98616160897e-26,3.37921730447e-44,0.0,5.09814369843e-25,4.30167683219e-11,1.14845570381e-31,1.9532310801e-85,0.0,2.88186882077e-14,3.94844187153e-44,8.66574745497e-10,7.49900985503e-83,2.03416703684e-68,4.13484675927e-27,1.10895388573e-80,6.40192335363e-43,3.74889497611e-42,6.69895972362e-12,1.08307338735e-30,1.08307338735e-30,7.24274143123e-156,5.85660897523e-18,1.27660488343e-76,1.06972406428e-162,0.0,3.15986027862e-06,5.61608076747e-18,0.0,3.16750713819e-06,2.9672413278e-06,-138.5599856
