0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
3.16247594404882e-207,0.0,0.0,6.623239462313078e-70,5.810499485393061e-08,5.819285391337468e-06,5.8773903861913984e-06,3.3136479506262715e-08,-140.0
4.205324877380965e-206,0.0,0.0,1.4524580739881524e-69,6.372890498886377e-08,6.036440349341762e-06,6.100169254330626e-06,3.627042518477863e-08,-139.839998399984
5.552435163406434e-205,0.0,0.0,3.1788361752581583e-69,6.987250331081774e-08,6.261018043556152e-06,6.33089054686697e-06,3.968920928270971e-08,-139.679996799968
7.279123057806344e-204,0.0,0.0,6.943270448910686e-69,7.658134803144186e-08,6.493244890818401e-06,6.569826238849842e-06,4.341759528338622e-08,-139.519995199952
9.475153379775415e-203,0.0,0.0,1.5135313144278983e-68,8.390475390656879e-08,6.733353177848918e-06,6.817257931755487e-06,4.74823937226703e-08,-139.359993599936
1.2246304624275835e-201,0.0,0.0,3.2926846066966293e-68,9.189608005143427e-08,6.981581176094708e-06,7.073477256146143e-06,5.19126217984804e-08,-139.19999199992
1.5715763674089667e-200,0.0,0.0,7.148916912706293e-68,1.0061303786613144e-07,7.23817325751441e-06,7.338786295380541e-06,5.673967458588691e-08,-139.03999039990399
2.0025231373330437e-199,0.0,0.0,1.5490368862137535e-67,1.1011802031212438e-07,7.503380011260639e-06,7.613498031572764e-06,6.199750863124609e-08,-138.879988799888
2.5335601400687873e-198,0.0,0.0,3.349767487278083e-67,1.2047845384397336e-07,7.77745836121678e-06,7.897936815060753e-06,6.772283874476551e-08,-138.719987199872
3.182705940765795e-197,0.0,0.0,7.229345158296776e-67,1.3176717436576345e-07,8.060671684340517e-06,8.19243885870628e-06,7.395534885903161e-08,-138.559985599856
3.9698439337677937e-196,0.0,0.0,1.5570933542061983e-66,1.4406282864934128e-07,8.353289929765259e-06,8.4973527584146e-06,8.073791787159428e-08,-138.39998399984
4.9165671439324976e-195,0.0,0.0,3.347046420336186e-66,1.574503027212188e-07,8.655589738608744e-06,8.813040041329963e-06,8.811686144269898e-08,-138.239982399824
6.045916395132564e-194,0.0,0.0,7.180260716861779e-66,1.7202117879673328e-07,8.967854564433774e-06,9.139875743230507e-06,9.614219077473286e-08,-138.079980799808
7.381997979704994e-193,0.0,0.0,1.5372697655755895e-65,1.8787422241409653e-07,9.290374794306231e-06,9.478249016720328e-06,1.0486788945812589e-07,-137.919979199792
8.949470248209155e-192,0.0,0.0,3.284667030066374e-65,2.0511590149676482e-07,9.623447870390206e-06,9.82856377188697e-06,1.1435220952922165e-07,-137.759977599776
1.0772893268153456e-190,0.0,0.0,7.0042882501929835e-65,2.2386093915050554e-07,9.967378412019747e-06,1.0191239351170253e-05,1.246579879492242e-07,-137.59997599976
1.2875941876194882e-189,0.0,0.0,1.4906238419923332e-64,2.442329020813407e-07,1.032247833818344e-05,1.056671124026478e-05,1.3585298477979366e-07,-137.439974399744
1.5280489961404777e-188,0.0,0.0,3.1659460497411696e-64,2.6636482660196656e-07,1.068906699035434e-05,1.0955431816956307e-05,1.480102444001318e-07,-137.279972799728
1.8005582431199875e-187,0.0,0.0,6.710739029009924e-64,2.903998842776712e-07,1.1067471255597514e-05,1.1357871139875185e-05,1.6120848118286956e-07,-137.11997119971198
2.106632065329518e-186,0.0,0.0,1.4196084766747357e-63,3.164920893473656e-07,1.1458025689881542e-05,1.1774517779228907e-05,1.7553249112137058e-07,-136.959969599696
2.4472696734219907e-185,0.0,0.0,2.9970791433509224e-63,3.4480705014178423e-07,1.186107264152152e-05,1.2205879691663303e-05,1.9107359097974073e-07,-136.79996799968
2.822842116736403e-184,0.0,0.0,6.314794653900413e-63,3.755227668081732e-07,1.2276962374674381e-05,1.2652485141482554e-05,2.079300866185367e-07,-136.639966399664
3.232979645954976e-183,0.0,0.0,1.3278580398648463e-62,4.08830477739541e-07,1.2706053192807116e-05,1.3114883670546657e-05,2.262077722342268e-07,-136.479964799648
3.676469557959448e-182,0.0,0.0,2.78660528204951e-62,4.4493555719598854e-07,1.3148711562056063e-05,1.3593647119252051e-05,2.460204623389134e-07,-136.31996319963199
4.151170773520951e-181,0.0,0.0,5.836206610412021e-62,4.840584666956357e-07,1.3605312234389261e-05,1.4089370701084897e-05,2.6749055839842316e-07,-136.159961599616
4.653951442502381e-180,0.0,0.0,1.219880401457093e-61,5.264357628435611e-07,1.40762383704858e-05,1.4602674133329361e-05,2.907496521422811e-07,-135.9999599996
5.180655541947974e-179,0.0,0.0,2.54469211156618e-61,5.723211643576094e-07,1.456188166223897e-05,1.5134202826596579e-05,3.1593916765756e-07,-135.839958399584
