0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,7-Glaaser 2012,8-Hayashi 2015,9-Holst 2009,10-Hu 2010,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,20-O'Leary 2002,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,31-Tan 2001,32-Tsurugi 2009,33-Vatta 2002a,34-Vatta 2002b,35-Wang 2011,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,sum,gauss,x
2.39911607047e-37,4.18403804191e-25,1.11515031112e-103,0.0,1.0189132794e-35,4.96915639444e-41,7.31323438663e-31,5.55521321287e-15,1.07197895468e-138,1.30979856727e-36,7.31323438663e-31,2.71238203674e-12,6.67200681889e-90,4.65610716771e-22,2.10508370175e-41,4.13386004589e-48,1.83749280743e-23,3.61369634089e-13,2.00920845539e-69,0.0,0.0,8.58746010212e-35,1.96665175794e-27,2.31381669122e-136,0.0,3.40280808968e-285,3.2904179691e-128,2.92137023136e-53,1.64943209064e-21,0.0,2.42352246532e-28,6.43497744833e-94,0.0,0.0,9.75613181438e-69,4.58220039771e-31,3.18073085423e-248,2.5941921096e-16,4.53534690771e-67,3.07956630539e-12,3.21879336142e-07,-140.0
3.63468038806e-37,5.53385428058e-25,2.84167636215e-103,0.0,2.09859455307e-35,7.92857789263e-41,1.12278108095e-30,6.23607296617e-15,5.66307764212e-138,1.99708603074e-36,1.12278108095e-30,3.30719636855e-12,3.88859727424e-89,6.80976517994e-22,3.27222684782e-41,7.68113665649e-48,2.43359632517e-23,4.18781363185e-13,4.44526800398e-69,0.0,0.0,1.31905723551e-34,2.78742922899e-27,8.23485792219e-136,0.0,4.9576676664e-284,1.17447963002e-127,4.78199434386e-53,2.03147818977e-21,0.0,3.54035609083e-28,2.31903546702e-93,0.0,0.0,2.77660908691e-68,7.15630719851e-31,3.41115043715e-247,3.07719229304e-16,1.12939393515e-66,3.73252152667e-12,3.43909124587e-07,-139.8399984
5.5004552572e-37,7.31335508553e-25,7.22751609574e-103,0.0,4.3071969953e-35,1.26345476032e-40,1.72128215391e-30,6.99855218031e-15,2.97843780921e-137,3.04146606817e-36,1.72128215391e-30,4.02847027917e-12,2.24872557832e-88,9.94257843121e-22,5.08083251838e-41,1.42458312382e-47,3.22035605416e-23,4.85075372372e-13,9.81450785957e-69,0.0,0.0,2.02354796795e-34,3.94648737575e-27,2.92307142762e-135,0.0,7.18311663645e-283,4.18038056393e-127,7.81930691588e-53,2.50069182442e-21,0.0,5.16532026138e-28,8.3243817155e-93,0.0,0.0,7.87358531342e-68,1.11592887489e-30,3.64001613099e-246,3.64831784405e-16,2.80443281043e-66,4.52090903903e-12,3.6737692031e-07,-139.6799968
8.31473640916e-37,9.65744955723e-25,1.83474945901e-102,0.0,8.80918649254e-35,2.01083234363e-40,2.63499886527e-30,7.85220777575e-15,1.55953210742e-136,4.62661238857e-36,2.63499886527e-30,4.90220427084e-12,1.29028889285e-87,1.44918434895e-21,7.8803189566e-41,2.63719764671e-47,4.25786315718e-23,5.615873214e-13,2.16240347098e-68,0.0,0.0,3.10037568314e-34,5.58146324422e-27,1.03485356786e-134,0.0,1.03500864994e-281,1.48375454166e-126,1.27721557274e-52,3.07665266881e-21,0.0,7.5265850631e-28,2.97632818424e-92,0.0,0.0,2.22459547927e-67,1.73746753533e-30,3.8648641029e-245,4.32330851177e-16,6.94399303422e-66,5.47207613544e-12,3.9237163889e-07,-139.5199952
1.25549728085e-36,1.27428063558e-24,4.64876633164e-102,0.0,1.79536083982e-34,3.19627247893e-40,4.02791396427e-30,8.8076879943e-15,8.12961292693e-136,7.02970655042e-36,4.02791396427e-30,5.95955322293e-12,7.34589073445e-87,2.10865711153e-21,1.22087205612e-40,4.87292968569e-47,5.6248632073e-23,6.4984764938e-13,4.75447488424e-68,0.0,0.0,4.74423393013e-34,7.88525792175e-27,3.65405038183e-134,0.0,1.48310054243e-280,5.25151019726e-126,2.08399606016e-52,3.78326752469e-21,0.0,1.09534040133e-27,1.05997075138e-91,0.0,0.0,6.26253662587e-67,2.70103073007e-30,4.08313398731e-244,5.12065265663e-16,1.71450265625e-65,6.61872063152e-12,4.18987355404e-07,-139.3599936
1.89365346956e-36,1.68005912351e-24,1.17563339427e-101,0.0,3.64621746676e-34,5.07415227052e-40,6.14824726116e-30,9.87685371331e-15,4.21905492887e-135,1.06685455249e-35,6.14824726116e-30,7.23780802887e-12,4.14962619115e-86,3.06299307654e-21,1.88935667375e-40,8.98731970015e-47,7.4244568621e-23,7.51609047827e-13,1.04319623366e-67,0.0,0.0,7.25051446729e-34,1.11279257891e-26,1.28684523013e-133,0.0,2.11345381413e-279,1.8534559776e-125,3.3967714402e-52,4.64971057232e-21,0.0,1.59202781622e-27,3.76002888013e-91,0.0,0.0,1.75658925982e-66,4.1925185745e-30,4.29221550741e-243,6.06205590304e-16,4.22115886052e-65,7.99990014379e-12,4.47323581614e-07,-139.199992
2.85300596913e-36,2.21330310968e-24,2.96742231742e-101,0.0,7.37918266742e-34,8.04516514749e-40,9.37117074696e-30,1.10729128599e-14,2.17986829454e-134,1.61721280875e-35,9.37117074696e-30,8.78155601386e-12,2.32584353071e-85,4.44164439963e-21,2.92062091825e-40,1.65448493812e-46,9.79151444121e-23,8.68877669452e-13,2.28416297921e-67,0.0,0.0,1.10668113469e-33,1.56871128625e-26,4.51995654392e-133,0.0,2.99509417628e-278,6.52313321778e-125,5.53060319691e-52,5.71156435274e-21,0.0,2.31101417069e-27,1.32853412469e-90,0.0,0.0,4.90920178027e-66,6.49760204587e-30,4.48949912534e-242,7.17298768999e-16,1.03631045627e-64,9.6622239052e-12,4.77485556659e-07,-139.0399904
4.29360703248e-36,2.91349360983e-24,7.4758409197e-101,0.0,1.48815726966e-33,1.27396705849e-39,1.42628975765e-29,1.24105692959e-14,1.1212826278e-133,2.44862945268e-35,1.42628975765e-29,1.06440510877e-11,1.29347791967e-84,6.42982683325e-21,4.50976458462e-40,3.04010109449e-46,1.29023110237e-22,1.00394856048e-12,4.99097956219e-67,0.0,0.0,1.68704685645e-33,2.20903351322e-26,1.58342813709e-132,0.0,4.22108169167e-277,2.2893180419e-124,8.99529516758e-52,7.01220354935e-21,0.0,3.35046416783e-27,4.67561218802e-90,0.0,0.0,1.36701178546e-65,1.00545784219e-29,4.67242939455e-241,8.48331831894e-16,2.53695469851e-64,1.16612585629e-11,5.09584551808e-07,-138.8799888
6.45445159012e-36,3.83216405058e-24,1.8798101579e-100,0.0,2.99064094033e-33,2.01480583761e-39,2.16766947786e-29,1.39061876828e-14,5.74208604595e-133,3.70316364769e-35,2.16766947786e-29,1.28888296417e-11,7.13747419202e-84,9.29207032756e-21,6.95584655583e-40,5.57578237217e-46,1.69870358102e-22,1.15944586508e-12,1.08828368784e-66,0.0,0.0,2.56851873718e-33,3.107363579e-26,5.53246420583e-132,0.0,5.91606020835e-276,8.01183366587e-124,1.46148741601e-51,8.60447228437e-21,0.0,4.85129583541e-27,1.63903596887e-89,0.0,0.0,3.79275116369e-65,1.55348572221e-29,4.83855952006e-240,1.00280610767e-15,6.1929873528e-64,1.40631845186e-11,5.43738189888e-07,-138.7199872
9.69200976427e-36,5.03652462757e-24,4.71781797545e-100,0.0,5.9890038651e-33,3.18243813384e-39,3.28965040969e-29,1.55779759873e-14,2.92748084725e-132,5.59392551137e-35,3.28965040969e-29,1.55916140237e-11,3.90784283352e-83,1.34055124358e-20,1.07167612419e-39,1.02074246851e-45,2.23460185688e-22,1.33836841858e-12,2.3680783805e-66,0.0,0.0,3.90561370912e-33,4.36628742054e-26,1.92794670289e-131,0.0,8.24587916871e-275,2.79597721592e-123,2.37198252501e-51,1.05527160339e-20,0.0,7.0155375353e-27,5.72298649417e-89,0.0,0.0,1.04847277406e-64,2.39653242734e-29,4.98560551696e-239,1.18482362909e-15,1.50748265099e-63,1.69467452661e-11,5.80070779979e-07,-138.5599856
