0-Albert 2008,1-Baroudi 2000a,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,11-Makita 1998,12-O'Leary 2002,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,16-Wei 1999,17-Wei 1999,18-Zhang 2008,sum,gauss,x
0.0,0.0,1.31505697724e-08,4.41483682832e-15,0.0,4.18003560285e-86,2.19878721289e-19,4.56949359093e-26,3.24810254963e-54,1.49820073184e-77,6.26323451748e-149,1.73136013266e-62,0.0,0.0,1.35008057918e-85,0.0,6.50715184987e-79,2.30537825273e-169,0.0,1.31505741874e-08,1.12282516824e-14,-140.0
0.0,0.0,1.39392365089e-08,5.13742168469e-15,0.0,1.9373593036e-85,2.70866361799e-19,5.90546989833e-26,5.94576771831e-54,3.33900312764e-77,2.78186091246e-148,3.19596201917e-62,0.0,0.0,3.13790264007e-85,0.0,1.3453675066e-78,1.4770291206e-168,0.0,1.39392416466e-08,1.28342229699e-14,-139.8399984
0.0,0.0,1.47729669022e-08,5.97562428167e-15,0.0,8.92403948482e-85,3.33482818135e-19,7.62722091101e-26,1.08669493191e-53,7.42768171175e-77,1.23150888562e-147,5.8913894665e-62,0.0,0.0,7.27962281657e-85,0.0,2.77736557312e-78,9.42052374562e-168,0.0,1.47729728781e-08,1.46653645712e-14,-139.6799968
0.0,0.0,1.56541965944e-08,6.94750492333e-15,0.0,4.08539367678e-84,4.10334816474e-19,9.8447267841e-26,1.98302797553e-53,1.64922300077e-76,5.43381796981e-147,1.08451555694e-61,0.0,0.0,1.68565203386e-84,0.0,5.72489178831e-78,5.98136306243e-167,0.0,1.56542035423e-08,1.67525911598e-14,-139.5199952
0.0,0.0,1.65854845214e-08,8.07387375048e-15,0.0,1.85877772878e-83,5.04602955213e-19,1.26989112497e-25,3.61302974524e-53,3.65506512255e-76,2.38967048828e-146,1.993681442e-61,0.0,0.0,3.89597910215e-84,0.0,1.17826678954e-77,3.78063199406e-166,0.0,1.65854925958e-08,1.91309685789e-14,-139.3599936
0.0,0.0,1.75695186733e-08,9.37869809995e-15,0.0,8.40508533048e-83,6.20165678943e-19,1.63702301652e-25,6.57257770889e-53,8.0853810787e-76,1.04745736144e-145,3.65997125304e-61,0.0,0.0,8.98783201731e-84,0.0,2.42137532463e-77,2.37885390546e-165,0.0,1.75695280526e-08,2.18402582529e-14,-139.199992
0.0,0.0,1.8609122098e-08,1.08895684518e-14,0.0,3.77726898019e-82,7.61749508855e-19,2.10896105898e-25,1.19377208347e-52,1.78523546903e-75,4.57614824397e-145,6.70967539523e-61,0.0,0.0,2.06958331022e-83,0.0,4.96847041881e-77,1.49008232098e-164,0.0,1.86091329883e-08,2.49255312207e-14,-139.0399904
0.0,0.0,1.97072591564e-08,1.26382311241e-14,0.0,1.68707665582e-81,9.351109756e-19,2.71523743974e-25,2.16485395941e-52,3.93441491904e-75,1.99264170285e-144,1.22836454826e-60,0.0,0.0,4.75664257118e-83,0.0,1.01794760573e-76,9.29162936856e-164,0.0,1.97072717955e-08,2.84378604564e-14,-138.8799888
0.0,0.0,2.08670420377e-08,1.46611969732e-14,0.0,7.48881045877e-81,1.14725680554e-18,3.49359488881e-25,3.91974023124e-52,8.65474841773e-75,8.64816055854e-144,2.24571668337e-60,0.0,0.0,1.0912085541e-82,0.0,2.08242928519e-76,5.76783222313e-163,0.0,2.08670567e-08,3.24351011914e-14,-138.7199872
0.0,0.0,2.20917375451e-08,1.70004365939e-14,0.0,3.30378654483e-80,1.40671023529e-18,4.49223793727e-25,7.08610307241e-52,1.90028340725e-74,3.74096522672e-143,4.10000687336e-60,0.0,0.0,2.49864549678e-82,0.0,4.2536056157e-76,3.56428550926e-162,0.0,2.20917545469e-08,3.69827701204e-14,-138.5599856
