0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,6-Liu 2005,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
2.0322912929923368e-124,0.0,1.1453990829894805e-262,0.0,3.925092172522766e-138,2.630914925144872e-10,1.139964750236987e-25,2.030397775153101e-30,9.391242879131706e-18,2.630915019057302e-10,2.43534009643577e-09,-140.0
6.897617616794024e-124,0.0,2.47388875347226e-261,0.0,2.0735576597318497e-137,2.898779441730384e-10,1.6825294380415322e-25,2.9379206765094992e-30,1.0887541166717525e-17,2.8987795506057974e-10,2.650449483753168e-09,-139.839998399984
2.3348239049114408e-123,0.0,5.3011729130828626e-260,0.0,1.0905664593709106e-136,3.193033587982569e-10,2.479725678888144e-25,4.2465451491763215e-30,1.2618204763242995e-17,3.1930337141646195e-10,2.8839324497126275e-09,-139.679996799968
7.882264530733534e-123,0.0,1.1270216087550612e-258,0.0,5.710286793332782e-136,3.516185249726671e-10,3.649339988710039e-25,6.13152028355085e-30,1.461929245851082e-17,3.516185395919599e-10,3.1373016412757493e-09,-139.519995199952
2.653931680117733e-122,0.0,2.3771740710686e-257,0.0,2.976689040937977e-135,3.870971331684156e-10,5.362838659609633e-25,8.843767895269796e-30,1.693230804084681e-17,3.8709715010072414e-10,3.4121892484354807e-09,-139.359993599936
8.911900515194765e-122,0.0,4.974600336712983e-256,0.0,1.5448231893402138e-134,4.2603777568454027e-10,7.869458612057501e-25,1.2742165630143527e-29,1.9605006485027738e-17,4.2603779528954755e-10,3.7103560262295655e-09,-139.19999199992
2.984645662803507e-121,0.0,1.0328181803942422e-254,0.0,7.981671601552539e-134,4.68766112539315e-10,1.153093963392658e-24,1.833943278131674e-29,2.2692317052083093e-17,4.687661352316332e-10,4.033700962568221e-09,-139.03999039990399
9.969126034742805e-121,0.0,2.1274434362714946e-253,0.0,4.1056194679603705e-133,5.156372162905735e-10,1.687152190910846e-24,2.6367277861523175e-29,2.6257399886703578e-17,5.15637242547975e-10,4.384271635309396e-09,-138.879988799888
3.320956999953697e-120,0.0,4.347710707037456e-252,0.0,2.1024868906699918e-132,5.670381097007305e-10,2.464980798975721e-24,3.786879062349681e-29,3.0372854996592384e-17,5.67038140073588e-10,4.764275304724704e-09,-138.719987199872
1.103344860392e-119,0.0,8.81519095295883e-251,0.0,1.0719083717606819e-131,6.233905111690801e-10,3.596189261643233e-24,5.432932619923215e-29,3.51221051073562e-17,6.233905462911888e-10,5.176090790356062e-09,-138.559985599856
3.655957668571171e-119,0.0,1.7732553494889733e-249,0.0,5.440662582541058e-131,6.851538039265691e-10,5.238913861830283e-24,7.786171140739753e-29,4.0600976847393615e-17,6.851538445275513e-10,5.6222811842851004e-09,-138.39998399984
1.2081834960334585e-118,0.0,3.5389897258679796e-248,0.0,2.7492591962441055e-130,7.528282461307644e-10,7.620960217610313e-24,1.114680272370867e-28,4.6919508075815887e-17,7.528282930502801e-10,6.105607456025847e-09,-138.239982399824
3.982048062147138e-118,0.0,7.00738200846379e-247,0.0,1.3830865047621338e-129,8.269584402151273e-10,1.1070005841153693e-23,1.5940921680865287e-28,5.420401297458768e-17,8.269584944191513e-10,6.629043007613284e-09,-138.079980799808
1.3089466753730663e-117,0.0,1.3765777780432088e-245,0.0,6.9271208573764e-129,9.081370811421434e-10,1.6056678966380667e-23,2.2772634949502714e-28,6.259944084263496e-17,9.081371437416003e-10,7.195789241013714e-09,-137.919979199792
4.291205071454889e-117,0.0,2.6829599145621357e-244,0.0,3.4540287613762584e-128,9.970090045870843e-10,2.3255908886932e-23,3.2497494876199956e-28,7.227206942026097e-17,9.97009076859177e-10,7.809292203721154e-09,-137.759977599776
1.40306710508584e-116,0.0,5.187953590146179e-243,0.0,1.7146239986642998e-127,1.094275557544453e-09,3.363416334567451e-23,4.632583188812662e-28,8.341257911154008e-17,1.0942756409570658e-09,8.47326038235161e-09,-137.59997599976
4.575298929796413e-116,0.0,9.952826868427057e-242,0.0,8.47386635275157e-127,1.2006993154064434e-09,4.857330556028339e-23,6.596799932202399e-28,9.623956074370503e-17,1.2006994116460527e-09,9.191683718204583e-09,-137.439974399744
1.4879980563519387e-115,0.0,1.8943720849009537e-240,0.0,4.169309026976775e-126,1.3171091712163542e-09,7.004617241608813e-23,9.383830239052726e-28,1.1100351660018191e-16,1.317109282219941e-09,9.96885392313481e-09,-137.279972799728
4.8264422253917415e-115,0.0,3.5772771636518523e-239,0.0,2.0422848962761378e-125,1.4444058245572939e-09,1.0086508917726515e-22,1.3334100226064452e-27,1.2799142249370906e-16,1.4444059525488172e-09,1.0809386178693586e-08,-137.11997119971198
1.561326453537679e-114,0.0,6.702060804311901e-238,0.0,9.959518181490509e-125,1.5835676993997041e-09,1.4503307787520945e-22,1.8927098017813213e-27,1.4753192772659332e-16,1.5835678469317769e-09,1.1718242306342077e-08,-136.959969599696
5.0373506412117235e-114,0.0,1.2457549053782764e-236,0.0,4.835374275631761e-124,1.7356573222099013e-09,2.0823943135467084e-22,2.683744024889311e-27,1.700012800507493e-16,1.7356574922113896e-09,1.2700755501650823e-08,-136.79996799968
1.6208861262299425e-113,0.0,2.297340226011313e-235,0.0,2.3371771212640253e-123,1.901828193717515e-09,2.985579179667756e-22,3.801324048390863e-27,1.9583007434027043e-16,1.9018283895478878e-09,1.3762656730758673e-08,-136.639966399664
5.201692627679388e-113,0.0,4.203262343037009e-234,0.0,1.12466432854799e-122,2.083332189962427e-09,4.274289526564507e-22,5.378552833081388e-27,2.2551093679309047e-16,2.083332415473791e-09,1.4910102893010175e-08,-136.479964799648
1.664863855626136e-112,0.0,7.629852559747489e-233,0.0,5.387955233620856e-122,2.281527530595496e-09,6.110390957707495e-22,7.60208512245617e-27,2.5960727127468345e-16,2.281527790203378e-09,1.614970685961886e-08,-136.31996319963199
5.314404682372244e-112,0.0,1.374087102270572e-231,0.0,2.5697732286155647e-121,2.497887354897998e-09,8.72255625250356e-22,1.0733386313447955e-26,2.987632111178183e-16,2.4978876536620816e-09,1.748856950442219e-08,-136.159961599616
1.69189098965531e-111,0.0,2.4551659336557616e-230,0.0,1.2202122645261889e-120,2.734008948622878e-09,1.2433353407313684e-21,1.5138314950017325e-26,3.437149385369341e-16,2.73400929233906e-09,1.893431384934138e-08,-135.9999599996
5.371950364417291e-111,0.0,4.352270750447671e-229,0.0,5.7682720507393674e-120,2.9916236675475394e-09,1.7697115950328685e-21,2.1328241786622124e-26,3.95303555069441e-16,2.9916240628528644e-09,2.0495121454006392e-08,-135.839958399584
1.7011141737078485e-110,0.0,7.654545844183493e-228,0.0,2.714725033688709e-119,3.2726076065762132e-09,2.515280553942443e-21,3.0017140484213016e-26,4.544897104193193e-16,3.272608061068439e-09,2.217977118620871e-08,-135.679956799568
5.372504566035059e-110,0.0,1.3356461638516374e-226,0.0,1.271966649126141e-118,3.5789930663440032e-09,3.5697687948475896e-21,4.220076496462624e-26,5.223702240850618e-16,3.578993588717797e-09,2.3997680517390225e-08,-135.519955199552
1.6922400982759656e-109,0.0,2.3122345307135044e-225,0.0,5.933287113829987e-118,3.912980872561067e-09,5.058985832787183e-21,5.926633510692523e-26,6.001969645788464e-16,3.9129814727630905e-09,2.5958949495272964e-08,-135.359953599536
5.316049646677931e-109,0.0,3.9713742256410137e-224,0.0,2.7554007254990575e-117,4.2769536068075386e-09,7.159069133829134e-21,8.314431592797298e-26,6.893982853079748e-16,4.276954296212983e-09,2.8074407554034514e-08,-135.19995199951998
1.6655509900718933e-108,0.0,6.7673433566959536e-223,0.0,1.2739252216786652e-116,4.673489811146912e-09,1.0116245686745427e-20,1.1651820886587981e-25,7.916033547599261e-16,4.673490602760383e-09,3.035566333108865e-08,-135.039950399504
5.204376365563959e-108,0.0,1.1441002482629304e-221,0.0,5.86371518423405e-116,5.105379232786938e-09,1.4274203989748054e-20,1.6311420311611465e-25,9.086697620369184e-16,5.105380141470974e-09,3.281515766863208e-08,-134.879948799488
1.621889705230293e-107,0.0,1.9190152080959937e-220,0.0,2.687024104329489e-115,5.5756391790791975e-09,2.0111948501238186e-20,2.28100638412693e-25,1.04271482760771e-15,5.5756402218141375e-09,3.5466219987596684e-08,-134.719947199472
5.0409895438493853e-107,0.0,3.193458097328089e-219,0.0,1.2258575919374862e-114,6.0875320574309284e-09,2.829606969171536e-20,3.1863829249655984e-25,1.196151104042376e-15,6.087533253610329e-09,3.832312823159452e-08,-134.559945599456
1.5626155230062887e-106,0.0,5.272450319688642e-218,0.0,5.567730985970276e-114,6.6445841792082205e-09,3.97528072905942e-20,4.4463758924112375e-25,1.3717266131995168e-15,6.644585550974587e-09,4.1401172588828456e-08,-134.39994399943998
4.830925389563313e-106,0.0,8.636389869279208e-217,0.0,2.5175970995269858e-113,7.250605911445248e-09,5.57672474332389e-20,6.1979936459688e-25,1.572570435662377e-15,7.250607484071452e-09,4.471672321077364e-08,-134.239942399424
1.4895338744821951e-105,0.0,1.4035259641271865e-215,0.0,1.1333498183818894e-112,7.909713265160047e-09,7.811965803206027e-20,8.630437699810337e-25,1.8022443460841807e-15,7.909715067482514e-09,4.828730215779382e-08,-134.079940799408
4.580493767580453e-105,0.0,2.2629613253549297e-214,0.0,5.079389219243141e-112,8.626351014305678e-09,1.0927257484567283e-19,1.200469858894991e-24,2.0648012755174566e-15,8.626353079216228e-09,5.2131659813655634e-08,-133.919939199392
1.4048050736848298e-104,0.0,3.6199475769680306e-213,0.0,2.2663593400528697e-111,9.405317444883855e-09,1.5262713029271347e-19,1.6680399279299236e-24,2.3648514799038882e-15,9.405319809887963e-09,5.626985602326127e-08,-133.759937599376
4.2969638087127654e-104,0.0,5.745077604288832e-212,0.0,1.0067364916077095e-110,1.0251790839514015e-08,2.1287370519263972e-19,2.3152525287395877e-24,2.7076374039535752e-15,1.0251793547364294e-08,6.072334622079296e-08,-133.59993599935999
