0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Aiba 2014,7-Akai 2000,8-Albert 2008,9-Amin 2005,10-An 1998,11-Bankston 2007a,12-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Beckermann 2014,16-Bezzina 2003,17-Calloe 2011,18-Casini 2007,19-Chang 2004,20-Chen 2016,21-Cordeiro 2006,22-Crotti 2012a,23-Deschenes 2000,25-Ellinor 2008,26-Ge 2008,27-Gosselin-Badaroudine 2012,28-Groenewegen 2003a,29-Hayashi 2015,30-Hsueh 2009,31-Hu 2007,32-Hu 2010,33-Hu 2014,34-Huang 2009,37-Itoh 2007,38-Juang 2014a,39-Kato 2014,40-Keller 2005,41-Keller 2006,42-Lin 2008,43-Liu 2002,44-Lupoglazoff 2001,45-Makita 2002,46-Makita 2005,47-Makita 2008,48-Makiyama 2008,49-Marangoni 2011,50-Mohler 2004,51-Mok 2003,52-Moreau 2013,53-Nakajima 2015,54-Neu 2010,55-Nguyen 2008,56-Otagiri 2008,57-Rivolta 2001,58-Rossenbacker 2004,59-Ruan 2007,60-Ruan 2010,61-Saber 2015,62-Samani 2009,63-Shuraih 2007,64-Smits 2005a,65-Smits 2005b,66-Sottas 2013,67-Swan 2014,68-Tan 2001,69-Viswanathan 2003,70-Wang 2002,71-Wang 2007a,73-Wang 2008,74-Wang 2016,75-Wedekind 2001,76-Wehrens 2003,77-Wei 1999,78-Yang 2002,79-Zeng 2013,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.2773817109005838e-37,4.268762639254911e-23,0.0,2.227742850056684e-25,7.542030995561365e-66,5.937489352277199e-104,1.504758833063211e-144,3.43701712907763e-21,7.12687168039395e-100,0.0,1.2049442797641448e-15,1.6655691363381706e-263,4.3899502207538837e-14,5.4250863646016206e-36,2.6457700713146367e-41,0.0,3.893847391541452e-31,5.219437144015292e-58,0.0,4.709495720702205e-22,1.1408598289645704e-86,1.2471548503198913e-26,5.707628438791494e-139,1.9313787163560014e-50,0.0,3.893847391541452e-31,1.936009174099774e-36,1.0061371314557198e-24,1.0318292234362249e-51,6.47e-322,3.8257152155350487e-11,4.741468966309139e-71,3.552433160840243e-90,9.916288595781804e-64,2.239238460897572e-29,1.8731091989553975e-40,2.2992179264382125e-27,2.201026154190129e-48,9.783518750992516e-24,3.3011633479243803e-46,1.9240709823976367e-13,0.0,0.0,2.090785218371555e-26,4.353276984079047e-107,2.012116257099732e-33,2.3734038619383385e-90,1.0471210702205691e-27,1.2319650391714973e-136,0.0,1.8117859627387776e-285,1.7519451379074596e-128,1.555449921843726e-53,1.5135730506339403e-22,0.0,1.4066904032246803e-46,2.850879198070652e-10,0.0,2.791494343968933e-41,1.2903766146433781e-28,4.187901794962755e-45,1.3704617012850551e-12,2.3927442952757426e-32,2.3927442952757426e-32,2.439739809070802e-31,5.096396280074946e-19,1.6935434973299011e-248,1.7760011760272283e-79,0.0,6.362072368977366e-38,3.249530457221805e-10,1.5962641014167963e-06,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,1.9352436965490234e-37,5.41760274586862e-23,0.0,2.946436954759806e-25,1.325698947784744e-65,1.5130178393549471e-103,6.799884278955609e-144,4.541502079432795e-21,3.1509832119201526e-99,0.0,1.4021598334065685e-15,3.597377382006641e-262,5.07446338474176e-14,1.1173724913425104e-35,4.2214799517822544e-41,0.0,5.978118507084787e-31,1.332282610037907e-57,0.0,5.885579635340126e-22,5.287647316325367e-86,1.611783730640797e-26,3.015240444800228e-138,3.5831427550791347e-50,0.0,5.978118507084787e-31,3.2333928845532446e-36,1.4869197010775784e-24,2.1203067007727156e-51,5.1215e-320,4.215227376118008e-11,1.0397910149355901e-70,2.0704388171552255e-89,2.920631734096758e-63,2.9544373263369583e-29,3.313495301828836e-40,3.283271151482239e-27,4.089732716432622e-48,1.295740325256082e-23,5.491888354850927e-46,2.2297531194198612e-13,0.0,0.0,2.9639657782414704e-26,1.787191658449389e-106,3.138727056838062e-33,8.392494240325746e-90,1.4841345782983891e-27,4.384555224788299e-136,0.0,2.6396530304309735e-284,6.253381475292687e-128,2.5461177938244506e-53,1.9915913975857904e-22,0.0,2.624655487292022e-46,3.1975623155380486e-10,0.0,4.2804065595909555e-41,1.8850218112232168e-28,7.293276218752117e-45,1.6219941591831031e-12,3.635665706782075e-32,3.635665706782075e-32,3.8102933182202175e-31,6.641412106798972e-19,1.816227749532071e-247,3.6719202640921025e-79,0.0,9.764217225778136e-38,3.6380562224933025e-10,1.6882086190052887e-06,-139.839998399984
0.0,0.0,0.0,0.0,0.0,0.0,2.9286540295584984e-37,6.871193536094669e-23,0.0,3.8939116562754137e-25,2.3276568256475993e-65,3.8482076751386277e-103,3.062041112688353e-143,5.995186695655779e-21,1.3861698596884428e-98,0.0,1.63093101199893e-15,7.708640701350918e-261,5.863092122478676e-14,2.2933174158433492e-35,6.727119305522438e-41,0.0,9.164768515245109e-31,3.3887350868197026e-57,0.0,7.351078213361043e-22,2.4356438862371345e-85,2.0817023515511805e-26,1.5858348961769392e-137,6.635729690524391e-50,0.0,9.164768515245109e-31,5.390858751760845e-36,2.193965866225181e-24,4.3467893713797243e-51,3.99188e-318,4.643113718542886e-11,2.2756769039879435e-70,1.197308026039785e-88,8.565807443782853e-63,3.895471075836322e-29,5.850248281135139e-40,4.6830339212564856e-27,7.585028712979218e-48,1.714641478501609e-23,9.124402601898327e-46,2.582727933437281e-13,0.0,0.0,4.1969219036962153e-26,7.306497899926271e-106,4.889041808036574e-33,2.955787759911266e-89,2.101261734738975e-27,1.5563557041890502e-135,0.0,3.8245676945750307e-283,2.22579546804224e-127,4.163299879150691e-53,2.618278356669089e-22,0.0,4.887516138357744e-46,3.5848029322105944e-10,0.0,6.5564693136074e-41,2.7502152622097105e-28,1.2680808110018864e-44,1.918373269525172e-12,5.516927958448874e-32,5.516927958448874e-32,5.941634725341504e-31,8.646049035465998e-19,1.938084651402088e-246,7.580281877425917e-79,0.0,1.4968221434800126e-37,4.071483391932795e-10,1.785165199946495e-06,-139.679996799968
0.0,0.0,0.0,0.0,0.0,0.0,4.4270856048777e-37,8.709176274907345e-23,0.0,5.141997750828594e-25,4.082351838010797e-65,9.768912108362874e-103,1.3740273836782658e-142,7.906627531045571e-21,6.067503365927292e-98,0.0,1.8961870260554094e-15,1.6388457398004242e-259,6.771258287320985e-14,4.6903498550860407e-35,1.0706445140577715e-40,0.0,1.4029747873255276e-30,8.589095910816731e-57,0.0,9.1761354630017e-22,1.1150291466830562e-84,2.686927668144579e-26,8.303549028336259e-137,1.2267079148862173e-49,0.0,1.4029747873255276e-30,8.97234231775845e-36,3.2320958332996934e-24,8.890323322882803e-51,3.0709692e-316,5.113021056649521e-11,4.9705739231575384e-70,6.8699945525522e-88,2.501633480550696e-62,5.132819029074935e-29,1.0309246223053105e-39,6.671781201732696e-27,1.4041455031692558e-47,2.2670501821249744e-23,1.5139629045743685e-45,2.990106990897239e-13,0.0,0.0,5.935844698560148e-26,2.9746146044576734e-105,7.60437752811075e-33,1.0368554819969279e-88,2.971785798937345e-27,5.509958593994996e-135,0.0,5.510784310658464e-282,7.90008010997474e-127,6.800387165834141e-53,3.4391420048004366e-22,0.0,9.083353584279687e-46,4.017146060302582e-10,0.0,1.0032098512948918e-40,4.007443501157285e-28,2.2012496270077632e-44,2.2673490770637154e-12,8.360579805773415e-32,8.360579805773415e-32,9.250945713854686e-31,1.1244366285454618e-18,2.0578023635128042e-245,1.5624984299192117e-78,0.0,2.291906545884152e-37,4.5548078627652455e-10,1.8873899734810462e-06,-139.519995199952
0.0,0.0,0.0,0.0,0.0,0.0,6.684750622882962e-37,1.1031685076476707e-22,0.0,6.784760431070576e-25,7.151865743292019e-65,2.4751820736721306e-102,6.144048477670303e-142,1.0417541098191508e-20,2.6425719002604095e-97,0.0,2.20360760080335e-15,3.4567408192272706e-258,7.816603982381559e-14,9.55919194354687e-35,1.7018184563414965e-40,0.0,2.1446163836605398e-30,2.1693311787842293e-56,0.0,1.1447629322238083e-21,5.0731741143432545e-84,3.465922086048628e-26,4.3285187396189816e-136,2.263713984408098e-49,0.0,2.1446163836605398e-30,1.4907407517771938e-35,4.753906154340775e-24,1.814034587877971e-50,2.33184963e-314,5.628929229518347e-11,1.0835123503734396e-69,3.911234887693017e-87,7.275166205454466e-62,6.758692479644182e-29,1.8131937067936105e-39,9.494021832636954e-27,2.5945352688897333e-47,2.9948936092569066e-23,2.5087309237629834e-45,3.4600389385321907e-13,0.0,0.0,8.385483537870906e-26,1.2059670860108876e-104,1.1810636607088272e-32,3.6226468332492426e-88,4.198414732388171e-27,1.9455570265680235e-134,0.0,7.89659796643086e-281,2.7961061005561076e-126,1.1095996919850845e-52,4.513392678658035e-22,0.0,1.68479223812614e-45,4.4996219473750113e-10,0.0,1.5333817382544748e-40,5.83201376994197e-28,3.8149579552336547e-44,2.677966305299613e-12,1.2653223973907143e-31,1.2653223973907143e-31,1.4381326929668202e-30,1.4608724522471631e-18,2.174017648722736e-244,3.215851192934514e-78,0.0,3.5052383099006084e-37,5.09355828352294e-10,1.995151172017473e-06,-139.359993599936
0.0,0.0,0.0,0.0,0.0,0.0,1.0082539726092356e-36,1.3964535843849936e-22,0.0,8.94528123926229e-25,1.2515428272151727e-64,6.259524560101332e-102,2.737718270788159e-141,1.3712749368051137e-20,1.1451616920063121e-96,0.0,2.5597341570338735e-15,7.233758878889124e-257,9.019301529778412e-14,1.941386481183943e-34,2.7016739158481246e-40,0.0,3.2735634186913806e-30,5.459751005080872e-56,0.0,1.4273098734081034e-21,2.294005392210721e-83,4.467937539496005e-26,2.2463871880786106e-135,4.1699403794856355e-49,0.0,3.2735634186913806e-30,2.47255989166529e-35,6.9811824946874e-24,3.692773067798609e-50,1.74764448594e-312,6.19518018333224e-11,2.357179136785059e-69,2.209420656587931e-86,2.1068131669885102e-61,8.893653117707567e-29,3.182923274187614e-39,1.349436943935701e-26,4.785194829164537e-47,3.953066517182651e-23,4.1516524194831437e-45,4.0018557803769595e-13,0.0,0.0,1.1832257991776409e-25,4.868817668349111e-104,1.8316929059738778e-32,1.2606558800232721e-87,5.924935878769241e-27,6.851659167145922e-134,0.0,1.125284133696372e-279,9.868512811362881e-126,1.8085718182726395e-52,5.917998494961472e-22,0.0,3.11880773857846e-45,5.037795075432509e-10,0.0,2.3412378068365513e-40,8.476568685891738e-28,6.600978411497262e-44,3.160772760203768e-12,1.9124571316806356e-31,1.9124571316806356e-31,2.2322582119255305e-30,1.896049364707405e-18,2.2853406952188227e-243,6.608675382646749e-78,0.0,5.354662874213682e-37,5.69385022376238e-10,2.1087296487129305e-06,-139.19999199992
0.0,0.0,0.0,0.0,0.0,0.0,1.519050158062655e-36,1.7665707273324755e-22,0.0,1.1784477407240726e-24,2.1877088257634928e-64,1.5799698244862003e-101,1.2156197573172616e-140,1.8033051708718707e-20,4.937760517770046e-96,0.0,2.9720969823647487e-15,1.5018608887164593e-255,1.0402405290149373e-13,3.928960793837553e-34,4.283555492397375e-40,0.0,4.9895718965933465e-30,1.369267778459767e-55,0.0,1.778557667294663e-21,1.0309324733417817e-82,5.756001100561467e-26,1.1606457586150222e-134,7.667716423769404e-49,0.0,4.9895718965933465e-30,4.0939253913767605e-35,1.0235743396656929e-23,7.499610779670917e-50,1.29280525733277e-310,6.816509466455364e-11,5.11779286815663e-69,1.2383685912947453e-85,6.075373659598038e-61,1.1695221523124597e-28,5.5766426105291134e-39,1.9157944220216353e-26,8.809114435613094e-47,5.213379053709422e-23,6.861450664736606e-45,4.626239045402685e-13,0.0,0.0,1.6676353372303808e-25,1.9574689150497407e-103,2.8366237736758745e-32,4.369481426602721e-87,8.352422508424897e-27,2.4065987862469965e-133,0.0,1.5947033869219236e-278,3.473167127138136e-125,2.9447059527181723e-52,7.752919942609662e-22,0.0,5.76199623878985e-45,5.637817793419104e-10,0.0,3.5708985643788953e-40,1.2304728694048608e-27,1.1403153349042368e-43,3.728059930136239e-12,2.8867417775891452e-31,2.8867417775891452e-31,3.45957334881014e-30,2.458368633785467e-18,2.3903820846330026e-242,1.3560478547969639e-77,0.0,8.170349896782047e-37,6.362445564702204e-10,2.228419414328872e-06,-139.03999039990399
0.0,0.0,0.0,0.0,0.0,0.0,2.2860815967113227e-36,2.2333430084831735e-22,0.0,1.5512561054595875e-24,3.8198891751382136e-64,3.980425366641952e-101,5.378753239798376e-140,2.3691867297727693e-20,2.118441356488624e-95,0.0,3.449360620013509e-15,3.093597837978683e-254,1.1992250778577384e-13,7.923521927930725e-34,6.783090825969441e-40,0.0,7.594115488149503e-30,3.421940965244785e-55,0.0,2.214953441516552e-21,4.6045492619751595e-82,7.410715159916679e-26,5.970140165937898e-134,1.4074408297630087e-48,0.0,7.594115488149503e-30,6.766770301630392e-35,1.4983794244713394e-23,1.5195111040696119e-49,9.43931755706114e-309,7.498080326372993e-11,1.108930209370025e-68,6.886974158410515e-85,1.7445516404823358e-60,1.5369066297674467e-28,9.751785317389371e-39,2.7166841694268373e-26,1.618666801989803e-46,6.869686853778433e-23,1.1325019483505156e-44,5.345408442807307e-13,0.0,0.0,2.3476237096434166e-25,7.836994540327652e-103,4.386524224708087e-32,1.5084330134166538e-86,1.1761744432815654e-26,8.430780685152993e-133,0.0,2.2474663145800433e-277,1.2189210155976728e-124,4.7894412749081014e-52,1.0147860004022868e-21,0.0,1.0624278705179846e-44,6.30648898738127e-10,0.0,5.440593046687312e-40,1.783916044618273e-27,1.9667072237699143e-43,4.394140531589006e-12,4.351609144090136e-31,4.351609144090136e-31,5.353444439408872e-30,3.1842297624896396e-18,2.4877811988875917e-241,2.7782910044640887e-77,0.0,1.2452114835067403e-36,7.106817584575929e-10,2.35452819393469e-06,-138.879988799888
0.0,0.0,0.0,0.0,0.0,0.0,3.4365983857883036e-36,2.821627660393635e-22,0.0,2.040391597398083e-24,6.6623807435324e-64,1.0008832608080704e-100,2.371594128046586e-139,3.1096730410030886e-20,9.04328216818452e-95,0.0,4.001490001632778e-15,6.322174406206591e-253,1.3818907203355348e-13,1.5923323127489433e-33,1.0727601551459485e-39,0.0,1.1541506392204164e-29,8.521679770447288e-55,0.0,2.756818800421884e-21,2.0439258970249372e-81,9.535091195396535e-26,3.0573075591398085e-133,2.578826675980717e-48,0.0,1.1541506392204164e-29,1.116532458060485e-34,2.1899602075834118e-23,3.0714827467977277e-49,6.8026096839245625e-307,8.245520610860733e-11,2.398043838767308e-68,3.800265900897355e-84,4.988368529726563e-60,2.0183537297823984e-28,1.7020022387001098e-38,3.847896116113412e-26,2.9687610840615013e-46,9.044551505196862e-23,1.8667666143303633e-44,6.173335925923341e-13,0.0,0.0,3.3010326787285777e-25,3.124550306175646e-102,6.773436201668591e-32,5.18662617250794e-86,1.6544799369186417e-26,2.9456968254751465e-132,0.0,3.1499380975116414e-276,4.265808529031134e-124,7.78152136486953e-52,1.3270960416281659e-21,0.0,1.9550958626248343e-44,7.051318224350785e-10,0.0,8.280407572319607e-40,2.583016574557429e-27,3.386511518314716e-43,5.175668415007972e-12,6.551149927868686e-31,6.551149927868686e-31,8.271355746892895e-30,4.120233356743695e-18,2.576235270187627e-240,5.68358775824442e-77,0.0,1.8955686504762494e-36,7.935222252691324e-10,2.487378004043778e-06,-138.719987199872
0.0,0.0,0.0,0.0,0.0,0.0,5.160398934891702e-36,3.562573669159414e-22,0.0,2.681639510878482e-24,1.1607149396688123e-63,2.511947825854946e-100,1.0420150392190827e-138,4.0777025195271475e-20,3.841129328515279e-94,0.0,4.639940188926905e-15,1.2818510334280177e-251,1.5916690315393226e-13,3.188776107143764e-33,1.6944525186862253e-39,0.0,1.751536459744897e-29,2.1146888736624204e-54,0.0,3.429247347534987e-21,9.017046050760655e-81,1.2260694146456884e-25,1.5587034488690006e-132,4.716741416147779e-48,0.0,1.751536459744897e-29,1.8391183519636833e-34,3.195675392505269e-23,6.194001849958772e-49,4.838803409087987e-305,9.064962690378122e-11,5.1753701356934415e-68,2.0806858934643056e-83,1.4203556313882782e-59,2.6488529232540284e-28,2.964836838860479e-38,5.443791261852231e-26,5.434825671270496e-46,1.1897880132838034e-22,3.073046609099529e-44,7.125988447945851e-13,0.0,0.0,4.636231349911718e-25,1.2405343819953128e-101,1.0444009923931737e-31,1.7762604788784633e-85,2.3247794319646318e-26,1.0265130095935947e-131,0.0,4.390423360521602e-275,1.4886858554586443e-123,1.2629347672310729e-51,1.733999464845652e-21,0.0,3.590697138202784e-44,7.880595839921484e-10,0.0,1.2589078129415258e-39,3.7353421328889024e-27,5.821883318235414e-43,6.0920069969791504e-12,9.849425770897875e-31,9.849425770897875e-31,1.2760060798786887e-29,5.325976618414047e-18,2.654528217085142e-239,1.1609393403026914e-76,0.0,2.8822381146304925e-36,8.856776289534737e-10,2.6273057507749637e-06,-138.559985599856
