0-Abe 2014,1-An 1998,2-Baroudi 2000a,3-Baroudi 2000a,4-Bebarova 2008,6-Beyder 2014,7-Bezzina 2003,8-Calloe 2011,9-Calloe 2013,10-Cheng 2010,11-Cheng 2010,12-Cheng 2010,13-Cheng 2010,14-Cheng 2011,15-Cheng 2011,16-Clatot 2012,17-Glaaser 2012,18-Groenewegen 2003a,19-Groenewegen 2003b,20-Guetter 2013,21-Guetter 2013,22-Gui 2010a,23-Gui 2010a,24-Gui 2010b,25-Holst 2009,26-Hoshi 2014,27-Hu 2015,28-Hu 2015,29-Huang 2006,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Kapplinger 2015,35-Kapplinger 2015,36-Kapplinger 2015,37-Kapplinger 2015,38-Kapplinger 2015,39-Kapplinger 2015,40-Kapplinger 2015,41-Kapplinger 2015,42-Kapplinger 2015,43-Kapplinger 2015,44-Kapplinger 2015,45-Kapplinger 2015,46-Kapplinger 2015,47-Kapplinger 2015,48-Kapplinger 2015,49-Kapplinger 2015,50-Kapplinger 2015,51-Kapplinger 2015,52-Kapplinger 2015,53-Kapplinger 2015,54-Kapplinger 2015,55-Kapplinger 2015,56-Kapplinger 2015,57-Li 2009,58-Liu 2003a,59-Liu 2005,60-Makita 1998,61-Medeiros-Domingo 2007,62-Medeiros-Domingo 2009,63-Murphy 2012,64-O'Leary 2002,65-Olesen 2012,66-Pfahnl 2007,68-Rook 1999,69-Sarhan 2009,70-Shinlapawittayatorn 2011a,71-Shinlapawittayatorn 2011b,72-Shirai 2002,73-Shy 2014,75-Surber 2008,76-Surber 2008,77-Tan 2002,78-Tan 2005,79-Tan 2005,80-Tan 2005,81-Tan 2005,82-Tan 2005,83-Tan 2005,84-Tan 2005,85-Tan 2005,86-Tan 2005,87-Tan 2005,88-Tan 2005,89-Tan 2005,90-Tan 2005,91-Tan 2005,92-Tan 2005,93-Tan 2006,94-Tan 2006,95-Tarradas 2013,96-Tester 2010,97-Tsurugi 2009,98-Valdivia 2004,99-Vatta 2002a,100-Vatta 2002b,101-Wang 1996,102-Wang 2011,103-Wang 2015,104-Watanabe 2011b,105-Watanabe 2011b,106-Wei 1999,107-Winkel 2012,108-Ye 2003,109-Ye 2003,110-Yokoi 2005,111-Young 2005,112-Zhang 2008,sum,gauss,x
1.5326826857e-30,1.43142515628e-40,4.75242620646e-14,0.0,1.99244244411e-125,3.71780939367e-32,2.41986351769e-09,0.0,0.0,6.30526749767e-61,7.00171192075e-112,2.9492861431e-146,1.70411922146e-143,6.94399203926e-48,7.37764264727e-56,1.52638356274e-208,1.99417910205e-15,4.04603378541e-20,5.97690061923e-55,1.24784773337e-30,2.75687012496e-78,8.2345746087e-67,1.15251072569e-149,2.76088944179e-83,4.7018410107e-37,3.89391754636e-126,6.94816828876e-20,5.24122299099e-13,9.73675602932e-13,3.75310299221e-102,8.97704059057e-109,0.0,0.0,1.73536434317e-127,1.14401338361e-226,2.13500669191e-121,1.97660790511e-127,5.83222074695e-72,4.35639395486e-107,3.19371758628e-69,5.95109355637e-103,5.27777008864e-119,0.0,2.13500669191e-121,5.65758580953e-283,5.95109355637e-103,7.23308923131e-273,3.3795838939e-81,1.58289571164e-52,1.56442510514e-165,1.73536434317e-127,0.0,2.6838045616e-54,1.73536434317e-127,5.09980247835e-98,1.21189592699e-111,1.67142308585e-22,7.55671072423e-42,1.11761250023e-26,3.18591155634e-63,7.21254317321e-70,3.38820202859e-36,6.89161722237e-12,0.0,3.08267798538e-35,2.80446430668e-09,0.0,5.97750552317e-63,6.8605271698e-29,6.04125098384e-71,3.65536594179e-15,5.92103827408e-22,2.48431117134e-86,8.15734205936e-72,7.49215347685e-29,9.09200954042e-33,1.47848297535e-29,9.08821269189e-47,1.26353611954e-32,1.00947194041e-49,4.52688977834e-18,5.28095736483e-39,9.09200954042e-33,3.89638851538e-108,6.51425724484e-35,3.82545192773e-15,1.92675619695e-23,3.24977248827e-60,6.63913370754e-38,0.0,2.58746781229e-58,1.14476602346e-38,4.30380957307e-85,1.02348884086e-204,2.30999190453e-94,2.77986919273e-37,0.0,0.0,2.8072937413e-45,3.50220116414e-69,8.23182164068e-163,1.99058605407e-31,3.58581922977e-63,4.24217416038e-170,9.312484496e-17,1.42451830468e-06,2.8087048646e-07,1.62807324892e-67,9.20710086189e-19,0.0,1.71062156547e-06,3.96081086058e-10,-140.0
2.18003011156e-30,2.11055617209e-40,5.78298423349e-14,0.0,6.76237021254e-125,5.93229301315e-32,2.56498771355e-09,0.0,0.0,1.2693834721e-60,2.20200025696e-111,1.38075416275e-145,7.88489896352e-143,1.15033372176e-47,1.32192522906e-55,2.02971939783e-207,2.23859029555e-15,4.98426789435e-20,1.09409300397e-54,1.79490715409e-30,6.14416865117e-78,1.82568460019e-66,5.11895974842e-149,7.36664123231e-83,7.16902677702e-37,1.73185176773e-125,8.46199787235e-20,5.84814174618e-13,1.1871986964e-12,1.24044054951e-101,3.88275225484e-108,0.0,0.0,7.87602047372e-127,1.61312064785e-225,9.33152234346e-121,8.92982909574e-127,1.34236393213e-71,1.65089530444e-106,7.37317582768e-69,1.94643936222e-102,2.27226283016e-118,0.0,9.33152234346e-121,1.79503629452e-281,1.94643936222e-102,2.50342154364e-271,9.81746793878e-81,2.93921364786e-52,1.17672039995e-164,7.87602047372e-127,0.0,4.96161520101e-54,7.87602047372e-127,1.54699863296e-97,4.5152676111e-111,2.44453109023e-22,1.17464553512e-41,1.64953866475e-26,5.88095575171e-63,1.5957372322e-69,4.92391678654e-36,8.02039194256e-12,0.0,4.73507725568e-35,3.07590491651e-09,0.0,2.48210234386e-62,1.00299986249e-28,1.66701757646e-70,4.36575730997e-15,7.29248580943e-22,5.77411948851e-86,1.85845013321e-71,1.11407813065e-28,1.25786281763e-32,1.97299513366e-29,1.55087653575e-46,1.78613497734e-32,1.75416899833e-49,5.32166880893e-18,8.1268057247e-39,1.25786281763e-32,1.34430530476e-107,9.66016508208e-35,4.38003073345e-15,2.45204525801e-23,6.64359916455e-60,1.00653290993e-37,0.0,5.14742833949e-58,1.75295389138e-38,1.27601399399e-84,8.9950905329e-204,8.32474270211e-94,4.33780437996e-37,0.0,0.0,5.98678066171e-45,9.96731467095e-69,4.68469172233e-162,2.88031438873e-31,8.54394926967e-63,2.71791180564e-169,1.10463313083e-16,1.47475896752e-06,2.91351570406e-07,4.05423463898e-67,1.06740599674e-18,0.0,1.77176129189e-06,4.3771070443e-10,-139.8399984
3.09766284819e-30,3.10912510413e-40,7.0313332597e-14,0.0,2.28904304403e-124,9.449897338e-32,2.71840416601e-09,0.0,0.0,2.55079022194e-60,6.90688018267e-111,6.44075127053e-145,3.63499637069e-142,1.90321959471e-47,2.36524282632e-55,2.67990837449e-206,2.51230078267e-15,6.13648624623e-20,1.99964979929e-54,2.57910016588e-30,1.36678306008e-77,4.03891686413e-66,2.2661249479e-148,1.96040670563e-82,1.09180833216e-36,7.67218237314e-125,1.03002298049e-19,6.52343108468e-13,1.44611753611e-12,4.08685109586e-101,1.67192170546e-107,0.0,0.0,3.56022633991e-126,2.25911194643e-224,4.06219124429e-120,4.01817228466e-126,3.08277251011e-71,6.23291486116e-106,1.69825119778e-68,6.34671010829e-102,9.7436408374e-118,0.0,4.06219124429e-120,5.64251017587e-280,6.34671010829e-102,8.57693619094e-270,2.84279787051e-80,5.44839766154e-52,8.802704294e-164,3.56022633991e-126,0.0,9.15769564689e-54,3.56022633991e-126,4.67941058326e-97,1.67644376348e-110,3.5691307189e-22,1.82388859634e-41,2.43110360675e-26,1.08408674949e-62,3.52315666754e-69,7.14900738899e-36,9.32807614045e-12,0.0,7.26401834649e-35,3.37242851576e-09,0.0,1.02300542528e-61,1.46451785399e-28,4.58464593801e-70,5.21091755811e-15,8.97684244664e-22,1.33953843684e-85,4.22481531794e-71,1.65436264025e-28,1.73883844572e-32,2.63103643518e-29,2.6426867489e-46,2.52258650549e-32,3.04381553938e-49,6.25337171086e-18,1.24916187081e-38,1.73883844572e-32,4.62321190812e-107,1.43097313578e-34,5.01322443692e-15,3.1184656524e-23,1.35548901724e-59,1.52427028871e-37,0.0,1.02207628924e-57,2.68120557682e-38,3.77124905962e-84,7.86510153203e-203,2.98823959018e-93,6.76020175152e-37,0.0,0.0,1.27289811475e-44,2.82641524071e-68,2.65502454194e-161,4.16327955802e-31,2.03018078541e-62,1.73349004067e-168,1.3096525594e-16,1.52658306211e-06,3.02190916129e-07,1.00671947041e-66,1.23707889836e-18,0.0,1.83487632064e-06,4.8358453515e-10,-139.6799968
4.39710883916e-30,4.57606823444e-40,8.54225249861e-14,0.0,7.72771032425e-124,1.50279800503e-31,2.88056106262e-09,0.0,0.0,5.11622020643e-60,2.16071709812e-110,2.99348723297e-144,1.66964261832e-141,3.14488204994e-47,4.22594794964e-55,3.51330223001e-205,2.81874125283e-15,7.55065574809e-20,3.64901075437e-54,3.70203275472e-30,3.03476932268e-77,8.91576583576e-66,9.99888072875e-148,5.20330154916e-82,1.66083521641e-36,3.38541062351e-124,1.25311906095e-19,7.27456790778e-13,1.75976563569e-12,1.34223655326e-100,7.16740516065e-107,0.0,0.0,1.60288729759e-125,3.14227225808e-223,1.76125742503e-119,1.80084671385e-125,7.06394911999e-71,2.34445625585e-105,3.90246059611e-68,2.06309928191e-101,4.16139149651e-117,0.0,1.76125742503e-119,1.75722955908e-278,2.06309928191e-101,2.90883042589e-268,8.20545562388e-80,1.00824303237e-51,6.54912482382e-163,1.60288729759e-125,0.0,1.68748633914e-53,1.60288729759e-125,1.41142246214e-96,6.20271474414e-110,5.202200227e-22,2.82883244596e-41,3.57778430266e-26,1.99563948638e-62,7.76247399837e-69,1.03698964937e-35,1.08420303503e-11,0.0,1.11295537344e-34,3.69623399247e-09,0.0,4.18499306582e-61,2.13569327351e-28,1.25667723348e-69,6.21576659666e-15,1.10443941957e-21,3.10180313923e-85,9.58338915381e-71,2.45330678592e-28,2.40180500575e-32,3.50605619584e-29,4.4965959767e-46,3.5594511745e-32,5.27393711556e-49,7.34512388785e-18,1.91782592914e-38,2.40180500575e-32,1.58489289183e-106,2.11741361983e-34,5.73591516186e-15,3.96336631541e-23,2.76013739825e-59,2.30575644053e-37,0.0,2.02560130575e-57,4.09633621252e-38,1.1110724525e-83,6.84194369358e-202,1.06842550203e-92,1.05218823988e-36,0.0,0.0,2.69829075765e-44,7.98572736148e-68,1.49850611587e-160,6.01129439564e-31,4.81079164506e-62,1.1006429768e-167,1.55195690166e-16,1.58003321101e-06,3.13399451744e-07,2.49271544818e-66,1.43326396652e-18,0.0,1.90002288742e-06,5.34121195994e-10,-139.5199952
6.23536237258e-30,6.72914362791e-40,1.03694608088e-13,0.0,2.60189380404e-123,2.38585009023e-31,3.05192927845e-09,0.0,0.0,1.02427434386e-59,6.74163638277e-110,1.38624185808e-143,7.64108011495e-141,5.19003438621e-47,7.53966622043e-55,4.57322636731e-204,3.1617341518e-15,9.28530324827e-20,6.64841069261e-54,5.30833266125e-30,6.725760859e-77,1.96384393362e-65,4.3972820448e-147,1.37742502151e-81,2.52348440272e-36,1.48794891834e-123,1.52373406615e-19,8.10982086372e-13,2.13932679797e-12,4.39437076424e-100,3.05898775018e-106,2.96439387505e-323,0.0,7.18758463093e-125,4.34095243609e-222,7.60571266161e-119,8.03873531003e-125,1.61505950913e-70,8.78561868143e-105,8.94673104207e-68,6.68582918032e-101,1.77015171268e-116,0.0,7.60571266161e-119,5.42177738282e-277,6.68582918032e-101,9.76545899206e-267,2.36085682874e-79,1.86260365247e-51,4.84590334456e-162,7.18758463093e-125,0.0,3.1044542157e-53,7.18758463093e-125,4.24509628683e-96,2.2869778233e-109,7.5695383491e-22,4.38261763734e-41,5.2576849604e-26,3.66861441817e-62,1.70673457383e-68,1.50278458501e-35,1.25936378687e-11,0.0,1.70305833389e-34,4.04970154602e-09,0.0,1.69930017523e-60,3.11052360399e-28,3.43315977667e-69,7.40970772885e-15,1.3580960345e-21,7.16907165102e-85,2.16912758294e-70,3.63311451807e-28,3.31488765921e-32,4.66876533261e-29,7.63997199848e-46,5.01793684275e-32,9.12475648471e-49,8.62387563561e-18,2.94097462655e-38,3.31488765921e-32,5.41584548084e-106,3.12973245102e-34,6.56045364988e-15,5.0338263393e-23,5.60928513907e-59,3.48403346082e-37,0.0,4.00684252214e-57,6.25125097052e-38,3.26307407357e-83,5.92149035172e-201,3.80502321009e-92,1.63557823112e-36,0.0,0.0,5.70267543633e-44,2.24809007082e-67,8.42269272195e-160,8.67036068164e-31,1.1368526172e-61,6.95681905393e-167,1.83818300495e-16,1.63515291911e-06,3.24988388674e-07,6.15462491986e-66,1.66003020008e-18,0.0,1.96725860358e-06,5.89779121867e-10,-139.3599936
8.83319044372e-30,9.88644413352e-40,1.25773455392e-13,0.0,8.73715736784e-123,3.78141826443e-31,3.2330034361e-09,0.0,0.0,2.04680251281e-59,2.09789704109e-109,6.39618950252e-143,3.48415667367e-140,8.55434026209e-47,1.34325870475e-54,5.9107352636e-203,3.54553723042e-15,1.14117968071e-19,1.20943360556e-53,7.60364500209e-30,1.48780767964e-76,4.31628256045e-65,1.92744793507e-146,3.63674706081e-81,3.829734291e-36,6.51401757179e-123,1.85181431829e-19,9.03833128205e-13,2.59818749754e-12,1.43414056142e-99,1.29976034974e-105,3.17684210276e-321,0.0,3.21009260595e-124,5.95609204119e-221,3.27123389024e-118,3.57405718991e-124,3.68437967375e-70,3.28006041223e-104,2.04634801671e-67,2.16000177199e-100,7.49958116413e-116,0.0,3.27123389024e-118,1.6573410805e-275,2.16000177199e-100,3.24530073671e-265,6.77090670849e-79,3.43506105255e-51,3.56607564717e-161,3.21009260595e-124,0.0,5.70192087601e-53,3.21009260595e-124,1.27315920583e-95,8.40290440212e-109,1.09953597619e-21,6.78230600833e-41,7.71515550202e-26,6.73478873109e-62,3.74480699262e-68,2.17576845593e-35,1.46188708456e-11,0.0,2.60274878313e-34,4.43540657865e-09,0.0,6.84863490991e-60,4.52458274545e-28,9.3479548639e-69,8.82741086694e-15,1.66912687212e-21,1.65386954165e-84,4.89897979243e-70,5.37294500879e-28,4.57143386847e-32,6.21264274234e-29,1.29619214376e-45,7.06760908955e-32,1.57643960772e-48,1.01210209451e-17,4.50469087951e-38,4.57143386847e-32,1.84477261177e-105,4.62100046997e-34,7.5008521466e-15,6.38914890016e-23,1.13769657357e-58,5.25858193584e-37,0.0,7.91094254863e-57,9.52892995832e-38,9.55298009357e-83,5.09869371307e-200,1.34975395697e-91,2.53917884869e-36,0.0,0.0,1.2016095466e-43,6.30570503524e-67,4.71461085164e-159,1.24923192452e-30,2.67915331392e-61,4.37737822724e-166,2.17612263186e-16,1.69198658263e-06,3.36969227202e-07,1.51528779608e-65,1.92205945932e-18,0.0,2.03664248662e-06,6.51060202507e-10,-139.199992
1.25007164336e-29,1.45122064249e-39,1.52430143486e-13,0.0,2.92612319883e-122,5.98322459943e-31,3.42430301049e-09,0.0,0.0,4.08251857349e-59,6.51110120442e-109,2.94052145114e-142,1.58289566558e-139,1.40816394053e-46,2.38971865572e-54,7.58528563455e-202,3.97489179586e-15,1.40171101177e-19,2.19668467848e-53,1.08800617502e-29,3.28504867605e-76,9.46601834282e-65,8.42066494366e-146,9.57666689066e-81,5.80537931347e-36,2.84049522719e-122,2.2493504173e-19,1.00702020643e-12,3.15235344087e-12,4.66567118954e-99,5.49817545233e-105,3.22106097806e-319,0.0,1.42792947064e-123,8.1165773273e-220,1.40132182344e-117,1.58269799962e-123,8.38639102634e-70,1.22003028744e-103,4.6696450075e-67,6.95691378068e-100,3.16459498452e-115,0.0,1.40132182344e-117,5.01925362662e-274,6.95691378068e-100,1.06759189345e-263,1.93568301485e-78,6.32422422876e-51,2.60994094247e-160,1.42792947064e-123,0.0,1.04555780221e-52,1.42792947064e-123,3.80752297628e-95,3.0766933804e-108,1.59443645115e-21,1.04842802194e-40,1.13048427784e-25,1.23466123411e-61,8.19955941255e-68,3.14718487265e-35,1.69589321819e-11,0.0,3.97270150913e-34,4.85613455764e-09,0.0,2.73965882051e-59,6.57315662676e-28,2.53683090968e-68,1.05097282799e-14,2.05030515227e-21,3.80828301428e-84,1.10402975241e-69,7.93508868889e-28,6.29924682398e-32,8.26117604945e-29,2.19592104893e-45,9.94546353302e-32,2.71958796993e-48,1.18731140975e-17,6.89176302694e-38,6.29924682398e-32,6.26368125641e-105,6.81541179451e-34,8.57300188946e-15,8.10398364888e-23,2.30296586166e-58,7.928160143e-37,0.0,1.55894874925e-56,1.4508656342e-37,2.78790647434e-82,4.36780448309e-199,4.76909685786e-91,3.9369450561e-36,0.0,0.0,2.5243111862e-43,1.76227756215e-66,2.62810797004e-158,1.79798360601e-30,6.29646437392e-61,2.74193126937e-165,2.57491865795e-16,1.75057949792e-06,3.49353762052e-07,3.72008881739e-65,2.22473696589e-18,0.0,2.1082349916e-06,7.18513737793e-10,-139.0399904
1.76731363186e-29,2.12833403512e-39,1.84587280866e-13,0.0,9.77365297524e-122,9.45115568023e-31,3.62637347975e-09,0.0,0.0,8.12779942882e-59,2.01546913072e-108,1.3469395255e-141,7.16503960187e-139,2.31510306061e-46,4.24534951691e-54,9.66527004444e-201,4.45507615752e-15,1.72071702901e-19,3.9835925045e-53,1.55520167315e-29,7.2397981919e-76,2.07147355806e-64,3.66670117266e-145,2.51519593586e-80,8.78995188141e-36,1.23373940587e-121,2.73078945436e-19,1.12165952798e-12,3.82094141609e-12,1.5130870917e-98,2.31549404485e-104,3.21852592723e-317,0.0,6.32631129922e-123,1.09854946715e-218,5.97886544876e-117,6.98067464167e-123,1.90467429332e-69,4.52104321846e-103,1.06310826749e-66,2.23379244214e-99,1.33000681726e-114,0.0,5.97886544876e-117,1.50599461828e-272,2.23379244214e-99,3.47651107902e-262,5.51609679371e-78,1.16235516102e-50,1.89974422712e-159,6.32631129922e-123,0.0,1.91410536942e-52,6.32631129922e-123,1.13544734621e-94,1.12260335698e-107,2.30814296578e-21,1.61888985089e-40,1.6540707754e-25,2.26033898775e-61,1.79163368899e-67,4.54805249216e-35,1.96609828183e-11,0.0,6.05606563855e-34,5.31489690798e-09,0.0,1.08779611205e-58,9.53717691681e-28,6.86149509673e-68,1.2504764532e-14,2.51720127413e-21,8.75279628483e-84,2.48262134319e-69,1.1703001367e-27,8.67316018163e-32,1.09773759105e-28,3.7147858037e-45,1.39824320326e-31,4.68488142909e-48,1.39226991244e-17,1.05314289573e-37,8.67316018163e-32,2.11995521522e-104,1.00409656043e-33,9.79491823647e-15,1.02722331596e-22,4.6525459115e-58,1.19397057452e-36,0.0,3.06628907789e-56,2.20656188785e-37,8.11044933421e-82,3.72257814459e-198,1.67842488801e-90,6.09634460043e-36,0.0,0.0,5.28709629023e-43,4.90722179395e-66,1.45895874796e-157,2.58502724133e-30,1.47571236764e-60,1.70977192001e-164,3.04529375552e-16,1.81097786999e-06,3.62154088025e-07,9.10701686646e-65,2.57425489085e-18,0.0,2.18209804365e-06,7.92740736992e-10,-138.8799888
2.49605278131e-29,3.1185961977e-39,2.23347828362e-13,0.0,3.25584019603e-121,1.49040243379e-30,3.83978752428e-09,0.0,0.0,1.61514072376e-58,6.22227620579e-108,6.14741536807e-141,3.23144368397e-138,3.80134994255e-46,7.53112221529e-54,1.22283445675e-199,4.99196480921e-15,2.11109095439e-19,7.21279499565e-53,2.22068979167e-29,1.59257814022e-75,4.52320242961e-64,1.59136589463e-144,6.58848285401e-80,1.32934079661e-35,5.33748961853e-121,3.31352869388e-19,1.24898392819e-12,4.62675935854e-12,4.89148933751e-98,9.70819533351e-104,3.16930526473e-315,0.0,2.79157284929e-122,1.47673123865e-217,2.54070522185e-116,3.06661691788e-122,4.31619656137e-69,1.66911393078e-102,2.41468443678e-66,7.15043883327e-99,5.567294617e-114,0.0,2.54070522185e-116,4.47676946573e-271,7.15043883327e-99,1.12065001015e-260,1.56689446822e-77,2.13269733445e-50,1.37525714897e-158,2.79157284929e-122,0.0,3.49844112417e-52,2.79157284929e-122,3.3764172876e-94,4.0818381561e-107,3.33561498938e-21,2.4969705585e-40,2.41664784213e-25,4.13238967378e-61,3.90665939223e-67,6.56632412496e-35,2.27789651332e-11,0.0,9.22032367195e-34,5.8149479985e-09,0.0,4.28703546385e-58,1.38202566838e-27,1.84968730885e-67,1.48691256789e-14,3.0887849226e-21,2.00795540874e-83,5.5705075893e-69,1.72364890385e-27,1.19321489589e-31,1.45762684442e-28,6.27509856049e-45,1.96401854169e-31,8.05867821672e-48,1.63192694662e-17,1.60744415592e-37,1.19321489589e-31,7.15210617831e-104,1.47769956794e-33,1.11870168381e-14,1.30119368443e-22,9.38071522195e-58,1.79610728493e-36,0.0,6.01966059193e-56,3.35205310968e-37,2.35200921159e-81,3.1564638843e-197,5.88371886261e-90,9.42809074207e-36,0.0,0.0,1.1040439305e-42,1.36150041773e-65,8.06575969453e-157,3.71262653172e-30,3.44915305564e-60,1.06135072582e-163,3.59981679676e-16,1.87322882076e-06,3.7538260567e-07,2.22312366511e-64,2.97773088202e-18,0.0,2.25829507144e-06,8.7439859031e-10,-138.7199872
3.52172398997e-29,4.56553327246e-39,2.70029208785e-13,0.0,1.08171064744e-120,2.34634142464e-30,4.06514627526e-09,0.0,0.0,3.20361514358e-58,1.9159044659e-107,2.79548866339e-140,1.45206574213e-137,6.2338419339e-46,1.33409116009e-53,1.53614766372e-198,5.59209394416e-15,2.58851657173e-19,1.30392846883e-52,3.16763333193e-29,3.49675076447e-75,9.85524063735e-64,6.88382741568e-144,1.72129447108e-79,2.00807582459e-35,2.30003732946e-120,4.01850648826e-19,1.39035462334e-12,5.59698964955e-12,1.57632471048e-97,4.05231416089e-103,3.0755152286e-313,0.0,1.22687969479e-121,1.97159842834e-216,1.07533649739e-115,1.34178967337e-121,9.7592533034e-69,6.13921130943e-102,5.4718291476e-66,2.28184561298e-98,2.3210748598e-113,0.0,1.07533649739e-115,1.31844820647e-269,2.28184561298e-98,3.5758921541e-259,4.43667734627e-77,3.90641512926e-50,9.90140929899e-158,1.22687969479e-121,0.0,6.38372589638e-52,1.22687969479e-121,1.0011747307e-93,1.47901490449e-106,4.81223523337e-21,3.84704249709e-40,3.52567574671e-25,7.54450736878e-61,8.50079418643e-67,9.47136991513e-35,2.63745344236e-11,0.0,1.40201517763e-33,6.35980328764e-09,0.0,1.67696965358e-57,2.00015103736e-27,4.96970029759e-67,1.76693767065e-14,3.78815447371e-21,4.59780920976e-83,1.24719291173e-68,2.5351662257e-27,1.64025935331e-31,1.93412857593e-28,1.05846632262e-44,2.75621840862e-31,1.38419968006e-47,1.91203777572e-17,2.45062077388e-37,1.64025935331e-31,2.40520141113e-103,2.17232150911e-33,1.27724246584e-14,1.64713725714e-22,1.88765817661e-57,2.69890977281e-36,0.0,1.17952884198e-55,5.0864119242e-37,6.79924215007e-81,2.6627733006e-196,2.05440540816e-89,1.45620357095e-35,0.0,0.0,2.29853063015e-42,3.76374841971e-65,4.44068535716e-156,5.32640452934e-30,8.03949924902e-60,6.55871541673e-163,4.25321302749e-16,1.93738039707e-06,3.89052026997e-07,5.41147618304e-64,3.44334363798e-18,0.0,2.33689104202e-06,9.64206143338e-10,-138.5599856
