0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-An 1998,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,14-Huang 2009,17-Itoh 2007,18-Lin 2008,19-Liu 2002,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.13579577366e-22,2.00671896132e-65,4.00373332369e-144,9.14492057558e-21,1.89625692925e-99,1.16804032659e-13,1.38874309725e-57,2.67704343905e-24,2.74540275521e-51,2.63844107281e-63,5.95797376203e-29,4.98380840436e-40,6.11756198284e-27,8.7834524793e-46,0.0,5.56298209888e-26,5.35366646978e-33,6.31494956123e-90,3.74280125144e-46,7.58537500915e-10,1.1142810133e-44,3.64640702663e-12,6.3664089285e-32,6.3664089285e-32,1.35600543881e-18,0.0,7.6230071334e-10,6.18244589285e-06,-140.0
0.0,0.0,0.0,0.0,0.0,0.0,1.44146930203e-22,3.52730612893e-65,1.80925492422e-143,1.20836394613e-20,8.383866046e-99,1.35016972201e-13,3.54482337314e-57,3.95626849037e-24,5.64153032884e-51,7.77096657822e-63,7.86091360043e-29,8.81626428522e-40,8.73584645662e-27,1.46123458013e-45,0.0,7.88626608854e-26,8.35125591909e-33,2.2330029318e-89,6.98345835012e-46,8.50779973241e-10,1.94053242249e-44,4.31566303068e-12,9.67346768412e-32,9.67346768412e-32,1.76709000699e-18,0.0,8.55230655024e-10,6.49540039061e-06,-139.8399984
0.0,0.0,0.0,0.0,0.0,0.0,1.82822828014e-22,6.19322976824e-65,8.14721653197e-143,1.59514788867e-20,3.6882019481e-98,1.56000129687e-13,9.016455856e-57,5.83751632263e-24,1.15655645774e-50,2.27911662344e-62,1.03647355411e-28,1.55658391766e-39,1.24602152548e-26,2.42774283515e-45,0.0,1.11668100652e-25,1.30083433821e-32,7.86450671834e-89,1.3004284011e-45,9.5381363732e-10,3.37400072927e-44,5.10424316356e-12,1.46789690323e-31,1.46789690323e-31,2.30046661837e-18,0.0,9.5907388293e-10,6.82321323394e-06,-139.6799968
0.0,0.0,0.0,0.0,0.0,0.0,2.31726297314e-22,1.08619718547e-64,3.65589428872e-142,2.10372768237e-20,1.61438928843e-97,1.80163836573e-13,2.28531301913e-56,8.59968355646e-24,2.36546102698e-50,6.65613193932e-62,1.36569649166e-28,2.74299587006e-39,1.77517035546e-26,4.02822272824e-45,0.0,1.57935867872e-25,2.0233075923e-32,2.75877619317e-88,2.41682086439e-45,1.06884779104e-09,5.856896329e-44,6.03276808004e-12,2.22451141261e-31,2.22451141261e-31,2.99180460095e-18,0.0,1.07506072597e-09,7.16653744114e-06,-139.5199952
0.0,0.0,0.0,0.0,0.0,0.0,2.93521620785e-22,1.90290713527e-64,1.63475575567e-141,2.7718100422e-20,7.03112880605e-97,2.07977498817e-13,5.77197045784e-56,1.26487860178e-23,4.82662774275e-50,1.93571386538e-61,1.79829496333e-28,4.82439039843e-39,2.5260879519e-26,6.67501620787e-45,0.0,2.23113758418e-25,3.14247295439e-32,9.63882818132e-88,4.48275077644e-45,1.19722083957e-09,1.01505131309e-43,7.12530320517e-12,3.36666137877e-31,3.36666137877e-31,3.8869642033e-18,0.0,1.20455412419e-09,7.52605206365e-06,-139.3599936
0.0,0.0,0.0,0.0,0.0,0.0,3.71556400131e-22,3.32999787955e-64,7.28428611335e-141,3.648570814e-20,3.04694807337e-96,2.39977844274e-13,1.45268374957e-55,1.85749319948e-23,9.82541405539e-50,5.60562789074e-61,2.36634699025e-28,8.46884942596e-39,3.5904661544e-26,1.10463609018e-44,0.0,3.1482257871e-25,4.87361148197e-32,3.35424510935e-87,8.29825630443e-45,1.34041333257e-09,1.75633175592e-43,8.40991323697e-12,5.08850201108e-31,5.08850201108e-31,5.0448456311e-18,0.0,1.34906322873e-09,7.90246309476e-06,-139.199992
0.0,0.0,0.0,0.0,0.0,0.0,4.70033997094e-22,5.82086812569e-64,3.23441685429e-140,4.79807982964e-20,1.31379699491e-95,2.76778283613e-13,3.64323033912e-55,2.72343886804e-23,1.99543215388e-49,1.61648334871e-60,3.11176429812e-28,1.48378526602e-38,5.09738158716e-26,1.82563598044e-44,0.0,4.43710116513e-25,7.54744539782e-32,1.16259416529e-86,1.53310257068e-44,1.50006223432e-09,3.0340533018e-43,9.91930231411e-12,7.6807950868e-31,7.6807950868e-31,6.54101654346e-18,0.0,1.51025832151e-09,8.29650440407e-06,-139.0399904
0.0,0.0,0.0,0.0,0.0,0.0,5.94228764757e-22,1.01636336981e-63,1.43113255845e-139,6.30372897743e-20,5.63656718066e-95,3.19079529644e-13,9.1048072111e-55,3.98675954011e-23,4.0429849019e-49,4.641753472e-60,4.08926942563e-28,2.59467145052e-38,7.22832037937e-26,3.01326411258e-44,0.0,6.24635594173e-25,1.16712876693e-31,4.01350926784e-86,2.82681701263e-44,1.67797653414e-09,5.2328460061e-43,1.16915524858e-11,1.15783886155e-30,1.15783886155e-30,8.47232561805e-18,0.0,1.68998717469e-09,8.70893869812e-06,-138.8799888
0.0,0.0,0.0,0.0,0.0,0.0,7.50754502498e-22,1.77266916212e-63,6.31013437641e-139,8.2739514841e-20,2.40615900546e-94,3.67681638089e-13,2.26737551035e-54,5.82685840946e-23,8.17233802273e-49,1.32726234095e-59,5.37026260246e-28,4.52854167083e-38,1.02381521661e-25,4.96693259884e-44,0.0,8.7831048059e-25,1.80221784652e-31,1.38001303519e-85,5.20195149163e-44,1.87615431326e-09,9.01053957552e-43,1.37709748899e-11,1.74307382009e-30,1.74307382009e-30,1.09627637528e-17,0.0,1.89029298084e-09,9.14055850776e-06,-138.7199872
0.0,0.0,0.0,0.0,0.0,0.0,9.47899065544e-22,3.08833082162e-63,2.77250430078e-138,1.08496013466e-19,1.02201476777e-93,4.23497653035e-13,5.62658289599e-54,8.50277916934e-23,1.64804692079e-48,3.77916051923e-59,7.04784081366e-28,7.88858373197e-38,1.44843731789e-25,8.1764990135e-44,0.0,1.23356869846e-24,2.77885264047e-31,4.7261216313e-85,9.55381917129e-44,2.09680139312e-09,1.54903681146e-42,1.62090900455e-11,2.62065078547e-30,2.62065078547e-30,1.4170902074e-17,0.0,2.1134339951e-09,9.59218720268e-06,-138.5599856
