year,achen,bstar,astar,b,a,Unknown
1996,0.888888888889,0.888888888889,1.0,1.0,1.0,1.0
1997,0,0,0,0,0,0
1998,0.0,0.0,1.0,1.0,1.0,1.0
1999,0.0,0.0,1.0,1.0,1.0,1.0
2000,0.0,0.0833333333333,0.916666666667,0.916666666667,0.916666666667,1.0
2001,0.0,0.0,0.642857142857,0.642857142857,0.642857142857,1.0
2002,0.0,0.0454545454545,0.727272727273,0.909090909091,0.909090909091,1.0
2003,0.0,0.0,0.454545454545,0.454545454545,0.454545454545,1.0
2004,0.0,0.0,0.222222222222,0.333333333333,0.444444444444,1.0
2005,0.0,0.0357142857143,0.178571428571,0.5,0.785714285714,1.0
2006,0.0,0.0,0.0,0.142857142857,0.428571428571,1.0
2007,0.0,0.1,0.25,0.65,0.65,1.0
2008,0.0,0.0384615384615,0.692307692308,0.692307692308,0.769230769231,1.0
2009,0.0,0.0,0.0555555555556,0.222222222222,0.666666666667,1.0
2010,0.0,0.0,0.666666666667,0.8,0.9,1.0
2011,0.0,0.0,0.0434782608696,0.173913043478,0.782608695652,1.0
2012,0.0,0.0,0.0526315789474,0.0526315789474,0.157894736842,1.0
2013,0.0,0.0,0.541666666667,0.666666666667,0.791666666667,1.0
2014,0.0,0.0,0.0816326530612,0.428571428571,0.857142857143,1.0
2015,0.0,0.0,0.0263157894737,0.684210526316,0.842105263158,1.0
