year,achen,bstar,astar,b,a,Unknown
1996,88.88888888888889,0.0,11.11111111111111,0.0,0.0,0.0
1997,0,0,0,0,0,0
1998,0.0,0.0,100.0,0.0,0.0,0.0
1999,0.0,0.0,100.0,0.0,0.0,0.0
2000,0.0,8.333333333333332,83.33333333333334,0.0,0.0,8.333333333333332
2001,0.0,0.0,64.28571428571429,0.0,0.0,35.714285714285715
2002,0.0,4.545454545454546,68.18181818181817,18.181818181818183,0.0,9.090909090909092
2003,0.0,0.0,45.45454545454545,0.0,0.0,54.54545454545454
2004,0.0,0.0,22.22222222222222,11.11111111111111,11.11111111111111,55.55555555555556
2005,0.0,3.571428571428571,14.285714285714285,32.142857142857146,28.57142857142857,21.428571428571427
2006,0.0,0.0,0.0,14.285714285714285,28.57142857142857,57.14285714285714
2007,0.0,10.0,15.0,40.0,0.0,35.0
2008,0.0,3.8461538461538463,65.38461538461539,0.0,7.6923076923076925,23.076923076923077
2009,0.0,0.0,5.555555555555555,16.666666666666664,44.44444444444444,33.33333333333333
2010,0.0,0.0,66.66666666666666,13.333333333333334,10.0,10.0
2011,0.0,0.0,4.3478260869565215,13.043478260869565,60.86956521739131,21.73913043478261
2012,0.0,0.0,5.263157894736842,0.0,10.526315789473683,84.21052631578947
2013,0.0,0.0,54.166666666666664,12.5,12.5,20.833333333333336
2014,0.0,0.0,8.16326530612245,34.69387755102041,42.857142857142854,14.285714285714285
2015,0.0,0.0,2.631578947368421,65.78947368421053,15.789473684210526,15.789473684210526
