year,yes,no
1996,0.0,1.0
1997,0,0
1998,0.3333333333333333,1.0
1999,0.3333333333333333,1.0
2000,0.5833333333333334,1.0
2001,0.8571428571428571,1.0
2002,0.6363636363636364,1.0
2003,0.6363636363636364,1.0
2004,0.5555555555555556,1.0
2005,0.35714285714285715,1.0
2006,0.42857142857142855,1.0
2007,0.85,1.0
2008,0.6923076923076923,1.0
2009,0.3888888888888889,1.0
2010,0.1,1.0
2011,0.2608695652173913,1.0
2012,0.21052631578947367,1.0
2013,0.375,1.0
2014,0.24489795918367346,1.0
2015,0.13157894736842105,1.0
