xaxis,xlabel,zero,act,inact,late,changed,unchanged
1,N,3,4,7,0,13,9
2,D1 S1,0,1,0,0,1,1
3,D1 L12,0,0,0,0,0,0
4,D1 S2,0,3,0,0,3,0
5,D1 L23,2,0,0,0,2,1
6,D1 S3,0,0,0,0,0,0
7,D1 L34,0,3,4,1,4,2
8,D1 S4,2,14,16,2,18,3
9,D1 L45,0,0,0,0,0,1
10,D1 S5,0,1,1,1,1,0
11,D1 L56,12,4,7,2,20,7
12,D1 S6,0,4,7,4,7,0
13,L12,2,10,19,6,30,35
14,D2 S1,0,1,1,0,1,0
15,D2 L12,0,0,0,0,0,0
16,D2 S2,1,0,1,0,2,1
17,D2 L23,0,0,0,0,0,0
18,D2 S3,0,0,0,0,0,0
19,D2 L34,0,0,0,0,0,1
20,D2 S4,0,7,8,0,9,0
21,D2 L45,0,1,0,0,1,0
22,D2 S5,1,0,0,0,1,0
23,D2 L56,8,1,0,0,9,0
24,D2 S6,0,1,1,0,1,0
25,L23,0,10,15,7,21,10
26,D3 S1,1,0,0,0,1,1
27,D3 L12,0,0,0,0,0,0
28,D3 S2,0,0,0,0,0,1
29,D3 L23,0,0,0,0,0,0
30,D3 S3,0,4,4,1,5,3
31,D3 L34,0,2,2,0,2,0
32,D3 S4,0,6,8,2,8,2
33,D3 L45,0,4,7,3,7,2
34,D3 S5,1,1,1,0,2,1
35,D3 L56,9,0,2,0,11,2
36,D3 S6,0,0,0,0,0,0
37,L34,0,4,12,4,12,5
38,D4 S1,0,0,0,0,0,0
39,D4 L12,0,0,0,0,0,0
40,D4 S2,0,0,0,0,0,0
41,D4 L23,0,0,0,0,0,0
42,D4 S3,0,0,2,0,2,0
43,D4 L34,0,3,7,1,7,0
44,D4 S4,0,7,15,5,15,1
45,D4 L45,0,0,1,1,1,0
46,D4 S5,1,0,0,0,1,0
47,D4 L56,2,3,4,0,6,1
48,D4 S6,0,3,8,3,8,0
49,C,0,12,40,21,45,11
