xaxis,xlabel,zero,act,inact,late,changed,unchanged
1,N,0.0833333333333,0.111111111111,0.194444444444,0.0,0.361111111111,0.25
2,D1 S1,0.0,0.333333333333,0.0,0.0,0.333333333333,0.333333333333
3,D1 L12,0.0,0.0,0.0,0.0,0.0,0.0
4,D1 S2,0.0,0.5,0.0,0.0,0.5,0.0
5,D1 L23,0.4,0.0,0.0,0.0,0.4,0.2
6,D1 S3,0.0,0.0,0.0,0.0,0.0,0.0
7,D1 L34,0.0,0.214285714286,0.285714285714,0.0714285714286,0.285714285714,0.142857142857
8,D1 S4,0.0363636363636,0.254545454545,0.290909090909,0.0363636363636,0.327272727273,0.0545454545455
9,D1 L45,0.0,0.0,0.0,0.0,0.0,1.0
10,D1 S5,0.0,0.25,0.25,0.25,0.25,0.0
11,D1 L56,0.230769230769,0.0769230769231,0.134615384615,0.0384615384615,0.384615384615,0.134615384615
12,D1 S6,0.0,0.181818181818,0.318181818182,0.181818181818,0.318181818182,0.0
13,L12,0.0196078431373,0.0980392156863,0.186274509804,0.0588235294118,0.294117647059,0.343137254902
14,D2 S1,0.0,0.333333333333,0.333333333333,0.0,0.333333333333,0.0
15,D2 L12,0.0,0.0,0.0,0.0,0.0,0.0
16,D2 S2,0.2,0.0,0.2,0.0,0.4,0.2
17,D2 L23,0.0,0.0,0.0,0.0,0.0,0.0
18,D2 S3,0.0,0.0,0.0,0.0,0.0,0.0
19,D2 L34,0.0,0.0,0.0,0.0,0.0,1.0
20,D2 S4,0.0,0.291666666667,0.333333333333,0.0,0.375,0.0
21,D2 L45,0.0,0.5,0.0,0.0,0.5,0.0
22,D2 S5,0.5,0.0,0.0,0.0,0.5,0.0
23,D2 L56,0.444444444444,0.0555555555556,0.0,0.0,0.5,0.0
24,D2 S6,0.0,0.333333333333,0.333333333333,0.0,0.333333333333,0.0
25,L23,0.0,0.15873015873,0.238095238095,0.111111111111,0.333333333333,0.15873015873
26,D3 S1,0.333333333333,0.0,0.0,0.0,0.333333333333,0.333333333333
27,D3 L12,0.0,0.0,0.0,0.0,0.0,0.0
28,D3 S2,0.0,0.0,0.0,0.0,0.0,1.0
29,D3 L23,0.0,0.0,0.0,0.0,0.0,0.0
30,D3 S3,0.0,0.235294117647,0.235294117647,0.0588235294118,0.294117647059,0.176470588235
31,D3 L34,0.0,0.333333333333,0.333333333333,0.0,0.333333333333,0.0
32,D3 S4,0.0,0.230769230769,0.307692307692,0.0769230769231,0.307692307692,0.0769230769231
33,D3 L45,0.0,0.173913043478,0.304347826087,0.130434782609,0.304347826087,0.0869565217391
34,D3 S5,0.166666666667,0.166666666667,0.166666666667,0.0,0.333333333333,0.166666666667
35,D3 L56,0.375,0.0,0.0833333333333,0.0,0.458333333333,0.0833333333333
36,D3 S6,0.0,0.0,0.0,0.0,0.0,0.0
37,L34,0.0,0.108108108108,0.324324324324,0.108108108108,0.324324324324,0.135135135135
38,D4 S1,0.0,0.0,0.0,0.0,0.0,0.0
39,D4 L12,0.0,0.0,0.0,0.0,0.0,0.0
40,D4 S2,0.0,0.0,0.0,0.0,0.0,0.0
41,D4 L23,0.0,0.0,0.0,0.0,0.0,0.0
42,D4 S3,0.0,0.0,0.5,0.0,0.5,0.0
43,D4 L34,0.0,0.166666666667,0.388888888889,0.0555555555556,0.388888888889,0.0
44,D4 S4,0.0,0.162790697674,0.348837209302,0.116279069767,0.348837209302,0.0232558139535
45,D4 L45,0.0,0.0,0.333333333333,0.333333333333,0.333333333333,0.0
46,D4 S5,0.5,0.0,0.0,0.0,0.5,0.0
47,D4 L56,0.125,0.1875,0.25,0.0,0.375,0.0625
48,D4 S6,0.0,0.136363636364,0.363636363636,0.136363636364,0.363636363636,0.0
49,C,0.0,0.093023255814,0.31007751938,0.162790697674,0.348837209302,0.0852713178295
