xaxis,xlabel,density,relative-density
1,N,0.2777777777777778,-0.02480158730158727
2,D1 S1,0.2916666666666667,-0.010912698412698374
3,D1 L12,0.0,-0.30257936507936506
4,D1 S2,0.2,-0.10257936507936505
5,D1 L23,0.38461538461538464,0.08203601953601958
6,D1 S3,0.05263157894736842,-0.24994778613199664
7,D1 L34,0.5,0.19742063492063494
8,D1 S4,0.7,0.3974206349206349
9,D1 L45,0.25,-0.05257936507936506
10,D1 S5,0.16666666666666666,-0.1359126984126984
11,D1 L56,0.336283185840708,0.03370382076134293
12,D1 S6,0.5384615384615384,0.23588217338217338
13,L12,0.2702702702702703,-0.032309094809094774
14,D2 S1,0.24,-0.06257936507936507
15,D2 L12,0.09090909090909091,-0.21167027417027415
16,D2 S2,0.16666666666666666,-0.1359126984126984
17,D2 L23,0.375,0.07242063492063494
18,D2 S3,0.1,-0.20257936507936505
19,D2 L34,0.16666666666666666,-0.1359126984126984
20,D2 S4,0.55,0.24742063492063499
21,D2 L45,0.1875,-0.11507936507936506
22,D2 S5,0.2857142857142857,-0.01686507936507936
23,D2 L56,0.27450980392156865,-0.028069561157796408
24,D2 S6,0.5384615384615384,0.23588217338217338
25,L23,0.19157088122605365,-0.11100848385331141
26,D3 S1,0.16666666666666666,-0.1359126984126984
27,D3 L12,0.46153846153846156,0.1589590964590965
28,D3 S2,0.3076923076923077,0.00511294261294265
29,D3 L23,0.16666666666666666,-0.1359126984126984
30,D3 S3,0.36363636363636365,0.06105699855699859
31,D3 L34,0.5,0.19742063492063494
32,D3 S4,0.45454545454545453,0.15196608946608947
33,D3 L45,0.631578947368421,0.32899958228905596
34,D3 S5,0.5217391304347826,0.21915976535541754
35,D3 L56,0.32142857142857145,0.018849206349206393
36,D3 S6,0.25925925925925924,-0.043320105820105814
37,L34,0.660377358490566,0.35779799341120094
38,D4 S1,0.125,-0.17757936507936506
39,D4 L12,0.18181818181818182,-0.12076118326118324
40,D4 S2,0.25,-0.05257936507936506
41,D4 L23,0.3333333333333333,0.030753968253968256
42,D4 S3,0.375,0.07242063492063494
43,D4 L34,0.5,0.19742063492063494
44,D4 S4,0.5909090909090909,0.2883297258297259
45,D4 L45,0.4,0.09742063492063496
46,D4 S5,0.2608695652173913,-0.04170979986197376
47,D4 L56,0.3076923076923077,0.00511294261294265
48,D4 S6,0.76,0.45742063492063495
49,C,0.2581967213114754,-0.04438264376788964
