year,b,astar,a,achen,bstar,Unknown
1996,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0
1997,0,0,0,0,0,0
1998,0.0,1.0,1.0,1.0,1.0,1.0
1999,0.0,1.0,1.0,1.0,1.0,1.0
2000,0.0,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.91666666666666674,1.0
2001,0.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1.0
2002,0.18181818181818182,0.86363636363636354,0.86363636363636354,0.86363636363636354,0.90909090909090895,0.99999999999999989
2003,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.0
2004,0.1111111111111111,0.33333333333333331,0.44444444444444442,0.44444444444444442,0.44444444444444442,1.0
2005,0.32142857142857145,0.4642857142857143,0.75,0.75,0.7857142857142857,1.0
2006,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0
2007,0.40000000000000002,0.55000000000000004,0.55000000000000004,0.55000000000000004,0.65000000000000002,1.0
2008,0.0,0.65384615384615385,0.73076923076923084,0.73076923076923084,0.76923076923076927,1.0
2009,0.16666666666666666,0.22222222222222221,0.66666666666666663,0.66666666666666663,0.66666666666666663,1.0
2010,0.13333333333333333,0.79999999999999993,0.89999999999999991,0.89999999999999991,0.89999999999999991,0.99999999999999989
2011,0.13043478260869565,0.17391304347826086,0.78260869565217395,0.78260869565217395,0.78260869565217395,1.0
2012,0.0,0.052631578947368418,0.15789473684210525,0.15789473684210525,0.15789473684210525,1.0
2013,0.125,0.66666666666666663,0.79166666666666663,0.79166666666666663,0.79166666666666663,1.0
2014,0.34693877551020408,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
2015,0.20000000000000001,0.30000000000000004,0.40000000000000002,0.40000000000000002,0.40000000000000002,1.0
