year,b,astar,a,achen,bstar,Unknown
1996,0.0,0.1111111111111111,0.0,0.88888888888888884,0.0,0.0
1997,0,0,0,0,0,0
1998,0.0,1.0,0.0,0.0,0.0,0.0
1999,0.0,1.0,0.0,0.0,0.0,0.0
2000,0.0,0.83333333333333337,0.0,0.0,0.083333333333333329,0.083333333333333329
2001,0.0,0.6428571428571429,0.0,0.0,0.0,0.35714285714285715
2002,0.18181818181818182,0.68181818181818177,0.0,0.0,0.045454545454545456,0.090909090909090912
2003,0.0,0.45454545454545453,0.0,0.0,0.0,0.54545454545454541
2004,0.1111111111111111,0.22222222222222221,0.1111111111111111,0.0,0.0,0.55555555555555558
2005,0.32142857142857145,0.14285714285714285,0.2857142857142857,0.0,0.035714285714285712,0.21428571428571427
2006,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714
2007,0.40000000000000002,0.14999999999999999,0.0,0.0,0.10000000000000001,0.34999999999999998
2008,0.0,0.65384615384615385,0.076923076923076927,0.0,0.038461538461538464,0.23076923076923078
2009,0.16666666666666666,0.055555555555555552,0.44444444444444442,0.0,0.0,0.33333333333333331
2010,0.13333333333333333,0.66666666666666663,0.10000000000000001,0.0,0.0,0.10000000000000001
2011,0.13043478260869565,0.043478260869565216,0.60869565217391308,0.0,0.0,0.21739130434782608
2012,0.0,0.052631578947368418,0.10526315789473684,0.0,0.0,0.84210526315789469
2013,0.125,0.54166666666666663,0.125,0.0,0.0,0.20833333333333334
2014,0.34693877551020408,0.081632653061224483,0.42857142857142855,0.0,0.0,0.14285714285714285
2015,0.20000000000000001,0.10000000000000001,0.10000000000000001,0.0,0.0,0.59999999999999998
