not-obs-not-exp-x,not-obs-not-exp-y
0.5,19.5
7.5,19.5
8.5,19.5
10.5,19.5
11.5,19.5
12.5,19.5
13.5,19.5
14.5,19.5
15.5,19.5
18.5,19.5
19.5,19.5
0.5,18.5
1.5,18.5
3.5,18.5
5.5,18.5
7.5,18.5
8.5,18.5
9.5,18.5
12.5,18.5
13.5,18.5
14.5,18.5
15.5,18.5
16.5,18.5
17.5,18.5
2.5,17.5
3.5,17.5
4.5,17.5
6.5,17.5
7.5,17.5
8.5,17.5
9.5,17.5
12.5,17.5
13.5,17.5
14.5,17.5
15.5,17.5
16.5,17.5
17.5,17.5
18.5,17.5
1.5,16.5
3.5,16.5
6.5,16.5
11.5,16.5
14.5,16.5
18.5,16.5
19.5,16.5
0.5,15.5
2.5,15.5
4.5,15.5
7.5,15.5
9.5,15.5
10.5,15.5
11.5,15.5
12.5,15.5
13.5,15.5
14.5,15.5
16.5,15.5
17.5,15.5
19.5,15.5
1.5,14.5
5.5,14.5
6.5,14.5
7.5,14.5
9.5,14.5
10.5,14.5
11.5,14.5
12.5,14.5
13.5,14.5
14.5,14.5
16.5,14.5
17.5,14.5
18.5,14.5
19.5,14.5
6.5,13.5
8.5,13.5
11.5,13.5
12.5,13.5
14.5,13.5
15.5,13.5
17.5,13.5
19.5,13.5
0.5,12.5
1.5,12.5
5.5,12.5
7.5,12.5
17.5,12.5
19.5,12.5
0.5,11.5
1.5,11.5
2.5,11.5
6.5,11.5
8.5,11.5
10.5,11.5
12.5,11.5
13.5,11.5
14.5,11.5
16.5,11.5
17.5,11.5
18.5,11.5
19.5,11.5
1.5,10.5
2.5,10.5
5.5,10.5
9.5,10.5
10.5,10.5
12.5,10.5
13.5,10.5
14.5,10.5
15.5,10.5
18.5,10.5
19.5,10.5
0.5,9.5
4.5,9.5
5.5,9.5
6.5,9.5
8.5,9.5
9.5,9.5
10.5,9.5
14.5,9.5
15.5,9.5
16.5,9.5
17.5,9.5
18.5,9.5
0.5,8.5
3.5,8.5
4.5,8.5
5.5,8.5
6.5,8.5
11.5,8.5
12.5,8.5
13.5,8.5
15.5,8.5
16.5,8.5
17.5,8.5
18.5,8.5
0.5,7.5
1.5,7.5
2.5,7.5
4.5,7.5
6.5,7.5
8.5,7.5
9.5,7.5
11.5,7.5
12.5,7.5
15.5,7.5
16.5,7.5
17.5,7.5
19.5,7.5
0.5,6.5
1.5,6.5
2.5,6.5
4.5,6.5
5.5,6.5
6.5,6.5
8.5,6.5
9.5,6.5
11.5,6.5
13.5,6.5
14.5,6.5
16.5,6.5
17.5,6.5
18.5,6.5
19.5,6.5
4.5,5.5
5.5,5.5
6.5,5.5
8.5,5.5
9.5,5.5
10.5,5.5
13.5,5.5
14.5,5.5
17.5,5.5
0.5,4.5
1.5,4.5
2.5,4.5
6.5,4.5
9.5,4.5
11.5,4.5
12.5,4.5
15.5,4.5
18.5,4.5
1.5,3.5
2.5,3.5
4.5,3.5
5.5,3.5
8.5,3.5
10.5,3.5
13.5,3.5
16.5,3.5
18.5,3.5
1.5,2.5
2.5,2.5
4.5,2.5
5.5,2.5
6.5,2.5
7.5,2.5
8.5,2.5
10.5,2.5
11.5,2.5
12.5,2.5
13.5,2.5
14.5,2.5
17.5,2.5
18.5,2.5
0.5,1.5
5.5,1.5
8.5,1.5
9.5,1.5
10.5,1.5
13.5,1.5
15.5,1.5
16.5,1.5
17.5,1.5
18.5,1.5
19.5,1.5
0.5,0.5
3.5,0.5
4.5,0.5
5.5,0.5
6.5,0.5
7.5,0.5
8.5,0.5
9.5,0.5
12.5,0.5
13.5,0.5
18.5,0.5
19.5,0.5
